activity_id,contact_id,type,activity_date,duration_min,outcome,completed,notes
1,3,meeting,2026-01-28,60,no_show,true,intro call
2,64,demo,2026-06-10,30,no_show,false,intro call
3,22,call,2026-01-30,90,no_show,true,intro call
4,53,meeting,2026-03-09,45,rescheduled,true,send quote
5,70,email,2026-01-10,45,rescheduled,true,send quote
6,19,meeting,2026-02-03,45,completed,true,send quote
7,56,meeting,2026-05-29,90,no_show,true,
8,50,email,2026-03-25,90,no_show,false,send quote
9,59,meeting,2026-01-19,15,rescheduled,true,follow up
10,75,meeting,2026-04-12,60,completed,true,follow up
11,28,meeting,2026-03-25,60,no_show,true,
12,43,call,2026-05-12,60,rescheduled,true,send quote
13,71,demo,2026-03-01,15,no_show,true,
14,78,call,2026-05-19,90,completed,true,
15,20,meeting,2026-02-04,90,rescheduled,false,intro call
16,12,email,2026-04-21,90,completed,true,send quote
17,71,email,2026-03-18,90,completed,true,follow up
18,7,demo,2026-01-22,90,no_show,true,intro call
19,31,meeting,2026-05-27,60,completed,true,
20,51,email,2026-05-09,15,no_show,true,
21,53,email,2026-02-28,60,no_show,false,follow up
22,71,call,2026-02-07,30,completed,true,send quote
23,39,email,2026-06-06,30,completed,true,follow up
24,67,demo,2026-05-18,45,completed,false,follow up
25,66,call,2026-05-23,45,no_show,true,intro call
26,35,email,2026-02-05,60,completed,true,intro call
27,34,email,2026-02-11,15,no_show,false,follow up
28,15,call,2026-05-28,30,rescheduled,true,send quote
29,45,call,2026-02-21,60,no_show,true,
30,74,demo,2026-03-06,15,completed,true,
31,21,call,2026-06-25,90,no_show,true,send quote
32,23,email,2026-06-15,15,rescheduled,true,follow up
33,71,call,2026-05-01,15,rescheduled,true,follow up
34,76,call,2026-04-11,60,rescheduled,true,send quote
35,18,email,2026-04-23,15,completed,false,
36,60,call,2026-04-08,15,rescheduled,true,follow up
37,73,meeting,2026-05-20,60,completed,true,intro call
38,38,email,2026-02-12,90,no_show,false,send quote
39,10,call,2026-01-24,45,completed,true,follow up
40,19,demo,2026-06-18,60,no_show,true,follow up
41,8,meeting,2026-06-24,45,no_show,true,follow up
42,38,call,2026-03-20,90,no_show,true,follow up
