opp_id,account_id,name,stage,type,source,amount,probability,weighted_amount,close_date,created_at,owner,competitor
1,21,Opportunity 1,lost,new,partner,5893,60,3535.8,2026-03-25,2025-12-01,Ines,Northwind
2,33,Opportunity 2,lost,upsell,outbound,73316,60,43989.6,2026-02-18,2025-06-25,Jonas,Northwind
3,34,Opportunity 3,prospect,new,outbound,162150,60,97290.0,2026-01-29,2025-09-27,Jonas,Helix
4,26,Opportunity 4,proposal,new,inbound,144252,100,144252.0,2026-05-20,2025-08-10,Ben,
5,4,Opportunity 5,proposal,upsell,event,217672,100,217672.0,2026-05-01,2025-09-20,Ben,
6,20,Opportunity 6,lost,upsell,partner,211045,100,211045.0,2026-02-17,2025-11-09,Ben,Helix
7,9,Opportunity 7,qualify,new,outbound,119231,60,71538.6,2026-07-11,2025-06-11,Felix,Helix
8,38,Opportunity 8,prospect,renewal,outbound,45523,60,27313.8,2026-01-24,2025-08-26,Anna,
9,18,Opportunity 9,proposal,upsell,event,39280,60,23568.0,2026-01-02,2025-09-04,Hans,Helix
10,26,Opportunity 10,prospect,upsell,partner,98556,20,19711.2,2026-01-23,2025-07-19,Felix,Helix
11,17,Opportunity 11,proposal,renewal,partner,14264,10,1426.4,2026-07-09,2025-12-08,Ines,
12,31,Opportunity 12,prospect,upsell,event,31154,10,3115.4,2026-02-07,2025-07-31,Anna,Helix
13,2,Opportunity 13,won,upsell,event,150239,40,60095.6,2026-07-11,2025-08-03,Elena,Northwind
14,12,Opportunity 14,qualify,new,event,186782,60,112069.2,2026-07-16,2025-07-27,Greta,
15,37,Opportunity 15,qualify,new,partner,171234,60,102740.4,2026-03-04,2025-10-07,Hans,Northwind
16,29,Opportunity 16,qualify,renewal,inbound,160343,40,64137.2,2026-03-18,2025-08-23,Jonas,Northwind
17,35,Opportunity 17,proposal,renewal,inbound,208434,20,41686.8,2026-03-22,2025-06-19,Clara,
18,34,Opportunity 18,proposal,renewal,outbound,89048,20,17809.6,2026-05-18,2025-09-30,Elena,Northwind
19,8,Opportunity 19,qualify,new,event,83262,10,8326.2,2026-04-22,2025-09-01,Felix,Northwind
20,20,Opportunity 20,lost,upsell,partner,203646,40,81458.4,2026-01-02,2025-08-23,Anna,Helix
21,22,Opportunity 21,qualify,renewal,inbound,37271,40,14908.4,2026-05-20,2025-10-17,Hans,
22,21,Opportunity 22,lost,upsell,inbound,88718,10,8871.8,2026-05-25,2025-11-19,Hans,
23,30,Opportunity 23,proposal,renewal,event,118347,60,71008.2,2026-02-01,2025-11-22,David,Helix
24,23,Opportunity 24,won,new,partner,224183,40,89673.2,2026-03-19,2025-10-27,Clara,
25,12,Opportunity 25,lost,renewal,outbound,107763,100,107763.0,2026-03-31,2025-09-04,Clara,Northwind
26,13,Opportunity 26,won,upsell,outbound,144265,40,57706.0,2026-02-14,2025-07-11,Anna,Northwind
27,37,Opportunity 27,lost,renewal,event,241365,100,241365.0,2026-05-04,2025-11-26,Elena,Northwind
28,1,Opportunity 28,lost,new,outbound,176684,10,17668.4,2026-05-17,2025-12-09,Elena,Northwind
29,16,Opportunity 29,prospect,renewal,outbound,203018,100,203018.0,2026-01-31,2025-07-10,Ben,Northwind
30,10,Opportunity 30,prospect,upsell,event,101565,100,101565.0,2026-06-23,2025-06-21,Elena,
31,16,Opportunity 31,qualify,new,outbound,36179,10,3617.9,2026-05-09,2025-08-17,Greta,
32,26,Opportunity 32,lost,renewal,event,223968,80,179174.4,2026-02-14,2025-07-26,Anna,Northwind
33,7,Opportunity 33,prospect,renewal,event,233922,40,93568.8,2026-04-13,2025-12-04,Jonas,
34,34,Opportunity 34,prospect,renewal,event,78956,60,47373.6,2026-03-04,2025-07-12,Hans,Northwind
35,27,Opportunity 35,qualify,new,inbound,146101,40,58440.4,2026-05-27,2025-09-17,Greta,
36,31,Opportunity 36,proposal,renewal,inbound,71094,100,71094.0,2026-07-05,2025-11-26,Elena,Northwind
37,39,Opportunity 37,prospect,new,partner,10357,40,4142.8,2026-02-17,2025-10-30,Greta,Helix
38,6,Opportunity 38,prospect,upsell,partner,242075,20,48415.0,2026-06-30,2025-11-19,Greta,Northwind
39,1,Opportunity 39,lost,new,inbound,79487,80,63589.6,2026-05-06,2025-06-15,Anna,
40,1,Opportunity 40,won,new,outbound,202428,80,161942.4,2026-06-19,2025-11-14,David,
41,13,Opportunity 41,won,upsell,event,41458,80,33166.4,2026-05-27,2025-06-26,Elena,Helix
42,20,Opportunity 42,lost,upsell,outbound,204996,100,204996.0,2026-07-06,2025-07-20,David,Northwind
43,8,Opportunity 43,lost,upsell,inbound,210145,80,168116.0,2026-03-14,2025-06-12,Ines,Northwind
44,13,Opportunity 44,prospect,upsell,partner,180663,20,36132.6,2026-03-14,2025-10-13,Hans,Helix
45,1,Opportunity 45,lost,renewal,inbound,228848,40,91539.2,2026-05-23,2025-08-27,Anna,
46,32,Opportunity 46,prospect,upsell,event,131735,80,105388.0,2026-06-03,2025-09-29,Elena,
47,30,Opportunity 47,prospect,renewal,inbound,249277,20,49855.4,2026-06-22,2025-12-16,Clara,Northwind
48,14,Opportunity 48,prospect,renewal,partner,194342,10,19434.2,2026-04-19,2025-09-15,Anna,Helix
49,29,Opportunity 49,qualify,upsell,event,63071,100,63071.0,2026-07-18,2025-07-14,Elena,Northwind
50,26,Opportunity 50,qualify,new,outbound,41378,100,41378.0,2026-01-12,2025-12-11,Anna,Helix
51,4,Opportunity 51,proposal,renewal,event,211596,60,126957.6,2026-04-25,2025-07-25,Ben,
52,10,Opportunity 52,prospect,upsell,inbound,205834,60,123500.4,2026-07-07,2025-11-26,Elena,
53,16,Opportunity 53,lost,upsell,event,72046,40,28818.4,2026-06-24,2025-06-27,Anna,Northwind
54,26,Opportunity 54,won,renewal,inbound,222910,100,222910.0,2026-02-03,2025-11-23,Anna,
55,11,Opportunity 55,qualify,new,inbound,227837,80,182269.6,2026-02-13,2025-10-31,Clara,
56,17,Opportunity 56,won,renewal,event,127895,10,12789.5,2026-05-17,2025-11-30,Ben,
57,34,Opportunity 57,prospect,renewal,outbound,165902,100,165902.0,2026-02-20,2025-07-02,Felix,
58,37,Opportunity 58,prospect,renewal,outbound,67612,40,27044.8,2026-01-19,2025-09-27,Elena,Northwind
59,11,Opportunity 59,prospect,renewal,event,217221,100,217221.0,2026-02-12,2025-07-19,Hans,Helix
60,5,Opportunity 60,lost,new,partner,180182,10,18018.2,2026-04-14,2025-11-07,David,Northwind
61,10,Opportunity 61,prospect,new,outbound,57566,20,11513.2,2026-04-04,2025-12-15,Anna,
62,32,Opportunity 62,lost,renewal,outbound,229725,40,91890.0,2026-07-16,2025-08-27,Ines,Northwind
63,18,Opportunity 63,proposal,new,partner,80772,20,16154.4,2026-06-21,2025-07-18,Ben,Northwind
64,2,Opportunity 64,prospect,upsell,partner,125307,20,25061.4,2026-01-05,2025-12-15,Felix,
65,5,Opportunity 65,prospect,new,partner,151983,20,30396.6,2026-05-02,2025-09-30,Clara,
66,10,Opportunity 66,lost,renewal,event,71522,20,14304.4,2026-05-31,2025-07-11,Greta,
67,40,Opportunity 67,won,upsell,partner,60955,60,36573.0,2026-02-09,2025-10-28,Hans,Northwind
68,32,Opportunity 68,qualify,renewal,outbound,20766,40,8306.4,2026-05-28,2025-07-15,Felix,Northwind
69,30,Opportunity 69,proposal,upsell,inbound,46512,60,27907.2,2026-02-22,2025-06-18,David,
70,31,Opportunity 70,qualify,upsell,partner,113966,40,45586.4,2026-02-21,2025-11-27,Anna,
71,30,Opportunity 71,proposal,renewal,event,17026,20,3405.2,2026-03-12,2025-09-09,Greta,
72,38,Opportunity 72,won,renewal,inbound,197030,60,118218.0,2026-03-19,2025-10-20,Elena,
73,34,Opportunity 73,lost,new,outbound,100389,40,40155.6,2026-05-25,2025-11-02,Ben,
74,40,Opportunity 74,won,renewal,inbound,131467,40,52586.8,2026-01-31,2025-08-04,Ines,Helix
75,15,Opportunity 75,won,upsell,outbound,81692,10,8169.2,2026-01-30,2025-08-01,Clara,
76,27,Opportunity 76,lost,upsell,outbound,164846,40,65938.4,2026-05-31,2025-09-16,David,Helix
77,12,Opportunity 77,prospect,new,partner,76425,80,61140.0,2026-01-04,2025-10-17,Ben,Helix
78,31,Opportunity 78,lost,upsell,outbound,64247,20,12849.4,2026-04-17,2025-07-22,Hans,Helix
79,18,Opportunity 79,lost,renewal,inbound,130436,80,104348.8,2026-01-05,2025-06-01,Hans,Northwind
80,26,Opportunity 80,proposal,upsell,outbound,29622,10,2962.2,2026-03-19,2025-08-23,Hans,
81,34,Opportunity 81,lost,upsell,inbound,28089,60,16853.4,2026-03-30,2025-08-08,Ines,Northwind
82,8,Opportunity 82,won,renewal,inbound,160154,60,96092.4,2026-06-01,2025-07-16,Jonas,
83,8,Opportunity 83,prospect,renewal,outbound,201499,100,201499.0,2026-02-06,2025-12-13,David,Helix
