item_id,order_id,product_id,quantity,unit_price,line_amount,warehouse
1,1,38,1,67.0,67.0,HH1
2,2,4,1,16.0,16.0,HH1
3,2,40,4,70.0,280.0,HH1
4,2,22,3,43.0,129.0,HH1
5,3,12,1,28.0,28.0,CGN1
6,3,36,1,64.0,64.0,CGN1
7,4,6,3,19.0,57.0,BER3
8,4,9,1,23.5,23.5,BER3
9,4,10,3,25.0,75.0,BER3
10,5,1,1,11.5,11.5,HH1
11,6,30,3,55.0,165.0,BER3
12,6,25,1,47.5,47.5,BER3
13,7,39,4,68.5,274.0,BER3
14,7,21,4,41.5,166.0,BER3
15,8,15,3,32.5,97.5,HH1
16,8,15,3,32.5,97.5,HH1
17,8,13,2,29.5,59.0,HH1
18,9,2,1,13.0,13.0,HH1
19,10,10,2,25.0,50.0,BER3
20,10,1,1,11.5,11.5,BER3
21,11,7,1,20.5,20.5,BER3
22,11,12,4,28.0,112.0,BER3
23,12,16,2,34.0,68.0,MUC2
24,12,16,1,34.0,34.0,MUC2
25,12,6,3,19.0,57.0,MUC2
26,13,21,2,41.5,83.0,CGN1
27,14,31,4,56.5,226.0,BER3
28,14,20,4,40.0,160.0,BER3
29,15,10,1,25.0,25.0,MUC2
30,15,7,1,20.5,20.5,MUC2
31,15,15,2,32.5,65.0,MUC2
32,16,27,3,50.5,151.5,BER3
33,16,5,3,17.5,52.5,BER3
34,17,22,3,43.0,129.0,CGN1
35,17,7,4,20.5,82.0,CGN1
36,18,20,4,40.0,160.0,MUC2
37,18,16,3,34.0,102.0,MUC2
38,19,38,2,67.0,134.0,MUC2
39,20,33,3,59.5,178.5,HH1
40,20,9,1,23.5,23.5,HH1
41,20,28,3,52.0,156.0,HH1
42,21,37,4,65.5,262.0,HH1
43,21,30,4,55.0,220.0,HH1
44,22,14,4,31.0,124.0,HH1
45,22,6,4,19.0,76.0,HH1
46,22,31,2,56.5,113.0,HH1
47,23,36,3,64.0,192.0,HH1
48,24,4,1,16.0,16.0,BER3
49,24,6,2,19.0,38.0,BER3
50,25,8,1,22.0,22.0,BER3
51,26,18,4,37.0,148.0,MUC2
52,26,39,2,68.5,137.0,MUC2
53,27,22,4,43.0,172.0,BER3
54,27,24,2,46.0,92.0,BER3
55,27,29,4,53.5,214.0,BER3
56,28,5,4,17.5,70.0,MUC2
57,29,33,4,59.5,238.0,CGN1
58,29,15,4,32.5,130.0,CGN1
59,29,1,2,11.5,23.0,CGN1
60,30,39,1,68.5,68.5,HH1
61,30,8,4,22.0,88.0,HH1
62,30,3,1,14.5,14.5,HH1
63,31,38,3,67.0,201.0,HH1
64,31,24,3,46.0,138.0,HH1
65,32,2,4,13.0,52.0,HH1
66,33,3,1,14.5,14.5,BER3
67,33,26,3,49.0,147.0,BER3
68,34,8,4,22.0,88.0,MUC2
69,34,22,3,43.0,129.0,MUC2
70,34,37,4,65.5,262.0,MUC2
71,35,28,4,52.0,208.0,HH1
72,35,31,2,56.5,113.0,HH1
73,36,21,3,41.5,124.5,BER3
74,37,31,3,56.5,169.5,BER3
75,37,25,4,47.5,190.0,BER3
76,37,3,1,14.5,14.5,BER3
77,38,34,4,61.0,244.0,CGN1
78,39,40,1,70.0,70.0,CGN1
79,39,37,2,65.5,131.0,CGN1
80,40,10,2,25.0,50.0,CGN1
81,40,2,1,13.0,13.0,CGN1
82,41,6,4,19.0,76.0,HH1
83,42,24,4,46.0,184.0,CGN1
84,43,9,4,23.5,94.0,HH1
85,44,30,3,55.0,165.0,MUC2
86,44,21,1,41.5,41.5,MUC2
87,44,10,2,25.0,50.0,MUC2
88,45,22,3,43.0,129.0,HH1
89,45,34,2,61.0,122.0,HH1
90,46,15,2,32.5,65.0,BER3
91,46,21,2,41.5,83.0,BER3
92,47,25,1,47.5,47.5,CGN1
93,48,3,3,14.5,43.5,BER3
94,48,4,1,16.0,16.0,BER3
95,48,31,4,56.5,226.0,BER3
96,49,34,2,61.0,122.0,CGN1
97,50,32,4,58.0,232.0,CGN1
98,50,36,3,64.0,192.0,CGN1
99,50,24,1,46.0,46.0,CGN1
100,51,6,1,19.0,19.0,BER3
101,51,14,1,31.0,31.0,BER3
102,51,25,3,47.5,142.5,BER3
103,52,11,1,26.5,26.5,HH1
104,52,30,2,55.0,110.0,HH1
105,53,12,4,28.0,112.0,BER3
106,53,35,1,62.5,62.5,BER3
107,54,29,3,53.5,160.5,CGN1
108,54,9,3,23.5,70.5,CGN1
109,54,15,3,32.5,97.5,CGN1
110,55,22,3,43.0,129.0,BER3
111,56,33,1,59.5,59.5,BER3
112,56,37,2,65.5,131.0,BER3
113,57,11,1,26.5,26.5,CGN1
114,58,29,2,53.5,107.0,MUC2
115,58,6,2,19.0,38.0,MUC2
116,58,16,3,34.0,102.0,MUC2
117,59,34,1,61.0,61.0,BER3
118,59,30,3,55.0,165.0,BER3
119,60,38,2,67.0,134.0,HH1
120,60,17,1,35.5,35.5,HH1
121,60,18,4,37.0,148.0,HH1
122,61,34,3,61.0,183.0,BER3
123,62,22,2,43.0,86.0,HH1
124,63,17,4,35.5,142.0,CGN1
125,63,8,1,22.0,22.0,CGN1
126,64,8,2,22.0,44.0,BER3
127,64,37,3,65.5,196.5,BER3
128,65,4,1,16.0,16.0,HH1
129,65,30,3,55.0,165.0,HH1
130,66,20,4,40.0,160.0,HH1
131,67,1,3,11.5,34.5,BER3
132,68,21,2,41.5,83.0,MUC2
133,68,33,1,59.5,59.5,MUC2
134,69,39,1,68.5,68.5,BER3
135,69,20,2,40.0,80.0,BER3
136,70,29,1,53.5,53.5,HH1
137,70,9,4,23.5,94.0,HH1
138,70,29,3,53.5,160.5,HH1
139,71,2,4,13.0,52.0,BER3
140,71,37,1,65.5,65.5,BER3
141,71,7,1,20.5,20.5,BER3
142,72,33,3,59.5,178.5,MUC2
143,73,26,2,49.0,98.0,BER3
144,73,34,2,61.0,122.0,BER3
145,74,34,1,61.0,61.0,CGN1
146,74,6,3,19.0,57.0,CGN1
147,74,39,2,68.5,137.0,CGN1
148,75,13,3,29.5,88.5,BER3
149,75,4,3,16.0,48.0,BER3
150,75,18,1,37.0,37.0,BER3
151,76,11,1,26.5,26.5,HH1
152,76,38,1,67.0,67.0,HH1
153,77,36,4,64.0,256.0,HH1
154,78,6,4,19.0,76.0,CGN1
155,79,25,1,47.5,47.5,MUC2
156,79,23,3,44.5,133.5,MUC2
157,80,26,3,49.0,147.0,BER3
158,80,20,1,40.0,40.0,BER3
159,80,7,2,20.5,41.0,BER3
160,81,30,1,55.0,55.0,CGN1
161,82,11,3,26.5,79.5,MUC2
162,82,37,1,65.5,65.5,MUC2
163,83,37,4,65.5,262.0,MUC2
164,84,39,1,68.5,68.5,HH1
165,85,13,1,29.5,29.5,BER3
166,85,18,1,37.0,37.0,BER3
167,86,4,3,16.0,48.0,CGN1
168,86,6,3,19.0,57.0,CGN1
169,86,6,4,19.0,76.0,CGN1
170,87,38,3,67.0,201.0,BER3
171,87,22,4,43.0,172.0,BER3
172,88,18,3,37.0,111.0,CGN1
173,88,3,4,14.5,58.0,CGN1
174,88,16,2,34.0,68.0,CGN1
175,89,4,1,16.0,16.0,HH1
176,89,7,3,20.5,61.5,HH1
177,90,24,1,46.0,46.0,HH1
178,90,24,4,46.0,184.0,HH1
179,91,39,4,68.5,274.0,MUC2
180,91,36,4,64.0,256.0,MUC2
181,92,35,4,62.5,250.0,CGN1
182,92,2,1,13.0,13.0,CGN1
183,92,2,3,13.0,39.0,CGN1
184,93,32,3,58.0,174.0,HH1
185,93,8,2,22.0,44.0,HH1
186,94,31,1,56.5,56.5,BER3
187,94,6,4,19.0,76.0,BER3
188,94,38,4,67.0,268.0,BER3
189,95,6,2,19.0,38.0,HH1
190,96,6,3,19.0,57.0,HH1
191,96,10,3,25.0,75.0,HH1
192,97,25,2,47.5,95.0,CGN1
193,97,10,2,25.0,50.0,CGN1
194,97,12,3,28.0,84.0,CGN1
195,98,13,1,29.5,29.5,BER3
