order_id,customer_id,order_date,shipped_date,status,channel,currency,payment_method,warehouse,net_amount
1,24,2025-07-12,2025-07-15,open,phone,EUR,sepa,HH1,67.0
2,36,2025-02-09,2025-02-17,open,phone,EUR,invoice,HH1,425.0
3,41,2025-01-26,2025-01-31,paid,partner,EUR,paypal,CGN1,92.0
4,6,2025-08-31,2025-09-02,shipped,edi,EUR,paypal,BER3,155.5
5,57,2025-10-28,2025-10-30,open,web,EUR,sepa,HH1,11.5
6,16,2026-01-03,2026-01-04,open,phone,EUR,paypal,BER3,212.5
7,25,2025-12-17,2025-12-23,open,phone,EUR,prepay,BER3,440.0
8,23,2025-04-07,2025-04-14,paid,phone,EUR,invoice,HH1,254.0
9,59,2025-09-14,2025-09-16,shipped,partner,EUR,sepa,HH1,13.0
10,29,2025-03-08,2025-03-12,open,edi,EUR,prepay,BER3,61.5
11,54,2025-04-13,2025-04-15,paid,partner,EUR,sepa,BER3,132.5
12,69,2025-03-10,2025-03-18,shipped,partner,EUR,invoice,MUC2,159.0
13,62,2025-12-27,2025-12-28,shipped,phone,EUR,paypal,CGN1,83.0
14,20,2025-05-27,2025-06-03,shipped,store,EUR,prepay,BER3,386.0
15,74,2025-02-06,2025-02-10,shipped,edi,EUR,invoice,MUC2,110.5
16,33,2025-03-28,2025-04-05,paid,partner,EUR,paypal,BER3,204.0
17,18,2025-02-28,2025-03-08,paid,partner,EUR,card,CGN1,211.0
18,31,2025-08-26,2025-08-27,open,partner,EUR,card,MUC2,262.0
19,20,2025-04-20,2025-04-25,paid,store,EUR,prepay,MUC2,134.0
20,24,2025-05-11,2025-05-16,open,phone,EUR,prepay,HH1,358.0
21,67,2025-07-21,2025-07-23,open,store,EUR,paypal,HH1,482.0
22,10,2025-05-28,2025-05-31,paid,web,EUR,invoice,HH1,313.0
23,34,2025-06-19,2025-06-22,open,partner,EUR,card,HH1,192.0
24,42,2025-03-04,2025-03-06,open,edi,EUR,card,BER3,54.0
25,32,2025-01-22,2025-01-27,open,web,EUR,prepay,BER3,22.0
26,65,2025-12-09,2025-12-12,shipped,partner,EUR,paypal,MUC2,285.0
27,74,2025-07-30,2025-08-07,open,edi,EUR,card,BER3,478.0
28,57,2025-01-17,2025-01-19,paid,web,EUR,invoice,MUC2,70.0
29,3,2025-11-19,2025-11-25,paid,web,EUR,paypal,CGN1,391.0
30,12,2025-03-08,2025-03-12,shipped,web,EUR,prepay,HH1,171.0
