product_id,sku,name,brand,category,subcategory,cost,price,in_stock,discontinued
1,C-0001,Product 1,Helix,Furniture,Standard,6.8,11.5,14,false
2,C-0002,Product 2,Contour,Office,Standard,7.6,13.0,78,false
3,C-0003,Product 3,Plain,Food,Standard,8.4,14.5,183,false
4,C-0004,Product 4,Orbit,Electronics,Standard,9.2,16.0,200,false
5,C-0005,Product 5,Nordic,Furniture,Standard,10.0,17.5,41,false
6,C-0006,Product 6,Helix,Office,Standard,10.8,19.0,123,false
7,C-0007,Product 7,Contour,Food,Standard,11.6,20.5,99,false
8,C-0008,Product 8,Plain,Electronics,Standard,12.4,22.0,176,false
9,C-0009,Product 9,Orbit,Furniture,Standard,13.2,23.5,183,false
10,C-0010,Product 10,Nordic,Office,Standard,14.0,25.0,29,false
11,C-0011,Product 11,Helix,Food,Standard,14.8,26.5,121,false
12,C-0012,Product 12,Contour,Electronics,Standard,15.6,28.0,158,false
13,C-0013,Product 13,Plain,Furniture,Standard,16.4,29.5,132,false
14,C-0014,Product 14,Orbit,Office,Standard,17.2,31.0,160,false
15,C-0015,Product 15,Nordic,Food,Standard,18.0,32.5,9,false
16,C-0016,Product 16,Helix,Electronics,Standard,18.8,34.0,136,false
17,C-0017,Product 17,Contour,Furniture,Standard,19.6,35.5,115,false
18,C-0018,Product 18,Plain,Office,Standard,20.4,37.0,152,false
19,C-0019,Product 19,Orbit,Food,Standard,21.2,38.5,100,false
20,C-0020,Product 20,Nordic,Electronics,Standard,22.0,40.0,164,false
21,C-0021,Product 21,Helix,Furniture,Standard,22.8,41.5,145,false
22,C-0022,Product 22,Contour,Office,Standard,23.6,43.0,198,false
23,C-0023,Product 23,Plain,Food,Standard,24.4,44.5,116,false
24,C-0024,Product 24,Orbit,Electronics,Standard,25.2,46.0,105,false
25,C-0025,Product 25,Nordic,Furniture,Standard,26.0,47.5,50,false
26,C-0026,Product 26,Helix,Office,Standard,26.8,49.0,19,false
27,C-0027,Product 27,Contour,Food,Standard,27.6,50.5,32,false
28,C-0028,Product 28,Plain,Electronics,Standard,28.4,52.0,36,false
29,C-0029,Product 29,Orbit,Furniture,Standard,29.2,53.5,101,false
30,C-0030,Product 30,Nordic,Office,Standard,30.0,55.0,44,false
31,C-0031,Product 31,Helix,Food,Standard,30.8,56.5,29,false
32,C-0032,Product 32,Contour,Electronics,Standard,31.6,58.0,46,false
33,C-0033,Product 33,Plain,Furniture,Standard,32.4,59.5,136,false
34,C-0034,Product 34,Orbit,Office,Standard,33.2,61.0,131,false
35,C-0035,Product 35,Nordic,Food,Standard,34.0,62.5,37,false
36,C-0036,Product 36,Helix,Electronics,Standard,34.8,64.0,104,false
37,C-0037,Product 37,Contour,Furniture,Standard,35.6,65.5,157,false
38,C-0038,Product 38,Plain,Office,Standard,36.4,67.0,134,false
39,C-0039,Product 39,Orbit,Food,Standard,37.2,68.5,74,false
40,C-0040,Product 40,Nordic,Electronics,Standard,38.0,70.0,152,false
