item_id,order_id,product_sku,quantity,unit_price,line_discount,line_total,warehouse,line_status,gift_wrap,weight_g
1,1,SKU-0013,2,361.65,2.5,720.8,MUC2,invoiced,false,34292.0
2,1,SKU-0116,2,182.28,2.5,362.05,MUC2,picked,false,30592.0
3,1,SKU-0001,2,190.29,2.5,378.09,MUC2,picked,false,49180.0
4,2,SKU-0047,4,26.48,5.0,100.91,HH1,shipped,false,13444.0
5,2,SKU-0087,3,76.8,2.5,227.91,HH1,open,false,65289.0
6,2,SKU-0070,3,267.92,0,803.76,HH1,shipped,false,81264.0
7,3,SKU-0100,1,185.18,2.5,182.68,BER3,invoiced,false,25673.0
8,3,SKU-0081,1,105.14,0,105.14,BER3,picked,false,2822.0
9,3,SKU-0066,5,251.34,0,1256.71,BER3,picked,false,96720.0
10,4,SKU-0058,4,105.4,0,421.6,MUC2,shipped,false,86584.0
11,4,SKU-0044,5,125.33,0,626.64,MUC2,picked,false,101510.0
12,4,SKU-0116,3,172.88,0,518.63,MUC2,open,false,45888.0
13,5,SKU-0064,3,262.48,0,787.43,HH1,shipped,false,47604.0
14,5,SKU-0044,5,129.43,0,647.15,HH1,picked,false,101510.0
15,5,SKU-0024,5,112.38,0,561.89,HH1,picked,false,65230.0
16,6,SKU-0044,5,128.27,0,641.37,HH1,open,false,101510.0
17,6,SKU-0086,3,294.71,2.5,881.62,HH1,open,false,5985.0
18,6,SKU-0052,2,196.15,0,392.29,HH1,open,false,5206.0
19,7,SKU-0001,2,189.24,0,378.47,BER3,open,false,49180.0
20,7,SKU-0106,2,267.05,2.5,531.6,BER3,shipped,false,15350.0
21,7,SKU-0021,4,386.44,0,1545.76,BER3,shipped,false,48988.0
22,8,SKU-0027,6,277.05,0,1662.3,MUC2,shipped,false,8724.0
23,8,SKU-0022,2,69.36,0,138.72,MUC2,open,false,53142.0
24,8,SKU-0087,5,77.13,5.0,380.63,MUC2,open,false,108815.0
25,9,SKU-0057,3,441.47,0,1324.4,CGN1,shipped,false,42819.0
26,9,SKU-0083,4,236.45,5.0,940.8,CGN1,invoiced,false,90956.0
