order_id,customer_nr,order_date,promised_date,shipped_date,status,channel,priority,currency,payment_method,warehouse,billing_city,shipping_city,net_amount,discount_amount,shipping_cost,packing_cost,sales_rep_id,po_number,notes
1,122,2024-08-06,2024-08-18,2024-08-17,delivered,partner,normal,EUR,prepay,MUC2,Hamburg,Hamburg,1509.75,40,7.9,0,11,PO-2025-00001,
2,93,2025-12-14,2025-12-17,2025-12-14,delivered,phone,normal,CHF,invoice,HH1,Stuttgart,Stuttgart,1868.76,0,0,0,8,,call before delivery
3,277,2025-12-09,2025-12-14,2025-12-13,shipped,edi,normal,USD,card,BER3,Stuttgart,Stuttgart,1606.01,15,12.9,2.9,12,PO-2024-00003,call before delivery
4,3,2025-07-25,2025-08-03,2025-08-02,shipped,partner,normal,EUR,invoice,MUC2,Berlin,Berlin,1269.16,0,7.9,0,4,,leave at gate
5,86,2025-11-17,2025-11-25,2025-11-23,delivered,partner,rush,EUR,invoice,HH1,Stuttgart,München,2794.56,25,7.9,0,7,PO-2026-00005,
6,64,2024-03-13,2024-03-26,2024-03-24,delivered,phone,normal,EUR,card,HH1,Köln,Köln,1871.38,25,12.9,0,8,PO-2024-00006,
7,126,2024-03-16,2024-03-27,2024-03-24,delivered,phone,rush,EUR,card,BER3,Leipzig,Leipzig,1630.69,40,4.9,0,1,,call before delivery
8,70,2024-02-02,2024-02-11,2024-02-08,delivered,phone,high,EUR,sepa,MUC2,Berlin,Berlin,1527.15,0,0,2.9,6,,
9,322,2026-05-25,2026-06-03,2026-06-01,shipped,web,rush,EUR,card,CGN1,Berlin,Berlin,2815.89,80,4.9,2.9,3,PO-2024-00009,
10,3,2025-03-03,2025-03-13,,cancelled,store,rush,EUR,paypal,BER3,Berlin,Berlin,1348.71,80,0,2.9,4,,
11,239,2024-08-11,2024-08-23,2024-08-21,shipped,phone,rush,USD,prepay,HH1,Hamburg,Berlin,3032.93,0,0,2.9,3,,leave at gate
12,218,2025-10-03,2025-10-13,2025-10-13,delivered,partner,rush,EUR,prepay,MUC2,Stuttgart,Stuttgart,1961.75,0,12.9,1.5,2,,call before delivery
13,31,2025-06-11,2025-06-18,,cancelled,store,normal,EUR,sepa,MUC2,München,München,2338.22,0,0,2.9,3,,
14,196,2024-09-01,2024-09-08,2024-09-06,delivered,edi,rush,EUR,invoice,HH1,Stuttgart,Stuttgart,1785.59,0,4.9,1.5,10,PO-2026-00014,
15,308,2025-11-25,2025-11-30,2025-11-27,delivered,web,normal,CHF,card,CGN1,Berlin,Hamburg,1045.48,80,7.9,0,2,PO-2024-00015,call before delivery
16,80,2025-05-23,2025-06-04,2025-06-03,shipped,store,high,CHF,paypal,HH1,Frankfurt,Frankfurt,3639.75,0,7.9,2.9,8,PO-2025-00016,
17,302,2025-10-22,2025-10-31,2025-10-29,delivered,edi,normal,EUR,card,CGN1,Berlin,Berlin,1582.27,25,12.9,2.9,6,PO-2026-00017,call before delivery
18,26,2024-05-31,2024-06-04,2024-06-03,delivered,phone,normal,EUR,invoice,HH1,München,Stuttgart,995.15,0,4.9,1.5,3,PO-2024-00018,call before delivery
19,118,2025-07-29,2025-08-07,2025-08-06,delivered,edi,high,EUR,invoice,BER3,Hamburg,Frankfurt,1284.95,25,4.9,1.5,10,PO-2025-00019,leave at gate
20,84,2024-01-05,2024-01-11,,cancelled,edi,normal,USD,paypal,CGN1,Stuttgart,Stuttgart,1812.56,25,7.9,2.9,3,,
21,321,2024-04-29,2024-05-02,2024-04-30,delivered,web,normal,USD,prepay,MUC2,Frankfurt,Frankfurt,2695.69,0,12.9,1.5,3,,
22,296,2024-08-16,2024-08-23,2024-08-23,delivered,partner,rush,EUR,paypal,CGN1,Stuttgart,Stuttgart,1053.13,40,4.9,2.9,12,PO-2025-00022,call before delivery
23,260,2026-06-14,2026-06-20,2026-06-19,delivered,store,rush,EUR,prepay,HH1,München,München,2990.96,80,12.9,2.9,12,PO-2026-00023,call before delivery
24,,2025-01-22,2025-02-01,2025-01-29,delivered,edi,normal,EUR,card,BER3,München,München,2565.2,15,12.9,0,9,PO-2024-00024,call before delivery
25,177,2025-05-20,2025-05-26,2025-05-24,delivered,store,normal,EUR,paypal,MUC2,Frankfurt,Frankfurt,3241.17,0,0,0,11,,
26,159,2024-09-09,2024-09-15,,cancelled,store,normal,EUR,prepay,HH1,Leipzig,Leipzig,1393.03,25,12.9,2.9,12,PO-2026-00026,
27,270,2026-06-18,2026-06-26,2026-06-24,delivered,web,high,EUR,prepay,HH1,Köln,Köln,1087.8,0,7.9,1.5,3,,
28,92,2025-07-10,2025-07-13,2025-07-11,delivered,phone,normal,EUR,prepay,CGN1,Berlin,Berlin,1734.03,15,7.9,1.5,3,PO-2025-00028,call before delivery
29,88,2024-04-14,2024-04-23,2024-04-23,shipped,web,normal,EUR,paypal,CGN1,Hamburg,Hamburg,1892.63,0,0,2.9,12,PO-2026-00029,leave at gate
30,350,2025-06-19,2025-06-24,2025-06-23,delivered,phone,normal,EUR,card,MUC2,Frankfurt,Frankfurt,2004.44,15,0,0,1,PO-2024-00030,
31,258,2025-01-22,2025-01-25,2025-01-23,delivered,web,normal,EUR,invoice,HH1,Köln,Köln,1592.16,0,0,2.9,7,,
32,999999,2024-07-08,2024-07-15,2024-07-14,delivered,edi,normal,USD,prepay,HH1,Frankfurt,Frankfurt,2232.73,0,7.9,1.5,6,,
33,107,2024-10-15,2024-10-25,2024-10-22,shipped,partner,normal,CHF,invoice,MUC2,Leipzig,Leipzig,4470.17,0,0,0,5,,leave at gate
34,130,2025-02-21,2025-03-03,2025-03-02,shipped,store,high,EUR,prepay,HH1,Hamburg,Hamburg,1541.61,0,12.9,0,8,PO-2025-00034,leave at gate
35,183,2025-12-04,2025-12-09,,cancelled,web,rush,EUR,card,HH1,München,Berlin,3016.65,40,7.9,2.9,5,,leave at gate
36,46,2024-05-02,2024-05-09,2024-05-08,shipped,partner,normal,USD,paypal,HH1,Berlin,Berlin,1630.23,0,4.9,0,6,PO-2024-00036,leave at gate
37,339,2025-08-30,2025-09-11,2025-09-08,shipped,store,high,EUR,paypal,HH1,Frankfurt,Frankfurt,1348.74,40,7.9,2.9,5,PO-2025-00037,
38,73,2024-01-31,2024-02-04,2024-02-01,shipped,edi,high,EUR,sepa,HH1,Stuttgart,Stuttgart,1767.12,0,12.9,0,4,,leave at gate
39,116,2024-10-27,2024-11-10,2024-11-10,delivered,store,normal,CHF,paypal,CGN1,Stuttgart,Berlin,1908.25,15,7.9,0,2,PO-2024-00039,
40,177,2026-06-24,2026-07-03,2026-07-03,delivered,edi,rush,USD,prepay,BER3,Frankfurt,Frankfurt,2469.82,0,7.9,2.9,11,,
41,288,2025-08-28,2025-08-30,,cancelled,web,normal,EUR,sepa,CGN1,Stuttgart,Stuttgart,2884.98,25,7.9,1.5,7,,call before delivery
42,250,2024-12-19,2024-12-24,,cancelled,partner,normal,EUR,sepa,HH1,Berlin,Berlin,3472.28,0,4.9,0,5,PO-2024-00042,call before delivery
43,345,2024-08-04,2024-08-15,2024-08-15,delivered,partner,rush,USD,paypal,CGN1,Leipzig,Leipzig,709.94,15,0,2.9,8,,
44,118,2024-12-10,2024-12-17,2024-12-14,delivered,phone,rush,EUR,prepay,MUC2,Hamburg,Hamburg,5495.74,25,4.9,1.5,10,PO-2026-00044,leave at gate
45,50,2026-01-04,2026-01-15,2026-01-12,delivered,store,normal,EUR,invoice,CGN1,München,München,1147.15,25,7.9,0,5,PO-2024-00045,call before delivery
46,236,2024-09-14,2024-09-25,2024-09-22,delivered,phone,rush,EUR,prepay,BER3,Frankfurt,Leipzig,3261.59,0,0,0,2,,
47,80,2024-09-03,2024-09-10,2024-09-10,shipped,phone,rush,EUR,sepa,MUC2,Frankfurt,Frankfurt,1644.23,15,12.9,2.9,8,,leave at gate
48,81,2024-07-15,2024-07-25,,open,store,rush,EUR,card,MUC2,Köln,Köln,2424.51,15,12.9,2.9,9,PO-2024-00048,call before delivery
49,98,2025-10-21,2025-10-24,2025-10-22,delivered,edi,high,EUR,paypal,CGN1,Leipzig,Leipzig,1930.85,80,0,0,12,,leave at gate
50,76,2024-08-29,2024-09-01,2024-08-31,shipped,edi,normal,EUR,sepa,BER3,Köln,Köln,21090.45,0,7.9,2.9,10,,leave at gate
51,58,2024-06-28,2024-07-07,2024-07-05,shipped,web,high,USD,paypal,BER3,Frankfurt,Frankfurt,1485.37,40,7.9,0,1,,
52,217,2026-04-21,2026-04-27,2026-04-24,delivered,partner,high,EUR,prepay,MUC2,München,Berlin,1398.63,0,0,0,1,PO-2025-00052,leave at gate
53,146,2024-11-04,2024-11-08,2024-11-05,shipped,partner,rush,EUR,sepa,HH1,Hamburg,Hamburg,4065.91,0,7.9,0,12,,leave at gate
54,194,2026-01-04,2026-01-14,2026-01-14,delivered,partner,rush,USD,prepay,CGN1,Berlin,Berlin,995.85,0,4.9,1.5,12,PO-2024-00054,
55,102,2025-10-07,2025-10-19,2025-10-17,delivered,partner,normal,EUR,card,MUC2,Berlin,Berlin,2011.67,0,12.9,0,9,,
56,241,2026-03-22,2026-04-03,2026-04-01,delivered,partner,normal,EUR,paypal,CGN1,Berlin,Berlin,2194.05,0,7.9,0,7,,
57,29,2024-10-12,2024-10-18,2024-10-17,delivered,web,rush,USD,paypal,CGN1,Stuttgart,Stuttgart,1797.13,0,12.9,0,3,,
58,65,2024-01-15,2024-01-20,2024-01-19,delivered,phone,high,EUR,paypal,BER3,München,München,922.87,80,12.9,0,12,,
59,166,2026-01-14,2026-01-20,2026-01-18,delivered,phone,rush,EUR,sepa,BER3,Frankfurt,Frankfurt,3543.05,40,4.9,0,9,PO-2026-00059,call before delivery
60,234,2025-12-04,2025-12-07,2025-12-07,shipped,web,high,EUR,paypal,CGN1,Berlin,Leipzig,693.86,40,7.9,0,1,,
61,265,2024-11-13,2024-11-24,2024-11-23,delivered,partner,normal,USD,paypal,CGN1,Berlin,München,1586.37,25,4.9,0,7,PO-2025-00061,leave at gate
62,64,2024-11-16,2024-11-22,,open,partner,high,USD,sepa,BER3,Köln,Köln,689.75,15,7.9,2.9,8,,leave at gate
63,82,2025-07-23,2025-07-27,2025-07-27,delivered,phone,normal,EUR,paypal,CGN1,Berlin,Berlin,1422.37,80,0,0,5,PO-2024-00063,
64,288,2024-02-11,2024-02-14,2024-02-13,delivered,web,high,EUR,card,CGN1,Stuttgart,Stuttgart,1416.84,80,12.9,2.9,7,PO-2025-00064,call before delivery
65,341,2024-08-05,2024-08-10,2024-08-07,delivered,web,high,EUR,sepa,HH1,München,München,1521.12,0,12.9,0,9,,
66,83,2024-01-30,2024-02-10,2024-02-10,shipped,partner,normal,USD,paypal,CGN1,München,Leipzig,3743.12,80,12.9,1.5,11,,
67,26,2026-03-31,2026-04-03,2026-03-31,delivered,partner,normal,EUR,paypal,HH1,München,München,1221.63,0,0,2.9,3,PO-2025-00067,leave at gate
68,167,2025-10-24,2025-11-07,2025-11-04,delivered,partner,normal,EUR,invoice,CGN1,Leipzig,Leipzig,3611.32,0,7.9,2.9,11,PO-2026-00068,leave at gate
69,328,2025-09-06,2025-09-18,2025-09-15,delivered,web,normal,USD,sepa,BER3,Stuttgart,Stuttgart,2449.03,25,4.9,2.9,5,,
70,305,2025-10-06,2025-10-20,2025-10-17,delivered,partner,normal,EUR,sepa,MUC2,Frankfurt,Frankfurt,1027.14,80,12.9,0,12,PO-2025-00070,
71,25,2025-06-09,2025-06-16,2025-06-14,shipped,edi,normal,USD,invoice,HH1,Berlin,Berlin,1720.5,0,12.9,1.5,12,PO-2026-00071,
72,25,2024-03-26,2024-04-06,2024-04-04,delivered,partner,normal,EUR,card,HH1,Berlin,Berlin,345.74,25,12.9,2.9,12,,
73,,2024-01-06,2024-01-18,2024-01-15,delivered,partner,high,CHF,sepa,HH1,Berlin,Berlin,3423.57,80,12.9,2.9,6,PO-2025-00073,
74,105,2026-05-29,2026-06-10,,open,edi,normal,EUR,sepa,BER3,Berlin,Berlin,1131.59,0,4.9,2.9,11,PO-2026-00074,
75,83,2026-01-26,2026-02-06,2026-02-05,delivered,phone,high,USD,paypal,HH1,München,München,3473.23,80,0,2.9,11,PO-2024-00075,leave at gate
76,288,2026-01-24,2026-02-01,2026-01-29,delivered,edi,rush,EUR,invoice,HH1,Stuttgart,Stuttgart,796.08,15,0,2.9,7,PO-2025-00076,
77,244,2026-06-29,2026-07-01,2026-06-30,delivered,partner,normal,CHF,sepa,BER3,Stuttgart,Stuttgart,2777.87,25,12.9,2.9,6,PO-2026-00077,call before delivery
78,273,2024-05-14,2024-05-28,2024-05-25,delivered,phone,normal,EUR,invoice,BER3,München,München,1063.41,40,12.9,1.5,12,PO-2024-00078,leave at gate
79,243,2025-05-20,2025-05-26,2025-05-24,delivered,phone,normal,USD,invoice,HH1,Stuttgart,Stuttgart,471.07,0,0,1.5,7,PO-2025-00079,
80,128,2025-05-13,2025-05-17,2025-05-17,shipped,web,rush,CHF,invoice,HH1,Köln,Köln,2340.75,25,0,1.5,7,,
81,22,2025-06-03,2025-06-16,2025-06-14,shipped,store,rush,EUR,card,CGN1,Köln,Köln,1636.48,0,7.9,0,4,PO-2024-00081,
82,243,2026-02-26,2026-03-08,2026-03-07,delivered,web,high,EUR,paypal,CGN1,Stuttgart,Stuttgart,1524.57,80,7.9,1.5,7,PO-2025-00082,leave at gate
83,75,2026-04-01,2026-04-10,2026-04-09,delivered,web,normal,EUR,sepa,CGN1,Köln,Köln,1477.18,80,7.9,0,4,,leave at gate
