sku,ean,product_name,brand,category,subcategory,color,supplier_id,origin_country,unit_cost,list_price,vat_rate,weight_kg,stock_qty,reorder_level,warranty_months,discontinued
SKU-0001,4000000000001,Electronics Item 1,Plain,Electronics,Phones,black,12,PL,145.35,204.31,0.19,24.59,80,10,36,false
SKU-0002,4000000000002,Electronics Item 2,Orbit,Electronics,Phones,white,16,CN,234.8,333.95,0.19,27.004,552,25,24,false
SKU-0003,4000000000003,Electronics Item 3,Contour,Electronics,Laptops,oak,15,DE,162.52,229.34,0.07,9.499,602,25,12,true
SKU-0004,4000000000004,Electronics Item 4,Nordic,Electronics,Phones,black,2,PL,171.05,221.69,0.19,7.833,497,25,12,false
SKU-0005,4000000000005,Electronics Item 5,Orbit,Electronics,Laptops,white,16,IT,212.24,291.57,0.07,18.469,362,100,36,false
SKU-0006,4000000000006,Electronics Item 6,Nordic,Electronics,Phones,blue,11,DE,176.06,248.53,0.19,15.039,143,100,12,false
SKU-0007,4000000000007,Electronics Item 7,Nordic,Electronics,Laptops,oak,4,DE,62.95,105.37,0.07,27.133,771,25,12,false
SKU-0008,4000000000008,Electronics Item 8,Plain,Electronics,Phones,white,13,DE,117.6,222.32,0.19,25.946,465,50,36,false
SKU-0009,4000000000009,Electronics Item 9,Orbit,Electronics,Accessories,blue,5,CN,176.4,254.52,0.07,16.238,555,10,24,true
SKU-0010,4000000000010,Electronics Item 10,Orbit,Electronics,Accessories,white,2,DE,141.87,255.84,0.07,16.681,691,25,36,false
SKU-0011,4000000000011,Electronics Item 11,Helix,Electronics,Accessories,oak,2,DE,214.11,325.98,0.19,26.175,209,50,12,false
SKU-0012,4000000000012,Electronics Item 12,Contour,Electronics,Laptops,grey,3,DE,34.89,54.01,0.07,2.098,218,50,12,false
SKU-0013,4000000000013,Electronics Item 13,Helix,Electronics,Laptops,grey,6,IT,211.88,379.68,0.19,17.146,669,10,24,false
SKU-0014,4000000000014,Electronics Item 14,Helix,Electronics,Laptops,black,4,CN,28.45,40.6,0.19,20.107,208,50,36,false
SKU-0015,4000000000015,Electronics Item 15,Nordic,Electronics,Phones,blue,9,DE,218.33,273.42,0.19,17.857,268,25,36,false
SKU-0016,4000000000016,Electronics Item 16,Nordic,Electronics,Phones,black,5,DE,104.93,188.09,0.19,12.063,42,50,24,false
SKU-0017,4000000000017,Electronics Item 17,Nordic,Electronics,Laptops,white,8,DE,191.88,283.96,0.19,27.269,767,25,12,false
SKU-0018,4000000000018,Electronics Item 18,Helix,Electronics,Laptops,black,6,PL,234.38,412.17,0.19,22.472,752,25,24,false
SKU-0019,4000000000019,Electronics Item 19,Plain,Electronics,Phones,blue,8,CN,169.5,301.84,0.19,9.823,233,25,0,false
SKU-0020,4000000000020,Electronics Item 20,Contour,Electronics,Phones,grey,12,IT,98.04,165.85,0.19,26.302,118,50,12,false
SKU-0021,4000000000021,Electronics Item 21,Nordic,Electronics,Phones,oak,14,PL,236.12,406.97,0.19,12.247,523,10,36,false
SKU-0022,4000000000022,Electronics Item 22,Nordic,Electronics,Accessories,blue,1,CN,48.86,72.64,0.07,26.571,338,50,0,false
SKU-0023,4000000000023,Electronics Item 23,Contour,Electronics,Accessories,blue,11,IT,74.88,127.53,0.19,5.412,680,100,12,false
SKU-0024,4000000000024,Electronics Item 24,Orbit,Electronics,Phones,grey,10,CN,75.02,114.74,0.19,13.046,452,25,36,false
SKU-0025,4000000000025,Electronics Item 25,Helix,Electronics,Accessories,black,10,PL,230.52,302.14,0.19,18.855,230,25,12,true
SKU-0026,4000000000026,Electronics Item 26,Plain,Electronics,Accessories,black,15,IT,61.78,112.81,0.19,20.128,393,100,36,false
SKU-0027,4000000000027,Electronics Item 27,Nordic,Electronics,Phones,blue,8,CN,158.83,281.55,0.19,1.454,255,10,36,false
SKU-0028,4000000000028,Electronics Item 28,Orbit,Electronics,Accessories,oak,11,IT,113.66,187.34,0.19,23.264,561,100,12,false
SKU-0029,4000000000029,Electronics Item 29,Contour,Electronics,Phones,grey,17,IT,116.02,192.29,0.19,12.344,730,50,12,false
SKU-0030,4000000000030,Electronics Item 30,Orbit,Electronics,Phones,white,5,CN,79.45,119.09,0.19,19.794,65,100,36,false
SKU-0031,4000000000031,Furniture Item 31,Nordic,Furniture,Desks,blue,13,DE,113.96,205.91,0.19,13.382,360,50,36,false
SKU-0032,4000000000032,Furniture Item 32,Plain,Furniture,Storage,oak,20,CN,229.01,358.94,0.19,12.232,29,100,24,false
SKU-0033,4000000000033,Furniture Item 33,Helix,Furniture,Chairs,white,20,DE,192.36,353.85,0.07,2.396,438,25,36,false
SKU-0034,4000000000034,Furniture Item 34,Contour,Furniture,Desks,blue,11,PL,65.4,114.11,0.19,7.827,431,50,0,false
SKU-0035,4000000000035,Furniture Item 35,Nordic,Furniture,Chairs,white,3,DE,180.77,314.59,0.19,5.622,20,25,12,false
SKU-0036,4000000000036,Furniture Item 36,Orbit,Furniture,Desks,blue,9,PL,161.99,220.15,0.07,21.789,167,50,0,false
SKU-0037,4000000000037,Furniture Item 37,Orbit,Furniture,Storage,blue,13,CN,223.22,290.05,0.19,2.898,791,50,0,false
SKU-0038,4000000000038,Furniture Item 38,Nordic,Furniture,Chairs,oak,14,PL,137.56,178.12,0.19,0.404,430,100,0,false
SKU-0039,4000000000039,Furniture Item 39,Plain,Furniture,Storage,white,14,CN,89.48,154.53,0.19,17.265,551,100,36,false
SKU-0040,4000000000040,Furniture Item 40,Contour,Furniture,Chairs,white,3,PL,176.52,321.81,0.19,21.026,583,100,24,true
SKU-0041,4000000000041,Furniture Item 41,Helix,Furniture,Chairs,white,12,PL,204.82,301.34,0.19,15.584,529,25,0,false
SKU-0042,4000000000042,Furniture Item 42,Orbit,Furniture,Desks,blue,16,IT,99.92,176.4,0.07,8.274,414,25,24,false
SKU-0043,4000000000043,Furniture Item 43,Orbit,Furniture,Storage,grey,14,PL,91.09,134.69,0.19,7.622,257,25,0,false
SKU-0044,4000000000044,Furniture Item 44,Orbit,Furniture,Storage,white,7,CN,78.47,135.76,0.19,20.302,778,50,0,false
SKU-0045,4000000000045,Furniture Item 45,Contour,Furniture,Desks,grey,1,CN,73.91,105.57,0.07,15.516,714,25,36,false
SKU-0046,4000000000046,Furniture Item 46,Contour,Furniture,Chairs,blue,15,PL,6.89,9.44,0.07,7.107,489,10,0,false
SKU-0047,4000000000047,Furniture Item 47,Nordic,Furniture,Desks,white,19,PL,21.48,28.04,0.19,3.361,782,100,12,false
SKU-0048,4000000000048,Furniture Item 48,Plain,Furniture,Chairs,oak,14,PL,93.77,151.87,0.07,17.089,757,10,12,false
SKU-0049,4000000000049,Furniture Item 49,Nordic,Furniture,Desks,white,6,DE,66.46,89.84,0.19,12.642,608,100,24,true
SKU-0050,4000000000050,Furniture Item 50,Contour,Furniture,Storage,blue,3,CN,71.99,133.22,0.19,11.933,557,25,12,false
SKU-0051,4000000000051,Furniture Item 51,Nordic,Furniture,Desks,white,10,PL,199.08,305.68,0.19,19.299,716,100,24,false
SKU-0052,4000000000052,Furniture Item 52,Nordic,Furniture,Storage,black,14,PL,120.54,197.98,0.07,2.603,690,10,24,false
SKU-0053,4000000000053,Furniture Item 53,Helix,Furniture,Chairs,oak,15,PL,184.09,251.83,0.19,17.792,503,10,36,false
SKU-0054,4000000000054,Furniture Item 54,Nordic,Furniture,Desks,grey,14,IT,82.66,118.81,0.19,22.789,563,10,36,false
SKU-0055,4000000000055,Furniture Item 55,Nordic,Furniture,Chairs,oak,1,IT,63.57,96.54,0.19,14.54,637,100,36,false
SKU-0056,4000000000056,Furniture Item 56,Orbit,Furniture,Desks,grey,15,IT,52.04,69.16,0.19,19.888,318,10,36,false
SKU-0057,4000000000057,Furniture Item 57,Nordic,Furniture,Chairs,black,5,IT,238.17,442.1,0.19,14.273,279,100,36,false
SKU-0058,4000000000058,Furniture Item 58,Orbit,Furniture,Desks,blue,7,CN,61.52,111.45,0.19,21.646,424,50,24,false
SKU-0059,4000000000059,Furniture Item 59,Contour,Furniture,Storage,oak,16,CN,70.75,108.97,0.19,9.696,565,100,36,false
SKU-0060,4000000000060,Furniture Item 60,Helix,Furniture,Storage,blue,8,IT,209.23,267.47,0.19,19.761,390,100,12,false
SKU-0061,4000000000061,Office Item 61,Orbit,Office,Stationery,grey,4,IT,12.74,16.75,0.19,0.479,147,100,12,true
SKU-0062,4000000000062,Office Item 62,Contour,Office,Toner,oak,13,DE,188.44,339.88,0.19,26.718,641,100,0,false
SKU-0063,4000000000063,Office Item 63,Contour,Office,Paper,black,14,DE,59.41,103.63,0.07,12.451,710,50,0,true
SKU-0064,4000000000064,Office Item 64,Contour,Office,Toner,grey,14,CN,191.89,270.32,0.19,15.868,184,25,12,true
SKU-0065,4000000000065,Office Item 65,Orbit,Office,Stationery,white,16,CN,209.52,293.52,0.19,12.895,682,10,36,false
SKU-0066,4000000000066,Office Item 66,Helix,Office,Paper,blue,12,PL,163.92,272.98,0.19,19.344,467,50,12,false
SKU-0067,4000000000067,Office Item 67,Nordic,Office,Paper,blue,19,PL,205.39,333.48,0.19,0.663,674,100,24,true
SKU-0068,4000000000068,Office Item 68,Nordic,Office,Stationery,blue,10,CN,208.16,342.34,0.19,6.171,194,50,12,false
SKU-0069,4000000000069,Office Item 69,Nordic,Office,Toner,blue,2,PL,217.2,374.89,0.07,25.474,334,100,12,false
SKU-0070,4000000000070,Office Item 70,Contour,Office,Stationery,oak,9,CN,189.62,268.7,0.19,27.088,302,50,0,false
SKU-0071,4000000000071,Office Item 71,Helix,Office,Stationery,blue,18,PL,21.77,28.49,0.19,0.439,549,10,36,false
SKU-0072,4000000000072,Office Item 72,Contour,Office,Stationery,blue,12,DE,180.77,305.26,0.19,0.749,574,50,12,false
SKU-0073,4000000000073,Office Item 73,Plain,Office,Stationery,grey,14,DE,153.96,206.44,0.07,8.557,504,10,0,false
SKU-0074,4000000000074,Office Item 74,Plain,Office,Toner,grey,18,IT,130.86,213.53,0.19,24.797,670,10,36,false
SKU-0075,4000000000075,Office Item 75,Contour,Office,Paper,grey,7,IT,225.62,347.24,0.19,23.96,101,50,24,true
SKU-0076,4000000000076,Office Item 76,Nordic,Office,Toner,black,7,DE,69.11,88.66,0.19,6.858,128,25,0,false
SKU-0077,4000000000077,Office Item 77,Orbit,Office,Paper,white,11,CN,134.79,237.58,0.07,7.8,148,25,24,false
SKU-0078,4000000000078,Office Item 78,Nordic,Office,Paper,black,12,CN,29.94,48.88,0.07,4.92,53,25,36,false
