return_id,order_item_id,return_date,quantity,reason,condition,warehouse,carrier,tracking_nr,restocked,refund_amount,restock_fee,net_refund
1,656,2024-12-08,2,damaged,unopened,MUC2,self,RR0000000001,true,708.93,5.0,703.93
2,4101,2024-07-05,2,changed_mind,used,BER3,ups,RR0000000002,true,665.32,0,665.32
3,4198,2025-07-12,1,late,damaged,CGN1,dhl,RR0000000003,false,239.14,0,239.14
4,235,2024-09-11,1,wrong_item,unopened,MUC2,dpd,RR0000000004,true,95.35,0,95.35
5,1712,2024-11-21,1,changed_mind,unopened,CGN1,ups,,false,299.11,0,299.11
6,383,2026-02-12,1,wrong_item,unopened,MUC2,ups,RR0000000006,false,81.02,0,81.02
7,346,2024-07-11,2,damaged,used,HH1,dpd,RR0000000007,true,573.77,2.5,571.27
8,2999,2024-06-02,1,wrong_item,damaged,CGN1,ups,,false,263.38,0,263.38
9,552,2026-04-01,1,damaged,unopened,CGN1,ups,RR0000000009,true,111.85,0,111.85
10,2742,2025-03-24,1,wrong_item,unopened,CGN1,self,RR0000000010,false,92.39,0,92.39
11,2337,2026-04-14,2,late,used,CGN1,self,RR0000000011,false,369.52,5.0,364.52
12,1754,2025-05-26,1,late,used,MUC2,dhl,RR0000000012,true,101.14,5.0,96.14
13,2014,2026-01-27,2,changed_mind,used,BER3,dpd,RR0000000013,true,124.43,5.0,119.43
14,1667,2026-01-19,1,changed_mind,unopened,CGN1,ups,RR0000000014,true,230.42,0,230.42
15,967,2024-10-02,1,changed_mind,damaged,HH1,dpd,,true,344.58,0,344.58
16,3449,2025-12-24,2,late,unopened,MUC2,self,,true,371.14,0,371.14
17,880,2026-01-24,2,damaged,damaged,BER3,ups,RR0000000017,true,134.66,2.5,132.16
18,816,2026-04-04,2,changed_mind,used,MUC2,dhl,RR0000000018,false,156.91,0,156.91
19,3979,2025-09-23,1,late,damaged,HH1,self,,true,96.6,0,96.6
20,4173,2025-06-10,2,damaged,unopened,HH1,self,RR0000000020,true,183.26,0,183.26
21,3958,2024-08-08,2,changed_mind,used,CGN1,self,,true,431.42,0,431.42
22,1776,2024-10-30,1,changed_mind,damaged,BER3,dhl,RR0000000022,true,302.7,5.0,297.7
23,4669,2024-08-26,2,late,used,HH1,ups,,true,525.08,2.5,522.58
24,1221,2025-03-26,2,changed_mind,used,MUC2,self,,false,200.83,0,200.83
25,4590,2025-12-23,1,late,used,HH1,dpd,,true,161.48,0,161.48
26,3041,2025-10-12,1,late,used,CGN1,ups,,false,86.54,0,86.54
27,4322,2025-05-24,1,changed_mind,unopened,CGN1,self,RR0000000027,false,254.19,0,254.19
28,2908,2024-12-06,2,wrong_item,unopened,CGN1,dpd,RR0000000028,false,629.95,5.0,624.95
29,1805,2025-03-15,2,wrong_item,used,CGN1,self,RR0000000029,false,733.46,2.5,730.96
30,4139,2025-12-06,2,wrong_item,damaged,CGN1,dhl,RR0000000030,true,535.95,5.0,530.95
31,2997,2024-10-26,2,late,damaged,HH1,self,,false,500.09,5.0,495.09
32,2758,2024-10-23,1,changed_mind,used,BER3,self,,false,266.49,5.0,261.49
33,436,2025-09-10,1,changed_mind,used,HH1,self,RR0000000033,true,108.12,5.0,103.12
34,195,2024-09-23,1,wrong_item,damaged,HH1,ups,RR0000000034,false,135.57,0,135.57
35,2281,2024-08-19,2,changed_mind,unopened,CGN1,dpd,,true,710.28,0,710.28
36,220,2025-09-23,1,wrong_item,unopened,CGN1,self,RR0000000036,true,248.45,0,248.45
37,2487,2025-05-27,1,changed_mind,damaged,BER3,dhl,RR0000000037,true,23.84,0,23.84
38,4600,2024-07-30,1,damaged,used,BER3,ups,RR0000000038,true,232.22,0,232.22
39,1643,2025-05-16,2,changed_mind,used,MUC2,ups,RR0000000039,false,509.42,2.5,506.92
40,4362,2025-06-15,1,changed_mind,damaged,HH1,dhl,,false,246.18,5.0,241.18
41,4690,2025-03-14,1,changed_mind,damaged,CGN1,dhl,RR0000000041,false,241.21,0,241.21
42,4263,2025-06-17,2,damaged,unopened,HH1,ups,,true,532.33,0,532.33
43,4154,2025-03-11,1,damaged,used,CGN1,dhl,,true,24.91,0,24.91
44,3628,2025-01-22,1,wrong_item,damaged,CGN1,dhl,RR0000000044,true,226.72,0,226.72
45,3813,2025-11-15,1,changed_mind,used,BER3,self,RR0000000045,true,262.46,0,262.46
46,367,2024-12-10,1,changed_mind,damaged,MUC2,self,RR0000000046,false,89.17,0,89.17
47,4483,2025-10-23,2,late,used,MUC2,dhl,RR0000000047,false,507.8,0,507.8
48,732,2025-05-27,2,damaged,damaged,BER3,ups,,true,34.24,5.0,29.24
49,3745,2024-12-10,2,damaged,unopened,MUC2,dpd,RR0000000049,true,519.43,2.5,516.93
50,4447,2026-03-31,2,late,unopened,BER3,self,RR0000000050,true,462.19,0,462.19
51,4044,2024-09-28,1,damaged,damaged,CGN1,ups,RR0000000051,true,102.7,2.5,100.2
52,1871,2025-02-19,1,wrong_item,damaged,HH1,self,RR0000000052,true,232.69,5.0,227.69
53,647,2025-04-24,1,changed_mind,unopened,BER3,self,,false,265.9,5.0,260.9
54,698,2024-07-07,1,late,used,MUC2,self,RR0000000054,false,176.18,2.5,173.68
55,2206,2025-05-09,1,damaged,used,HH1,self,,false,204.22,5.0,199.22
56,2346,2025-05-02,1,damaged,damaged,CGN1,self,RR0000000056,true,16.47,0,16.47
57,3881,2025-06-08,2,wrong_item,used,MUC2,dpd,RR0000000057,false,91.73,5.0,86.73
58,700,2025-06-15,1,damaged,used,CGN1,dpd,RR0000000058,true,98.6,2.5,96.1
59,2686,2025-03-10,2,damaged,unopened,MUC2,dpd,RR0000000059,false,442.42,0,442.42
60,3549,2025-11-23,2,late,damaged,HH1,dpd,,true,451.82,5.0,446.82
61,1264,2025-11-09,1,changed_mind,used,MUC2,ups,RR0000000061,false,275.54,2.5,273.04
62,4155,2026-02-01,1,late,damaged,CGN1,dhl,RR0000000062,false,341.85,2.5,339.35
63,263,2024-07-24,1,damaged,damaged,HH1,self,RR0000000063,true,113.57,2.5,111.07
64,784,2024-07-06,1,damaged,unopened,HH1,self,RR0000000064,false,69.65,0,69.65
65,1200,2025-05-23,1,late,damaged,BER3,dpd,RR0000000065,true,303.69,0,303.69
66,4783,2026-01-17,1,changed_mind,unopened,BER3,dhl,,true,314.69,0,314.69
67,1423,2025-05-03,1,changed_mind,unopened,MUC2,dhl,RR0000000067,true,315.1,0,315.1
68,4737,2024-11-18,2,late,used,BER3,dhl,RR0000000068,true,346.14,2.5,343.64
69,2984,2025-09-09,2,wrong_item,damaged,CGN1,dhl,,false,450.7,2.5,448.2
70,992,2025-12-16,1,changed_mind,damaged,CGN1,dpd,RR0000000070,true,119.19,0,119.19
71,3922,2026-02-22,1,late,unopened,HH1,dpd,RR0000000071,true,174.86,0,174.86
72,3647,2025-01-05,1,late,used,HH1,dpd,RR0000000072,true,81.54,5.0,76.54
