invoice_id,order_id,invoice_date,due_date,net_amount,tax_amount,gross_amount,paid_amount,remaining_amount,status
1,1,2025-06-25,2025-07-25,4500.8,855.15,5355.95,5355.95,0.0,paid
2,2,2025-06-22,2025-07-22,3523.5,669.47,4192.97,4192.97,0.0,paid
3,3,2025-12-23,2026-01-22,3248.0,617.12,3865.12,3865.12,0.0,paid
4,4,2025-01-22,2025-02-21,4103.79,779.72,4883.51,4883.51,0.0,paid
5,5,2025-01-28,2025-02-27,4214.28,800.71,5014.99,0.0,5014.99,open
6,6,2026-01-02,2026-02-01,12733.61,2419.39,15153.0,15153.0,0.0,paid
7,7,2025-10-24,2025-11-23,4176.0,793.44,4969.44,4969.44,0.0,paid
8,8,2025-10-15,2025-11-14,4485.72,852.29,5338.01,5338.01,0.0,paid
9,9,2025-11-23,2025-12-23,7544.35,1433.43,8977.78,8977.78,0.0,paid
10,10,2025-04-04,2025-05-04,859.56,163.32,1022.88,1022.88,0.0,paid
11,11,2025-04-13,2025-05-13,10600.66,2014.13,12614.79,0.0,12614.79,open
12,12,2025-03-03,2025-04-02,7754.02,1473.26,9227.28,9227.28,0.0,paid
13,13,2025-12-31,2026-01-30,7029.6,1335.62,8365.22,8365.22,0.0,paid
14,14,2025-06-19,2025-07-19,4716.27,896.09,5612.36,5612.36,0.0,paid
15,15,2025-11-22,2025-12-22,4255.75,808.59,5064.34,5064.34,0.0,paid
16,16,2025-05-08,2025-06-07,8423.05,1600.38,10023.43,10023.43,0.0,paid
17,17,2025-03-26,2025-04-25,6523.55,1239.47,7763.02,0.0,7763.02,open
18,18,2026-01-07,2026-02-06,2960.32,562.46,3522.78,3522.78,0.0,paid
19,19,2025-09-11,2025-10-11,8766.41,1665.62,10432.03,0.0,10432.03,open
20,20,2025-10-09,2025-11-08,1214.52,230.76,1445.28,1445.28,0.0,paid
21,21,2025-02-14,2025-03-16,2022.75,384.32,2407.07,2407.07,0.0,paid
22,22,2025-04-19,2025-05-19,8269.93,1571.29,9841.22,9841.22,0.0,paid
23,23,2025-02-23,2025-03-25,274.05,52.07,326.12,0.0,326.12,open
24,24,2025-11-24,2025-12-24,9974.55,1895.16,11869.71,11869.71,0.0,paid
25,25,2025-01-08,2025-02-07,9234.47,1754.55,10989.02,10989.02,0.0,paid
26,26,2025-12-07,2026-01-06,5688.35,1080.79,6769.14,6769.14,0.0,paid
