item_id,order_id,product_id,quantity,unit_price,line_amount
1,1,25,32,140.65,4500.8
2,2,28,3,155.44,466.32
3,2,26,21,145.58,3057.18
4,3,20,28,116.0,3248.0
5,4,14,39,86.42,3370.38
6,4,13,9,81.49,733.41
7,5,27,28,150.51,4214.28
8,6,25,19,140.65,2672.35
9,6,8,23,56.84,1307.32
10,6,42,39,224.46,8753.94
11,7,20,36,116.0,4176.0
12,8,5,35,42.05,1471.75
13,8,17,27,101.21,2732.67
14,8,25,2,140.65,281.3
15,9,22,26,125.86,3272.36
16,9,3,6,32.19,193.14
17,9,25,29,140.65,4078.85
18,10,11,12,71.63,859.56
19,11,40,31,214.6,6652.6
20,11,24,23,135.72,3121.56
21,11,30,5,165.3,826.5
22,12,3,2,32.19,64.38
23,12,8,15,56.84,852.6
24,12,46,28,244.18,6837.04
25,13,44,30,234.32,7029.6
26,14,21,39,120.93,4716.27
27,15,31,25,170.23,4255.75
28,16,43,15,229.39,3440.85
29,16,47,20,249.11,4982.2
30,17,19,17,111.07,1888.19
31,17,47,6,249.11,1494.66
32,17,30,19,165.3,3140.7
33,18,34,16,185.02,2960.32
34,19,32,19,175.16,3328.04
35,19,49,21,258.97,5438.37
36,20,17,12,101.21,1214.52
37,21,20,12,116.0,1392.0
38,21,5,15,42.05,630.75
39,22,27,16,150.51,2408.16
40,22,47,11,249.11,2740.21
41,22,24,23,135.72,3121.56
42,23,15,3,91.35,274.05
43,24,14,39,86.42,3370.38
44,24,13,11,81.49,896.39
45,24,41,26,219.53,5707.78
46,25,45,9,239.25,2153.25
47,25,46,29,244.18,7081.22
48,26,22,23,125.86,2894.78
49,26,11,39,71.63,2793.57
50,27,50,26,263.9,6861.4
51,27,42,7,224.46,1571.22
52,28,34,3,185.02,555.06
53,28,1,7,22.33,156.31
54,28,40,35,214.6,7511.0
55,29,28,5,155.44,777.2
56,29,11,26,71.63,1862.38
57,30,27,2,150.51,301.02
58,30,13,25,81.49,2037.25
59,31,26,21,145.58,3057.18
60,31,44,23,234.32,5389.36
61,31,48,7,254.04,1778.28
62,32,2,12,27.26,327.12
63,32,44,40,234.32,9372.8
64,32,23,33,130.79,4316.07
65,33,14,28,86.42,2419.76
66,33,24,35,135.72,4750.2
67,33,33,4,180.09,720.36
68,34,36,15,194.88,2923.2
69,34,32,34,175.16,5955.44
70,35,10,36,66.7,2401.2
71,36,46,21,244.18,5127.78
72,36,20,17,116.0,1972.0
73,36,3,9,32.19,289.71
74,37,25,19,140.65,2672.35
75,37,24,16,135.72,2171.52
76,37,33,21,180.09,3781.89
77,38,16,38,96.28,3658.64
78,39,8,2,56.84,113.68
79,39,3,19,32.19,611.61
80,39,44,14,234.32,3280.48
81,40,14,20,86.42,1728.4
82,41,19,26,111.07,2887.82
83,41,17,4,101.21,404.84
84,41,9,17,61.77,1050.09
85,42,40,9,214.6,1931.4
86,42,8,25,56.84,1421.0
87,43,26,10,145.58,1455.8
88,44,4,39,37.12,1447.68
89,44,35,17,189.95,3229.15
90,44,36,11,194.88,2143.68
91,45,37,38,199.81,7592.78
92,45,42,14,224.46,3142.44
93,46,29,12,160.37,1924.44
94,46,2,8,27.26,218.08
95,46,9,18,61.77,1111.86
96,47,32,18,175.16,3152.88
97,48,38,32,204.74,6551.68
98,48,45,10,239.25,2392.5
99,49,25,38,140.65,5344.7
100,49,32,27,175.16,4729.32
101,49,50,36,263.9,9500.4
102,50,47,18,249.11,4483.98
103,50,18,4,106.14,424.56
104,51,7,39,51.91,2024.49
105,52,28,18,155.44,2797.92
106,52,47,14,249.11,3487.54
107,52,47,39,249.11,9715.29
108,53,5,16,42.05,672.8
109,54,37,30,199.81,5994.3
110,54,48,3,254.04,762.12
111,55,24,13,135.72,1764.36
112,56,11,13,71.63,931.19
113,57,24,18,135.72,2442.96
114,58,47,25,249.11,6227.75
115,59,31,39,170.23,6638.97
116,59,20,22,116.0,2552.0
117,59,47,29,249.11,7224.19
118,60,2,13,27.26,354.38
119,60,11,4,71.63,286.52
120,61,39,12,209.67,2516.04
121,62,9,24,61.77,1482.48
122,63,24,7,135.72,950.04
123,64,18,27,106.14,2865.78
124,64,50,30,263.9,7917.0
125,65,20,15,116.0,1740.0
126,66,31,5,170.23,851.15
127,66,32,13,175.16,2277.08
128,66,36,29,194.88,5651.52
129,67,19,37,111.07,4109.59
130,67,39,39,209.67,8177.13
131,68,43,34,229.39,7799.26
132,69,38,11,204.74,2252.14
133,69,39,25,209.67,5241.75
134,70,50,26,263.9,6861.4
135,71,35,23,189.95,4368.85
136,71,47,3,249.11,747.33
137,72,31,36,170.23,6128.28
138,72,49,38,258.97,9840.86
139,73,22,13,125.86,1636.18
140,73,16,10,96.28,962.8
141,73,9,10,61.77,617.7
142,74,32,40,175.16,7006.4
143,74,4,21,37.12,779.52
144,75,46,3,244.18,732.54
145,76,45,33,239.25,7895.25
146,76,14,35,86.42,3024.7
147,76,43,11,229.39,2523.29
148,77,42,15,224.46,3366.9
149,78,16,28,96.28,2695.84
150,78,23,23,130.79,3008.17
151,79,15,17,91.35,1552.95
152,80,48,23,254.04,5842.92
153,80,50,13,263.9,3430.7
154,80,24,5,135.72,678.6
155,81,30,35,165.3,5785.5
156,81,31,22,170.23,3745.06
157,81,16,35,96.28,3369.8
158,82,35,29,189.95,5508.55
159,83,41,24,219.53,5268.72
160,83,2,37,27.26,1008.62
161,83,43,38,229.39,8716.82
162,84,39,10,209.67,2096.7
163,84,32,8,175.16,1401.28
164,84,8,10,56.84,568.4
165,85,48,8,254.04,2032.32
166,86,4,3,37.12,111.36
167,87,3,26,32.19,836.94
168,88,40,3,214.6,643.8
169,88,43,39,229.39,8946.21
170,89,22,14,125.86,1762.04
171,90,46,34,244.18,8302.12
172,90,29,4,160.37,641.48
173,90,22,7,125.86,881.02
174,91,34,19,185.02,3515.38
175,91,36,15,194.88,2923.2
176,91,45,15,239.25,3588.75
177,92,41,38,219.53,8342.14
178,92,2,28,27.26,763.28
179,93,15,34,91.35,3105.9
180,93,9,13,61.77,803.01
181,93,23,34,130.79,4446.86
182,94,9,31,61.77,1914.87
183,95,49,15,258.97,3884.55
184,95,27,5,150.51,752.55
185,95,11,21,71.63,1504.23
186,96,5,15,42.05,630.75
187,96,36,38,194.88,7405.44
188,96,49,29,258.97,7510.13
189,97,47,31,249.11,7722.41
190,97,33,4,180.09,720.36
191,97,36,6,194.88,1169.28
192,98,25,18,140.65,2531.7
193,99,5,13,42.05,546.65
194,99,3,26,32.19,836.94
195,99,26,6,145.58,873.48
196,100,41,40,219.53,8781.2
197,101,27,10,150.51,1505.1
198,102,5,31,42.05,1303.55
199,103,30,27,165.3,4463.1
200,103,27,5,150.51,752.55
201,104,39,12,209.67,2516.04
202,105,32,12,175.16,2101.92
203,105,23,23,130.79,3008.17
204,105,22,22,125.86,2768.92
205,106,50,10,263.9,2639.0
206,107,48,33,254.04,8383.32
207,108,10,32,66.7,2134.4
208,108,37,10,199.81,1998.1
209,108,11,16,71.63,1146.08
210,109,7,37,51.91,1920.67
211,110,27,2,150.51,301.02
212,110,27,31,150.51,4665.81
213,110,16,32,96.28,3080.96
214,111,46,3,244.18,732.54
215,112,17,21,101.21,2125.41
216,112,34,17,185.02,3145.34
217,113,50,2,263.9,527.8
218,113,31,2,170.23,340.46
219,113,35,35,189.95,6648.25
220,114,14,39,86.42,3370.38
221,114,8,5,56.84,284.2
222,114,7,28,51.91,1453.48
223,115,43,40,229.39,9175.6
224,115,12,14,76.56,1071.84
225,115,45,28,239.25,6699.0
226,116,15,25,91.35,2283.75
227,116,21,37,120.93,4474.41
228,116,18,32,106.14,3396.48
229,117,22,8,125.86,1006.88
230,117,49,37,258.97,9581.89
231,118,5,19,42.05,798.95
232,118,19,40,111.07,4442.8
233,118,6,19,46.98,892.62
234,119,26,21,145.58,3057.18
235,119,39,16,209.67,3354.72
236,120,22,24,125.86,3020.64
237,120,31,21,170.23,3574.83
238,120,20,28,116.0,3248.0
239,121,34,27,185.02,4995.54
240,122,17,34,101.21,3441.14
241,122,50,34,263.9,8972.6
242,123,8,13,56.84,738.92
243,124,37,19,199.81,3796.39
244,124,50,35,263.9,9236.5
245,124,44,6,234.32,1405.92
246,125,2,30,27.26,817.8
247,125,48,20,254.04,5080.8
248,126,46,37,244.18,9034.66
249,126,3,35,32.19,1126.65
250,126,13,23,81.49,1874.27
251,127,21,21,120.93,2539.53
252,127,37,21,199.81,4196.01
253,128,12,7,76.56,535.92
254,128,22,28,125.86,3524.08
255,129,9,12,61.77,741.24
256,130,28,9,155.44,1398.96
257,131,31,3,170.23,510.69
258,131,21,38,120.93,4595.34
259,132,19,16,111.07,1777.12
260,132,12,27,76.56,2067.12
261,132,23,27,130.79,3531.33
262,133,11,34,71.63,2435.42
263,133,24,40,135.72,5428.8
264,134,10,26,66.7,1734.2
265,134,27,31,150.51,4665.81
266,134,14,20,86.42,1728.4
267,135,16,40,96.28,3851.2
268,136,35,33,189.95,6268.35
269,136,30,33,165.3,5454.9
270,137,7,17,51.91,882.47
271,137,36,2,194.88,389.76
272,137,7,5,51.91,259.55
273,138,44,38,234.32,8904.16
274,138,38,22,204.74,4504.28
275,138,19,15,111.07,1666.05
276,139,4,40,37.12,1484.8
277,139,25,19,140.65,2672.35
278,140,43,27,229.39,6193.53
279,140,35,30,189.95,5698.5
280,140,30,29,165.3,4793.7
281,141,30,16,165.3,2644.8
282,142,21,33,120.93,3990.69
283,142,36,34,194.88,6625.92
284,142,43,31,229.39,7111.09
285,143,41,7,219.53,1536.71
286,144,44,16,234.32,3749.12
287,145,7,27,51.91,1401.57
288,145,2,28,27.26,763.28
289,145,6,17,46.98,798.66
290,146,36,12,194.88,2338.56
291,146,31,3,170.23,510.69
292,146,13,36,81.49,2933.64
293,147,26,14,145.58,2038.12
294,148,46,28,244.18,6837.04
295,148,48,20,254.04,5080.8
296,149,27,31,150.51,4665.81
297,149,13,30,81.49,2444.7
298,150,26,25,145.58,3639.5
299,151,32,13,175.16,2277.08
300,151,32,12,175.16,2101.92
301,151,18,36,106.14,3821.04
302,152,21,20,120.93,2418.6
303,152,34,40,185.02,7400.8
304,153,41,20,219.53,4390.6
305,153,11,40,71.63,2865.2
306,153,41,9,219.53,1975.77
307,154,42,28,224.46,6284.88
308,154,12,5,76.56,382.8
309,155,37,21,199.81,4196.01
310,155,37,34,199.81,6793.54
311,155,13,18,81.49,1466.82
312,156,7,16,51.91,830.56
313,156,16,24,96.28,2310.72
314,156,9,26,61.77,1606.02
315,157,11,20,71.63,1432.6
316,157,9,2,61.77,123.54
317,158,42,22,224.46,4938.12
318,158,33,29,180.09,5222.61
319,158,26,13,145.58,1892.54
320,159,4,17,37.12,631.04
321,159,15,28,91.35,2557.8
322,160,17,24,101.21,2429.04
323,161,31,13,170.23,2212.99
324,162,27,16,150.51,2408.16
325,162,3,2,32.19,64.38
326,163,14,25,86.42,2160.5
327,164,30,20,165.3,3306.0
328,165,23,20,130.79,2615.8
329,166,45,10,239.25,2392.5
330,167,11,30,71.63,2148.9
331,167,33,17,180.09,3061.53
332,168,18,33,106.14,3502.62
333,169,25,31,140.65,4360.15
334,169,12,35,76.56,2679.6
335,169,12,6,76.56,459.36
336,170,25,26,140.65,3656.9
337,170,36,18,194.88,3507.84
338,171,27,38,150.51,5719.38
339,171,21,34,120.93,4111.62
340,172,48,28,254.04,7113.12
341,172,33,8,180.09,1440.72
342,172,11,33,71.63,2363.79
343,173,4,33,37.12,1224.96
344,173,23,22,130.79,2877.38
345,173,50,17,263.9,4486.3
346,174,43,18,229.39,4129.02
347,174,4,19,37.12,705.28
348,174,44,37,234.32,8669.84
349,175,50,34,263.9,8972.6
350,175,29,26,160.37,4169.62
351,176,13,3,81.49,244.47
