order_id,customer_id,seller_id,order_date,status,currency,po_number,net_amount
1,23,12,2025-06-23,shipped,EUR,PO-00001,4500.8
2,16,5,2025-06-20,invoiced,EUR,PO-00002,3523.5
3,21,10,2025-12-21,shipped,EUR,PO-00003,3248.0
4,69,10,2025-01-20,open,EUR,PO-00004,4103.79
5,79,8,2025-01-26,invoiced,EUR,PO-00005,4214.28
6,20,9,2025-12-31,invoiced,EUR,PO-00006,12733.61
7,7,8,2025-10-22,open,EUR,PO-00007,4176.0
8,44,9,2025-10-13,confirmed,EUR,PO-00008,4485.72
9,19,8,2025-11-21,invoiced,EUR,PO-00009,7544.35
10,62,3,2025-04-02,invoiced,EUR,PO-00010,859.56
11,34,11,2025-04-11,open,EUR,PO-00011,10600.66
12,68,9,2025-03-01,open,EUR,PO-00012,7754.02
13,15,4,2025-12-29,open,EUR,PO-00013,7029.6
14,71,12,2025-06-17,shipped,EUR,PO-00014,4716.27
15,11,12,2025-11-20,shipped,EUR,PO-00015,4255.75
16,22,11,2025-05-06,open,EUR,PO-00016,8423.05
17,45,10,2025-03-24,invoiced,EUR,PO-00017,6523.55
18,59,12,2026-01-05,shipped,EUR,PO-00018,2960.32
19,25,2,2025-09-09,invoiced,EUR,PO-00019,8766.41
20,61,2,2025-10-07,invoiced,EUR,PO-00020,1214.52
21,26,3,2025-02-12,invoiced,EUR,PO-00021,2022.75
22,6,7,2025-04-17,open,EUR,PO-00022,8269.93
23,45,10,2025-02-21,invoiced,EUR,PO-00023,274.05
24,37,2,2025-11-22,open,EUR,PO-00024,9974.55
25,12,1,2025-01-06,shipped,EUR,PO-00025,9234.47
26,30,7,2025-12-05,open,EUR,PO-00026,5688.35
27,28,5,2025-10-27,invoiced,EUR,PO-00027,8432.62
28,56,9,2025-04-12,open,EUR,PO-00028,8222.37
29,11,12,2025-05-31,open,EUR,PO-00029,2639.58
30,12,1,2025-12-12,confirmed,EUR,PO-00030,2338.27
31,13,2,2025-02-04,confirmed,EUR,PO-00031,10224.82
32,61,2,2025-11-03,shipped,EUR,PO-00032,14015.99
33,19,8,2025-11-15,confirmed,EUR,PO-00033,7890.32
