product_id,sku,name,category,supplier_id,unit_cost,list_price,in_stock
1,ERP-0001,Industrial Part 1,Seals,2,15.4,22.33,339
2,ERP-0002,Industrial Part 2,Fasteners,3,18.8,27.26,263
3,ERP-0003,Industrial Part 3,Fasteners,4,22.2,32.19,358
4,ERP-0004,Industrial Part 4,Fasteners,5,25.6,37.12,251
5,ERP-0005,Industrial Part 5,Tools,6,29.0,42.05,111
6,ERP-0006,Industrial Part 6,Fasteners,7,32.4,46.98,367
7,ERP-0007,Industrial Part 7,Seals,8,35.8,51.91,315
8,ERP-0008,Industrial Part 8,Fasteners,9,39.2,56.84,151
9,ERP-0009,Industrial Part 9,Seals,10,42.6,61.77,269
10,ERP-0010,Industrial Part 10,Drives,11,46.0,66.7,12
11,ERP-0011,Industrial Part 11,Seals,12,49.4,71.63,264
12,ERP-0012,Industrial Part 12,Drives,13,52.8,76.56,111
13,ERP-0013,Industrial Part 13,Fasteners,14,56.2,81.49,336
14,ERP-0014,Industrial Part 14,Seals,15,59.6,86.42,238
15,ERP-0015,Industrial Part 15,Fasteners,16,63.0,91.35,121
16,ERP-0016,Industrial Part 16,Seals,17,66.4,96.28,75
17,ERP-0017,Industrial Part 17,Fasteners,18,69.8,101.21,43
18,ERP-0018,Industrial Part 18,Drives,19,73.2,106.14,262
19,ERP-0019,Industrial Part 19,Drives,20,76.6,111.07,139
20,ERP-0020,Industrial Part 20,Seals,1,80.0,116.0,270
21,ERP-0021,Industrial Part 21,Seals,2,83.4,120.93,223
22,ERP-0022,Industrial Part 22,Fasteners,3,86.8,125.86,237
23,ERP-0023,Industrial Part 23,Drives,4,90.2,130.79,291
24,ERP-0024,Industrial Part 24,Fasteners,5,93.6,135.72,182
25,ERP-0025,Industrial Part 25,Drives,6,97.0,140.65,139
26,ERP-0026,Industrial Part 26,Seals,7,100.4,145.58,128
27,ERP-0027,Industrial Part 27,Drives,8,103.8,150.51,10
28,ERP-0028,Industrial Part 28,Drives,9,107.2,155.44,66
29,ERP-0029,Industrial Part 29,Tools,10,110.6,160.37,220
30,ERP-0030,Industrial Part 30,Drives,11,114.0,165.3,85
31,ERP-0031,Industrial Part 31,Tools,12,117.4,170.23,172
32,ERP-0032,Industrial Part 32,Drives,13,120.8,175.16,43
33,ERP-0033,Industrial Part 33,Tools,14,124.2,180.09,277
34,ERP-0034,Industrial Part 34,Tools,15,127.6,185.02,243
35,ERP-0035,Industrial Part 35,Tools,16,131.0,189.95,395
36,ERP-0036,Industrial Part 36,Fasteners,17,134.4,194.88,356
37,ERP-0037,Industrial Part 37,Tools,18,137.8,199.81,252
38,ERP-0038,Industrial Part 38,Tools,19,141.2,204.74,116
39,ERP-0039,Industrial Part 39,Tools,20,144.6,209.67,60
40,ERP-0040,Industrial Part 40,Tools,1,148.0,214.6,44
41,ERP-0041,Industrial Part 41,Seals,2,151.4,219.53,294
42,ERP-0042,Industrial Part 42,Seals,3,154.8,224.46,361
43,ERP-0043,Industrial Part 43,Fasteners,4,158.2,229.39,398
44,ERP-0044,Industrial Part 44,Seals,5,161.6,234.32,201
45,ERP-0045,Industrial Part 45,Tools,6,165.0,239.25,144
46,ERP-0046,Industrial Part 46,Drives,7,168.4,244.18,329
47,ERP-0047,Industrial Part 47,Seals,8,171.8,249.11,378
48,ERP-0048,Industrial Part 48,Fasteners,9,175.2,254.04,369
49,ERP-0049,Industrial Part 49,Tools,10,178.6,258.97,95
50,ERP-0050,Industrial Part 50,Tools,11,182.0,263.9,229
