return_id,item_id,return_date,quantity,reason,refund_amount
1,4,2026-01-02,3,damaged,348.0
2,52,2025-05-19,1,overstock,185.02
3,69,2025-08-14,12,wrong_item,2101.92
4,85,2025-10-11,7,wrong_item,1502.2
5,113,2025-06-24,1,wrong_item,135.72
6,115,2025-06-13,3,overstock,510.69
7,117,2025-06-22,20,damaged,4982.2
8,136,2025-07-16,1,damaged,249.11
9,137,2025-10-24,26,overstock,4425.98
10,157,2025-07-23,23,wrong_item,2214.44
11,162,2025-12-02,5,damaged,1048.35
12,163,2025-12-05,4,overstock,700.64
13,171,2026-02-20,8,overstock,1953.44
14,176,2025-09-07,5,overstock,1196.25
15,205,2025-03-28,1,damaged,263.9
16,207,2026-03-09,27,damaged,1800.9
17,209,2026-03-04,6,damaged,429.78
18,241,2025-08-19,6,overstock,1583.4
19,249,2025-02-09,5,wrong_item,160.95
20,271,2025-03-30,1,overstock,194.88
21,302,2026-02-01,14,overstock,1693.02
22,305,2026-02-26,17,overstock,1217.71
23,321,2025-07-30,3,wrong_item,274.05
24,327,2025-11-10,18,wrong_item,2975.4
25,351,2026-01-13,1,damaged,81.49
26,370,2025-06-26,5,overstock,333.5
27,372,2026-02-02,9,overstock,777.78
28,386,2025-07-15,6,damaged,488.94
29,399,2025-04-15,6,damaged,518.52
30,403,2025-05-01,1,damaged,81.49
31,415,2025-07-07,2,damaged,370.04
32,434,2025-01-31,3,wrong_item,170.52
33,435,2025-12-28,4,wrong_item,1035.88
34,466,2025-10-08,24,overstock,6096.96
35,490,2025-07-24,18,overstock,1200.6
36,492,2025-10-28,10,damaged,1702.3
37,494,2026-02-09,8,damaged,1953.44
38,495,2025-11-13,3,damaged,126.15
