pos_id,auftr_nr,art_nr,menge,einzelpr,pos_rabatt,pos_netto,gewicht_kg
1,1,A00081,4,265.38,0.0,1061.52,14.572
2,1,A00067,43,235.81,0.0,10139.83,130.763
3,1,A00050,39,169.72,661.91,5957.17,90.09
4,2,A00038,31,121.7,0.0,3772.7,55.614
5,3,A00062,8,193.65,0.0,1549.2,22.608
6,3,A00034,45,133.79,301.03,5719.52,72.99
7,4,A00012,5,48.15,0.0,240.75,3.38
8,4,A00022,36,82.82,149.08,2832.44,39.816
9,4,A00062,29,193.65,280.79,5335.06,81.954
10,4,A00089,46,270.56,622.29,11823.47,183.402
11,5,A00048,49,150.93,739.56,6656.01,108.976
12,6,A00008,3,36.15,10.84,97.61,1.512
13,7,A00050,50,169.72,0.0,8486.0,115.5
14,7,A00057,26,212.25,0.0,5518.5,67.886
15,7,A00014,16,58.22,0.0,931.52,12.192
16,8,A00014,17,58.22,0.0,989.74,12.954
17,9,A00048,32,150.93,482.98,4346.78,71.168
18,9,A00060,5,199.63,0.0,998.15,13.7
19,9,A00059,3,182.64,27.4,520.52,8.091
20,9,A00078,35,254.46,0.0,8906.1,122.99
21,10,A00003,27,25.56,0.0,690.12,7.803
22,10,A00070,19,223.06,0.0,4238.14,60.23
23,10,A00055,8,170.86,0.0,1366.88,20.2
24,11,A00064,49,258.08,0.0,12645.92,142.688
25,11,A00052,26,183.41,476.87,4291.79,62.296
26,11,A00035,39,148.84,0.0,5804.76,64.935
27,11,A00082,47,245.34,0.0,11530.98,173.242
28,12,A00007,46,39.51,181.75,1635.71,21.206
29,12,A00070,29,223.06,0.0,6468.74,91.93
30,13,A00040,32,164.51,0.0,5264.32,60.16
31,13,A00027,5,118.09,0.0,590.45,6.605
32,13,A00039,3,158.58,0.0,475.74,5.511
33,13,A00038,38,121.7,0.0,4624.6,68.172
34,14,A00061,9,213.52,192.17,1729.51,25.047
35,14,A00011,26,49.74,129.32,1163.92,16.458
36,14,A00056,49,215.8,1057.42,9516.78,125.832
37,14,A00008,5,36.15,0.0,180.75,2.52
38,15,A00076,6,273.84,0.0,1643.04,20.568
39,16,A00019,21,85.93,0.0,1804.53,20.517
40,17,A00085,46,253.81,1167.53,10507.73,175.49
41,17,A00088,1,295.42,14.77,280.65,3.944
42,18,A00022,32,82.82,0.0,2650.24,35.392
43,18,A00063,40,215.93,431.86,8205.34,114.76
44,18,A00048,37,150.93,0.0,5584.41,82.288
45,18,A00049,11,192.27,211.5,1903.47,24.937
46,19,A00039,23,158.58,364.73,3282.61,42.251
47,19,A00041,46,162.92,0.0,7494.32,88.458
48,19,A00053,18,185.49,333.88,3004.94,43.902
49,20,A00087,4,256.72,0.0,1026.88,15.604
50,20,A00089,43,270.56,0.0,11634.08,171.441
51,20,A00019,45,85.93,386.69,3480.16,43.965
52,20,A00052,1,183.41,18.34,165.07,2.396
53,21,A00059,38,182.64,0.0,6940.32,102.486
54,21,A00085,31,253.81,393.41,7474.7,118.265
55,22,A00060,13,199.63,0.0,2595.19,35.62
56,23,A00049,17,192.27,0.0,3268.59,38.539
57,23,A00083,10,257.01,128.5,2441.6,37.29
58,23,A00031,47,121.29,0.0,5700.63,70.171
59,24,A00013,26,53.51,0.0,1391.26,18.694
60,24,A00005,44,28.93,0.0,1272.92,16.5
61,24,A00035,38,148.84,0.0,5655.92,63.27
62,24,A00034,10,133.79,133.79,1204.11,16.22
63,25,A00001,9,17.2,15.48,139.32,1.827
64,26,A00050,23,169.72,195.18,3708.38,53.13
65,27,A00059,13,182.64,0.0,2374.32,35.061
66,27,A00028,16,94.41,151.06,1359.5,21.824
67,28,A00032,42,135.81,285.2,5418.82,64.512
68,28,A00063,5,215.93,53.98,1025.67,14.345
69,28,A00027,18,118.09,0.0,2125.62,23.778
70,29,A00041,48,162.92,0.0,7820.16,92.304
71,29,A00003,36,25.56,92.02,828.14,10.404
72,30,A00052,50,183.41,0.0,9170.5,119.8
73,30,A00038,25,121.7,152.12,2890.38,44.85
74,30,A00068,29,257.36,0.0,7463.44,89.436
75,30,A00022,19,82.82,0.0,1573.58,21.014
76,31,A00084,30,287.28,0.0,8618.4,113.16
77,32,A00020,48,74.74,0.0,3587.52,48.96
78,32,A00016,41,72.46,148.54,2822.32,34.768
79,32,A00064,39,258.08,0.0,10065.12,113.568
80,32,A00089,18,270.56,243.5,4626.58,71.766
81,33,A00044,4,158.64,0.0,634.56,8.208
82,34,A00052,23,183.41,0.0,4218.43,55.108
83,34,A00058,17,187.02,0.0,3179.34,45.118
84,35,A00003,25,25.56,31.95,607.05,7.225
85,35,A00071,41,223.92,459.04,8721.68,131.733
86,36,A00050,4,169.72,0.0,678.88,9.24
87,37,A00036,35,152.76,0.0,5346.6,59.78
88,37,A00016,32,72.46,0.0,2318.72,27.136
89,38,A00035,32,148.84,0.0,4762.88,53.28
90,39,A00042,44,135.61,596.68,5370.16,86.504
91,39,A00051,4,161.7,0.0,646.8,9.412
92,39,A00088,31,295.42,0.0,9158.02,122.264
93,39,A00056,49,215.8,528.71,10045.49,125.832
94,40,A00024,3,106.45,0.0,319.35,3.576
95,40,A00008,10,36.15,36.15,325.35,5.04
96,41,A00070,47,223.06,524.19,9959.63,148.99
97,41,A00014,21,58.22,61.13,1161.49,16.002
98,41,A00036,24,152.76,0.0,3666.24,40.992
99,41,A00031,13,121.29,0.0,1576.77,19.409
100,42,A00030,24,101.64,121.97,2317.39,34.8
101,42,A00048,40,150.93,0.0,6037.2,88.96
102,42,A00017,28,64.15,0.0,1796.2,24.948
103,42,A00030,1,101.64,10.16,91.48,1.45
104,43,A00062,24,193.65,0.0,4647.6,67.824
105,43,A00030,6,101.64,0.0,609.84,8.7
106,44,A00043,37,135.86,0.0,5026.82,74.333
107,45,A00060,43,199.63,858.41,7725.68,117.82
108,46,A00059,18,182.64,164.38,3123.14,48.546
109,47,A00078,42,254.46,0.0,10687.32,147.588
110,47,A00048,11,150.93,166.02,1494.21,24.464
111,47,A00062,16,193.65,0.0,3098.4,45.216
112,48,A00071,22,223.92,0.0,4926.24,70.686
113,48,A00075,29,277.37,0.0,8043.73,98.165
114,48,A00064,32,258.08,412.93,7845.63,93.184
115,48,A00071,5,223.92,0.0,1119.6,16.065
116,49,A00083,28,257.01,719.63,6476.65,104.412
117,50,A00025,15,94.68,142.02,1278.18,18.525
118,50,A00047,34,193.4,0.0,6575.6,74.154
119,51,A00078,26,254.46,0.0,6615.96,91.364
120,51,A00069,8,231.36,0.0,1850.88,25.016
121,51,A00038,33,121.7,0.0,4016.1,59.202
122,52,A00064,16,258.08,0.0,4129.28,46.592
123,53,A00032,38,135.81,0.0,5160.78,58.368
124,53,A00040,29,164.51,0.0,4770.79,54.52
125,54,A00043,43,135.86,0.0,5841.98,86.387
126,54,A00042,6,135.61,0.0,813.66,11.796
127,54,A00047,26,193.4,0.0,5028.4,56.706
128,54,A00017,8,64.15,51.32,461.88,7.128
129,55,A00064,18,258.08,0.0,4645.44,52.416
130,55,A00039,46,158.58,729.47,6565.21,84.502
131,55,A00089,35,270.56,0.0,9469.6,139.545
132,56,A00073,30,253.1,0.0,7593.0,98.97
133,56,A00013,33,53.51,176.58,1589.25,23.727
134,57,A00024,40,106.45,425.8,3832.2,47.68
135,57,A00080,23,301.85,0.0,6942.55,82.8
136,58,A00020,15,74.74,56.05,1065.05,15.3
137,58,A00076,16,273.84,0.0,4381.44,54.848
138,58,A00070,49,223.06,0.0,10929.94,155.33
139,58,A00011,5,49.74,0.0,248.7,3.165
140,59,A00048,24,150.93,181.12,3441.2,53.376
141,59,A00015,5,63.04,0.0,315.2,4.025
142,60,A00079,34,302.87,0.0,10297.58,120.938
143,60,A00018,7,81.34,0.0,569.38,6.538
144,61,A00014,10,58.22,58.22,523.98,7.62
145,62,A00003,27,25.56,34.51,655.61,7.803
146,62,A00021,35,89.92,314.72,2832.48,37.205
147,62,A00036,29,152.76,443.0,3987.04,49.532
148,62,A00004,37,25.66,94.94,854.48,12.284
149,63,A00008,23,36.15,0.0,831.45,11.592
150,63,A00012,16,48.15,0.0,770.4,10.816
151,64,A00009,33,39.4,0.0,1300.2,18.051
152,64,A00055,18,170.86,153.77,2921.71,45.45
153,64,A00033,38,137.23,0.0,5214.74,60.002
154,64,A00080,27,301.85,815.0,7334.95,97.2
155,65,A00070,26,223.06,289.98,5509.58,82.42
156,66,A00086,36,315.84,0.0,11370.24,138.888
157,66,A00017,36,64.15,0.0,2309.4,32.076
158,66,A00025,35,94.68,331.38,2982.42,43.225
159,67,A00001,36,17.2,0.0,619.2,7.308
160,67,A00082,24,245.34,294.41,5593.75,88.464
161,67,A00019,7,85.93,0.0,601.51,6.839
162,68,A00037,23,153.49,0.0,3530.27,40.273
163,68,A00003,33,25.56,0.0,843.48,9.537
164,68,A00035,45,148.84,0.0,6697.8,74.925
165,68,A00076,18,273.84,0.0,4929.12,61.704
166,69,A00032,22,135.81,298.78,2689.04,33.792
167,69,A00056,23,215.8,0.0,4963.4,59.064
168,69,A00052,9,183.41,165.07,1485.62,21.564
169,69,A00081,27,265.38,358.26,6807.0,98.361
170,70,A00042,47,135.61,637.37,5736.3,92.402
171,71,A00086,20,315.84,0.0,6316.8,77.16
172,71,A00076,42,273.84,0.0,11501.28,143.976
173,71,A00090,39,287.26,0.0,11203.14,157.17
174,71,A00041,4,162.92,65.17,586.51,7.692
175,72,A00035,4,148.84,0.0,595.36,6.66
176,72,A00057,18,212.25,382.05,3438.45,46.998
177,73,A00041,34,162.92,276.96,5262.32,65.382
178,73,A00052,10,183.41,0.0,1834.1,23.96
179,74,A00042,15,135.61,0.0,2034.15,29.49
180,74,A00064,46,258.08,593.58,11278.1,133.952
181,74,A00012,50,48.15,0.0,2407.5,33.8
182,75,A00014,25,58.22,0.0,1455.5,19.05
183,75,A00043,1,135.86,6.79,129.07,2.009
184,75,A00073,6,253.1,75.93,1442.67,19.794
185,76,A00035,10,148.84,0.0,1488.4,16.65
186,76,A00077,32,268.81,430.1,8171.82,111.072
187,77,A00030,40,101.64,406.56,3659.04,58.0
188,78,A00034,21,133.79,0.0,2809.59,34.062
189,78,A00078,19,254.46,0.0,4834.74,66.766
190,78,A00063,29,215.93,0.0,6261.97,83.201
191,78,A00089,37,270.56,0.0,10010.72,147.519
192,79,A00011,36,49.74,0.0,1790.64,22.788
193,80,A00048,5,150.93,0.0,754.65,11.12
194,80,A00047,44,193.4,0.0,8509.6,95.964
195,80,A00048,15,150.93,226.4,2037.55,33.36
196,80,A00082,41,245.34,502.95,9555.99,151.126
197,81,A00088,45,295.42,1329.39,11964.51,177.48
198,81,A00076,2,273.84,54.77,492.91,6.856
199,81,A00025,47,94.68,0.0,4449.96,58.045
200,81,A00083,30,257.01,385.51,7324.79,111.87
201,82,A00074,32,257.53,0.0,8240.96,106.944
202,82,A00038,36,121.7,0.0,4381.2,64.584
203,82,A00010,48,42.2,101.28,1924.32,28.32
204,82,A00024,37,106.45,0.0,3938.65,44.104
205,83,A00039,9,158.58,71.36,1355.86,16.533
206,83,A00056,10,215.8,0.0,2158.0,25.68
207,83,A00077,29,268.81,389.77,7405.72,100.659
208,84,A00059,16,182.64,292.22,2630.02,43.152
209,84,A00022,13,82.82,53.83,1022.83,14.378
210,84,A00086,30,315.84,473.76,9001.44,115.74
211,85,A00037,30,153.49,230.24,4374.46,52.53
212,86,A00083,22,257.01,0.0,5654.22,82.038
213,86,A00015,3,63.04,9.46,179.66,2.415
214,87,A00069,29,231.36,0.0,6709.44,90.683
215,87,A00076,24,273.84,328.61,6243.55,82.272
216,87,A00039,40,158.58,0.0,6343.2,73.48
217,88,A00090,5,287.26,0.0,1436.3,20.15
218,89,A00079,24,302.87,363.44,6905.44,85.368
219,89,A00087,12,256.72,308.06,2772.58,46.812
220,89,A00060,7,199.63,0.0,1397.41,19.18
221,89,A00023,2,95.65,0.0,191.3,2.298
222,90,A00016,34,72.46,0.0,2463.64,28.832
223,90,A00020,40,74.74,298.96,2690.64,40.8
224,90,A00065,13,227.87,0.0,2962.31,38.415
225,90,A00040,30,164.51,493.53,4441.77,56.4
226,91,A00057,2,212.25,0.0,424.5,5.222
227,92,A00003,27,25.56,0.0,690.12,7.803
228,93,A00049,8,192.27,76.91,1461.25,18.136
229,93,A00030,5,101.64,50.82,457.38,7.25
230,94,A00041,44,162.92,0.0,7168.48,84.612
231,95,A00061,21,213.52,448.39,4035.53,58.443
232,95,A00044,27,158.64,0.0,4283.28,55.404
233,96,A00026,17,103.36,0.0,1757.12,21.726
234,96,A00069,32,231.36,0.0,7403.52,100.064
235,96,A00044,33,158.64,0.0,5235.12,67.716
236,96,A00052,32,183.41,586.91,5282.21,76.672
237,97,A00076,5,273.84,0.0,1369.2,17.14
238,97,A00074,10,257.53,257.53,2317.77,33.42
239,97,A00048,20,150.93,0.0,3018.6,44.48
240,98,A00012,10,48.15,0.0,481.5,6.76
241,99,A00006,17,37.04,62.97,566.71,7.106
242,99,A00062,33,193.65,319.52,6070.93,93.258
243,99,A00010,39,42.2,82.29,1563.51,23.01
244,99,A00040,41,164.51,337.25,6407.66,77.08
245,100,A00080,46,301.85,694.26,13190.84,165.6
246,100,A00076,7,273.84,191.69,1725.19,23.996
247,100,A00023,25,95.65,0.0,2391.25,28.725
248,101,A00089,34,270.56,919.9,8279.14,135.558
249,101,A00074,23,257.53,0.0,5923.19,76.866
250,101,A00013,37,53.51,98.99,1880.88,26.603
251,101,A00043,29,135.86,0.0,3939.94,58.261
252,102,A00030,16,101.64,81.31,1544.93,23.2
253,103,A00028,31,94.41,0.0,2926.71,42.284
254,103,A00019,26,85.93,0.0,2234.18,25.402
255,103,A00054,37,197.13,0.0,7293.81,91.834
256,104,A00038,1,121.7,0.0,121.7,1.794
257,105,A00090,28,287.26,804.33,7238.95,112.84
258,105,A00033,18,137.23,0.0,2470.14,28.422
259,106,A00053,9,185.49,0.0,1669.41,21.951
260,107,A00090,30,287.26,861.78,7756.02,120.9
261,107,A00070,10,223.06,0.0,2230.6,31.7
262,108,A00059,34,182.64,310.49,5899.27,91.698
263,108,A00021,26,89.92,0.0,2337.92,27.638
264,109,A00051,8,161.7,64.68,1228.92,18.824
265,109,A00077,49,268.81,0.0,13171.69,170.079
266,109,A00017,39,64.15,0.0,2501.85,34.749
267,109,A00013,48,53.51,128.42,2440.06,34.512
268,110,A00060,34,199.63,339.37,6448.05,93.16
269,111,A00010,43,42.2,181.46,1633.14,25.37
270,111,A00038,21,121.7,127.79,2427.91,37.674
271,111,A00085,36,253.81,0.0,9137.16,137.34
272,111,A00007,27,39.51,0.0,1066.77,12.447
273,112,A00059,18,182.64,0.0,3287.52,48.546
274,112,A00089,21,270.56,0.0,5681.76,83.727
275,112,A00011,3,49.74,0.0,149.22,1.899
276,112,A00082,40,245.34,981.36,8832.24,147.44
277,113,A00035,18,148.84,0.0,2679.12,29.97
278,114,A00087,46,256.72,590.46,11218.66,179.446
279,114,A00002,16,17.39,0.0,278.24,3.936
280,115,A00085,34,253.81,862.95,7766.59,129.71
281,115,A00042,47,135.61,637.37,5736.3,92.402
282,116,A00077,9,268.81,241.93,2177.36,31.239
283,117,A00019,43,85.93,0.0,3694.99,42.011
284,117,A00073,44,253.1,0.0,11136.4,145.156
285,118,A00075,21,277.37,291.24,5533.53,71.085
286,119,A00007,42,39.51,82.97,1576.45,19.362
287,119,A00046,18,167.63,0.0,3017.34,38.484
288,120,A00001,18,17.2,0.0,309.6,3.654
289,120,A00081,15,265.38,0.0,3980.7,54.645
290,120,A00090,35,287.26,1005.41,9048.69,141.05
291,120,A00066,46,202.36,0.0,9308.56,137.908
292,121,A00012,10,48.15,0.0,481.5,6.76
293,122,A00062,33,193.65,0.0,6390.45,93.258
294,122,A00043,49,135.86,0.0,6657.14,98.441
295,122,A00011,24,49.74,0.0,1193.76,15.192
