auftr_nr,kd_nr,vk_id,auftr_dat,status_txt,waehrung,bst_nr,netto_betrag,fracht,notiz
1,138,13,2025-07-05,fakturiert,EUR,BST-1,17158.52,49,Rush
2,120,13,2026-01-28,fakturiert,EUR,BST-2,3772.7,0,Rush
3,74,3,2025-04-04,offen,EUR,BST-3,7268.72,89,
4,144,1,2025-06-20,offen,EUR,BST-4,20231.72,49,
5,131,6,2026-03-01,geliefert,EUR,BST-5,6656.01,0,
6,,3,2025-05-31,geliefert,EUR,BST-6,97.61,29,
7,96,7,2025-06-14,storno,EUR,BST-7,14936.02,89,
8,43,8,2025-07-25,fakturiert,EUR,,989.74,0,
9,71,18,2025-02-26,offen,EUR,,14771.55,29,
10,76,5,2025-06-19,offen,CHF,,6295.14,29,
11,11,12,2025-05-07,fakturiert,EUR,BST-11,34273.45,49,
12,148,5,2025-12-21,geliefert,CHF,BST-12,8104.45,0,
13,74,3,2025-06-12,bestätigt,CHF,BST-13,10955.11,49,
14,17,18,2025-05-15,storno,CHF,BST-14,12590.96,49,
15,103,14,2025-04-14,bestätigt,CHF,BST-15,1643.04,49,
16,134,9,2025-03-30,fakturiert,EUR,,1804.53,49,
17,68,15,2025-01-27,offen,CHF,BST-17,10788.38,49,
18,16,17,2025-05-06,offen,EUR,BST-18,18343.46,49,
19,17,18,2026-01-08,fakturiert,CHF,,13781.87,49,
20,87,16,2025-12-15,geliefert,EUR,BST-20,16306.19,0,
21,88,17,2025-12-13,offen,CHF,,14415.02,0,
22,16,17,2025-03-25,bestätigt,EUR,,2595.19,49,Rush
23,47,12,2025-02-19,offen,EUR,BST-23,11410.82,0,
24,11,12,2025-05-25,geliefert,EUR,,9524.21,89,
25,116,9,2025-08-13,bestätigt,EUR,BST-25,139.32,89,
26,25,8,2025-11-06,fakturiert,EUR,BST-26,3708.38,49,
27,31,14,2025-02-19,geliefert,EUR,BST-27,3733.82,0,
28,88,17,2025-02-20,geliefert,EUR,BST-28,8570.11,49,Rush
29,136,11,2025-11-10,offen,EUR,BST-29,8648.3,49,
30,99,10,2025-06-25,storno,EUR,BST-30,21097.9,89,
31,19,2,2025-03-29,geliefert,EUR,BST-31,8618.4,49,
32,145,2,2026-01-02,fakturiert,EUR,BST-32,21101.54,49,
33,41,6,2025-04-22,bestätigt,EUR,BST-33,634.56,0,
34,55,2,2025-12-23,storno,CHF,,7397.77,49,
35,62,9,2025-08-28,geliefert,EUR,BST-35,9328.73,89,
36,81,10,2026-02-05,bestätigt,EUR,BST-36,678.88,29,Rush
37,23,6,2025-06-21,storno,EUR,,7665.32,89,
38,124,17,2025-07-10,offen,EUR,BST-38,4762.88,29,
39,141,,2025-08-26,fakturiert,EUR,BST-39,25220.47,89,
40,94,5,2026-01-24,bestätigt,EUR,BST-40,644.7,49,
41,92,3,2026-01-02,fakturiert,CHF,,16364.13,0,
42,135,10,2026-02-06,storno,CHF,BST-42,10242.27,0,
43,45,10,2025-04-30,bestätigt,CHF,BST-43,5257.44,49,Rush
44,150,,2025-05-23,bestätigt,EUR,BST-44,5026.82,49,
45,108,1,2025-01-01,bestätigt,CHF,BST-45,7725.68,89,
46,91,2,2024-12-28,storno,CHF,,3123.14,29,
47,15,16,2024-11-17,storno,CHF,BST-47,15279.93,29,Rush
48,124,17,2025-03-29,offen,CHF,BST-48,21935.2,0,
49,61,8,2025-10-05,bestätigt,CHF,BST-49,6476.65,0,
50,17,18,2026-03-02,bestätigt,EUR,BST-50,7853.78,49,Rush
51,85,,2025-04-18,bestätigt,CHF,,12482.94,89,
52,129,4,2026-02-07,offen,EUR,,4129.28,0,
53,6,7,2025-06-22,bestätigt,CHF,BST-53,9931.57,49,Rush
54,53,18,2024-12-18,fakturiert,EUR,BST-54,12145.92,29,Rush
55,50,15,2025-01-22,storno,EUR,BST-55,20680.25,29,
56,,18,2025-05-30,bestätigt,EUR,BST-56,9182.25,89,
57,43,8,2025-06-20,fakturiert,EUR,,10774.75,89,
58,134,9,2025-02-25,storno,EUR,BST-58,16625.13,0,Rush
59,66,13,2026-02-25,storno,EUR,BST-59,3756.4,49,
60,113,6,2025-01-06,geliefert,EUR,BST-60,10866.96,0,
61,1,2,2025-12-31,geliefert,EUR,BST-61,523.98,89,Rush
62,15,16,2025-09-26,fakturiert,CHF,,8329.61,49,
63,35,18,2025-08-13,offen,EUR,BST-63,1601.85,89,
64,59,6,2025-08-22,bestätigt,EUR,BST-64,16771.6,89,
65,17,18,2025-11-22,offen,EUR,BST-65,5509.58,29,
66,43,8,2025-06-03,fakturiert,EUR,BST-66,16662.06,0,
67,112,5,2025-01-29,fakturiert,CHF,BST-67,6814.46,89,
68,51,16,2025-05-11,bestätigt,CHF,,16000.67,0,
69,,6,2025-05-02,bestätigt,EUR,BST-69,15945.06,0,
70,94,5,2024-11-24,bestätigt,EUR,BST-70,5736.3,0,
71,80,9,2024-11-06,bestätigt,EUR,BST-71,29607.73,29,
72,62,9,2025-08-19,storno,EUR,BST-72,4033.81,0,Rush
73,28,11,2025-08-13,bestätigt,EUR,BST-73,7096.42,0,
74,75,,2025-02-03,storno,EUR,BST-74,15719.75,0,
75,63,10,2025-01-03,storno,EUR,BST-75,3027.24,49,
76,74,3,2025-10-06,geliefert,CHF,BST-76,9660.22,89,
77,110,3,2025-08-22,fakturiert,EUR,BST-77,3659.04,0,
78,138,13,2026-01-14,fakturiert,EUR,BST-78,23917.02,29,
79,61,8,2025-12-27,geliefert,EUR,BST-79,1790.64,49,Rush
80,60,7,2026-02-04,offen,EUR,BST-80,20857.79,29,
81,134,9,2025-01-08,bestätigt,EUR,BST-81,24232.17,29,
82,50,15,2024-12-20,offen,EUR,BST-82,18485.13,89,
83,58,5,2026-02-21,offen,EUR,BST-83,10919.58,49,
84,94,5,2026-01-04,storno,EUR,BST-84,12654.29,89,
85,51,16,2025-01-07,fakturiert,EUR,BST-85,4374.46,89,
86,137,12,2025-05-28,geliefert,EUR,BST-86,5833.88,0,
87,53,18,2025-12-06,bestätigt,CHF,BST-87,19296.19,89,Rush
88,125,18,2025-04-02,geliefert,EUR,BST-88,1436.3,89,Rush
89,34,17,2025-01-13,fakturiert,CHF,BST-89,11266.73,89,
90,104,15,2025-07-30,offen,EUR,BST-90,12558.36,49,Rush
91,4,5,2025-09-09,fakturiert,EUR,BST-91,424.5,49,
92,36,1,2024-11-17,geliefert,CHF,BST-92,690.12,29,
93,27,10,2025-02-11,storno,EUR,BST-93,1918.63,89,
94,22,5,2024-12-29,geliefert,CHF,BST-94,7168.48,49,Rush
95,139,14,2025-11-07,fakturiert,EUR,BST-95,8318.81,29,Rush
96,71,18,2025-11-24,fakturiert,EUR,,19677.97,49,
97,131,6,2025-07-16,offen,EUR,BST-97,6705.57,89,
98,87,16,2025-06-14,fakturiert,CHF,BST-98,481.5,89,
99,88,17,2024-12-22,storno,CHF,BST-99,14608.81,0,
100,25,8,2025-07-08,fakturiert,EUR,BST-100,17307.28,29,
101,40,5,2025-12-02,fakturiert,EUR,BST-101,20023.15,89,Rush
102,50,15,2025-03-18,storno,CHF,BST-102,1544.93,29,
103,136,11,2025-03-11,storno,EUR,BST-103,12454.7,29,
104,61,8,2025-12-29,fakturiert,EUR,BST-104,121.7,29,
105,56,3,2025-02-19,geliefert,EUR,,9709.09,89,Rush
106,54,1,2025-03-07,bestätigt,EUR,BST-106,1669.41,29,
107,106,17,2024-11-08,fakturiert,EUR,BST-107,9986.62,0,
108,17,18,2025-01-04,geliefert,EUR,BST-108,8237.19,89,
109,18,1,2025-03-21,geliefert,CHF,BST-109,19342.52,89,
110,130,5,2026-01-20,storno,EUR,BST-110,6448.05,0,Rush
111,139,14,2025-10-15,offen,EUR,BST-111,14264.98,49,
112,82,11,2026-01-28,geliefert,EUR,BST-112,17950.74,49,
113,146,3,2025-02-07,fakturiert,CHF,BST-113,2679.12,0,
114,17,18,2024-12-27,storno,EUR,BST-114,11496.9,29,
115,26,9,2025-01-23,geliefert,EUR,BST-115,13502.89,0,
116,24,7,2025-10-13,bestätigt,EUR,BST-116,2177.36,0,
117,104,15,2025-05-14,fakturiert,CHF,BST-117,14831.39,49,
118,128,3,2025-10-31,storno,CHF,BST-118,5533.53,0,
119,99,10,2025-03-05,bestätigt,EUR,,4593.79,89,
120,27,10,2026-01-30,geliefert,CHF,BST-120,22647.55,89,
121,109,2,2025-06-04,storno,CHF,BST-121,481.5,49,
122,142,17,2025-08-19,bestätigt,EUR,,25853.94,0,
123,70,17,2024-12-27,fakturiert,EUR,BST-123,3880.18,89,
124,82,11,2024-11-07,storno,CHF,BST-124,29615.59,89,
125,129,4,2025-01-25,offen,CHF,BST-125,34495.72,49,
126,120,13,2025-03-22,offen,EUR,,1684.35,0,
127,149,6,2025-06-15,storno,EUR,BST-127,10478.58,0,
128,63,10,2025-08-28,fakturiert,EUR,BST-128,16423.3,0,
129,102,13,2025-06-02,storno,CHF,,3896.58,89,
130,13,14,2025-07-16,geliefert,CHF,BST-130,2455.41,49,
131,26,9,2025-01-30,offen,CHF,BST-131,11668.97,0,
132,55,2,2025-06-09,offen,EUR,BST-132,17193.85,29,
133,99,10,2025-05-17,storno,EUR,BST-133,2117.96,49,
134,150,,2026-01-20,bestätigt,EUR,BST-134,7040.64,29,
135,147,4,2025-01-14,fakturiert,CHF,BST-135,8887.83,89,
136,60,7,2025-11-26,offen,CHF,,17543.71,0,
137,40,5,2026-03-12,bestätigt,CHF,BST-137,5326.6,89,
138,124,17,2025-12-05,fakturiert,EUR,BST-138,17931.14,89,
139,84,13,2026-02-18,bestätigt,EUR,,3862.68,49,
140,,11,2025-08-03,storno,EUR,BST-140,3434.76,49,Rush
141,128,3,2025-08-21,storno,EUR,BST-141,13636.16,29,
142,49,14,2026-02-27,geliefert,EUR,BST-142,2264.88,0,Rush
143,2,3,2024-11-11,geliefert,EUR,BST-143,3920.38,29,
144,138,13,2026-02-02,geliefert,EUR,BST-144,452.28,49,Rush
145,,9,2025-10-07,geliefert,EUR,BST-145,2919.18,49,
146,59,6,2024-11-14,geliefert,EUR,BST-146,2675.5,89,
147,93,,2025-12-09,storno,CHF,BST-147,14913.87,0,Rush
148,11,12,2025-10-16,bestätigt,EUR,BST-148,9779.36,29,
149,77,6,2025-04-05,fakturiert,EUR,BST-149,6403.35,0,
150,58,5,2025-03-17,storno,EUR,BST-150,2175.03,29,
151,137,12,2025-12-26,offen,EUR,BST-151,25129.92,0,
152,141,,2025-02-07,fakturiert,EUR,BST-152,121.7,49,
153,46,,2025-08-02,storno,CHF,BST-153,21121.76,29,
154,145,2,2025-07-26,offen,EUR,BST-154,14768.81,29,
155,83,12,2026-03-08,geliefert,EUR,BST-155,17757.34,89,
156,59,6,2025-08-12,bestätigt,EUR,BST-156,10108.26,29,
157,9,10,2025-06-04,offen,EUR,BST-157,9242.12,49,
158,38,3,2026-01-28,geliefert,EUR,BST-158,7562.98,49,
159,24,7,2025-08-07,geliefert,EUR,BST-159,1682.78,29,
160,101,12,2025-07-08,fakturiert,EUR,BST-160,745.15,0,
161,108,1,2025-08-11,geliefert,EUR,BST-161,3127.1,0,
162,121,14,2025-10-07,geliefert,EUR,BST-162,6168.24,89,
