art_nr,bezeichng,warengrp,lief_nr,ek_preis,vk_preis,lager_stk,mwst_satz
A00001,Bauteil 1,Motoren,2,10.15,17.2,330,0.19
A00002,Bauteil 2,Dichtungen,3,12.3,17.39,357,0.19
A00003,Bauteil 3,Dichtungen,4,14.45,25.56,534,0.19
A00004,Bauteil 4,Schrauben,5,16.6,25.66,401,0.19
A00005,Bauteil 5,Motoren,6,18.75,28.93,405,0.07
A00006,Bauteil 6,Schrauben,7,20.9,37.04,319,0.19
A00007,Bauteil 7,Motoren,8,23.05,39.51,454,0.07
A00008,Bauteil 8,Schrauben,9,25.2,36.15,238,0.19
A00009,Bauteil 9,Dichtungen,10,27.35,39.4,12,0.19
A00010,Bauteil 10,Dichtungen,11,29.5,42.2,214,0.07
A00011,Bauteil 11,Schrauben,12,31.65,49.74,205,0.07
A00012,Bauteil 12,Motoren,13,33.8,48.15,107,0.19
A00013,Bauteil 13,Schrauben,14,35.95,53.51,54,0.19
A00014,Bauteil 14,Werkzeug,15,38.1,58.22,213,0.19
A00015,Bauteil 15,Motoren,16,40.25,63.04,497,0.19
A00016,Bauteil 16,Motoren,17,42.4,72.46,196,0.19
A00017,Bauteil 17,Dichtungen,18,44.55,64.15,452,0.19
A00018,Bauteil 18,Schrauben,19,46.7,81.34,70,0.07
A00019,Bauteil 19,Schrauben,20,48.85,85.93,383,0.19
A00020,Bauteil 20,Motoren,21,51.0,74.74,561,0.19
A00021,Bauteil 21,Schrauben,22,53.15,89.92,563,0.07
A00022,Bauteil 22,Werkzeug,23,55.3,82.82,553,0.19
A00023,Bauteil 23,Schrauben,24,57.45,95.65,133,0.19
A00024,Bauteil 24,Motoren,25,59.6,106.45,393,0.19
A00025,Bauteil 25,Schrauben,26,61.75,94.68,184,0.19
A00026,Bauteil 26,Motoren,27,63.9,103.36,205,0.07
A00027,Bauteil 27,Werkzeug,28,66.05,118.09,61,0.07
A00028,Bauteil 28,Motoren,29,68.2,94.41,265,0.19
A00029,Bauteil 29,Dichtungen,30,70.35,109.85,376,0.19
A00030,Bauteil 30,Dichtungen,1,72.5,101.64,69,0.19
A00031,Bauteil 31,Dichtungen,2,74.65,121.29,78,0.19
A00032,Bauteil 32,Schrauben,3,76.8,135.81,171,0.07
A00033,Bauteil 33,Schrauben,4,78.95,137.23,585,0.19
A00034,Bauteil 34,Schrauben,5,81.1,133.79,17,0.19
A00035,Bauteil 35,Dichtungen,6,83.25,148.84,60,0.07
A00036,Bauteil 36,Dichtungen,7,85.4,152.76,251,0.19
A00037,Bauteil 37,Schrauben,8,87.55,153.49,99,0.07
A00038,Bauteil 38,Motoren,9,89.7,121.7,520,0.19
A00039,Bauteil 39,Schrauben,10,91.85,158.58,175,0.19
A00040,Bauteil 40,Schrauben,11,94.0,164.51,598,0.19
A00041,Bauteil 41,Dichtungen,12,96.15,162.92,274,0.19
A00042,Bauteil 42,Werkzeug,13,98.3,135.61,22,0.19
A00043,Bauteil 43,Werkzeug,14,100.45,135.86,455,0.19
A00044,Bauteil 44,Dichtungen,15,102.6,158.64,487,0.19
A00045,Bauteil 45,Schrauben,16,104.75,183.88,354,0.19
A00046,Bauteil 46,Dichtungen,17,106.9,167.63,86,0.07
A00047,Bauteil 47,Motoren,18,109.05,193.4,303,0.19
A00048,Bauteil 48,Motoren,19,111.2,150.93,121,0.07
A00049,Bauteil 49,Dichtungen,20,113.35,192.27,131,0.19
A00050,Bauteil 50,Werkzeug,21,115.5,169.72,458,0.19
A00051,Bauteil 51,Schrauben,22,117.65,161.7,291,0.19
A00052,Bauteil 52,Werkzeug,23,119.8,183.41,137,0.19
A00053,Bauteil 53,Motoren,24,121.95,185.49,1,0.19
A00054,Bauteil 54,Motoren,25,124.1,197.13,476,0.19
A00055,Bauteil 55,Werkzeug,26,126.25,170.86,517,0.07
A00056,Bauteil 56,Werkzeug,27,128.4,215.8,300,0.19
A00057,Bauteil 57,Schrauben,28,130.55,212.25,394,0.19
A00058,Bauteil 58,Werkzeug,29,132.7,187.02,265,0.07
A00059,Bauteil 59,Dichtungen,30,134.85,182.64,106,0.19
A00060,Bauteil 60,Werkzeug,1,137.0,199.63,556,0.07
A00061,Bauteil 61,Dichtungen,2,139.15,213.52,236,0.07
A00062,Bauteil 62,Werkzeug,3,141.3,193.65,118,0.19
A00063,Bauteil 63,Schrauben,4,143.45,215.93,311,0.19
A00064,Bauteil 64,Schrauben,5,145.6,258.08,486,0.19
A00065,Bauteil 65,Werkzeug,6,147.75,227.87,458,0.07
A00066,Bauteil 66,Schrauben,7,149.9,202.36,51,0.19
A00067,Bauteil 67,Schrauben,8,152.05,235.81,578,0.07
A00068,Bauteil 68,Motoren,9,154.2,257.36,117,0.19
A00069,Bauteil 69,Motoren,10,156.35,231.36,456,0.07
A00070,Bauteil 70,Werkzeug,11,158.5,223.06,418,0.19
A00071,Bauteil 71,Schrauben,12,160.65,223.92,23,0.07
A00072,Bauteil 72,Motoren,13,162.8,238.04,436,0.19
A00073,Bauteil 73,Dichtungen,14,164.95,253.1,94,0.19
A00074,Bauteil 74,Schrauben,15,167.1,257.53,262,0.19
A00075,Bauteil 75,Motoren,16,169.25,277.37,227,0.19
A00076,Bauteil 76,Werkzeug,17,171.4,273.84,181,0.07
A00077,Bauteil 77,Schrauben,18,173.55,268.81,381,0.19
A00078,Bauteil 78,Schrauben,19,175.7,254.46,409,0.19
A00079,Bauteil 79,Motoren,20,177.85,302.87,91,0.19
A00080,Bauteil 80,Werkzeug,21,180.0,301.85,101,0.19
A00081,Bauteil 81,Werkzeug,22,182.15,265.38,469,0.19
A00082,Bauteil 82,Schrauben,23,184.3,245.34,533,0.07
A00083,Bauteil 83,Motoren,24,186.45,257.01,221,0.19
A00084,Bauteil 84,Werkzeug,25,188.6,287.28,121,0.07
A00085,Bauteil 85,Dichtungen,26,190.75,253.81,163,0.19
A00086,Bauteil 86,Schrauben,27,192.9,315.84,516,0.19
A00087,Bauteil 87,Schrauben,28,195.05,256.72,477,0.07
A00088,Bauteil 88,Dichtungen,29,197.2,295.42,309,0.19
A00089,Bauteil 89,Werkzeug,30,199.35,270.56,87,0.19
A00090,Bauteil 90,Dichtungen,1,201.5,287.26,578,0.07
