ret_id,pos_id,ret_dat,ret_menge,grund,erstattung,bearb_geb,netto_erst
1,4,2026-03-07,23,Reklamation,2519.19,12.5,2506.69
2,8,2025-07-05,12,Reklamation,894.46,12.5,881.96
3,19,2025-03-05,3,Überbestand,493.13,0.0,493.13
4,24,2025-06-12,18,Falschlieferung,4180.9,0.0,4180.9
5,43,2025-05-22,21,Falschlieferung,4081.08,12.5,4068.58
6,44,2025-06-20,12,Überbestand,1630.04,12.5,1617.54
7,109,2024-12-09,21,Überbestand,4809.29,0.0,4809.29
8,114,2025-04-29,30,Überbestand,6968.16,12.5,6955.66
9,115,2025-05-15,1,Falschlieferung,201.53,12.5,189.03
10,120,2025-05-09,7,Falschlieferung,1457.57,12.5,1445.07
11,139,2025-03-20,1,Falschlieferung,44.77,0.0,44.77
12,140,2026-03-25,8,Falschlieferung,1086.7,12.5,1074.2
13,159,2025-02-26,3,Reklamation,46.44,0.0,46.44
14,179,2025-03-11,7,Reklamation,854.34,0.0,854.34
15,187,2025-09-29,34,Überbestand,3110.18,12.5,3097.68
16,208,2026-01-26,5,Überbestand,821.88,0.0,821.88
17,214,2025-12-26,1,Überbestand,208.22,0.0,208.22
18,262,2025-01-11,30,Überbestand,4931.28,12.5,4918.78
19,293,2025-10-03,29,Falschlieferung,5054.27,12.5,5041.77
20,296,2025-09-12,21,Reklamation,5080.51,12.5,5068.01
21,309,2025-06-23,6,Überbestand,1001.65,0.0,1001.65
22,356,2026-01-21,2,Falschlieferung,463.55,0.0,463.55
23,374,2026-03-31,3,Überbestand,318.84,0.0,318.84
24,379,2025-09-08,14,Reklamation,3198.01,0.0,3198.01
25,386,2025-09-30,6,Reklamation,722.47,0.0,722.47
26,402,2025-09-04,20,Überbestand,2125.62,12.5,2113.12
27,431,2025-11-23,3,Überbestand,522.18,0.0,522.18
28,444,2025-10-01,6,Reklamation,213.35,0.0,213.35
29,453,2025-10-20,15,Überbestand,2595.65,0.0,2595.65
30,463,2025-09-14,12,Reklamation,1097.71,12.5,1085.21
31,469,2025-12-21,24,Überbestand,3519.07,0.0,3519.07
32,471,2024-12-28,5,Falschlieferung,426.06,12.5,413.56
33,488,2025-11-08,1,Falschlieferung,32.53,0.0,32.53
34,507,2025-01-31,19,Überbestand,1820.3,12.5,1807.8
35,511,2026-02-26,11,Überbestand,1820.41,0.0,1820.41
36,550,2025-02-13,33,Reklamation,1173.45,12.5,1160.95
37,556,2025-07-13,4,Überbestand,230.94,0.0,230.94
38,584,2025-04-03,2,Reklamation,66.67,0.0,66.67
39,590,2025-03-15,1,Reklamation,229.01,12.5,216.51
40,591,2025-06-14,27,Falschlieferung,422.58,0.0,422.58
41,606,2025-05-06,2,Falschlieferung,364.25,0.0,364.25
42,611,2025-05-06,16,Reklamation,250.42,12.5,237.92
43,615,2026-04-06,5,Überbestand,1209.64,0.0,1209.64
44,620,2025-06-29,43,Falschlieferung,8356.49,12.5,8343.99
45,630,2024-11-26,14,Falschlieferung,364.52,0.0,364.52
46,633,2025-07-01,26,Überbestand,4376.27,0.0,4376.27
47,644,2025-06-27,11,Reklamation,2216.81,0.0,2216.81
48,665,2025-09-15,13,Überbestand,2498.18,0.0,2498.18
49,681,2025-11-25,17,Falschlieferung,2794.39,0.0,2794.39
50,705,2025-05-15,6,Falschlieferung,1451.57,0.0,1451.57
51,708,2025-03-04,33,Falschlieferung,1729.13,12.5,1716.63
52,726,2025-01-21,15,Falschlieferung,3183.43,0.0,3183.43
53,738,2025-04-12,36,Reklamation,3348.86,0.0,3348.86
54,759,2025-09-12,15,Reklamation,2009.34,0.0,2009.34
55,794,2025-01-16,45,Reklamation,5492.21,0.0,5492.21
56,800,2025-04-16,5,Reklamation,727.65,0.0,727.65
57,802,2024-11-17,8,Überbestand,266.69,0.0,266.69
58,812,2025-01-05,1,Überbestand,77.34,0.0,77.34
59,829,2025-07-04,4,Falschlieferung,927.11,0.0,927.11
60,846,2025-03-31,2,Reklamation,154.67,12.5,142.17
61,849,2025-04-13,2,Falschlieferung,134.53,12.5,122.03
62,871,2025-08-06,3,Reklamation,195.64,12.5,183.14
63,925,2025-03-29,15,Falschlieferung,1395.36,0.0,1395.36
64,931,2025-07-24,1,Falschlieferung,182.12,0.0,182.12
65,933,2025-07-02,15,Überbestand,2913.3,0.0,2913.3
66,936,2025-06-04,33,Reklamation,8532.22,12.5,8519.72
67,945,2026-02-08,8,Falschlieferung,1713.89,12.5,1701.39
68,949,2025-01-18,3,Reklamation,696.82,12.5,684.32
69,961,2025-07-05,8,Reklamation,1184.47,12.5,1171.97
