lief_nr,lief_bez,land,ort,lieferzeit_t,bewertung
1,Lief Südhandel 1,AT,Ningbo,35,5
2,Lief Westlog 2,CN,Ningbo,10,2
3,Lief Ostbau 3,AT,Leipzig,14,4
4,Lief Alpin 4,DE,Köln,10,4
5,Lief Hanse 5,AT,Ningbo,14,3
6,Lief Rhein 6,AT,Köln,21,5
7,Lief Main 7,CN,Katowice,35,2
8,Lief Elbe 8,CN,Stuttgart,14,2
9,Lief Donau 9,PL,Frankfurt,35,3
10,Lief Nordwerk 10,AT,Hamburg,35,4
11,Lief Südhandel 11,AT,Leipzig,14,3
12,Lief Westlog 12,DE,Hamburg,10,2
13,Lief Ostbau 13,PL,Frankfurt,21,4
14,Lief Alpin 14,AT,Hamburg,35,4
15,Lief Hanse 15,AT,Köln,14,5
16,Lief Rhein 16,CN,Leipzig,14,4
17,Lief Main 17,AT,Katowice,35,4
18,Lief Elbe 18,AT,Ningbo,14,5
19,Lief Donau 19,CN,München,35,2
20,Lief Nordwerk 20,PL,Frankfurt,10,4
21,Lief Südhandel 21,AT,Frankfurt,14,4
22,Lief Westlog 22,AT,Stuttgart,14,3
23,Lief Ostbau 23,PL,Ningbo,35,3
24,Lief Alpin 24,AT,Berlin,21,3
25,Lief Hanse 25,AT,Stuttgart,35,4
26,Lief Rhein 26,PL,München,10,3
27,Lief Main 27,DE,Katowice,35,4
28,Lief Elbe 28,CN,Berlin,21,5
29,Lief Donau 29,PL,Leipzig,14,3
30,Lief Nordwerk 30,CN,München,10,5
