route_id,depot_id,vehicle_id,driver_id,route_date,planned_stops,total_distance_km
1,4,3,19,2025-04-19,3,80.6
2,1,16,8,2025-04-25,7,156.8
3,7,14,14,2025-06-27,3,101.6
4,8,23,23,2025-04-05,4,120.6
5,4,11,11,2025-04-18,3,100.0
6,4,11,19,2025-05-06,5,108.0
7,4,19,11,2025-06-13,4,130.4
8,2,9,9,2025-04-17,3,91.0
9,6,13,21,2025-06-26,6,205.3
10,8,23,15,2025-05-16,3,104.4
11,5,12,12,2025-04-02,3,99.5
12,2,9,17,2025-06-03,6,170.6
13,5,20,28,2025-04-03,3,61.1
14,8,23,7,2025-06-18,6,183.7
15,4,19,3,2025-05-28,5,172.2
16,1,24,16,2025-05-08,3,77.0
17,4,11,27,2025-06-17,6,84.8
18,7,14,22,2025-04-21,6,209.8
19,8,15,23,2025-06-10,3,84.1
20,3,10,10,2025-04-03,5,158.9
21,8,15,23,2025-05-10,5,133.7
22,5,20,4,2025-05-25,6,100.4
23,4,19,27,2025-06-22,5,164.9
24,7,22,22,2025-06-15,3,75.0
25,2,1,9,2025-05-23,7,178.2
26,4,19,27,2025-06-16,6,148.1
27,1,16,24,2025-06-26,5,125.3
28,1,24,24,2025-06-03,7,167.5
29,5,20,20,2025-04-26,7,210.6
30,4,3,27,2025-05-01,4,113.9
31,5,20,4,2025-04-25,7,197.0
32,4,3,3,2025-05-12,4,115.5
33,3,10,18,2025-05-25,3,83.6
34,3,18,2,2025-05-10,4,139.1
35,7,6,22,2025-04-27,6,132.4
36,2,9,25,2025-04-20,5,133.7
37,1,16,24,2025-04-30,3,80.5
38,2,9,17,2025-04-18,7,113.0
39,5,4,20,2025-04-10,7,122.9
40,5,12,4,2025-06-04,4,84.5
41,4,19,19,2025-06-05,7,152.4
42,8,23,23,2025-06-08,5,183.8
43,6,5,5,2025-05-07,5,127.0
44,8,7,15,2025-04-13,7,193.1
45,8,23,15,2025-05-19,5,121.3
46,2,9,9,2025-05-08,3,117.6
47,2,25,17,2025-06-12,4,66.6
48,3,18,2,2025-05-29,3,73.2
49,8,23,7,2025-05-11,7,145.3
50,4,19,3,2025-04-18,7,191.9
51,3,18,2,2025-04-06,6,114.2
52,4,11,3,2025-06-25,4,157.5
53,8,7,23,2025-05-04,5,97.9
54,3,10,10,2025-04-05,4,120.3
55,5,20,4,2025-05-31,4,100.8
56,8,7,23,2025-05-08,5,165.3
57,8,15,15,2025-04-15,6,126.4
58,8,7,7,2025-06-27,6,207.6
59,6,21,29,2025-05-20,7,171.7
60,6,5,13,2025-04-22,7,229.8
61,8,23,23,2025-04-07,7,223.8
62,2,25,17,2025-04-18,4,53.0
63,5,12,28,2025-04-21,3,49.6
64,5,4,28,2025-06-07,3,127.7
65,5,20,20,2025-06-28,3,66.0
66,8,7,23,2025-05-16,3,91.2
67,1,24,24,2025-04-22,7,210.3
68,2,9,17,2025-04-16,6,174.4
69,7,6,22,2025-06-12,6,148.1
70,8,23,7,2025-06-14,3,64.8
71,8,7,7,2025-04-19,6,221.8
72,3,10,2,2025-05-20,3,105.9
73,7,14,6,2025-04-08,5,87.1
