scan_id,shipment_id,stop_id,scanned_at,event_type,location
1,1,1,2025-04-19 08:28:00,pickup,Stuttgart
2,1,1,2025-04-19 08:27:00,out_for_delivery,Hamburg
3,1,1,2025-04-19 08:20:00,delivered,Frankfurt
4,2,2,2025-04-19 10:31:00,pickup,Hamburg
5,2,2,2025-04-19 10:17:00,out_for_delivery,Frankfurt
6,2,2,2025-04-19 10:15:00,delivered,Köln
7,3,3,2025-04-19 11:10:00,pickup,München
8,3,3,2025-04-19 11:07:00,out_for_delivery,Stuttgart
9,3,3,2025-04-19 11:14:00,delivered,Berlin
10,4,4,2025-04-25 09:39:00,pickup,Leipzig
11,4,4,2025-04-25 09:18:00,out_for_delivery,Leipzig
12,4,4,2025-04-25 09:03:00,delivered,Frankfurt
13,5,5,2025-04-25 09:48:00,pickup,Leipzig
14,5,5,2025-04-25 10:10:00,out_for_delivery,Stuttgart
15,5,5,2025-04-25 10:08:00,delivered,Stuttgart
16,6,6,2025-04-25 10:36:00,pickup,München
17,6,6,2025-04-25 10:46:00,out_for_delivery,Hamburg
18,6,6,2025-04-25 10:16:00,delivered,Hamburg
19,7,7,2025-04-25 12:51:00,pickup,Leipzig
20,7,7,2025-04-25 12:40:00,out_for_delivery,Leipzig
21,7,7,2025-04-25 12:27:00,delivered,Hamburg
22,8,8,2025-04-25 12:58:00,pickup,Köln
23,8,8,2025-04-25 13:03:00,out_for_delivery,Frankfurt
24,8,8,2025-04-25 13:17:00,delivered,Leipzig
25,9,9,2025-04-25 13:00:00,pickup,Köln
26,9,9,2025-04-25 13:07:00,out_for_delivery,Leipzig
27,9,9,2025-04-25 13:05:00,delivered,Stuttgart
28,10,10,2025-04-25 16:31:00,pickup,Berlin
29,10,10,2025-04-25 16:16:00,out_for_delivery,Köln
30,10,10,2025-04-25 16:20:00,delivered,Hamburg
31,11,11,2025-06-27 08:23:00,pickup,Berlin
32,11,11,2025-06-27 08:34:00,out_for_delivery,Leipzig
33,11,11,2025-06-27 08:44:00,delivered,Köln
34,12,12,2025-06-27 10:12:00,pickup,Köln
35,12,12,2025-06-27 10:10:00,out_for_delivery,München
36,12,12,2025-06-27 10:30:00,delivered,Stuttgart
37,13,13,2025-06-27 11:34:00,pickup,Berlin
38,13,13,2025-06-27 11:13:00,out_for_delivery,Hamburg
39,13,13,2025-06-27 11:21:00,delivered,Frankfurt
40,14,14,2025-04-05 09:05:00,pickup,Frankfurt
41,14,14,2025-04-05 09:09:00,out_for_delivery,Stuttgart
42,14,14,2025-04-05 09:08:00,delivered,Leipzig
43,15,15,2025-04-05 11:35:00,pickup,Köln
44,15,15,2025-04-05 11:02:00,out_for_delivery,Berlin
45,15,15,2025-04-05 11:15:00,delivered,Stuttgart
46,16,16,2025-04-05 11:23:00,pickup,Leipzig
47,16,16,2025-04-05 11:11:00,out_for_delivery,Hamburg
48,16,16,2025-04-05 11:01:00,delivered,Leipzig
49,17,17,2025-04-05 12:06:00,pickup,München
50,17,17,2025-04-05 11:59:00,out_for_delivery,Stuttgart
51,17,17,2025-04-05 12:12:00,delivered,Hamburg
52,18,18,2025-04-18 09:23:00,pickup,Berlin
53,18,18,2025-04-18 09:11:00,out_for_delivery,Frankfurt
54,18,18,2025-04-18 08:53:00,delivered,Hamburg
55,19,19,2025-04-18 10:54:00,pickup,Leipzig
56,19,19,2025-04-18 10:47:00,out_for_delivery,Stuttgart
57,19,19,2025-04-18 11:17:00,delivered,Hamburg
58,20,20,2025-04-18 11:50:00,pickup,München
59,20,20,2025-04-18 11:40:00,out_for_delivery,Hamburg
60,20,20,2025-04-18 11:46:00,delivered,Hamburg
61,21,21,2025-05-06 08:52:00,pickup,Frankfurt
62,21,21,2025-05-06 08:39:00,out_for_delivery,Stuttgart
63,21,21,2025-05-06 08:26:00,delivered,Hamburg
64,22,22,2025-05-06 10:30:00,pickup,Stuttgart
65,22,22,2025-05-06 10:18:00,out_for_delivery,Leipzig
66,22,22,2025-05-06 10:21:00,delivered,Stuttgart
67,23,23,2025-05-06 11:05:00,pickup,Leipzig
68,23,23,2025-05-06 11:04:00,out_for_delivery,Stuttgart
69,23,23,2025-05-06 11:01:00,delivered,Stuttgart
70,24,24,2025-05-06 12:53:00,pickup,Leipzig
71,24,24,2025-05-06 12:51:00,out_for_delivery,Frankfurt
72,25,25,2025-05-06 13:46:00,pickup,Köln
73,25,25,2025-05-06 13:42:00,out_for_delivery,Frankfurt
74,25,25,2025-05-06 13:52:00,delivered,München
75,26,26,2025-06-13 10:10:00,pickup,Hamburg
76,26,26,2025-06-13 09:50:00,out_for_delivery,Berlin
77,26,26,2025-06-13 09:37:00,delivered,Stuttgart
78,27,27,2025-06-13 10:28:00,pickup,Berlin
79,27,27,2025-06-13 10:29:00,out_for_delivery,München
80,27,27,2025-06-13 10:38:00,delivered,Stuttgart
81,28,28,2025-06-13 11:35:00,pickup,Stuttgart
82,28,28,2025-06-13 11:39:00,out_for_delivery,Köln
83,28,28,2025-06-13 11:32:00,delivered,Köln
84,29,29,2025-06-13 12:18:00,pickup,Frankfurt
85,29,29,2025-06-13 12:53:00,out_for_delivery,Stuttgart
86,29,29,2025-06-13 12:41:00,delivered,Frankfurt
87,30,30,2025-04-17 09:51:00,pickup,Stuttgart
88,30,30,2025-04-17 09:56:00,out_for_delivery,Frankfurt
89,30,30,2025-04-17 09:47:00,delivered,München
90,31,31,2025-04-17 09:31:00,pickup,München
91,31,31,2025-04-17 10:00:00,out_for_delivery,Köln
92,31,31,2025-04-17 09:41:00,delivered,München
93,32,32,2025-04-17 12:05:00,pickup,Stuttgart
94,32,32,2025-04-17 12:27:00,out_for_delivery,Hamburg
95,32,32,2025-04-17 12:29:00,delivered,München
96,33,33,2025-06-26 08:46:00,pickup,München
97,33,33,2025-06-26 09:13:00,out_for_delivery,Leipzig
98,33,33,2025-06-26 09:06:00,delivered,Leipzig
99,34,34,2025-06-26 10:15:00,pickup,München
100,34,34,2025-06-26 09:56:00,out_for_delivery,Hamburg
101,34,34,2025-06-26 10:18:00,delivered,München
102,35,35,2025-06-26 11:10:00,pickup,Stuttgart
103,35,35,2025-06-26 10:45:00,out_for_delivery,Berlin
104,35,35,2025-06-26 11:23:00,delivered,München
105,36,36,2025-06-26 12:05:00,pickup,Hamburg
106,36,36,2025-06-26 11:55:00,out_for_delivery,München
107,37,37,2025-06-26 13:17:00,pickup,Stuttgart
108,37,37,2025-06-26 13:04:00,out_for_delivery,Stuttgart
109,37,37,2025-06-26 13:34:00,delivered,Köln
110,38,38,2025-06-26 14:28:00,pickup,München
111,38,38,2025-06-26 14:31:00,out_for_delivery,Berlin
112,38,38,2025-06-26 14:35:00,delivered,Köln
113,39,39,2025-05-16 09:31:00,pickup,München
114,39,39,2025-05-16 09:17:00,out_for_delivery,Köln
115,40,40,2025-05-16 09:39:00,pickup,Frankfurt
116,40,40,2025-05-16 09:47:00,out_for_delivery,Leipzig
117,41,41,2025-05-16 11:05:00,pickup,Köln
118,41,41,2025-05-16 10:58:00,out_for_delivery,Stuttgart
119,41,41,2025-05-16 10:50:00,delivered,Frankfurt
120,42,42,2025-04-02 09:05:00,pickup,München
121,42,42,2025-04-02 09:19:00,out_for_delivery,Berlin
122,42,42,2025-04-02 09:15:00,delivered,Hamburg
123,43,43,2025-04-02 11:30:00,pickup,München
124,43,43,2025-04-02 11:16:00,out_for_delivery,Stuttgart
125,43,43,2025-04-02 11:35:00,delivered,Berlin
126,44,44,2025-04-02 11:05:00,pickup,Stuttgart
127,44,44,2025-04-02 10:58:00,out_for_delivery,Stuttgart
128,44,44,2025-04-02 10:38:00,delivered,Köln
129,45,45,2025-06-03 08:41:00,pickup,Köln
130,45,45,2025-06-03 08:51:00,out_for_delivery,Köln
131,45,45,2025-06-03 09:13:00,delivered,München
132,46,46,2025-06-03 10:05:00,pickup,Berlin
133,46,46,2025-06-03 10:05:00,out_for_delivery,Köln
134,47,47,2025-06-03 11:22:00,pickup,Stuttgart
135,47,47,2025-06-03 11:35:00,out_for_delivery,Köln
136,47,47,2025-06-03 11:40:00,delivered,Hamburg
137,48,48,2025-06-03 12:12:00,pickup,Leipzig
138,48,48,2025-06-03 12:25:00,out_for_delivery,Frankfurt
139,48,48,2025-06-03 12:39:00,delivered,München
140,49,49,2025-06-03 12:11:00,pickup,Berlin
141,49,49,2025-06-03 12:18:00,out_for_delivery,Hamburg
142,49,49,2025-06-03 12:07:00,delivered,Hamburg
143,50,50,2025-06-03 13:18:00,pickup,Leipzig
144,50,50,2025-06-03 13:19:00,out_for_delivery,Berlin
145,50,50,2025-06-03 13:40:00,delivered,Leipzig
146,51,51,2025-04-03 08:56:00,pickup,Stuttgart
147,51,51,2025-04-03 08:53:00,out_for_delivery,Leipzig
148,52,52,2025-04-03 11:33:00,pickup,Köln
149,52,52,2025-04-03 11:08:00,out_for_delivery,Stuttgart
150,52,52,2025-04-03 11:21:00,delivered,Frankfurt
151,53,53,2025-04-03 11:07:00,pickup,Stuttgart
152,53,53,2025-04-03 11:01:00,out_for_delivery,Leipzig
153,53,53,2025-04-03 11:12:00,delivered,Leipzig
154,54,54,2025-06-18 09:45:00,pickup,Berlin
155,54,54,2025-06-18 09:47:00,out_for_delivery,Frankfurt
156,54,54,2025-06-18 09:17:00,delivered,München
157,55,55,2025-06-18 10:26:00,pickup,Frankfurt
158,55,55,2025-06-18 10:25:00,out_for_delivery,Frankfurt
159,55,55,2025-06-18 10:27:00,delivered,Hamburg
160,56,56,2025-06-18 12:21:00,pickup,Köln
161,56,56,2025-06-18 12:08:00,out_for_delivery,Köln
162,56,56,2025-06-18 12:11:00,delivered,Leipzig
163,57,57,2025-06-18 13:10:00,pickup,Frankfurt
164,57,57,2025-06-18 12:49:00,out_for_delivery,München
165,57,57,2025-06-18 12:46:00,delivered,München
166,58,58,2025-06-18 13:16:00,pickup,München
167,58,58,2025-06-18 13:27:00,out_for_delivery,Berlin
168,58,58,2025-06-18 13:36:00,delivered,Stuttgart
169,59,59,2025-06-18 14:18:00,pickup,Frankfurt
170,59,59,2025-06-18 14:24:00,out_for_delivery,Berlin
171,59,59,2025-06-18 14:37:00,delivered,Berlin
172,60,60,2025-05-28 09:15:00,pickup,München
173,60,60,2025-05-28 09:49:00,out_for_delivery,München
174,60,60,2025-05-28 09:15:00,delivered,Berlin
175,61,61,2025-05-28 10:39:00,pickup,Stuttgart
176,61,61,2025-05-28 10:23:00,out_for_delivery,Leipzig
177,61,61,2025-05-28 10:41:00,delivered,Berlin
178,62,62,2025-05-28 11:32:00,pickup,Berlin
179,62,62,2025-05-28 11:22:00,out_for_delivery,Berlin
180,62,62,2025-05-28 11:11:00,delivered,Köln
181,63,63,2025-05-28 12:42:00,pickup,Stuttgart
182,63,63,2025-05-28 12:55:00,out_for_delivery,Leipzig
183,63,63,2025-05-28 12:30:00,delivered,Berlin
184,64,64,2025-05-28 13:29:00,pickup,Berlin
185,64,64,2025-05-28 13:35:00,out_for_delivery,Stuttgart
186,64,64,2025-05-28 13:07:00,delivered,Köln
187,65,65,2025-05-08 08:17:00,pickup,München
188,65,65,2025-05-08 08:36:00,out_for_delivery,Leipzig
189,65,65,2025-05-08 08:30:00,delivered,Leipzig
190,66,66,2025-05-08 10:02:00,pickup,Hamburg
191,66,66,2025-05-08 09:51:00,out_for_delivery,Stuttgart
192,66,66,2025-05-08 09:31:00,delivered,Leipzig
193,67,67,2025-05-08 11:42:00,pickup,Köln
194,67,67,2025-05-08 11:47:00,out_for_delivery,Hamburg
195,67,67,2025-05-08 11:40:00,delivered,Leipzig
196,68,68,2025-06-17 08:32:00,pickup,Leipzig
197,68,68,2025-06-17 08:49:00,out_for_delivery,Leipzig
198,68,68,2025-06-17 08:45:00,delivered,Frankfurt
199,69,69,2025-06-17 10:18:00,pickup,Berlin
200,69,69,2025-06-17 10:28:00,out_for_delivery,Köln
201,69,69,2025-06-17 10:24:00,delivered,Hamburg
202,70,70,2025-06-17 11:24:00,pickup,Frankfurt
203,70,70,2025-06-17 11:09:00,out_for_delivery,Köln
204,70,70,2025-06-17 11:25:00,delivered,Leipzig
205,71,71,2025-06-17 12:38:00,pickup,Berlin
206,71,71,2025-06-17 12:24:00,out_for_delivery,Stuttgart
207,71,71,2025-06-17 12:46:00,delivered,Berlin
208,72,72,2025-06-17 13:16:00,pickup,Hamburg
209,72,72,2025-06-17 13:12:00,out_for_delivery,Berlin
210,72,72,2025-06-17 13:21:00,delivered,Leipzig
211,73,73,2025-06-17 13:08:00,pickup,Leipzig
212,73,73,2025-06-17 13:31:00,out_for_delivery,Leipzig
213,73,73,2025-06-17 13:30:00,delivered,Leipzig
214,74,74,2025-04-21 08:50:00,pickup,Berlin
215,74,74,2025-04-21 08:50:00,out_for_delivery,Stuttgart
216,74,74,2025-04-21 09:05:00,delivered,Hamburg
217,75,75,2025-04-21 09:31:00,pickup,Köln
218,75,75,2025-04-21 09:39:00,out_for_delivery,Stuttgart
219,75,75,2025-04-21 09:16:00,delivered,Frankfurt
220,76,76,2025-04-21 11:16:00,pickup,Berlin
221,76,76,2025-04-21 11:42:00,out_for_delivery,Berlin
222,76,76,2025-04-21 11:27:00,delivered,Berlin
223,77,77,2025-04-21 11:41:00,pickup,Berlin
224,77,77,2025-04-21 11:39:00,out_for_delivery,Leipzig
225,78,78,2025-04-21 13:33:00,pickup,Stuttgart
226,78,78,2025-04-21 13:46:00,out_for_delivery,Frankfurt
227,79,79,2025-04-21 14:57:00,pickup,Leipzig
228,79,79,2025-04-21 14:31:00,out_for_delivery,Köln
229,79,79,2025-04-21 14:42:00,delivered,Berlin
230,80,80,2025-06-10 09:06:00,pickup,Berlin
231,80,80,2025-06-10 08:57:00,out_for_delivery,Leipzig
232,80,80,2025-06-10 08:34:00,delivered,Berlin
233,81,81,2025-06-10 09:55:00,pickup,Stuttgart
234,81,81,2025-06-10 09:54:00,out_for_delivery,Leipzig
235,81,81,2025-06-10 09:38:00,delivered,Berlin
236,82,82,2025-06-10 11:15:00,pickup,Stuttgart
237,82,82,2025-06-10 11:26:00,out_for_delivery,München
238,82,82,2025-06-10 11:29:00,delivered,Berlin
239,83,83,2025-04-03 09:44:00,pickup,Köln
240,83,83,2025-04-03 09:33:00,out_for_delivery,München
241,83,83,2025-04-03 09:20:00,delivered,München
242,84,84,2025-04-03 09:45:00,pickup,Berlin
243,84,84,2025-04-03 10:16:00,out_for_delivery,Stuttgart
244,84,84,2025-04-03 10:03:00,delivered,Hamburg
245,85,85,2025-04-03 11:18:00,pickup,Köln
246,85,85,2025-04-03 11:06:00,out_for_delivery,Berlin
247,85,85,2025-04-03 11:17:00,delivered,Leipzig
248,86,86,2025-04-03 12:40:00,pickup,München
249,86,86,2025-04-03 12:38:00,out_for_delivery,Frankfurt
250,86,86,2025-04-03 12:31:00,delivered,Hamburg
251,87,87,2025-04-03 13:38:00,pickup,München
252,87,87,2025-04-03 13:49:00,out_for_delivery,Hamburg
253,87,87,2025-04-03 13:24:00,delivered,Leipzig
254,88,88,2025-05-10 08:06:00,pickup,Köln
255,88,88,2025-05-10 08:07:00,out_for_delivery,Köln
256,88,88,2025-05-10 08:23:00,delivered,Berlin
257,89,89,2025-05-10 10:07:00,pickup,Frankfurt
258,89,89,2025-05-10 09:43:00,out_for_delivery,Hamburg
259,89,89,2025-05-10 09:45:00,delivered,Stuttgart
260,90,90,2025-05-10 10:10:00,pickup,Berlin
261,90,90,2025-05-10 10:19:00,out_for_delivery,Hamburg
262,90,90,2025-05-10 10:02:00,delivered,München
263,91,91,2025-05-10 12:14:00,pickup,Leipzig
264,91,91,2025-05-10 12:02:00,out_for_delivery,München
265,91,91,2025-05-10 12:08:00,delivered,Hamburg
266,92,92,2025-05-10 13:51:00,pickup,Hamburg
267,92,92,2025-05-10 13:16:00,out_for_delivery,Leipzig
268,92,92,2025-05-10 13:33:00,delivered,Hamburg
269,93,93,2025-05-25 08:50:00,pickup,Hamburg
270,93,93,2025-05-25 09:08:00,out_for_delivery,Hamburg
271,93,93,2025-05-25 09:21:00,delivered,Leipzig
272,94,94,2025-05-25 10:08:00,pickup,Hamburg
273,94,94,2025-05-25 10:01:00,out_for_delivery,Frankfurt
274,94,94,2025-05-25 09:44:00,delivered,Berlin
275,95,95,2025-05-25 11:03:00,pickup,Stuttgart
276,95,95,2025-05-25 11:13:00,out_for_delivery,München
277,95,95,2025-05-25 11:25:00,delivered,Stuttgart
278,96,96,2025-05-25 13:03:00,pickup,München
279,96,96,2025-05-25 12:59:00,out_for_delivery,Frankfurt
280,96,96,2025-05-25 12:32:00,delivered,Berlin
281,97,97,2025-05-25 12:55:00,pickup,Frankfurt
282,97,97,2025-05-25 12:38:00,out_for_delivery,Köln
283,97,97,2025-05-25 13:10:00,delivered,Berlin
284,98,98,2025-05-25 15:02:00,pickup,Berlin
285,98,98,2025-05-25 14:48:00,out_for_delivery,Leipzig
286,98,98,2025-05-25 14:51:00,delivered,Köln
287,99,99,2025-06-22 09:46:00,pickup,Hamburg
288,99,99,2025-06-22 09:45:00,out_for_delivery,Stuttgart
289,99,99,2025-06-22 09:43:00,delivered,Köln
290,100,100,2025-06-22 10:11:00,pickup,Frankfurt
291,100,100,2025-06-22 10:05:00,out_for_delivery,Frankfurt
292,100,100,2025-06-22 10:25:00,delivered,Köln
293,101,101,2025-06-22 11:07:00,pickup,Köln
294,101,101,2025-06-22 11:00:00,out_for_delivery,Frankfurt
295,101,101,2025-06-22 11:08:00,delivered,Köln
296,102,102,2025-06-22 13:07:00,pickup,Leipzig
297,102,102,2025-06-22 12:49:00,out_for_delivery,Stuttgart
298,102,102,2025-06-22 13:08:00,delivered,Stuttgart
299,103,103,2025-06-22 13:50:00,pickup,Hamburg
