shipment_id,route_id,depot_id,consignee,promised_at,delivered_at,delay_min,weight_kg,status
1,1,4,Südhandel 1,2025-04-19 09:00:00,2025-04-19 08:40:00,-20,95.1,delivered
2,1,4,Westlog 2,2025-04-19 10:30:00,2025-04-19 10:55:00,25,92.2,delivered
3,1,4,Ostbau 3,2025-04-19 11:30:00,2025-04-19 11:40:00,10,364.4,delivered
4,2,1,Südhandel 4,2025-04-25 09:30:00,2025-04-25 09:40:00,10,315.8,delivered
5,2,1,Westlog 5,2025-04-25 10:00:00,2025-04-25 10:10:00,10,24.8,delivered
6,2,1,Ostbau 6,2025-04-25 11:00:00,2025-04-25 10:55:00,-5,168.9,delivered
7,2,1,Alpin 7,2025-04-25 12:00:00,2025-04-25 12:55:00,55,147.2,delivered
8,2,1,Hanse 8,2025-04-25 13:00:00,2025-04-25 13:25:00,25,295.4,exception
9,2,1,Rhein 9,2025-04-25 14:00:00,2025-04-25 13:40:00,-20,223.2,delivered
10,2,1,Main 10,2025-04-25 15:45:00,2025-04-25 16:40:00,55,359.8,delivered
11,3,7,Südhandel 11,2025-06-27 09:00:00,2025-06-27 09:00:00,0,382.2,delivered
12,3,7,Westlog 12,2025-06-27 10:15:00,2025-06-27 10:40:00,25,74.9,exception
13,3,7,Ostbau 13,2025-06-27 11:45:00,2025-06-27 11:45:00,0,381.6,delivered
14,4,8,Südhandel 14,2025-04-05 09:15:00,2025-04-05 09:40:00,25,73.1,late
15,4,8,Westlog 15,2025-04-05 10:45:00,2025-04-05 11:40:00,55,324.9,delivered
16,4,8,Ostbau 16,2025-04-05 11:15:00,2025-04-05 11:40:00,25,400.3,delivered
17,4,8,Alpin 17,2025-04-05 12:15:00,2025-04-05 12:25:00,10,250.5,delivered
18,5,4,Südhandel 18,2025-04-18 09:30:00,2025-04-18 09:25:00,-5,281.3,delivered
19,5,4,Westlog 19,2025-04-18 10:30:00,2025-04-18 11:25:00,55,229.3,exception
20,5,4,Ostbau 20,2025-04-18 11:45:00,2025-04-18 11:55:00,10,271.5,delivered
21,6,4,Südhandel 21,2025-05-06 09:00:00,2025-05-06 08:55:00,-5,40.3,delivered
22,6,4,Westlog 22,2025-05-06 10:45:00,2025-05-06 10:55:00,10,193.1,delivered
23,6,4,Ostbau 23,2025-05-06 11:30:00,2025-05-06 11:10:00,-20,325.9,delivered
24,6,4,Alpin 24,2025-05-06 12:30:00,,,347.8,delivered
25,6,4,Hanse 25,2025-05-06 13:45:00,2025-05-06 14:10:00,25,260.8,delivered
26,7,4,Südhandel 26,2025-06-13 09:45:00,2025-06-13 10:10:00,25,168.8,late
27,7,4,Westlog 27,2025-06-13 10:30:00,2025-06-13 10:55:00,25,93.5,late
28,7,4,Ostbau 28,2025-06-13 11:30:00,2025-06-13 11:40:00,10,61.5,delivered
29,7,4,Alpin 29,2025-06-13 12:00:00,2025-06-13 12:55:00,55,213.5,delivered
30,8,2,Südhandel 30,2025-04-17 09:30:00,2025-04-17 10:25:00,55,337.2,delivered
31,8,2,Westlog 31,2025-04-17 10:30:00,2025-04-17 10:10:00,-20,89.8,delivered
32,8,2,Ostbau 32,2025-04-17 11:45:00,2025-04-17 12:40:00,55,343.1,exception
33,9,6,Südhandel 33,2025-06-26 09:45:00,2025-06-26 09:25:00,-20,329.8,delivered
34,9,6,Westlog 34,2025-06-26 10:30:00,2025-06-26 10:30:00,0,33.5,delivered
35,9,6,Ostbau 35,2025-06-26 11:15:00,2025-06-26 11:25:00,10,228.0,delivered
36,9,6,Alpin 36,2025-06-26 12:00:00,,,376.1,delivered
37,9,6,Hanse 37,2025-06-26 13:45:00,2025-06-26 13:40:00,-5,316.4,delivered
38,9,6,Rhein 38,2025-06-26 14:45:00,2025-06-26 14:40:00,-5,83.5,delivered
39,10,8,Südhandel 39,2025-05-16 09:45:00,,,249.0,delivered
40,10,8,Westlog 40,2025-05-16 10:00:00,,,69.5,delivered
41,10,8,Ostbau 41,2025-05-16 11:15:00,2025-05-16 11:15:00,0,379.5,delivered
42,11,5,Südhandel 42,2025-04-02 09:15:00,2025-04-02 09:40:00,25,174.6,late
43,11,5,Westlog 43,2025-04-02 10:45:00,2025-04-02 11:40:00,55,306.3,delivered
44,11,5,Ostbau 44,2025-04-02 11:00:00,2025-04-02 11:10:00,10,388.9,delivered
45,12,2,Südhandel 45,2025-06-03 09:15:00,2025-06-03 09:15:00,0,357.4,delivered
46,12,2,Westlog 46,2025-06-03 10:15:00,,,118.7,late
