stop_id,route_id,shipment_id,seq,city,leg_km,dwell_min,arrived_at,departed_at
1,1,1,1,Köln,22.5,5,2025-04-19 08:40:00,2025-04-19 08:45:00
2,1,2,2,München,23.3,35,2025-04-19 10:55:00,2025-04-19 11:30:00
3,1,3,3,Frankfurt,34.8,5,2025-04-19 11:40:00,2025-04-19 11:45:00
4,2,4,1,Leipzig,28.8,24,2025-04-25 09:40:00,2025-04-25 10:04:00
5,2,5,2,Frankfurt,6.8,24,2025-04-25 10:10:00,2025-04-25 10:34:00
6,2,6,3,Frankfurt,46.9,8,2025-04-25 10:55:00,2025-04-25 11:03:00
7,2,7,4,Berlin,10.5,13,2025-04-25 12:55:00,2025-04-25 13:08:00
8,2,8,5,Stuttgart,22.5,23,2025-04-25 13:25:00,2025-04-25 13:48:00
9,2,9,6,München,11.2,21,2025-04-25 13:40:00,2025-04-25 14:01:00
10,2,10,7,Frankfurt,30.1,8,2025-04-25 16:40:00,2025-04-25 16:48:00
11,3,11,1,München,45.9,7,2025-06-27 09:00:00,2025-06-27 09:07:00
12,3,12,2,Hamburg,45.5,28,2025-06-27 10:40:00,2025-06-27 11:08:00
13,3,13,3,Leipzig,10.2,20,2025-06-27 11:45:00,2025-06-27 12:05:00
14,4,14,1,München,29.2,18,2025-04-05 09:40:00,2025-04-05 09:58:00
15,4,15,2,Hamburg,38.3,15,2025-04-05 11:40:00,2025-04-05 11:55:00
16,4,16,3,Berlin,39.6,12,2025-04-05 11:40:00,2025-04-05 11:52:00
17,4,17,4,Köln,13.5,31,2025-04-05 12:25:00,2025-04-05 12:56:00
18,5,18,1,Köln,43.0,5,2025-04-18 09:25:00,2025-04-18 09:30:00
19,5,19,2,München,30.5,29,2025-04-18 11:25:00,2025-04-18 11:54:00
20,5,20,3,Frankfurt,26.5,12,2025-04-18 11:55:00,2025-04-18 12:07:00
21,6,21,1,Köln,18.9,28,2025-05-06 08:55:00,2025-05-06 09:23:00
22,6,22,2,Leipzig,41.8,31,2025-05-06 10:55:00,2025-05-06 11:26:00
23,6,23,3,Frankfurt,22.8,6,2025-05-06 11:10:00,2025-05-06 11:16:00
24,6,24,4,Frankfurt,18.0,16,2025-05-06 13:25:00,2025-05-06 13:41:00
25,6,25,5,Leipzig,6.5,31,2025-05-06 14:10:00,2025-05-06 14:41:00
26,7,26,1,Köln,29.2,13,2025-06-13 10:10:00,2025-06-13 10:23:00
27,7,27,2,Berlin,33.0,33,2025-06-13 10:55:00,2025-06-13 11:28:00
28,7,28,3,Hamburg,43.4,30,2025-06-13 11:40:00,2025-06-13 12:10:00
29,7,29,4,Köln,24.8,23,2025-06-13 12:55:00,2025-06-13 13:18:00
30,8,30,1,München,30.5,32,2025-04-17 10:25:00,2025-04-17 10:57:00
31,8,31,2,Frankfurt,45.9,20,2025-04-17 10:10:00,2025-04-17 10:30:00
32,8,32,3,Hamburg,14.6,14,2025-04-17 12:40:00,2025-04-17 12:54:00
33,9,33,1,Stuttgart,47.8,25,2025-06-26 09:25:00,2025-06-26 09:50:00
34,9,34,2,Leipzig,32.4,26,2025-06-26 10:30:00,2025-06-26 10:56:00
35,9,35,3,Berlin,42.6,15,2025-06-26 11:25:00,2025-06-26 11:40:00
36,9,36,4,Stuttgart,13.0,4,2025-06-26 12:10:00,2025-06-26 12:14:00
37,9,37,5,Frankfurt,29.7,21,2025-06-26 13:40:00,2025-06-26 14:01:00
38,9,38,6,München,39.8,22,2025-06-26 14:40:00,2025-06-26 15:02:00
39,10,39,1,München,24.9,22,2025-05-16 09:45:00,2025-05-16 10:07:00
40,10,40,2,Stuttgart,39.7,28,2025-05-16 10:00:00,2025-05-16 10:28:00
41,10,41,3,Hamburg,39.8,27,2025-05-16 11:15:00,2025-05-16 11:42:00
42,11,42,1,Hamburg,20.3,21,2025-04-02 09:40:00,2025-04-02 10:01:00
43,11,43,2,Köln,37.4,14,2025-04-02 11:40:00,2025-04-02 11:54:00
44,11,44,3,Stuttgart,41.8,12,2025-04-02 11:10:00,2025-04-02 11:22:00
45,12,45,1,München,11.5,23,2025-06-03 09:15:00,2025-06-03 09:38:00
46,12,46,2,München,23.0,13,2025-06-03 10:15:00,2025-06-03 10:28:00
47,12,47,3,Hamburg,39.3,19,2025-06-03 11:55:00,2025-06-03 12:14:00
48,12,48,4,Leipzig,38.4,34,2025-06-03 12:40:00,2025-06-03 13:14:00
49,12,49,5,Frankfurt,11.6,29,2025-06-03 12:40:00,2025-06-03 13:09:00
50,12,50,6,Frankfurt,46.8,35,2025-06-03 13:55:00,2025-06-03 14:30:00
51,13,51,1,Leipzig,31.0,13,2025-04-03 09:10:00,2025-04-03 09:23:00
52,13,52,2,Berlin,7.9,28,2025-04-03 11:40:00,2025-04-03 12:08:00
53,13,53,3,Berlin,22.2,22,2025-04-03 11:25:00,2025-04-03 11:47:00
54,14,54,1,Berlin,8.8,11,2025-06-18 09:55:00,2025-06-18 10:06:00
55,14,55,2,Frankfurt,31.6,17,2025-06-18 10:40:00,2025-06-18 10:57:00
56,14,56,3,Leipzig,41.2,5,2025-06-18 12:40:00,2025-06-18 12:45:00
