hist_id,send_nr,stat_txt,geaendert
1,1,ok,2025-04-25 08:45:00
2,2,ok,2025-04-25 09:25:00
3,3,ok,2025-03-31 08:58:00
4,4,ok,2025-03-31 09:05:00
5,5,late,2025-03-31 11:20:00
6,6,ok,2025-03-31 11:40:00
7,7,late,2025-03-26 08:40:00
8,8,ok,2025-03-26 08:45:00
9,9,ok,2025-03-26 10:05:00
10,10,ok,2025-03-26 11:28:00
11,11,late,2025-02-21 09:00:00
12,12,late,2025-02-21 09:40:00
13,13,late,2025-02-21 11:50:00
14,14,ok,2025-02-20 08:45:00
15,15,late,2025-02-20 10:30:00
16,16,ok,2025-02-20 10:05:00
17,17,ok,2025-02-20 11:05:00
18,18,ok,2025-02-20 08:20:00
19,19,ok,2025-02-20 09:28:00
20,20,late,2025-02-20 11:00:00
21,21,ok,2025-02-20 11:05:00
22,22,ok,2025-02-20 12:18:00
23,23,ok,2025-02-05 08:05:00
24,24,late,2025-02-05 10:30:00
25,25,late,2025-02-05 11:30:00
26,26,late,2025-02-05 12:20:00
27,27,ok,2025-02-05 12:58:00
28,28,ok,2025-05-05 08:05:00
29,29,ok,2025-05-05 08:55:00
30,30,ok,2025-05-05 10:25:00
31,31,ok,2025-05-05 11:45:00
32,32,late,2025-05-05 13:50:00
33,33,late,2025-02-15 09:50:00
34,34,ok,2025-02-15 09:10:00
35,35,late,2025-02-15 11:30:00
36,36,ok,2025-02-15 11:05:00
37,37,ok,2025-03-07 08:58:00
38,38,ok,2025-03-07 09:25:00
39,39,late,2025-03-07 11:20:00
40,40,ok,2025-03-07 11:38:00
41,41,late,2025-03-07 13:00:00
42,42,ok,2025-02-22 08:05:00
43,43,ok,2025-02-22 09:15:00
44,44,ok,2025-02-22 10:15:00
45,45,ok,2025-02-22 11:20:00
46,46,late,2025-02-22 13:40:00
47,47,ok,2025-04-12 08:15:00
48,48,ok,2025-04-12 09:00:00
49,49,ok,2025-04-12 10:38:00
50,50,ok,2025-04-12 11:25:00
51,51,ok,2025-01-19 08:05:00
52,52,late,2025-01-19 10:40:00
53,53,late,2025-01-19 10:40:00
54,54,ok,2025-01-19 10:45:00
55,55,late,2025-01-19 14:10:00
56,56,late,2025-03-18 09:20:00
57,57,ok,2025-03-18 09:28:00
58,58,ok,2025-03-18 10:25:00
59,59,late,2025-03-18 12:30:00
60,60,ok,2025-01-27 08:10:00
61,61,ok,2025-01-27 09:45:00
62,62,late,2025-03-30 08:50:00
63,63,ok,2025-03-30 09:10:00
64,64,ok,2025-01-31 07:55:00
65,65,ok,2025-01-31 08:45:00
66,66,ok,2025-01-31 09:55:00
67,67,ok,2025-03-25 08:58:00
68,68,ok,2025-03-25 09:25:00
69,69,late,2025-03-25 12:10:00
70,70,ok,2025-03-25 11:15:00
71,71,late,2025-04-22 10:10:00
72,72,late,2025-04-22 10:20:00
73,73,ok,2025-04-22 10:58:00
74,74,ok,2025-04-22 11:25:00
75,75,ok,2025-04-22 12:38:00
76,76,ok,2025-04-22 13:28:00
77,77,late,2025-03-21 08:50:00
78,78,ok,2025-03-21 09:10:00
79,79,ok,2025-03-21 10:38:00
80,80,late,2025-03-21 13:10:00
81,81,ok,2025-03-21 11:45:00
82,82,ok,2025-03-21 13:05:00
83,83,ok,2025-03-09 08:05:00
84,84,ok,2025-03-09 09:05:00
85,85,ok,2025-03-25 08:25:00
86,86,ok,2025-03-25 09:28:00
