tour_nr,nl_id,fz_nr,fahrer_nr,tour_dat,plan_stops,km_summe
1,7,9,25,2025-04-25,2,73.9
2,6,34,6,2025-03-31,4,97.6
3,3,22,14,2025-03-26,4,117.9
4,1,7,4,2025-02-21,3,59.5
5,3,2,3,2025-02-20,4,75.6
6,10,40,23,2025-02-20,5,94.7
7,8,21,33,2025-02-05,5,135.8
8,4,35,45,2025-05-05,5,164.2
9,7,2,27,2025-02-15,4,112.5
10,2,15,24,2025-03-07,5,163.6
11,9,17,37,2025-02-22,5,158.3
12,4,8,26,2025-04-12,4,128.3
13,2,17,35,2025-01-19,5,220.7
14,10,5,27,2025-03-18,4,109.7
15,3,25,34,2025-01-27,2,75.6
16,4,23,27,2025-03-30,2,93.4
17,5,26,35,2025-01-31,3,59.4
18,10,21,36,2025-03-25,4,112.0
19,9,29,43,2025-04-22,6,131.6
20,3,25,44,2025-03-21,6,202.2
21,9,39,18,2025-03-09,2,44.4
22,4,4,12,2025-03-25,4,78.1
23,6,25,9,2025-03-15,5,127.2
24,7,2,3,2025-03-18,2,46.7
25,8,25,42,2025-01-16,5,125.4
26,4,13,10,2025-01-23,3,89.4
27,4,15,39,2025-03-12,3,89.4
28,4,8,13,2025-02-02,5,156.0
29,10,8,24,2025-03-19,3,112.0
30,3,25,7,2025-01-18,2,60.3
31,5,10,23,2025-03-29,6,218.5
32,4,27,35,2025-04-05,4,75.0
33,2,25,28,2025-03-19,4,91.9
34,5,11,27,2025-02-24,6,157.9
35,8,23,26,2025-02-12,6,135.8
36,5,25,45,2025-03-02,5,68.3
37,3,27,,2025-04-13,2,30.5
38,8,11,40,2025-01-17,4,164.2
39,3,6,,2025-04-22,3,60.0
40,8,18,,2025-03-21,5,153.9
41,8,32,9,2025-02-01,6,181.3
42,9,21,26,2025-04-05,6,190.8
43,5,20,17,2025-03-18,6,236.2
44,5,34,33,2025-01-21,2,42.7
45,1,11,11,2025-04-09,2,48.5
46,6,33,2,2025-04-01,6,142.6
47,6,6,39,2025-03-25,4,142.4
48,8,15,26,2025-03-09,6,181.6
49,5,28,17,2025-02-04,6,164.4
50,5,3,11,2025-02-01,6,156.0
51,2,3,5,2025-04-02,2,48.0
52,5,28,24,2025-03-07,4,101.3
53,8,29,42,2025-01-23,6,162.5
54,1,33,2,2025-03-17,5,164.9
55,5,18,21,2025-04-18,4,114.8
56,9,22,3,2025-04-06,2,29.2
57,6,2,,2025-02-08,5,100.6
58,6,38,28,2025-05-06,5,135.1
59,5,39,34,2025-01-16,2,71.6
60,6,37,23,2025-02-15,4,174.2
61,2,2,34,2025-03-10,3,122.7
62,4,19,30,2025-01-24,4,112.5
63,1,37,,2025-02-17,2,46.1
64,3,17,30,2025-03-22,5,112.7
65,3,29,27,2025-04-14,3,107.5
66,4,17,4,2025-05-06,3,47.9
67,2,2,21,2025-05-07,3,88.6
68,10,37,30,2025-04-03,2,102.5
69,8,36,26,2025-04-30,4,122.1
70,3,4,44,2025-04-26,4,150.2
71,3,3,21,2025-01-27,5,178.6
72,5,40,,2025-01-31,2,50.8
73,6,20,21,2025-01-27,3,47.0
74,9,23,36,2025-03-13,6,123.6
75,4,35,,2025-01-25,4,81.7
76,9,26,24,2025-05-02,6,137.5
77,8,32,45,2025-01-19,3,77.0
78,10,26,14,2025-03-09,5,147.2
79,10,2,21,2025-02-07,3,125.1
80,9,39,42,2025-03-02,4,120.8
81,3,29,6,2025-03-15,2,28.5
82,4,38,37,2025-04-13,4,153.0
83,6,24,23,2025-02-08,6,165.2
84,6,25,5,2025-04-22,6,196.1
85,2,2,36,2025-02-17,3,92.5
86,9,36,18,2025-01-22,5,154.7
87,7,5,28,2025-03-10,4,90.9
88,5,4,15,2025-01-21,6,212.5
89,1,33,,2025-02-21,5,117.2
90,6,28,23,2025-04-14,5,134.8
91,9,5,8,2025-03-23,2,66.4
92,7,33,21,2025-01-24,4,68.4
93,6,24,1,2025-01-28,3,44.3
94,3,18,28,2025-05-08,6,236.0
95,4,37,7,2025-04-19,2,87.1
96,3,12,32,2025-04-11,2,53.7
97,6,35,,2025-03-25,4,152.9
98,1,37,3,2025-03-30,6,175.6
99,5,9,6,2025-03-05,4,92.4
100,2,13,15,2025-05-08,4,129.9
101,7,38,38,2025-01-18,3,104.6
102,4,7,6,2025-01-29,3,38.6
103,6,36,20,2025-03-23,2,29.3
104,1,18,45,2025-03-16,6,125.2
105,2,18,17,2025-01-31,5,92.0
106,7,13,19,2025-01-25,5,152.5
107,8,3,26,2025-02-28,4,129.0
108,7,35,12,2025-01-18,4,101.9
109,3,4,4,2025-02-27,4,140.8
110,7,22,4,2025-04-04,5,152.1
111,10,29,41,2025-01-25,2,51.7
112,10,6,44,2025-04-12,4,168.5
113,2,6,22,2025-03-14,4,132.5
114,9,19,16,2025-02-01,3,101.5
115,4,22,31,2025-03-02,3,46.2
116,1,37,29,2025-02-18,4,191.8
117,4,16,,2025-02-13,6,168.6
118,6,21,33,2025-04-29,2,49.1
119,9,31,8,2025-04-14,5,149.1
120,7,26,27,2025-05-05,4,180.3
121,7,18,4,2025-03-10,2,50.3
122,9,20,18,2025-03-18,5,186.8
123,8,29,7,2025-04-20,4,106.0
124,8,29,15,2025-01-19,3,84.3
125,4,15,43,2025-02-26,6,159.9
126,4,34,8,2025-01-12,3,106.8
127,4,14,7,2025-02-15,4,142.7
128,8,16,16,2025-03-13,5,190.4
129,8,10,16,2025-01-17,2,95.7
130,2,7,35,2025-04-02,6,255.9
131,5,19,32,2025-01-14,3,78.5
132,6,21,40,2025-04-13,6,163.8
133,9,32,5,2025-03-02,6,209.9
134,5,10,45,2025-03-10,4,133.8
135,6,21,42,2025-02-28,3,90.9
136,1,40,41,2025-01-15,5,131.5
137,7,32,39,2025-04-14,5,182.8
138,2,34,1,2025-04-17,2,39.8
139,10,3,17,2025-04-02,4,85.1
140,2,24,,2025-05-05,4,78.1
141,1,17,5,2025-04-24,2,65.6
142,6,19,21,2025-03-10,2,55.7
143,9,37,23,2025-04-14,5,184.5
144,2,38,4,2025-03-31,4,70.3
145,8,13,36,2025-03-29,3,68.5
146,10,12,18,2025-03-05,3,128.3
147,7,2,34,2025-02-26,2,91.2
148,7,21,13,2025-01-28,4,142.8
149,1,39,15,2025-03-29,4,109.5
150,5,15,44,2025-01-17,2,42.7
151,4,31,33,2025-02-07,6,156.4
152,9,17,40,2025-01-23,4,140.7
153,2,8,38,2025-01-16,5,198.1
154,8,30,35,2025-05-04,3,112.4
155,7,10,4,2025-02-04,6,170.1
156,3,13,39,2025-04-11,3,96.0
157,8,8,31,2025-02-18,2,28.6
158,4,8,40,2025-02-27,2,64.2
159,4,18,39,2025-03-03,6,194.8
160,9,34,20,2025-03-17,2,68.8
161,7,2,44,2025-02-28,4,71.6
162,2,8,5,2025-02-21,6,114.8
163,1,3,12,2025-02-01,4,139.3
164,4,2,8,2025-01-13,4,87.1
165,6,16,7,2025-05-07,2,70.2
166,9,20,3,2025-03-06,5,111.3
167,5,13,20,2025-03-22,4,82.3
168,4,23,42,2025-04-23,2,59.3
169,9,6,32,2025-04-25,4,99.8
170,4,8,,2025-02-15,4,108.0
171,1,9,30,2025-03-08,3,81.9
172,1,26,11,2025-04-16,6,125.8
173,10,33,21,2025-05-04,2,48.0
174,1,8,20,2025-03-31,2,21.5
175,3,11,6,2025-04-01,4,107.9
176,4,33,27,2025-02-16,2,57.4
177,2,23,2,2025-01-16,5,136.9
178,8,10,26,2025-02-11,5,111.7
179,5,11,44,2025-05-09,5,195.7
180,1,40,19,2025-01-21,2,63.7
181,6,34,40,2025-03-24,3,44.9
182,4,37,40,2025-01-18,2,50.0
183,7,13,10,2025-04-18,4,68.3
184,5,11,,2025-01-29,5,203.7
185,4,12,12,2025-02-05,4,105.8
186,1,17,20,2025-02-14,5,85.6
187,3,39,18,2025-02-17,2,46.0
188,7,21,34,2025-01-19,4,93.2
189,4,10,21,2025-01-22,6,192.2
190,5,35,30,2025-04-12,2,52.8
191,1,12,17,2025-03-29,6,149.3
192,3,12,15,2025-02-17,5,97.5
193,6,7,3,2025-01-26,6,161.9
194,10,23,43,2025-02-26,3,132.2
195,1,27,22,2025-03-13,5,128.3
196,5,30,6,2025-04-21,3,57.7
197,3,21,45,2025-04-29,3,102.7
198,7,37,37,2025-04-04,4,142.1
199,3,8,18,2025-02-06,2,69.0
200,6,6,42,2025-04-14,3,22.2
201,9,36,6,2025-04-13,2,46.5
202,1,39,28,2025-03-28,5,98.1
203,2,40,18,2025-01-30,2,35.7
204,1,24,11,2025-04-03,2,83.8
205,6,31,,2025-01-14,5,80.2
206,3,18,24,2025-03-22,3,87.3
207,4,37,42,2025-04-26,2,70.9
208,10,40,23,2025-03-08,3,118.2
209,2,22,10,2025-02-01,6,216.4
210,2,24,38,2025-04-30,6,235.2
211,5,14,32,2025-04-06,6,166.8
212,4,4,21,2025-04-28,6,186.7
213,8,38,44,2025-04-05,5,152.8
214,8,32,10,2025-03-10,3,70.9
215,9,39,15,2025-03-19,3,90.3
216,1,30,7,2025-02-01,5,191.4
217,5,16,16,2025-03-08,5,193.4
218,1,22,20,2025-04-15,4,136.0
219,8,18,37,2025-03-16,3,114.6
220,3,13,33,2025-05-09,5,129.9
221,4,8,27,2025-03-05,4,118.4
222,7,19,10,2025-02-03,3,46.2
223,6,22,,2025-03-09,2,59.2
224,1,30,18,2025-04-03,3,69.2
225,6,33,38,2025-01-24,4,88.7
226,4,3,29,2025-04-20,6,165.5
227,8,31,18,2025-04-29,2,55.1
228,6,29,34,2025-04-01,4,79.3
229,8,2,20,2025-04-11,4,88.4
230,2,13,11,2025-05-04,4,165.5
231,8,15,24,2025-02-14,5,203.4
232,10,33,1,2025-03-13,2,87.9
233,6,37,11,2025-03-03,3,90.3
234,10,20,30,2025-02-21,3,77.5
235,4,2,11,2025-04-13,3,51.6
236,4,28,29,2025-04-27,3,62.4
237,4,15,16,2025-04-20,4,129.8
238,4,36,,2025-03-24,2,88.2
239,5,12,1,2025-03-24,6,190.6
240,4,15,12,2025-03-09,2,50.9
241,9,24,20,2025-05-01,5,131.6
242,2,16,12,2025-01-11,4,140.1
243,9,22,5,2025-03-28,5,113.6
244,8,38,25,2025-03-25,4,87.5
245,8,5,25,2025-01-21,5,127.8
246,3,27,3,2025-05-07,3,93.5
247,1,14,21,2025-02-01,2,108.3
248,4,4,14,2025-04-22,5,110.0
249,8,10,26,2025-02-07,2,52.3
250,8,14,38,2025-01-22,6,195.7
251,9,1,11,2025-05-01,3,86.8
252,9,14,,2025-04-11,5,146.9
253,5,16,5,2025-04-15,5,92.6
254,1,17,9,2025-01-25,2,42.3
255,2,32,39,2025-02-05,2,32.3
256,2,32,10,2025-01-30,4,119.2
257,10,13,8,2025-02-15,6,174.1
258,9,34,41,2025-05-04,6,192.4
259,1,38,26,2025-05-10,3,109.3
260,5,18,30,2025-02-07,3,126.7
261,4,25,,2025-05-05,3,55.8
262,8,4,14,2025-03-15,5,135.5
263,2,8,33,2025-05-02,6,146.8
264,9,33,,2025-01-26,5,215.8
265,9,38,44,2025-02-04,5,155.8
266,6,26,22,2025-04-27,4,133.8
267,2,16,24,2025-02-13,3,77.2
268,1,33,37,2025-03-01,6,214.5
269,3,2,44,2025-02-11,6,185.9
270,7,14,27,2025-03-05,4,106.7
271,6,40,,2025-03-22,2,90.4
272,10,26,2,2025-04-07,4,130.1
273,1,1,13,2025-01-23,4,84.3
274,7,28,16,2025-01-28,6,275.9
275,1,6,36,2025-03-18,6,207.9
276,2,2,18,2025-01-22,5,88.6
277,3,8,,2025-03-18,3,87.6
278,6,23,40,2025-02-05,4,129.9
279,4,13,34,2025-02-11,4,90.0
280,7,34,45,2025-01-15,6,168.2
