scan_id,send_nr,stop_nr,scan_ts,evt,ort_txt
1,1,1,2025-04-25 08:19:00,uebernahme,Berlin
2,1,1,2025-04-25 08:21:00,scan_hub,München
3,2,2,2025-04-25 09:20:00,uebernahme,Stuttgart
4,2,2,2025-04-25 08:53:00,scan_hub,Berlin
5,2,2,2025-04-25 08:51:00,zustellung,Frankfurt
6,3,3,2025-03-31 08:51:00,uebernahme,Hamburg
7,3,3,2025-03-31 08:35:00,scan_hub,München
8,3,3,2025-03-31 08:41:00,zustellung,Berlin
9,4,4,2025-03-31 09:05:00,uebernahme,Köln
10,4,4,2025-03-31 08:32:00,scan_hub,Leipzig
11,5,5,2025-03-31 11:20:00,uebernahme,Frankfurt
12,5,5,2025-03-31 10:57:00,scan_hub,Stuttgart
13,6,6,2025-03-31 11:09:00,uebernahme,Frankfurt
14,6,6,2025-03-31 11:27:00,scan_hub,Frankfurt
15,7,7,2025-03-26 08:13:00,uebernahme,Köln
16,7,7,2025-03-26 08:28:00,scan_hub,Leipzig
17,8,8,2025-03-26 08:41:00,uebernahme,Köln
18,8,8,2025-03-26 08:18:00,scan_hub,Frankfurt
19,8,8,2025-03-26 08:35:00,zustellung,München
20,9,9,2025-03-26 09:18:00,uebernahme,München
21,9,9,2025-03-26 09:50:00,scan_hub,Köln
22,10,10,2025-03-26 11:21:00,uebernahme,Stuttgart
23,10,10,2025-03-26 11:14:00,scan_hub,Stuttgart
24,11,11,2025-02-21 08:18:00,uebernahme,Köln
25,11,11,2025-02-21 08:22:00,scan_hub,Köln
26,12,12,2025-02-21 09:29:00,uebernahme,Berlin
27,12,12,2025-02-21 09:14:00,scan_hub,Hamburg
28,12,12,2025-02-21 09:01:00,zustellung,Stuttgart
29,13,13,2025-02-21 11:27:00,uebernahme,München
30,13,13,2025-02-21 11:09:00,scan_hub,Berlin
31,13,13,2025-02-21 11:24:00,zustellung,Frankfurt
32,14,14,2025-02-20 08:21:00,uebernahme,München
33,14,14,2025-02-20 08:19:00,scan_hub,Berlin
34,15,15,2025-02-20 10:02:00,uebernahme,Leipzig
35,15,15,2025-02-20 10:23:00,scan_hub,München
36,15,15,2025-02-20 10:06:00,zustellung,Leipzig
37,16,16,2025-02-20 09:57:00,uebernahme,Berlin
38,16,16,2025-02-20 09:32:00,scan_hub,Leipzig
