send_nr,tour_nr,nl_id,empf,soll_ts,ist_ts,versp_min,gew_kg,stat_txt
1,1,7,Empf 1,2025-04-25 08:40:00,2025-04-25 08:45:00,5,385.4,zugestellt
2,1,7,Empf 2,2025-04-25 09:20:00,2025-04-25 09:25:00,5,359.7,zugestellt
3,2,6,Empf 3,2025-03-31 08:40:00,2025-03-31 08:58:00,18,8.4,zugestellt
4,2,6,Empf 4,2025-03-31 09:20:00,2025-03-31 09:05:00,-15,225.9,zugestellt
5,2,6,Empf 5,2025-03-31 10:40:00,2025-03-31 11:20:00,40,294.2,unterwegs
6,2,6,Empf 6,2025-03-31 11:40:00,,,341.9,unterwegs
7,3,3,Empf 7,2025-03-26 08:00:00,2025-03-26 08:40:00,40,317.5,verspätet
8,3,3,Empf 8,2025-03-26 09:00:00,2025-03-26 08:45:00,-15,114.3,zugestellt
9,3,3,Empf 9,2025-03-26 10:20:00,,,277.2,fehl
10,3,3,Empf 10,2025-03-26 11:10:00,2025-03-26 11:28:00,18,332.3,zugestellt
11,4,1,Empf 11,2025-02-21 08:20:00,2025-02-21 09:00:00,40,188.9,verspätet
12,4,1,Empf 12,2025-02-21 09:00:00,2025-02-21 09:40:00,40,65.6,verspätet
13,4,1,Empf 13,2025-02-21 10:20:00,2025-02-21 11:50:00,90,499.0,unterwegs
14,5,3,Empf 14,2025-02-20 08:40:00,2025-02-20 08:45:00,5,471.4,zugestellt
15,5,3,Empf 15,2025-02-20 09:00:00,2025-02-20 10:30:00,90,482.2,fehl
16,5,3,Empf 16,2025-02-20 10:20:00,,,191.1,fehl
17,5,3,Empf 17,2025-02-20 11:20:00,2025-02-20 11:05:00,-15,365.3,zugestellt
18,6,10,Empf 18,2025-02-20 08:20:00,2025-02-20 08:20:00,0,99.4,zugestellt
19,6,10,Empf 19,2025-02-20 09:10:00,2025-02-20 09:28:00,18,94.0,zugestellt
20,6,10,Empf 20,2025-02-20 10:20:00,2025-02-20 11:00:00,40,78.1,fehl
21,6,10,Empf 21,2025-02-20 11:00:00,2025-02-20 11:05:00,5,193.0,zugestellt
22,6,10,Empf 22,2025-02-20 12:00:00,,,101.4,fehl
23,7,8,Empf 23,2025-02-05 08:20:00,2025-02-05 08:05:00,-15,26.5,zugestellt
24,7,8,Empf 24,2025-02-05 09:00:00,2025-02-05 10:30:00,90,393.5,fehl
25,7,8,Empf 25,2025-02-05 10:00:00,2025-02-05 11:30:00,90,404.0,fehl
26,7,8,Empf 26,2025-02-05 11:40:00,2025-02-05 12:20:00,40,401.1,fehl
27,7,8,Empf 27,2025-02-05 12:40:00,2025-02-05 12:58:00,18,445.4,zugestellt
28,8,4,Empf 28,2025-05-05 08:00:00,2025-05-05 08:05:00,5,126.1,zugestellt
29,8,4,Empf 29,2025-05-05 09:10:00,2025-05-05 08:55:00,-15,475.8,zugestellt
30,8,4,Empf 30,2025-05-05 10:40:00,2025-05-05 10:25:00,-15,46.3,zugestellt
31,8,4,Empf 31,2025-05-05 11:40:00,2025-05-05 11:45:00,5,210.9,zugestellt
32,8,4,Empf 32,2025-05-05 12:20:00,2025-05-05 13:50:00,90,422.6,unterwegs
33,9,7,Empf 33,2025-02-15 08:20:00,2025-02-15 09:50:00,90,429.6,fehl
34,9,7,Empf 34,2025-02-15 09:10:00,2025-02-15 09:10:00,0,244.4,zugestellt
35,9,7,Empf 35,2025-02-15 10:00:00,2025-02-15 11:30:00,90,178.5,verspätet
36,9,7,Empf 36,2025-02-15 11:20:00,2025-02-15 11:05:00,-15,41.9,zugestellt
37,10,2,Empf 37,2025-03-07 08:40:00,2025-03-07 08:58:00,18,438.9,zugestellt
38,10,2,Empf 38,2025-03-07 09:20:00,2025-03-07 09:25:00,5,241.3,zugestellt
39,10,2,Empf 39,2025-03-07 10:40:00,,,455.7,verspätet
40,10,2,Empf 40,2025-03-07 11:20:00,2025-03-07 11:38:00,18,232.6,zugestellt
41,10,2,Empf 41,2025-03-07 12:20:00,2025-03-07 13:00:00,40,30.9,verspätet
42,11,9,Empf 42,2025-02-22 08:20:00,,,325.1,unterwegs
43,11,9,Empf 43,2025-02-22 09:10:00,2025-02-22 09:15:00,5,29.6,zugestellt
44,11,9,Empf 44,2025-02-22 10:10:00,2025-02-22 10:15:00,5,436.6,zugestellt
45,11,9,Empf 45,2025-02-22 11:20:00,2025-02-22 11:20:00,0,436.6,zugestellt
46,11,9,Empf 46,2025-02-22 12:10:00,2025-02-22 13:40:00,90,425.8,unterwegs
47,12,4,Empf 47,2025-04-12 08:10:00,2025-04-12 08:15:00,5,410.0,zugestellt
48,12,4,Empf 48,2025-04-12 09:00:00,2025-04-12 09:00:00,0,353.0,zugestellt
49,12,4,Empf 49,2025-04-12 10:20:00,2025-04-12 10:38:00,18,137.7,zugestellt
50,12,4,Empf 50,2025-04-12 11:20:00,2025-04-12 11:25:00,5,245.9,zugestellt
51,13,2,Empf 51,2025-01-19 08:00:00,2025-01-19 08:05:00,5,109.4,zugestellt
52,13,2,Empf 52,2025-01-19 09:10:00,,,161.3,fehl
53,13,2,Empf 53,2025-01-19 10:00:00,2025-01-19 10:40:00,40,365.0,unterwegs
54,13,2,Empf 54,2025-01-19 11:00:00,2025-01-19 10:45:00,-15,260.5,zugestellt
55,13,2,Empf 55,2025-01-19 12:40:00,2025-01-19 14:10:00,90,476.4,verspätet
