stop_nr,tour_nr,send_nr,lfd,ort,etappe_km,standzeit_min,ankunft,abfahrt
1,1,1,1,München,24.4,25,2025-04-25 08:45:00,2025-04-25 09:10:00
2,1,2,2,Köln,49.5,20,2025-04-25 09:25:00,2025-04-25 09:45:00
3,2,3,1,Leipzig,49.8,15,2025-03-31 08:58:00,2025-03-31 09:13:00
4,2,4,2,Leipzig,29.6,33,2025-03-31 09:05:00,2025-03-31 09:38:00
5,2,5,3,Stuttgart,9.2,12,2025-03-31 11:20:00,2025-03-31 11:32:00
6,2,6,4,Leipzig,9.0,34,2025-03-31 11:40:00,2025-03-31 12:14:00
7,3,7,1,Leipzig,13.8,16,2025-03-26 08:40:00,2025-03-26 08:56:00
8,3,8,2,München,31.3,23,2025-03-26 08:45:00,2025-03-26 09:08:00
9,3,9,3,Köln,39.7,28,2025-03-26 10:05:00,2025-03-26 10:33:00
10,3,10,4,Berlin,33.1,30,2025-03-26 11:28:00,2025-03-26 11:58:00
11,4,11,1,Leipzig,4.1,22,2025-02-21 09:00:00,2025-02-21 09:22:00
12,4,12,2,München,39.4,37,2025-02-21 09:40:00,2025-02-21 10:17:00
13,4,13,3,Köln,16.0,12,2025-02-21 11:50:00,2025-02-21 12:02:00
14,5,14,1,Frankfurt,34.8,35,2025-02-20 08:45:00,2025-02-20 09:20:00
15,5,15,2,München,10.2,21,2025-02-20 10:30:00,2025-02-20 10:51:00
16,5,16,3,Stuttgart,15.5,24,2025-02-20 10:05:00,2025-02-20 10:29:00
17,5,17,4,Berlin,15.1,25,2025-02-20 11:05:00,2025-02-20 11:30:00
18,6,18,1,Köln,4.1,17,2025-02-20 08:20:00,2025-02-20 08:37:00
19,6,19,2,Berlin,15.0,26,2025-02-20 09:28:00,2025-02-20 09:54:00
20,6,20,3,Berlin,8.2,29,2025-02-20 11:00:00,2025-02-20 11:29:00
21,6,21,4,Leipzig,43.3,13,2025-02-20 11:05:00,2025-02-20 11:18:00
22,6,22,5,Hamburg,24.1,28,2025-02-20 12:18:00,2025-02-20 12:46:00
23,7,23,1,Berlin,49.0,35,2025-02-05 08:05:00,2025-02-05 08:40:00
24,7,24,2,Leipzig,45.4,29,2025-02-05 10:30:00,2025-02-05 10:59:00
25,7,25,3,Berlin,17.3,27,2025-02-05 11:30:00,2025-02-05 11:57:00
26,7,26,4,Leipzig,5.2,4,2025-02-05 12:20:00,2025-02-05 12:24:00
27,7,27,5,Köln,18.9,16,2025-02-05 12:58:00,2025-02-05 13:14:00
28,8,28,1,Frankfurt,43.3,33,2025-05-05 08:05:00,2025-05-05 08:38:00
29,8,29,2,München,13.1,32,2025-05-05 08:55:00,2025-05-05 09:27:00
30,8,30,3,Köln,50.5,13,2025-05-05 10:25:00,2025-05-05 10:38:00
31,8,31,4,Köln,13.5,24,2025-05-05 11:45:00,2025-05-05 12:09:00
32,8,32,5,Stuttgart,43.8,8,2025-05-05 13:50:00,2025-05-05 13:58:00
33,9,33,1,Stuttgart,33.1,26,2025-02-15 09:50:00,2025-02-15 10:16:00
34,9,34,2,München,39.9,14,2025-02-15 09:10:00,2025-02-15 09:24:00
35,9,35,3,Hamburg,18.1,18,2025-02-15 11:30:00,2025-02-15 11:48:00
36,9,36,4,München,21.4,10,2025-02-15 11:05:00,2025-02-15 11:15:00
37,10,37,1,Köln,41.7,40,2025-03-07 08:58:00,2025-03-07 09:38:00
38,10,38,2,Hamburg,9.0,4,2025-03-07 09:25:00,2025-03-07 09:29:00
39,10,39,3,München,53.4,16,2025-03-07 11:20:00,2025-03-07 11:36:00
40,10,40,4,Leipzig,31.8,28,2025-03-07 11:38:00,2025-03-07 12:06:00
41,10,41,5,Stuttgart,27.7,33,2025-03-07 13:00:00,2025-03-07 13:33:00
42,11,42,1,Köln,9.5,4,2025-02-22 08:05:00,2025-02-22 08:09:00
43,11,43,2,Frankfurt,52.1,25,2025-02-22 09:15:00,2025-02-22 09:40:00
44,11,44,3,Frankfurt,29.4,16,2025-02-22 10:15:00,2025-02-22 10:31:00
45,11,45,4,Berlin,47.9,11,2025-02-22 11:20:00,2025-02-22 11:31:00
46,11,46,5,Berlin,19.4,18,2025-02-22 13:40:00,2025-02-22 13:58:00
47,12,47,1,Hamburg,26.9,40,2025-04-12 08:15:00,2025-04-12 08:55:00
48,12,48,2,München,36.9,37,2025-04-12 09:00:00,2025-04-12 09:37:00
49,12,49,3,Leipzig,44.4,18,2025-04-12 10:38:00,2025-04-12 10:56:00
