fz_nr,kennzeichen,fz_typ,nl_id,nutzlast_kg
1,M-SP 201,LKW,2,700
2,M-SP 202,Sattel,3,22000
3,M-SP 203,Sattel,4,2800
4,M-SP 204,LKW,5,11000
5,M-SP 205,Sattel,6,700
6,M-SP 206,LKW,7,22000
7,M-SP 207,Sattel,8,2800
8,M-SP 208,LKW,9,700
9,M-SP 209,Sprinter,10,11000
10,M-SP 210,LKW,1,700
11,M-SP 211,LKW,2,11000
12,M-SP 212,Sattel,3,22000
13,M-SP 213,LKW,4,22000
14,M-SP 214,Sprinter,5,700
15,M-SP 215,LKW,6,2800
16,M-SP 216,Sattel,7,700
17,M-SP 217,LKW,8,11000
18,M-SP 218,LKW,9,2800
19,M-SP 219,Sprinter,10,700
20,M-SP 220,Sprinter,1,11000
21,M-SP 221,LKW,2,700
22,M-SP 222,Sprinter,3,2800
23,M-SP 223,Sattel,4,22000
24,M-SP 224,Sprinter,5,700
25,M-SP 225,Sattel,6,700
26,M-SP 226,Sattel,7,2800
27,M-SP 227,Sprinter,8,2800
28,M-SP 228,LKW,9,22000
29,M-SP 229,LKW,10,2800
30,M-SP 230,LKW,1,11000
31,M-SP 231,Sprinter,2,700
32,M-SP 232,LKW,3,700
33,M-SP 233,LKW,4,22000
34,M-SP 234,Sprinter,5,700
35,M-SP 235,LKW,6,22000
36,M-SP 236,Sprinter,7,11000
37,M-SP 237,LKW,8,700
38,M-SP 238,Sprinter,9,2800
39,M-SP 239,Sprinter,10,11000
40,M-SP 240,LKW,1,22000
