fault_id,machine_id,opened_at,code,severity,duration_min,resolved
1,8,2025-03-01 09:00:00,E01,medium,195,true
2,9,2025-03-01 12:00:00,E01,low,207,true
3,9,2025-03-01 15:00:00,E44,medium,225,true
4,8,2025-03-01 18:00:00,E12,medium,141,true
5,11,2025-03-01 21:00:00,E20,high,84,true
6,8,2025-03-02 00:00:00,E44,low,42,true
7,4,2025-03-02 03:00:00,E20,high,138,true
8,3,2025-03-02 06:00:00,E20,medium,197,true
9,1,2025-03-02 09:00:00,E20,high,216,true
10,2,2025-03-02 12:00:00,E90,high,170,true
11,3,2025-03-02 15:00:00,E20,medium,75,true
12,4,2025-03-02 18:00:00,E12,medium,229,true
13,8,2025-03-02 21:00:00,E01,medium,74,true
14,9,2025-03-03 00:00:00,E90,medium,58,true
15,4,2025-03-03 03:00:00,E12,low,13,true
16,9,2025-03-03 06:00:00,E12,low,221,true
17,12,2025-03-03 09:00:00,E20,low,170,false
18,10,2025-03-03 12:00:00,E01,medium,238,false
19,10,2025-03-03 15:00:00,E44,high,85,true
20,4,2025-03-03 18:00:00,E90,high,240,true
21,2,2025-03-03 21:00:00,E20,medium,15,true
22,7,2025-03-04 00:00:00,E44,medium,188,true
23,12,2025-03-04 03:00:00,E12,high,157,true
24,11,2025-03-04 06:00:00,E01,low,118,true
25,1,2025-03-04 09:00:00,E20,low,13,true
26,4,2025-03-04 12:00:00,E01,medium,55,true
27,6,2025-03-04 15:00:00,E20,low,48,true
28,12,2025-03-04 18:00:00,E12,high,42,true
29,11,2025-03-04 21:00:00,E01,medium,51,true
30,7,2025-03-05 00:00:00,E12,low,148,true
31,10,2025-03-05 03:00:00,E12,low,213,true
32,3,2025-03-05 06:00:00,E12,medium,143,true
33,7,2025-03-05 09:00:00,E20,low,200,true
34,4,2025-03-05 12:00:00,E01,medium,18,true
35,4,2025-03-05 15:00:00,E20,medium,68,true
36,1,2025-03-05 18:00:00,E44,high,171,true
37,2,2025-03-05 21:00:00,E12,low,153,true
38,11,2025-03-06 00:00:00,E44,high,188,true
39,11,2025-03-06 03:00:00,E01,medium,150,true
40,8,2025-03-06 06:00:00,E20,high,159,true
41,11,2025-03-06 09:00:00,E01,low,87,true
42,2,2025-03-06 12:00:00,E12,medium,18,true
43,9,2025-03-06 15:00:00,E90,low,129,true
44,9,2025-03-06 18:00:00,E20,medium,212,true
45,1,2025-03-06 21:00:00,E12,medium,102,true
46,3,2025-03-07 00:00:00,E44,high,111,false
47,1,2025-03-07 03:00:00,E12,low,166,true
48,7,2025-03-07 06:00:00,E90,low,63,false
49,5,2025-03-07 09:00:00,E01,low,192,true
50,4,2025-03-07 12:00:00,E44,low,207,true
51,10,2025-03-07 15:00:00,E12,low,106,true
52,1,2025-03-07 18:00:00,E44,high,110,true
53,3,2025-03-07 21:00:00,E01,medium,102,true
54,3,2025-03-08 00:00:00,E44,medium,69,true
55,12,2025-03-08 03:00:00,E12,low,153,true
56,10,2025-03-08 06:00:00,E44,low,41,true
57,2,2025-03-08 09:00:00,E01,low,151,true
58,2,2025-03-08 12:00:00,E01,medium,110,true
59,5,2025-03-08 15:00:00,E01,high,150,true
60,7,2025-03-08 18:00:00,E12,low,136,true
61,10,2025-03-08 21:00:00,E01,high,64,true
62,8,2025-03-09 00:00:00,E12,medium,219,true
63,8,2025-03-09 03:00:00,E90,medium,207,true
64,4,2025-03-09 06:00:00,E20,low,62,true
65,5,2025-03-09 09:00:00,E20,low,97,false
66,3,2025-03-09 12:00:00,E44,high,144,true
67,1,2025-03-09 15:00:00,E01,high,68,true
68,6,2025-03-09 18:00:00,E12,medium,21,true
69,4,2025-03-09 21:00:00,E01,high,126,true
70,10,2025-03-10 00:00:00,E01,medium,24,true
