maintenance_id,machine_id,performed_on,kind,duration_min,cost
1,1,2025-01-09,inspection,83,210.67
2,2,2025-01-13,lubrication,288,1253.18
3,3,2025-01-17,calibration,75,246.62
4,4,2025-01-21,calibration,299,826.53
5,5,2025-01-25,calibration,305,330.27
6,6,2025-01-29,repair,88,399.43
7,7,2025-02-02,lubrication,203,245.36
8,8,2025-02-06,calibration,163,404.6
9,9,2025-02-10,lubrication,35,2041.85
10,10,2025-02-14,repair,73,1789.44
11,11,2025-02-18,repair,114,1512.71
12,12,2025-02-22,repair,297,978.88
13,1,2025-02-26,repair,225,1705.88
14,2,2025-03-02,calibration,271,1053.15
15,3,2025-03-06,calibration,296,878.17
16,4,2025-03-10,calibration,68,1595.13
17,5,2025-03-14,lubrication,241,1871.45
18,6,2025-03-18,calibration,302,2115.66
19,7,2025-03-22,inspection,294,2204.53
20,8,2025-03-26,lubrication,114,1317.06
21,9,2025-03-30,repair,162,1190.93
22,10,2025-04-03,calibration,124,1391.85
23,11,2025-04-07,repair,131,1609.68
24,12,2025-04-11,lubrication,225,749.02
25,1,2025-04-15,calibration,242,1267.59
26,2,2025-04-19,lubrication,360,1496.2
27,3,2025-04-23,calibration,36,660.43
28,4,2025-04-27,lubrication,174,356.49
29,5,2025-05-01,inspection,352,288.92
30,6,2025-05-05,lubrication,323,1148.59
31,7,2025-05-09,repair,159,1727.91
32,8,2025-05-13,repair,138,1616.0
33,9,2025-05-17,calibration,273,209.31
34,10,2025-05-21,calibration,174,1594.3
35,11,2025-05-25,lubrication,301,813.6
36,12,2025-05-29,lubrication,219,2219.76
37,1,2025-06-02,inspection,260,1256.22
38,2,2025-06-06,inspection,232,268.05
39,3,2025-06-10,lubrication,41,1176.4
40,4,2025-06-14,inspection,279,2344.88
41,5,2025-06-18,lubrication,164,2259.17
42,6,2025-06-22,calibration,88,1484.46
43,7,2025-06-26,inspection,185,1711.36
44,8,2025-06-30,repair,285,2125.81
45,9,2025-07-04,repair,223,120.73
46,10,2025-07-08,repair,291,428.92
47,11,2025-07-12,inspection,147,1025.19
48,12,2025-07-16,inspection,291,920.57
49,1,2025-07-20,repair,312,305.78
50,2,2025-07-24,lubrication,134,810.64
51,3,2025-07-28,inspection,346,1537.83
52,4,2025-08-01,lubrication,319,1941.4
53,5,2025-08-05,calibration,309,1414.63
54,6,2025-08-09,lubrication,342,437.38
55,7,2025-08-13,inspection,360,229.07
56,8,2025-08-17,inspection,150,396.26
57,9,2025-08-21,lubrication,252,1695.74
58,10,2025-08-25,lubrication,226,2348.64
59,11,2025-08-29,calibration,308,1086.92
60,12,2025-09-02,repair,149,1935.98
61,1,2025-09-06,inspection,299,475.75
62,2,2025-09-10,lubrication,100,1568.79
63,3,2025-09-14,inspection,86,1582.84
64,4,2025-09-18,repair,269,1917.12
65,5,2025-09-22,lubrication,307,1074.07
66,6,2025-09-26,calibration,67,565.72
67,7,2025-09-30,inspection,202,1867.14
68,8,2025-10-04,repair,81,1020.09
69,9,2025-10-08,repair,338,863.52
70,10,2025-10-12,calibration,30,1828.87
71,11,2025-10-16,lubrication,45,504.89
72,12,2025-10-20,repair,343,383.95
73,1,2025-10-24,calibration,254,458.21
