order_id,machine_id,shift_id,part_no,planned_qty,completed_qty,scrap_qty,started_on,status
1,8,1,P-1001,4,4,0,2025-04-07,done
2,8,2,P-1002,11,4,7,2025-04-17,running
3,2,3,P-1003,4,4,0,2025-04-28,done
4,8,4,P-1004,9,7,2,2025-03-09,running
5,3,5,P-1005,8,8,0,2025-05-02,done
6,6,6,P-1006,6,6,0,2025-05-10,done
7,1,7,P-1007,9,9,0,2025-04-11,done
8,9,8,P-1008,12,12,0,2025-04-01,done
9,10,9,P-1009,9,9,0,2025-03-25,done
10,2,10,P-1010,10,10,0,2025-04-23,done
11,9,11,P-1011,4,3,1,2025-04-28,running
12,12,12,P-1012,12,9,3,2025-04-09,running
13,6,13,P-1013,5,5,0,2025-05-02,done
14,6,14,P-1014,6,6,0,2025-05-10,done
15,5,15,P-1015,10,4,6,2025-04-18,running
16,5,16,P-1016,9,9,0,2025-03-15,done
17,11,17,P-1017,7,7,0,2025-04-01,done
18,6,18,P-1018,12,12,0,2025-04-26,done
19,7,19,P-1019,9,1,8,2025-04-16,running
20,1,20,P-1020,10,8,2,2025-03-29,running
21,4,21,P-1021,7,7,0,2025-04-12,done
22,11,22,P-1022,11,11,0,2025-04-12,done
23,2,23,P-1023,8,8,0,2025-04-01,done
24,9,24,P-1024,10,10,0,2025-04-07,done
25,4,25,P-1025,8,6,2,2025-03-28,running
26,3,26,P-1026,5,5,0,2025-03-24,done
27,3,27,P-1027,12,12,0,2025-04-01,done
28,5,28,P-1028,11,9,2,2025-03-23,running
29,12,29,P-1029,7,7,0,2025-05-09,done
30,4,30,P-1030,4,4,0,2025-04-08,done
31,7,31,P-1031,7,7,0,2025-05-04,done
32,8,32,P-1032,4,4,0,2025-04-25,done
33,6,33,P-1033,6,6,0,2025-03-26,done
34,11,34,P-1034,9,9,0,2025-04-21,done
35,11,35,P-1035,11,11,0,2025-04-08,done
36,5,36,P-1036,5,5,0,2025-03-05,done
37,9,37,P-1037,11,11,0,2025-03-22,done
38,7,38,P-1038,4,1,3,2025-03-22,running
39,12,39,P-1039,5,5,0,2025-04-04,done
40,5,40,P-1040,6,6,0,2025-04-03,done
41,7,1,P-1041,5,5,0,2025-03-31,done
42,1,2,P-1042,4,4,0,2025-03-29,done
43,1,3,P-1043,12,12,0,2025-03-03,done
44,12,4,P-1044,5,5,0,2025-04-08,done
45,5,5,P-1045,10,10,0,2025-05-04,done
46,11,6,P-1046,5,5,0,2025-03-13,done
47,7,7,P-1047,12,12,0,2025-04-20,done
48,4,8,P-1048,12,12,0,2025-03-08,done
49,1,9,P-1049,5,5,0,2025-03-28,done
50,3,10,P-1050,8,8,0,2025-04-09,done
51,4,11,P-1051,6,6,0,2025-03-01,done
52,5,12,P-1052,12,12,0,2025-04-18,done
53,10,13,P-1053,8,8,0,2025-04-03,done
54,10,14,P-1054,4,4,0,2025-03-03,done
55,10,15,P-1055,9,9,0,2025-03-21,done
56,9,16,P-1056,8,8,0,2025-04-09,done
57,7,17,P-1057,8,8,0,2025-03-01,done
58,6,18,P-1058,7,2,5,2025-03-17,running
59,1,19,P-1059,4,4,0,2025-04-22,done
60,7,20,P-1060,11,11,0,2025-03-10,done
61,1,21,P-1061,10,10,0,2025-05-10,done
62,4,22,P-1062,10,10,0,2025-04-08,done
63,4,23,P-1063,7,4,3,2025-03-28,running
64,2,24,P-1064,12,12,0,2025-03-13,done
65,6,25,P-1065,9,9,0,2025-04-04,done
66,9,26,P-1066,6,6,0,2025-03-10,done
67,5,27,P-1067,5,5,0,2025-03-22,done
68,9,28,P-1068,10,1,9,2025-05-06,running
69,12,29,P-1069,4,3,1,2025-03-05,running
70,6,30,P-1070,11,11,0,2025-04-13,done
71,8,31,P-1071,4,4,0,2025-03-10,done
72,11,32,P-1072,7,7,0,2025-05-04,done
73,10,33,P-1073,5,2,3,2025-04-05,running
74,7,34,P-1074,7,7,0,2025-04-14,done
75,1,35,P-1075,10,10,0,2025-04-22,done
76,3,36,P-1076,6,6,0,2025-03-07,done
77,3,37,P-1077,11,11,0,2025-04-15,done
78,9,38,P-1078,7,7,0,2025-04-26,done
79,12,39,P-1079,7,7,0,2025-04-25,done
80,5,40,P-1080,11,11,0,2025-03-22,done
81,6,1,P-1081,10,7,3,2025-04-19,running
82,10,2,P-1082,8,8,0,2025-03-12,done
83,8,3,P-1083,7,7,0,2025-04-23,done
84,11,4,P-1084,7,7,0,2025-05-08,done
85,5,5,P-1085,7,7,0,2025-03-09,done
86,8,6,P-1086,6,6,0,2025-05-01,done
87,4,7,P-1087,10,10,0,2025-03-31,done
88,2,8,P-1088,9,7,2,2025-03-09,running
89,4,9,P-1089,12,12,0,2025-05-02,done
90,1,10,P-1090,6,6,0,2025-03-24,done
