reading_id,machine_id,recorded_at,temperature_c,vibration_rms,power_kw,energy_kwh
1,1,2025-03-01 06:00:00,40.7,5.48,7.73,1.933
2,2,2025-03-01 06:00:00,68.4,6.43,7.93,1.982
3,3,2025-03-01 06:00:00,74.1,1.58,4.59,1.147
4,4,2025-03-01 06:00:00,49.2,6.37,13.66,3.415
5,5,2025-03-01 06:00:00,81.8,1.46,14.44,3.61
6,6,2025-03-01 06:00:00,62.6,2.85,16.27,4.067
7,7,2025-03-01 06:00:00,40.0,0.42,11.41,2.853
8,8,2025-03-01 06:00:00,44.4,3.08,17.92,4.48
9,9,2025-03-01 06:00:00,83.7,6.19,19.32,4.83
10,10,2025-03-01 06:00:00,90.0,1.49,14.43,3.607
11,11,2025-03-01 06:00:00,75.2,4.81,12.92,3.23
12,12,2025-03-01 06:00:00,69.0,5.47,15.43,3.857
13,1,2025-03-01 06:15:00,92.0,2.38,7.52,1.88
14,2,2025-03-01 06:15:00,89.5,2.41,6.83,1.708
15,3,2025-03-01 06:15:00,91.1,0.44,8.43,2.107
16,4,2025-03-01 06:15:00,67.9,0.76,12.87,3.217
17,5,2025-03-01 06:15:00,48.0,1.81,9.73,2.433
18,6,2025-03-01 06:15:00,53.2,2.5,7.01,1.752
19,7,2025-03-01 06:15:00,60.8,4.84,14.33,3.583
20,8,2025-03-01 06:15:00,83.2,6.35,13.82,3.455
21,9,2025-03-01 06:15:00,78.7,2.88,11.4,2.85
22,10,2025-03-01 06:15:00,59.1,1.52,9.18,2.295
23,11,2025-03-01 06:15:00,46.4,4.69,10.93,2.732
24,12,2025-03-01 06:15:00,82.4,3.11,15.16,3.79
25,1,2025-03-01 06:30:00,62.8,4.66,3.83,0.958
26,2,2025-03-01 06:30:00,79.3,0.82,5.11,1.278
27,3,2025-03-01 06:30:00,39.4,2.61,9.74,2.435
28,4,2025-03-01 06:30:00,50.5,2.73,6.34,1.585
29,5,2025-03-01 06:30:00,48.8,1.52,10.32,2.58
30,6,2025-03-01 06:30:00,59.0,2.4,10.9,2.725
31,7,2025-03-01 06:30:00,43.6,5.02,12.56,3.14
32,8,2025-03-01 06:30:00,62.1,2.62,10.1,2.525
33,9,2025-03-01 06:30:00,40.4,6.28,12.59,3.147
34,10,2025-03-01 06:30:00,39.7,4.25,22.76,5.69
35,11,2025-03-01 06:30:00,91.7,5.33,20.7,5.175
36,12,2025-03-01 06:30:00,87.3,0.9,21.48,5.37
37,1,2025-03-01 06:45:00,77.9,3.49,6.77,1.692
38,2,2025-03-01 06:45:00,74.9,6.3,5.22,1.305
39,3,2025-03-01 06:45:00,67.4,3.53,7.72,1.93
40,4,2025-03-01 06:45:00,82.1,1.33,7.9,1.975
41,5,2025-03-01 06:45:00,54.3,4.63,13.78,3.445
42,6,2025-03-01 06:45:00,68.5,4.3,13.63,3.408
43,7,2025-03-01 06:45:00,45.7,4.37,9.86,2.465
44,8,2025-03-01 06:45:00,54.9,5.67,8.13,2.033
45,9,2025-03-01 06:45:00,81.4,2.52,21.5,5.375
46,10,2025-03-01 06:45:00,56.2,5.46,21.46,5.365
47,11,2025-03-01 06:45:00,73.3,6.32,12.35,3.087
48,12,2025-03-01 06:45:00,89.3,0.8,24.83,6.207
49,1,2025-03-01 07:00:00,65.2,2.78,5.01,1.252
50,2,2025-03-01 07:00:00,69.9,4.7,8.48,2.12
51,3,2025-03-01 07:00:00,78.4,2.43,5.47,1.367
52,4,2025-03-01 07:00:00,73.8,5.61,10.25,2.562
53,5,2025-03-01 07:00:00,82.1,1.67,12.41,3.103
54,6,2025-03-01 07:00:00,76.0,4.93,7.65,1.913
55,7,2025-03-01 07:00:00,65.5,1.96,7.33,1.833
56,8,2025-03-01 07:00:00,90.4,2.32,14.95,3.737
