workpiece_id,order_id,machine_id,serial,net_weight_g,scrap_g,gross_weight_g,cycle_seconds,ok
1,1,8,WP-0001-01,338.7,2.0,340.7,111,true
2,1,8,WP-0001-02,190.3,4.9,195.2,47,true
3,1,8,WP-0001-03,327.0,4.7,331.7,43,true
4,1,8,WP-0001-04,173.2,1.3,174.5,133,true
5,2,8,WP-0002-01,462.8,7.0,469.8,80,true
6,2,8,WP-0002-02,243.6,3.3,246.9,139,true
7,2,8,WP-0002-03,243.4,3.9,247.3,132,true
8,2,8,WP-0002-04,314.1,7.2,321.3,58,true
9,3,2,WP-0003-01,161.9,5.4,167.3,96,true
10,3,2,WP-0003-02,350.0,2.8,352.8,74,true
11,3,2,WP-0003-03,463.8,1.0,464.8,110,true
12,3,2,WP-0003-04,213.5,7.9,221.4,131,true
13,4,8,WP-0004-01,287.7,8.0,295.7,106,true
14,4,8,WP-0004-02,264.9,5.6,270.5,83,true
15,4,8,WP-0004-03,180.8,6.5,187.3,49,true
16,4,8,WP-0004-04,349.2,2.9,352.1,144,true
17,4,8,WP-0004-05,295.0,1.3,296.3,47,true
18,4,8,WP-0004-06,182.1,2.6,184.7,112,true
19,4,8,WP-0004-07,396.2,2.1,398.3,49,true
20,5,3,WP-0005-01,373.4,7.1,380.5,105,true
21,5,3,WP-0005-02,386.3,3.3,389.6,118,true
22,5,3,WP-0005-03,308.3,1.5,309.8,149,true
23,5,3,WP-0005-04,311.1,4.0,315.1,127,true
24,5,3,WP-0005-05,269.0,7.2,276.2,45,true
25,5,3,WP-0005-06,204.7,7.5,212.2,135,true
26,5,3,WP-0005-07,130.2,1.3,131.5,128,true
27,5,3,WP-0005-08,344.1,3.4,347.5,137,true
28,6,6,WP-0006-01,311.2,2.7,313.9,69,true
29,6,6,WP-0006-02,430.3,7.1,437.4,133,true
30,6,6,WP-0006-03,387.0,5.5,392.5,54,true
31,6,6,WP-0006-04,213.7,4.3,218.0,44,true
32,6,6,WP-0006-05,272.3,2.0,274.3,91,true
33,6,6,WP-0006-06,123.4,3.2,126.6,148,true
34,7,1,WP-0007-01,433.4,0.3,433.7,168,true
