stoer_id,masch_id,aufgetreten,code,prio,dauer_min,behoben_kz
1,6,2025-02-01 07:00:00,E01,n,87,true
2,15,2025-02-01 09:00:00,E44,k,293,true
3,6,2025-02-01 11:00:00,??,n,206,true
4,10,2025-02-01 13:00:00,E20,k,287,true
5,6,2025-02-01 15:00:00,E20,n,49,true
6,4,2025-02-01 17:00:00,E44,k,39,true
7,8,2025-02-01 19:00:00,E90,n,69,false
8,15,2025-02-01 21:00:00,E90,h,204,true
9,10,2025-02-01 23:00:00,E12,n,17,true
10,10,2025-02-02 01:00:00,E12,k,206,true
11,5,2025-02-02 03:00:00,E12,h,137,true
12,12,2025-02-02 05:00:00,??,h,235,true
13,5,2025-02-02 07:00:00,E01,n,160,true
14,1,2025-02-02 09:00:00,E90,n,267,true
15,3,2025-02-02 11:00:00,??,k,167,true
16,11,2025-02-02 13:00:00,E44,h,21,true
17,14,2025-02-02 15:00:00,??,k,238,true
18,4,2025-02-02 17:00:00,E12,k,13,true
19,14,2025-02-02 19:00:00,??,k,294,true
20,14,2025-02-02 21:00:00,??,k,104,true
21,6,2025-02-02 23:00:00,E01,h,190,true
22,9,2025-02-03 01:00:00,E44,h,5,true
23,15,2025-02-03 03:00:00,??,k,279,true
24,9,2025-02-03 05:00:00,E01,n,116,true
25,3,2025-02-03 07:00:00,E12,n,259,true
26,8,2025-02-03 09:00:00,E20,h,184,true
27,8,2025-02-03 11:00:00,E20,n,278,false
28,10,2025-02-03 13:00:00,E20,n,278,true
29,11,2025-02-03 15:00:00,E01,h,132,true
30,12,2025-02-03 17:00:00,E12,k,149,true
31,2,2025-02-03 19:00:00,E01,k,12,true
32,7,2025-02-03 21:00:00,E12,n,295,true
33,16,2025-02-03 23:00:00,E12,n,191,true
34,11,2025-02-04 01:00:00,E12,k,248,false
35,12,2025-02-04 03:00:00,??,k,69,true
36,8,2025-02-04 05:00:00,E90,h,3,true
37,12,2025-02-04 07:00:00,E12,n,168,true
38,4,2025-02-04 09:00:00,E12,h,6,false
39,3,2025-02-04 11:00:00,??,h,147,true
40,2,2025-02-04 13:00:00,E01,k,115,true
41,13,2025-02-04 15:00:00,E90,h,64,true
42,3,2025-02-04 17:00:00,E90,h,17,true
43,2,2025-02-04 19:00:00,E44,k,30,true
44,8,2025-02-04 21:00:00,E12,h,284,true
45,12,2025-02-04 23:00:00,E90,n,52,true
46,9,2025-02-05 01:00:00,E44,k,55,true
47,10,2025-02-05 03:00:00,E01,h,277,true
48,6,2025-02-05 05:00:00,E90,h,93,true
49,5,2025-02-05 07:00:00,E90,h,104,true
50,12,2025-02-05 09:00:00,E44,n,183,true
51,12,2025-02-05 11:00:00,E12,n,40,true
52,4,2025-02-05 13:00:00,E90,h,90,false
53,10,2025-02-05 15:00:00,E44,n,124,false
54,14,2025-02-05 17:00:00,E90,k,85,true
55,13,2025-02-05 19:00:00,E44,n,291,true
56,4,2025-02-05 21:00:00,E90,n,122,true
57,5,2025-02-05 23:00:00,E90,k,83,true
58,9,2025-02-06 01:00:00,E12,k,132,true
59,12,2025-02-06 03:00:00,E20,n,75,true
60,10,2025-02-06 05:00:00,E20,k,200,true
61,1,2025-02-06 07:00:00,E44,k,14,true
62,3,2025-02-06 09:00:00,E20,n,219,false
63,13,2025-02-06 11:00:00,E12,h,253,true
64,11,2025-02-06 13:00:00,E12,h,174,true
65,6,2025-02-06 15:00:00,??,k,31,true
