wart_id,masch_id,am,art,dauer_min,kosten
1,1,2024-12-04,Schmierung,107,1234.12
2,2,2024-12-07,Schmierung,113,1453.83
3,3,2024-12-10,Reparatur,161,555.99
4,4,2024-12-13,Reparatur,336,160.17
5,5,2024-12-16,Reparatur,391,1415.44
6,6,2024-12-19,Reparatur,85,293.07
7,7,2024-12-22,Schmierung,165,2400.06
8,8,2024-12-25,Schmierung,280,1897.17
9,9,2024-12-28,Inspektion,90,1530.95
10,10,2024-12-31,Inspektion,288,1958.76
11,11,2025-01-03,Reparatur,382,1439.69
12,12,2025-01-06,Reparatur,231,731.74
13,13,2025-01-09,Inspektion,164,2107.75
14,14,2025-01-12,Schmierung,98,1595.24
15,15,2025-01-15,Schmierung,242,1809.61
16,16,2025-01-18,Inspektion,141,1405.06
17,1,2025-01-21,Reparatur,307,1542.76
18,2,2025-01-24,Schmierung,232,1100.63
19,3,2025-01-27,Schmierung,252,154.58
20,4,2025-01-30,Inspektion,322,1867.36
21,5,2025-02-02,Inspektion,326,1847.92
22,6,2025-02-05,Inspektion,285,1436.39
23,7,2025-02-08,Inspektion,242,83.36
24,8,2025-02-11,Schmierung,150,612.22
25,9,2025-02-14,Schmierung,120,486.71
26,10,2025-02-17,Schmierung,108,2008.58
27,11,2025-02-20,Inspektion,297,2352.67
28,12,2025-02-23,Inspektion,295,2895.12
29,13,2025-02-26,Reparatur,379,814.16
30,14,2025-03-01,Reparatur,230,1084.96
31,15,2025-03-04,Inspektion,37,861.21
32,16,2025-03-07,Schmierung,361,181.13
33,1,2025-03-10,Schmierung,193,2202.05
34,2,2025-03-13,Reparatur,317,452.75
35,3,2025-03-16,Reparatur,56,1777.97
36,4,2025-03-19,Inspektion,47,2561.26
37,5,2025-03-22,Inspektion,111,1634.19
38,6,2025-03-25,Schmierung,162,1181.26
39,7,2025-03-28,Reparatur,230,209.74
40,8,2025-03-31,Inspektion,342,2176.28
41,9,2025-04-03,Schmierung,151,457.03
42,10,2025-04-06,Reparatur,140,500.94
43,11,2025-04-09,Reparatur,264,2419.6
44,12,2025-04-12,Inspektion,21,366.35
45,13,2025-04-15,Schmierung,225,189.41
46,14,2025-04-18,Inspektion,361,1168.28
47,15,2025-04-21,Reparatur,76,2634.31
48,16,2025-04-24,Reparatur,187,1051.37
49,1,2025-04-27,Schmierung,188,647.79
50,2,2025-04-30,Schmierung,151,1464.75
51,3,2025-05-03,Reparatur,185,3007.22
52,4,2025-05-06,Schmierung,194,2401.43
53,5,2025-05-09,Reparatur,221,2335.77
54,6,2025-05-12,Schmierung,142,787.27
55,7,2025-05-15,Reparatur,207,2063.23
56,8,2025-05-18,Schmierung,196,634.62
57,9,2025-05-21,Schmierung,119,2506.92
58,10,2025-05-24,Reparatur,118,282.38
59,11,2025-05-27,Reparatur,146,2064.01
60,12,2025-05-30,Inspektion,122,2375.26
61,13,2025-06-02,Schmierung,289,231.81
62,14,2025-06-05,Inspektion,64,2199.47
63,15,2025-06-08,Schmierung,370,2129.94
64,16,2025-06-11,Reparatur,383,785.0
65,1,2025-06-14,Reparatur,288,1613.02
66,2,2025-06-17,Inspektion,383,2674.53
67,3,2025-06-20,Schmierung,145,3080.59
68,4,2025-06-23,Inspektion,236,89.75
69,5,2025-06-26,Inspektion,323,1825.53
70,6,2025-06-29,Reparatur,30,1262.24
71,7,2025-07-02,Reparatur,177,260.89
72,8,2025-07-05,Reparatur,44,1642.3
73,9,2025-07-08,Reparatur,286,963.47
74,10,2025-07-11,Schmierung,197,1646.59
75,11,2025-07-14,Schmierung,180,2473.62
76,12,2025-07-17,Inspektion,162,92.56
77,13,2025-07-20,Schmierung,176,1104.87
78,14,2025-07-23,Schmierung,135,2364.23
79,15,2025-07-26,Schmierung,329,2517.79
80,16,2025-07-29,Schmierung,42,2830.0
81,1,2025-08-01,Inspektion,29,837.11
82,2,2025-08-04,Schmierung,128,1456.72
83,3,2025-08-07,Schmierung,324,2278.56
84,4,2025-08-10,Inspektion,104,2255.86
85,5,2025-08-13,Inspektion,74,59.14
86,6,2025-08-16,Reparatur,226,1357.5
87,7,2025-08-19,Reparatur,170,431.89
88,8,2025-08-22,Schmierung,140,174.4
89,9,2025-08-25,Reparatur,286,1227.99
90,10,2025-08-28,Inspektion,294,873.56
91,11,2025-08-31,Schmierung,247,1942.86
92,12,2025-09-03,Schmierung,96,1872.46
93,13,2025-09-06,Reparatur,173,2671.83
94,14,2025-09-09,Reparatur,81,2931.04
95,15,2025-09-12,Schmierung,337,2406.02
96,16,2025-09-15,Schmierung,266,2277.85
97,1,2025-09-18,Reparatur,343,684.1
98,2,2025-09-21,Schmierung,218,1316.25
99,3,2025-09-24,Reparatur,199,1671.61
100,4,2025-09-27,Schmierung,191,474.35
101,5,2025-09-30,Reparatur,114,408.49
102,6,2025-10-03,Schmierung,157,838.63
103,7,2025-10-06,Inspektion,224,607.94
104,8,2025-10-09,Inspektion,61,1281.91
105,9,2025-10-12,Schmierung,320,1145.54
106,10,2025-10-15,Reparatur,336,1199.36
107,11,2025-10-18,Inspektion,203,99.23
108,12,2025-10-21,Schmierung,310,288.48
109,13,2025-10-24,Schmierung,235,2297.07
110,14,2025-10-27,Schmierung,146,2923.91
111,15,2025-10-30,Reparatur,273,2597.61
112,16,2025-11-02,Inspektion,268,2519.1
113,1,2025-11-05,Schmierung,79,3071.25
114,2,2025-11-08,Reparatur,106,1186.65
115,3,2025-11-11,Schmierung,245,531.46
116,4,2025-11-14,Reparatur,384,1875.77
117,5,2025-11-17,Schmierung,286,2994.85
118,6,2025-11-20,Inspektion,120,188.71
119,7,2025-11-23,Reparatur,259,568.02
120,8,2025-11-26,Reparatur,181,422.9
121,9,2025-11-29,Schmierung,35,1588.5
122,10,2025-12-02,Reparatur,124,2306.89
123,11,2025-12-05,Schmierung,342,2509.89
124,12,2025-12-08,Schmierung,250,350.85
125,13,2025-12-11,Reparatur,225,222.46
126,14,2025-12-14,Reparatur,134,1957.86
127,15,2025-12-17,Schmierung,309,1523.57
128,16,2025-12-20,Inspektion,123,2818.27
129,1,2025-12-23,Inspektion,289,2371.96
130,2,2025-12-26,Reparatur,191,238.97
131,3,2025-12-29,Schmierung,214,712.14
132,4,2026-01-01,Reparatur,242,447.97
133,5,2026-01-04,Schmierung,249,1717.12
134,6,2026-01-07,Reparatur,294,2582.19
135,7,2026-01-10,Schmierung,323,2472.04
136,8,2026-01-13,Reparatur,111,1295.49
