pa_nr,masch_id,schicht_id,teil_nr,plan_stk,ist_stk,ausbeute_pct,start_dat,stat
1,11,1,T0001,4,4,100.0,2025-02-22,abbruch
2,15,2,T0002,5,5,100.0,2025-02-06,fertig
3,9,3,T0003,4,4,100.0,2025-03-01,fertig
4,12,4,T0004,8,8,100.0,2025-04-25,fertig
5,4,5,T0005,9,2,22.2,2025-03-13,läuft
6,13,6,T0006,9,9,100.0,2025-02-24,fertig
7,14,7,T0007,9,9,100.0,2025-03-13,abbruch
8,5,8,T0008,9,9,100.0,2025-02-14,läuft
9,11,9,T0009,9,9,100.0,2025-04-17,läuft
10,10,10,T0010,7,7,100.0,2025-02-24,fertig
11,7,11,T0011,10,10,100.0,2025-04-20,abbruch
12,5,12,T0012,5,5,100.0,2025-04-28,läuft
13,7,13,T0013,10,0,0.0,2025-03-29,läuft
14,2,14,T0014,6,5,83.3,2025-02-21,läuft
15,8,15,T0015,6,6,100.0,2025-02-04,abbruch
16,2,16,T0016,9,9,100.0,2025-04-19,abbruch
17,14,17,T0017,7,7,100.0,2025-02-24,fertig
18,12,18,T0018,8,8,100.0,2025-02-17,fertig
19,11,19,T0019,9,9,100.0,2025-04-18,abbruch
20,10,20,T0020,9,9,100.0,2025-04-14,abbruch
21,12,21,T0021,4,4,100.0,2025-04-20,fertig
22,16,22,T0022,9,9,100.0,2025-04-24,abbruch
23,2,23,T0023,5,2,40.0,2025-04-13,abbruch
24,1,24,T0024,8,8,100.0,2025-04-12,abbruch
25,7,25,T0025,10,10,100.0,2025-02-04,fertig
26,16,26,T0026,9,8,88.9,2025-03-25,abbruch
27,4,27,T0027,3,3,100.0,2025-02-05,abbruch
28,11,,T0028,3,3,100.0,2025-02-06,fertig
29,12,29,T0029,4,0,0.0,2025-02-11,abbruch
30,11,30,T0030,7,7,100.0,2025-02-12,läuft
31,1,31,T0031,8,8,100.0,2025-02-10,abbruch
32,5,32,T0032,8,8,100.0,2025-03-29,läuft
33,7,,T0033,7,7,100.0,2025-05-01,abbruch
34,15,34,T0034,8,8,100.0,2025-04-22,abbruch
35,3,35,T0035,9,9,100.0,2025-03-23,fertig
