mess_id,masch_id,ts,temp_c,vib_rms,leist_kw,energie_kwh
1,1,2025-02-01 05:00:00,38.4,3.4,10.87,2.174
2,2,2025-02-01 05:00:00,79.1,1.59,10.05,2.01
3,3,2025-02-01 05:00:00,41.6,5.79,4.56,0.912
4,4,2025-02-01 05:00:00,72.9,1.4,4.86,0.972
5,5,2025-02-01 05:00:00,78.2,6.31,10.94,2.188
6,6,2025-02-01 05:00:00,45.0,1.02,9.59,1.918
7,7,2025-02-01 05:00:00,97.1,6.89,17.43,3.486
8,8,2025-02-01 05:00:00,67.0,7.69,9.84,1.968
9,9,2025-02-01 05:00:00,89.3,7.56,21.37,4.274
10,10,2025-02-01 05:00:00,79.8,5.2,23.95,4.79
11,11,2025-02-01 05:00:00,49.4,0.46,20.79,4.158
12,12,2025-02-01 05:00:00,54.2,3.5,22.72,4.544
13,13,2025-02-01 05:00:00,76.9,3.48,11.59,2.318
14,14,2025-02-01 05:00:00,56.1,0.32,27.29,5.458
15,15,2025-02-01 05:00:00,58.9,4.0,24.05,4.81
16,16,2025-02-01 05:00:00,92.0,6.56,27.72,5.544
17,1,2025-02-01 05:12:00,77.2,2.63,3.54,0.708
18,2,2025-02-01 05:12:00,93.6,4.57,6.79,1.358
19,3,2025-02-01 05:12:00,78.4,4.67,13.64,2.728
20,4,2025-02-01 05:12:00,93.6,7.19,13.68,2.736
21,5,2025-02-01 05:12:00,54.5,5.16,11.68,2.336
22,6,2025-02-01 05:12:00,54.2,2.88,9.9,1.98
23,7,2025-02-01 05:12:00,57.4,6.51,16.59,3.318
24,8,2025-02-01 05:12:00,65.2,3.61,7.64,1.528
25,9,2025-02-01 05:12:00,79.9,6.43,22.32,4.464
26,10,2025-02-01 05:12:00,35.4,2.6,12.56,2.512
27,11,2025-02-01 05:12:00,79.8,4.73,19.73,3.946
28,12,2025-02-01 05:12:00,69.1,2.78,21.74,4.348
29,13,2025-02-01 05:12:00,92.6,1.44,15.21,3.042
30,14,2025-02-01 05:12:00,81.3,7.99,16.67,3.334
31,15,2025-02-01 05:12:00,70.2,5.26,20.76,4.152
32,16,2025-02-01 05:12:00,51.5,5.34,15.99,3.198
33,1,2025-02-01 05:24:00,70.1,3.45,11.53,2.306
34,2,2025-02-01 05:24:00,46.5,4.61,10.79,2.158
35,3,2025-02-01 05:24:00,85.3,2.45,13.85,2.77
36,4,2025-02-01 05:24:00,47.1,0.82,9.12,1.824
37,5,2025-02-01 05:24:00,75.1,7.77,11.01,2.202
38,6,2025-02-01 05:24:00,73.4,4.31,17.77,3.554
39,7,2025-02-01 05:24:00,56.3,3.77,9.42,1.884
40,8,2025-02-01 05:24:00,58.6,4.32,7.63,1.526
41,9,2025-02-01 05:24:00,68.6,7.59,6.88,1.376
42,10,2025-02-01 05:24:00,91.5,5.88,23.37,4.674
43,11,2025-02-01 05:24:00,44.7,4.1,17.96,3.592
44,12,2025-02-01 05:24:00,61.0,1.58,25.62,5.124
45,13,2025-02-01 05:24:00,83.2,1.39,9.26,1.852
46,14,2025-02-01 05:24:00,73.6,5.59,21.37,4.274
47,15,2025-02-01 05:24:00,79.5,5.91,22.22,4.444
48,16,2025-02-01 05:24:00,86.3,0.97,11.39,2.278
49,1,2025-02-01 05:36:00,45.4,5.45,9.84,1.968
50,2,2025-02-01 05:36:00,83.3,6.66,10.66,2.132
51,3,2025-02-01 05:36:00,79.1,5.91,12.18,2.436
52,4,2025-02-01 05:36:00,61.8,6.41,9.82,1.964
53,5,2025-02-01 05:36:00,36.4,7.36,14.32,2.864
54,6,2025-02-01 05:36:00,72.5,5.82,8.05,1.61
55,7,2025-02-01 05:36:00,88.6,5.68,8.94,1.788
56,8,2025-02-01 05:36:00,72.0,5.23,16.34,3.268
