schicht_id,tag,schicht_bez,kolonne,plan_min
1,2025-02-01,F,K2,480
2,2025-02-01,S,K2,480
3,2025-02-01,N,K2,480
4,2025-02-02,F,K2,480
5,2025-02-02,S,K2,480
6,2025-02-02,N,K3,480
7,2025-02-03,F,K1,480
8,2025-02-03,S,K2,480
9,2025-02-03,N,K3,480
10,2025-02-04,F,K1,480
11,2025-02-04,S,K1,480
12,2025-02-04,N,K3,480
13,2025-02-05,F,K1,480
14,2025-02-05,S,K2,480
15,2025-02-05,N,K1,480
16,2025-02-06,F,K3,480
17,2025-02-06,S,K2,480
18,2025-02-06,N,K3,480
19,2025-02-07,F,K3,480
20,2025-02-07,S,K1,480
21,2025-02-07,N,K1,480
22,2025-02-08,F,K3,480
23,2025-02-08,S,K1,480
24,2025-02-08,N,K2,480
25,2025-02-09,F,K1,480
26,2025-02-09,S,K2,480
27,2025-02-09,N,K3,480
28,2025-02-10,F,K3,480
29,2025-02-10,S,K1,480
30,2025-02-10,N,K1,480
31,2025-02-11,F,K3,480
32,2025-02-11,S,K3,480
33,2025-02-11,N,K1,480
34,2025-02-12,F,K1,480
35,2025-02-12,S,K3,480
36,2025-02-12,N,K3,480
37,2025-02-13,F,K2,480
38,2025-02-13,S,K2,480
39,2025-02-13,N,K3,480
40,2025-02-14,F,K2,480
41,2025-02-14,S,K2,480
42,2025-02-14,N,K3,480
43,2025-02-15,F,K1,480
44,2025-02-15,S,K1,480
45,2025-02-15,N,K1,480
46,2025-02-16,F,K1,480
47,2025-02-16,S,K2,480
48,2025-02-16,N,K3,480
