wt_id,pa_nr,masch_id,snr,nettogew_g,ausschuss_g,bruttogew_g,zyklus_s,iO
1,1,11,1-1,94.6,10.4,105.0,147,true
2,1,11,1-2,116.3,0.6,116.9,143,true
3,1,11,1-3,513.6,8.8,522.4,171,true
4,1,11,1-4,305.6,6.9,312.5,139,true
5,2,15,2-1,182.3,9.0,191.3,173,true
6,2,15,2-2,295.0,11.1,306.1,143,true
7,2,15,2-3,245.3,1.5,246.8,47,true
8,2,15,2-4,105.8,5.0,110.8,80,true
9,2,15,2-5,477.0,9.6,486.6,163,true
10,3,9,3-1,424.5,7.0,431.5,38,true
11,3,9,3-2,365.4,5.7,371.1,51,false
12,3,9,3-3,356.8,11.9,368.7,156,true
13,3,9,3-4,513.6,2.8,516.4,158,true
14,4,12,4-1,219.5,2.1,221.6,152,true
15,4,12,4-2,326.1,4.9,331.0,161,true
16,4,12,4-3,248.1,4.4,252.5,153,true
17,4,12,4-4,150.6,0.2,150.8,188,true
18,4,12,4-5,168.6,3.7,172.3,189,false
19,4,12,4-6,123.1,10.0,133.1,65,false
20,4,12,4-7,436.5,0.4,436.9,126,true
21,4,12,4-8,307.3,7.4,314.7,42,true
22,5,4,5-1,177.1,11.1,188.2,197,true
23,5,4,5-2,281.2,10.2,291.4,86,false
24,6,13,6-1,205.1,8.0,213.1,187,true
25,6,13,6-2,281.0,4.6,285.6,47,true
26,6,13,6-3,464.3,7.5,471.8,51,true
27,6,13,6-4,426.4,1.4,427.8,108,true
28,6,13,6-5,368.6,8.1,376.7,153,false
29,6,13,6-6,286.4,2.4,288.8,186,true
30,6,13,6-7,280.8,3.3,284.1,179,true
31,6,13,6-8,216.8,4.4,221.2,58,true
32,6,13,6-9,136.1,5.8,141.9,200,true
33,7,14,7-1,447.2,1.8,449.0,77,true
34,7,14,7-2,355.8,11.9,367.7,52,false
35,7,14,7-3,334.6,7.0,341.6,108,true
36,7,14,7-4,339.7,7.9,347.6,121,true
37,7,14,7-5,236.8,4.0,240.8,174,true
38,7,14,7-6,146.3,8.1,154.4,65,true
39,7,14,7-7,378.3,3.4,381.7,86,true
40,7,14,7-8,212.4,4.5,216.9,135,true
41,7,14,7-9,92.1,6.1,98.2,187,true
42,8,5,8-1,493.1,3.0,496.1,102,true
43,8,5,8-2,229.4,11.2,240.6,149,true
44,8,5,8-3,359.6,0.1,359.7,179,true
45,8,5,8-4,124.7,6.1,130.8,79,true
46,8,5,8-5,213.4,11.3,224.7,144,true
47,8,5,8-6,494.3,11.3,505.6,45,true
48,8,5,8-7,360.7,5.0,365.7,148,true
49,8,5,8-8,92.9,5.5,98.4,185,true
50,8,5,8-9,518.0,8.4,526.4,161,true
51,9,11,9-1,317.5,0.9,318.4,136,true
52,9,11,9-2,180.2,11.3,191.5,84,true
53,9,11,9-3,275.3,1.0,276.3,73,true
54,9,11,9-4,171.6,5.1,176.7,158,true
55,9,11,9-5,145.3,11.2,156.5,124,true
56,9,11,9-6,249.9,1.4,251.3,193,true
57,9,11,9-7,338.9,1.5,340.4,139,false
58,9,11,9-8,229.6,8.0,237.6,147,false
59,9,11,9-9,190.1,8.4,198.5,109,true
60,10,10,10-1,474.4,10.8,485.2,87,true
61,10,10,10-2,186.6,8.3,194.9,178,true
62,10,10,10-3,244.6,11.9,256.5,46,false
63,10,10,10-4,396.1,5.8,401.9,180,true
64,10,10,10-5,276.1,4.4,280.5,63,true
65,10,10,10-6,430.8,2.7,433.5,116,true
66,10,10,10-7,140.3,7.6,147.9,73,true
67,11,7,11-1,407.4,6.0,413.4,185,false
68,11,7,11-2,264.2,9.2,273.4,105,true
69,11,7,11-3,304.2,8.4,312.6,161,true
70,11,7,11-4,489.2,7.0,496.2,43,true
71,11,7,11-5,110.5,7.0,117.5,105,true
72,11,7,11-6,510.7,6.7,517.4,115,false
