assignment_id,project_id,employee_id,role,allocation_pct
1,1,45,member,25
2,1,11,lead,75
3,1,25,member,100
4,1,26,lead,75
5,2,17,lead,25
6,2,38,member,75
7,2,3,member,25
8,2,48,lead,25
9,3,30,lead,100
10,3,46,member,100
11,3,53,member,25
12,4,16,member,50
13,4,30,member,75
14,4,49,member,50
15,4,32,lead,75
16,4,57,member,50
17,5,12,lead,100
18,5,53,lead,25
19,5,36,member,50
20,5,4,lead,50
21,6,1,member,50
22,6,5,lead,75
23,7,29,lead,100
24,7,37,member,50
25,7,38,lead,75
26,7,4,member,50
27,8,11,lead,100
28,8,15,lead,100
29,8,3,lead,75
30,8,32,lead,100
31,8,22,member,75
32,9,8,member,50
33,9,28,lead,100
34,9,58,lead,50
35,9,21,member,25
36,10,46,lead,25
37,10,41,member,25
38,10,8,member,25
39,10,48,member,25
40,10,1,lead,100
41,11,58,lead,75
42,11,22,member,100
43,11,51,member,100
44,11,35,member,100
45,12,23,member,25
46,12,20,member,75
47,12,26,lead,75
48,13,11,lead,50
49,13,42,lead,75
50,13,40,lead,100
51,14,30,lead,50
52,14,3,lead,25
53,14,29,lead,100
54,15,31,member,25
55,15,10,member,75
56,15,15,lead,75
57,15,60,member,75
58,16,44,lead,75
59,16,15,lead,50
60,16,22,lead,50
61,16,36,member,75
62,16,11,member,25
63,17,11,lead,50
64,17,15,member,75
65,17,8,lead,25
66,17,46,member,50
67,18,47,lead,75
68,18,5,member,25
69,18,59,member,100
70,18,52,member,75
71,18,28,lead,50
72,19,29,member,100
73,19,11,lead,100
74,19,50,member,75
75,20,35,lead,25
76,20,53,lead,75
77,20,39,lead,25
78,21,20,member,25
79,21,21,member,100
80,22,41,lead,50
81,22,9,lead,50
82,23,12,member,50
83,23,4,lead,100
84,24,5,member,25
85,24,17,member,100
86,24,3,lead,25
87,24,22,member,75
88,25,53,member,25
89,25,60,member,100
90,25,22,member,25
91,25,28,member,50
92,26,18,member,100
93,26,16,lead,100
94,27,50,member,25
95,27,6,lead,50
96,27,26,member,50
97,27,27,member,75
98,27,7,member,50
99,28,27,member,75
100,28,23,member,75
101,28,5,member,75
102,28,54,lead,75
103,28,39,member,100
104,29,30,lead,75
105,29,59,member,25
106,29,6,lead,50
107,30,1,member,100
108,30,18,lead,25
109,31,57,lead,100
110,31,7,lead,100
111,31,20,member,50
112,32,46,lead,50
113,32,55,lead,25
114,32,39,member,25
115,32,36,lead,75
116,32,41,member,25
117,33,58,member,50
118,33,2,lead,50
119,33,27,member,100
120,33,47,lead,100
121,33,38,member,50
122,34,22,lead,25
123,34,60,member,50
124,34,5,lead,75
125,34,59,lead,25
126,34,13,lead,75
127,35,51,member,25
128,35,28,member,100
129,35,60,member,50
130,35,2,member,100
131,36,49,lead,75
132,36,4,member,100
133,36,45,member,75
134,37,40,member,50
135,37,60,member,25
136,37,5,member,25
137,37,37,lead,100
138,37,26,member,50
139,38,29,member,100
140,38,18,lead,25
141,39,9,lead,25
142,39,22,lead,100
143,39,32,member,75
144,40,29,lead,50
145,40,59,lead,100
146,40,30,lead,25
147,40,24,lead,100
148,40,23,member,50
149,41,42,member,100
150,41,13,member,25
151,42,7,member,25
152,42,46,member,100
153,42,50,member,100
154,42,3,member,100
155,43,46,member,100
156,43,39,member,50
157,43,44,member,25
158,44,26,lead,25
159,44,5,lead,100
160,44,17,member,50
161,44,32,member,50
162,44,10,member,25
163,45,31,member,100
164,45,60,lead,100
165,46,8,lead,75
166,46,36,member,25
167,47,7,lead,50
168,47,46,member,50
169,47,59,lead,25
170,48,57,member,25
171,48,18,member,25
172,48,33,member,75
173,49,10,lead,25
174,49,56,member,25
175,49,57,member,50
176,49,39,lead,75
177,50,14,member,25
178,50,24,member,50
179,50,11,member,75
180,50,33,lead,100
181,51,48,member,50
182,51,39,lead,50
183,51,56,lead,75
184,51,15,lead,25
185,51,17,lead,50
186,52,30,member,100
187,52,2,lead,50
188,53,9,member,25
189,53,38,lead,75
190,54,42,lead,25
191,54,15,lead,50
192,54,46,member,25
193,55,36,member,75
194,55,30,member,50
195,56,20,lead,75
196,56,56,member,100
197,56,12,member,25
198,57,59,member,100
199,57,10,lead,75
200,57,49,member,25
201,57,4,member,100
202,57,11,member,25
203,58,53,lead,50
204,58,21,lead,100
205,58,23,member,50
206,59,19,member,75
207,59,59,lead,50
208,59,43,member,50
209,59,16,member,100
210,59,33,lead,50
211,60,28,lead,75
212,60,12,lead,100
213,61,54,lead,25
214,61,14,member,100
215,62,46,member,25
216,62,25,lead,100
217,62,27,member,100
218,62,4,member,100
219,62,49,member,25
220,63,56,member,50
221,63,59,lead,25
222,63,28,lead,100
223,63,34,lead,25
224,64,21,member,100
225,64,44,member,50
226,64,31,member,50
227,65,51,member,100
228,65,58,lead,75
229,65,37,member,100
230,65,17,lead,100
231,65,42,member,100
232,66,9,member,100
233,66,13,lead,100
234,67,59,member,75
235,67,33,lead,50
236,67,53,member,100
237,67,35,member,25
238,67,51,member,25
239,68,52,member,50
240,68,15,member,75
241,68,28,member,100
242,69,60,lead,25
243,69,35,lead,25
244,69,17,member,25
245,69,18,member,75
246,70,16,lead,25
247,70,29,member,50
248,71,54,member,50
249,71,46,member,100
250,71,26,member,100
251,71,14,lead,25
252,71,4,lead,25
253,72,43,member,75
254,72,58,member,75
255,72,18,member,100
256,73,32,member,100
257,73,55,lead,75
258,73,14,lead,100
259,74,52,lead,75
260,74,35,member,50
261,74,56,member,50
262,74,9,member,100
263,74,12,lead,25
264,75,43,member,50
265,75,31,member,75
266,76,17,lead,100
267,76,35,lead,25
268,76,6,lead,75
269,76,51,member,75
270,76,53,lead,50
271,77,48,member,100
272,77,18,lead,25
273,77,38,lead,25
274,77,33,lead,25
275,78,49,lead,50
276,78,25,lead,50
277,79,37,member,50
278,79,28,lead,100
279,79,36,member,50
280,79,17,lead,25
281,79,15,member,75
282,80,41,lead,100
283,80,44,lead,75
284,80,27,lead,50
285,80,22,lead,75
286,80,40,member,50
