budget_id,project_id,amount,spent_amount,remaining_amount
1,1,177233.14,4946.61,172286.53
2,2,212166.55,4797.02,207369.53
3,3,184251.56,6941.74,177309.82
4,4,210042.6,3672.82,206369.78
5,5,173786.08,12681.36,161104.72
6,6,226460.63,5958.6,220502.03
7,7,278898.76,7445.6,271453.16
8,8,267170.22,2151.44,265018.78
9,9,112003.17,8370.26,103632.91
10,10,274698.91,13332.9,261366.01
11,11,54840.63,6646.37,48194.26
12,12,146227.5,9228.4,136999.1
13,13,258921.75,11460.2,247461.55
14,14,35253.36,11030.48,24222.88
15,15,88951.64,11274.39,77677.25
16,16,94961.13,5541.87,89419.26
17,17,218333.45,8662.24,209671.21
18,18,213755.16,15224.22,198530.94
19,19,152218.86,5519.94,146698.92
20,20,89210.54,5297.59,83912.95
21,21,170218.45,5754.31,164464.14
22,22,174690.86,13185.09,161505.77
23,23,226427.05,3198.32,223228.73
24,24,138544.29,11586.27,126958.02
25,25,253662.74,8907.77,244754.97
26,26,255393.26,3113.57,252279.69
27,27,176658.85,8923.15,167735.7
28,28,218007.69,13180.52,204827.17
29,29,97000.97,8911.14,88089.83
30,30,145655.01,9934.57,135720.44
31,31,266506.72,3338.0,263168.72
32,32,141193.53,2186.78,139006.75
33,33,56136.52,4196.45,51940.07
34,34,200835.76,4195.48,196640.28
35,35,171898.37,13524.01,158374.36
36,36,270882.55,4556.11,266326.44
37,37,80859.65,13207.54,67652.11
38,38,62654.53,8057.65,54596.88
39,39,246737.47,7881.52,238855.95
40,40,163959.25,4778.9,159180.35
41,41,101228.27,10139.2,91089.07
42,42,237427.86,5415.46,232012.4
43,43,86170.16,6518.85,79651.31
44,44,277900.71,8036.1,269864.61
45,45,125582.8,3267.94,122314.86
46,46,134257.16,11386.64,122870.52
47,47,57689.86,7965.09,49724.77
48,48,57337.76,9298.44,48039.32
49,49,268120.69,11014.26,257106.43
50,50,115907.06,7389.13,108517.93
51,51,120371.28,8521.25,111850.03
52,52,107029.42,10827.87,96201.55
53,53,218180.68,4721.01,213459.67
54,54,95102.19,3472.03,91630.16
55,55,33329.58,12559.36,20770.22
56,56,186738.06,6417.21,180320.85
57,57,86978.33,5945.14,81033.19
58,58,170589.81,5937.12,164652.69
59,59,271618.19,4585.66,267032.53
60,60,59554.4,3256.48,56297.92
61,61,57325.28,14200.88,43124.4
62,62,155852.8,10054.13,145798.67
63,63,234192.02,10195.33,223996.69
64,64,242551.65,4205.31,238346.34
65,65,221619.23,7425.83,214193.4
66,66,142283.23,8537.83,133745.4
67,67,146509.62,11946.74,134562.88
68,68,32938.25,11041.6,21896.65
69,69,38871.47,4794.87,34076.6
70,70,234340.09,9671.03,224669.06
71,71,39540.7,3513.12,36027.58
72,72,256326.45,9270.96,247055.49
73,73,229811.7,4711.62,225100.08
74,74,83474.81,6299.42,77175.39
75,75,167740.82,3287.82,164453.0
76,76,145694.93,5418.48,140276.45
77,77,257614.92,10225.1,247389.82
78,78,142425.86,4914.73,137511.13
79,79,271117.86,10303.29,260814.57
80,80,268705.87,15073.15,253632.72
