cost_id,project_id,cost_date,category,amount
1,1,2025-05-15,travel,3838.11
2,2,2025-05-14,software,2592.02
3,3,2025-05-06,software,2940.79
4,3,2025-01-18,software,2325.45
5,4,2025-06-05,travel,938.89
6,4,2025-05-31,subcontractor,149.02
7,4,2025-05-23,travel,1039.91
8,5,2025-02-01,subcontractor,2661.09
9,5,2025-06-08,other,3864.37
10,5,2025-04-13,other,3364.48
11,5,2025-04-17,software,1954.42
12,6,2025-01-28,software,4374.6
13,7,2025-01-25,software,1350.34
14,7,2025-03-19,subcontractor,2013.45
15,7,2025-03-03,software,3067.81
16,8,2025-05-31,software,958.94
17,9,2025-06-01,travel,2444.2
18,9,2025-01-12,travel,3931.06
19,10,2025-06-15,software,3205.77
20,10,2025-01-31,software,3959.52
21,10,2025-03-08,subcontractor,3728.61
22,11,2025-01-12,subcontractor,4489.37
23,12,2025-05-30,other,4428.68
24,12,2025-06-27,subcontractor,2756.72
25,13,2025-06-11,other,3919.45
26,13,2025-05-15,other,2870.46
27,13,2025-01-28,subcontractor,3101.29
28,14,2025-05-01,travel,4479.73
29,14,2025-03-07,subcontractor,1373.15
30,14,2025-06-18,subcontractor,2943.01
31,14,2025-03-16,software,1202.59
32,15,2025-01-24,subcontractor,2241.22
33,15,2025-03-25,other,2048.54
34,15,2025-03-28,other,2827.16
35,15,2025-06-12,other,2027.47
36,16,2025-04-03,travel,3846.87
37,17,2025-05-28,software,2570.29
38,17,2025-04-04,travel,434.12
39,17,2025-03-21,subcontractor,3977.83
40,18,2025-06-02,other,3161.05
41,18,2025-05-25,software,3036.89
42,18,2025-01-13,subcontractor,3611.89
43,18,2025-01-17,subcontractor,4446.89
44,19,2025-06-10,subcontractor,206.41
45,19,2025-03-11,software,3825.53
46,20,2025-05-02,travel,385.12
47,20,2025-04-17,subcontractor,2315.97
48,21,2025-02-25,other,4042.81
49,22,2025-05-01,travel,2186.95
50,22,2025-05-29,subcontractor,1764.82
51,22,2025-05-31,software,4472.05
52,22,2025-01-24,travel,4297.77
53,23,2025-02-03,software,1419.66
54,23,2025-05-06,software,134.44
55,23,2025-02-01,subcontractor,1035.22
56,24,2025-04-24,other,4192.57
57,24,2025-03-25,travel,3042.08
58,24,2025-03-16,travel,2991.12
59,25,2025-04-03,other,521.03
60,25,2025-06-16,software,2375.98
61,25,2025-06-01,other,3655.76
62,26,2025-01-27,subcontractor,617.77
63,26,2025-03-29,software,875.95
64,26,2025-05-14,travel,433.35
65,27,2025-03-06,travel,4371.32
66,27,2025-05-13,other,3485.33
67,28,2025-03-02,subcontractor,2532.45
68,28,2025-06-06,software,3007.73
69,28,2025-05-23,other,2228.06
70,28,2025-05-09,software,3829.78
71,29,2025-02-03,software,4226.26
72,29,2025-05-12,travel,1524.31
73,29,2025-01-19,software,1552.57
74,30,2025-06-03,software,2152.3
75,30,2025-05-06,travel,4032.04
76,30,2025-01-22,software,2769.23
77,31,2025-03-05,other,1381.21
78,31,2025-05-14,other,128.29
79,32,2025-05-02,travel,1187.78
80,33,2025-04-28,software,2541.5
81,33,2025-04-28,software,1054.95
82,34,2025-04-20,subcontractor,783.17
83,34,2025-01-23,software,1072.2
84,34,2025-03-23,software,753.11
85,35,2025-04-13,subcontractor,2857.11
86,35,2025-04-25,software,2726.34
87,35,2025-05-03,other,1781.16
88,35,2025-04-17,subcontractor,4362.4
89,36,2025-05-19,software,1263.05
90,36,2025-02-26,other,2825.06
91,37,2025-03-06,subcontractor,430.86
92,37,2025-05-21,software,3409.0
93,37,2025-04-09,travel,3762.85
94,37,2025-03-04,travel,2855.33
95,38,2025-02-24,other,2591.62
96,38,2025-04-18,other,2356.9
97,38,2025-02-11,travel,1319.73
98,38,2025-03-02,travel,781.4
99,39,2025-03-19,subcontractor,2353.62
100,39,2025-04-19,travel,4270.9
101,40,2025-04-08,subcontractor,2836.4
102,41,2025-03-23,software,436.91
103,41,2025-03-28,travel,2027.16
104,41,2025-05-29,software,3843.87
105,41,2025-02-16,other,2238.26
106,42,2025-06-12,travel,3037.96
107,43,2025-03-11,other,675.6
108,43,2025-01-10,software,2299.37
109,43,2025-02-21,other,2358.88
110,44,2025-04-28,software,1307.21
111,44,2025-05-31,other,3006.92
112,44,2025-04-10,travel,1707.47
113,45,2025-02-02,software,1149.94
114,46,2025-05-12,software,4337.73
115,46,2025-06-13,subcontractor,1421.84
116,46,2025-06-01,software,4496.07
117,47,2025-05-27,subcontractor,3953.83
118,47,2025-01-15,other,2562.26
119,48,2025-01-28,travel,2360.19
120,48,2025-02-02,subcontractor,4311.24
121,48,2025-03-06,software,1529.01
122,49,2025-06-01,other,871.48
123,49,2025-04-24,travel,1060.1
124,49,2025-05-11,subcontractor,3532.4
125,49,2025-04-30,travel,4180.78
126,50,2025-01-27,software,339.02
127,50,2025-05-08,software,1249.73
128,50,2025-03-03,subcontractor,4270.38
129,51,2025-06-10,software,4049.16
130,51,2025-06-27,other,3047.09
131,52,2025-05-11,subcontractor,1790.53
132,52,2025-06-24,subcontractor,3795.8
133,52,2025-06-28,travel,2552.57
134,52,2025-04-23,software,1556.47
135,53,2025-03-05,other,3596.01
136,54,2025-06-15,travel,1642.03
137,55,2025-06-16,travel,4492.86
138,55,2025-01-29,subcontractor,2015.01
139,55,2025-02-18,subcontractor,3153.13
140,55,2025-03-14,software,2139.36
141,56,2025-03-14,subcontractor,1748.15
142,56,2025-03-13,other,629.9
143,56,2025-06-26,subcontractor,590.22
144,56,2025-03-16,subcontractor,1963.94
145,57,2025-03-03,other,3491.04
146,57,2025-02-16,subcontractor,1350.1
147,58,2025-06-10,subcontractor,3029.75
148,58,2025-06-17,travel,1686.37
149,59,2025-06-18,subcontractor,800.84
150,59,2025-06-01,subcontractor,633.16
151,59,2025-03-04,travel,1797.16
152,60,2025-01-18,travel,2171.98
153,61,2025-01-19,other,4135.61
154,61,2025-03-19,subcontractor,3594.93
155,61,2025-02-04,travel,3675.9
156,61,2025-03-30,other,596.94
157,62,2025-04-28,software,550.14
158,62,2025-05-29,subcontractor,2646.58
159,62,2025-06-01,other,1619.4
160,62,2025-04-29,software,2721.01
161,63,2025-03-19,travel,3858.49
162,63,2025-06-10,subcontractor,2132.01
163,63,2025-05-31,travel,3426.33
164,64,2025-05-09,other,2093.31
165,65,2025-03-11,travel,1430.0
166,65,2025-01-19,other,4309.83
