customer_id,name,industry,city
1,Südhandel Consulting 1,Retail,München
2,Westlog Consulting 2,Banking,Köln
3,Ostbau Consulting 3,Public,Berlin
4,Alpin Consulting 4,Retail,Stuttgart
5,Hanse Consulting 5,Energy,Leipzig
6,Rhein Consulting 6,Public,Frankfurt
7,Main Consulting 7,Banking,Hamburg
8,Elbe Consulting 8,Public,München
9,Donau Consulting 9,Public,Köln
10,Nordwerk Consulting 10,Public,Berlin
11,Südhandel Consulting 11,Energy,Stuttgart
12,Westlog Consulting 12,Energy,Leipzig
13,Ostbau Consulting 13,Energy,Frankfurt
14,Alpin Consulting 14,Retail,Hamburg
15,Hanse Consulting 15,Retail,München
16,Rhein Consulting 16,Energy,Köln
17,Main Consulting 17,Public,Berlin
18,Elbe Consulting 18,Energy,Stuttgart
19,Donau Consulting 19,Retail,Leipzig
20,Nordwerk Consulting 20,Public,Frankfurt
21,Südhandel Consulting 21,Retail,Hamburg
22,Westlog Consulting 22,Banking,München
23,Ostbau Consulting 23,Retail,Köln
24,Alpin Consulting 24,Public,Berlin
25,Hanse Consulting 25,Banking,Stuttgart
26,Rhein Consulting 26,Energy,Leipzig
27,Main Consulting 27,Energy,Frankfurt
28,Elbe Consulting 28,Energy,Hamburg
29,Donau Consulting 29,Energy,München
30,Nordwerk Consulting 30,Energy,Köln
31,Südhandel Consulting 31,Energy,Berlin
32,Westlog Consulting 32,Retail,Stuttgart
33,Ostbau Consulting 33,Public,Leipzig
34,Alpin Consulting 34,Retail,Frankfurt
35,Hanse Consulting 35,Banking,Hamburg
36,Rhein Consulting 36,Banking,München
37,Main Consulting 37,Banking,Köln
38,Elbe Consulting 38,Public,Berlin
39,Donau Consulting 39,Public,Stuttgart
40,Nordwerk Consulting 40,Banking,Leipzig
