invoice_id,project_id,customer_id,invoice_date,net_amount,tax_amount,gross_amount,status
1,1,30,2025-05-03,1844.07,350.37,2194.44,draft
2,2,13,2025-06-23,6487.12,1232.55,7719.67,sent
3,3,23,2025-05-11,5145.16,977.58,6122.74,draft
4,4,14,2025-05-26,2880.63,547.32,3427.95,paid
5,5,30,2025-02-16,2778.47,527.91,3306.38,sent
6,6,17,2025-05-01,2743.4,521.25,3264.65,paid
7,7,37,2025-03-25,2074.14,394.09,2468.23,draft
8,8,11,2025-03-26,2548.56,484.23,3032.79,draft
9,9,27,2025-02-07,4831.58,918.0,5749.58,paid
10,10,12,2025-04-28,6257.29,1188.89,7446.18,draft
11,11,31,2025-04-01,3898.08,740.64,4638.72,paid
12,12,20,2025-05-23,5936.14,1127.87,7064.01,draft
13,13,10,2025-03-01,5215.9,991.02,6206.92,paid
14,14,8,2025-02-09,1449.39,275.38,1724.77,draft
15,15,27,2025-03-26,5160.25,980.45,6140.7,sent
16,16,26,2025-02-10,2505.48,476.04,2981.52,paid
17,17,25,2025-04-11,4026.39,765.01,4791.4,sent
18,18,24,2025-06-30,1320.32,250.86,1571.18,sent
19,19,8,2025-04-07,2053.51,390.17,2443.68,draft
20,20,20,2025-04-06,7487.11,1422.55,8909.66,paid
21,21,1,2025-04-06,5157.74,979.97,6137.71,paid
22,22,3,2025-03-10,1370.06,260.31,1630.37,sent
23,23,3,2025-05-07,1397.84,265.59,1663.43,sent
24,24,7,2025-03-11,4037.59,767.14,4804.73,sent
25,25,4,2025-03-17,5511.08,1047.11,6558.19,draft
26,26,30,2025-02-09,3361.26,638.64,3999.9,paid
27,27,11,2025-06-07,1675.74,318.39,1994.13,sent
28,28,24,2025-02-13,2303.12,437.59,2740.71,sent
29,29,38,2025-03-13,4810.05,913.91,5723.96,sent
30,30,5,2025-06-12,2532.07,481.09,3013.16,sent
31,31,2,2025-04-05,3498.75,664.76,4163.51,sent
32,32,31,2025-04-26,2915.16,553.88,3469.04,paid
33,33,27,2025-05-03,1809.27,343.76,2153.03,sent
34,34,18,2025-02-17,4527.55,860.23,5387.78,draft
35,35,12,2025-02-22,3589.25,681.96,4271.21,draft
36,36,13,2025-02-01,1092.08,207.5,1299.58,draft
37,37,8,2025-05-24,4433.04,842.28,5275.32,paid
38,38,28,2025-03-10,2662.68,505.91,3168.59,sent
39,39,2,2025-06-03,3813.02,724.47,4537.49,sent
40,40,29,2025-02-14,4175.52,793.35,4968.87,paid
41,41,33,2025-04-17,2270.42,431.38,2701.8,paid
42,42,39,2025-05-11,4575.93,869.43,5445.36,paid
43,43,19,2025-04-30,2044.66,388.49,2433.15,draft
44,44,15,2025-06-07,4448.93,845.3,5294.23,paid
45,45,9,2025-04-12,6121.13,1163.01,7284.14,sent
46,46,30,2025-06-30,2415.01,458.85,2873.86,paid
47,47,5,2025-03-26,3803.3,722.63,4525.93,paid
48,48,11,2025-03-08,3580.07,680.21,4260.28,sent
49,49,31,2025-03-02,2070.41,393.38,2463.79,paid
50,50,37,2025-06-09,4791.41,910.37,5701.78,sent
51,51,29,2025-05-01,3950.4,750.58,4700.98,sent
52,52,33,2025-06-16,3400.47,646.09,4046.56,draft
53,53,16,2025-05-19,2941.73,558.93,3500.66,sent
54,54,31,2025-05-04,5676.52,1078.54,6755.06,paid
55,55,35,2025-04-13,1441.59,273.9,1715.49,draft
56,56,1,2025-03-10,3974.13,755.08,4729.21,sent
57,57,40,2025-05-14,2266.17,430.57,2696.74,sent
58,58,28,2025-04-06,2001.98,380.38,2382.36,paid
59,59,21,2025-06-04,4243.67,806.3,5049.97,paid
60,60,15,2025-04-06,2649.85,503.47,3153.32,sent
61,61,29,2025-04-10,4259.64,809.33,5068.97,paid
62,62,12,2025-02-21,3849.7,731.44,4581.14,paid
63,63,1,2025-05-27,1551.03,294.7,1845.73,draft
64,64,23,2025-03-23,5481.37,1041.46,6522.83,paid
65,65,19,2025-02-16,5225.67,992.88,6218.55,draft
66,66,25,2025-06-14,4074.12,774.08,4848.2,paid
67,67,8,2025-06-26,3727.45,708.22,4435.67,paid
68,68,31,2025-02-18,3760.28,714.45,4474.73,draft
69,69,27,2025-06-05,4455.86,846.61,5302.47,paid
70,70,35,2025-05-31,5129.72,974.65,6104.37,paid
71,71,29,2025-05-15,2492.52,473.58,2966.1,draft
72,72,11,2025-04-22,2277.93,432.81,2710.74,draft
73,73,28,2025-03-08,2624.04,498.57,3122.61,sent
74,74,25,2025-04-13,1046.82,198.9,1245.72,draft
75,75,4,2025-02-24,3982.61,756.7,4739.31,draft
76,76,23,2025-02-19,5118.53,972.52,6091.05,sent
77,77,16,2025-05-15,2186.72,415.48,2602.2,paid
78,78,18,2025-06-20,5147.8,978.08,6125.88,draft
79,79,15,2025-03-13,2781.87,528.56,3310.43,draft
80,80,10,2025-04-30,5529.58,1050.62,6580.2,draft
