project_id,customer_id,name,type,started_on,status,logged_hours
1,30,Project 1,fixed,2025-04-11,on_hold,35.0
2,13,Project 2,retainer,2024-09-13,active,66.0
3,23,Project 3,time_material,2025-04-20,done,47.0
4,14,Project 4,fixed,2025-04-03,done,41.0
5,30,Project 5,fixed,2025-01-29,done,21.0
6,17,Project 6,fixed,2025-01-25,active,48.0
7,37,Project 7,time_material,2025-02-09,done,32.0
8,11,Project 8,fixed,2025-06-28,on_hold,33.0
9,27,Project 9,retainer,2024-12-13,done,47.0
10,12,Project 10,retainer,2025-01-16,on_hold,63.0
11,31,Project 11,fixed,2024-09-15,done,41.0
12,20,Project 12,retainer,2025-03-08,on_hold,42.0
13,10,Project 13,retainer,2024-09-12,active,37.0
14,8,Project 14,retainer,2025-01-10,on_hold,32.0
15,27,Project 15,time_material,2025-05-28,active,62.0
16,26,Project 16,retainer,2025-06-08,on_hold,49.0
17,25,Project 17,retainer,2024-12-24,done,38.0
18,24,Project 18,fixed,2024-12-27,active,30.0
19,8,Project 19,fixed,2025-02-04,done,46.0
20,20,Project 20,time_material,2024-12-14,active,57.0
21,1,Project 21,time_material,2025-05-30,on_hold,53.0
22,3,Project 22,time_material,2024-10-05,done,21.0
23,3,Project 23,time_material,2025-01-22,active,17.0
24,7,Project 24,time_material,2025-05-28,active,32.0
25,4,Project 25,retainer,2024-09-19,active,56.0
26,30,Project 26,fixed,2025-04-06,active,40.0
27,11,Project 27,fixed,2025-03-14,done,30.0
28,24,Project 28,retainer,2024-12-16,on_hold,52.0
29,38,Project 29,retainer,2024-10-26,on_hold,38.0
30,5,Project 30,fixed,2025-05-18,done,42.0
31,2,Project 31,fixed,2025-02-10,done,44.0
32,31,Project 32,fixed,2024-10-15,done,36.0
33,27,Project 33,retainer,2025-01-06,done,20.0
34,18,Project 34,fixed,2024-10-29,done,37.0
35,12,Project 35,retainer,2025-05-30,on_hold,56.0
36,13,Project 36,retainer,2024-12-28,active,18.0
37,8,Project 37,retainer,2025-05-08,on_hold,60.0
38,28,Project 38,fixed,2025-06-17,done,36.0
39,2,Project 39,fixed,2025-05-20,done,38.0
40,29,Project 40,retainer,2025-03-10,done,52.0
41,33,Project 41,retainer,2025-03-19,done,36.0
42,39,Project 42,retainer,2024-11-12,active,59.0
43,19,Project 43,fixed,2025-04-24,done,29.0
44,15,Project 44,retainer,2025-03-30,active,49.0
45,9,Project 45,fixed,2024-09-24,done,49.0
46,30,Project 46,retainer,2025-05-20,on_hold,35.0
47,5,Project 47,time_material,2024-11-05,done,36.0
48,11,Project 48,fixed,2025-04-26,on_hold,33.0
49,31,Project 49,time_material,2025-04-25,active,41.0
50,37,Project 50,retainer,2024-11-08,on_hold,39.0
51,29,Project 51,fixed,2024-09-06,active,37.0
52,33,Project 52,time_material,2025-05-19,active,34.0
53,16,Project 53,retainer,2025-06-24,on_hold,42.0
54,31,Project 54,time_material,2025-03-01,on_hold,40.0
55,35,Project 55,time_material,2024-11-14,active,22.0
56,1,Project 56,retainer,2025-03-20,on_hold,48.0
57,40,Project 57,fixed,2024-11-18,active,32.0
58,28,Project 58,fixed,2025-02-07,on_hold,26.0
59,21,Project 59,retainer,2025-04-27,done,30.0
60,15,Project 60,time_material,2025-04-26,active,33.0
61,29,Project 61,fixed,2025-01-02,on_hold,65.0
62,12,Project 62,time_material,2025-01-07,done,65.0
63,1,Project 63,time_material,2025-06-04,on_hold,21.0
64,23,Project 64,fixed,2024-11-26,done,50.0
65,19,Project 65,time_material,2024-12-21,on_hold,43.0
66,25,Project 66,fixed,2025-04-06,active,51.0
67,8,Project 67,fixed,2025-05-02,active,22.0
68,31,Project 68,time_material,2024-10-14,on_hold,28.0
69,27,Project 69,retainer,2025-02-04,done,41.0
70,35,Project 70,fixed,2025-02-11,done,34.0
71,29,Project 71,retainer,2025-01-05,active,25.0
72,11,Project 72,time_material,2025-02-23,active,23.0
73,28,Project 73,fixed,2025-06-28,on_hold,40.0
74,25,Project 74,time_material,2025-05-26,done,25.0
75,4,Project 75,fixed,2024-11-22,active,58.0
76,23,Project 76,retainer,2025-04-26,done,31.0
77,16,Project 77,retainer,2024-10-13,on_hold,23.0
78,18,Project 78,fixed,2025-03-16,active,36.0
79,15,Project 79,retainer,2025-01-02,active,51.0
80,10,Project 80,retainer,2024-09-24,on_hold,41.0
