task_id,project_id,assignee_id,title,estimate_hours,status
1,1,11,Task 1,16,doing
2,1,25,Task 2,16,done
3,1,11,Task 3,16,todo
4,1,25,Task 4,8,todo
5,1,26,Task 5,16,doing
6,1,26,Task 6,24,todo
7,1,26,Task 7,24,doing
8,2,17,Task 8,8,done
9,2,38,Task 9,24,todo
10,2,38,Task 10,24,done
11,2,17,Task 11,40,todo
12,2,3,Task 12,40,doing
13,2,48,Task 13,40,todo
14,3,53,Task 14,4,doing
15,3,53,Task 15,4,done
16,3,46,Task 16,24,todo
17,3,53,Task 17,24,todo
18,3,30,Task 18,24,todo
19,4,30,Task 19,40,doing
20,4,57,Task 20,4,done
21,4,32,Task 21,40,todo
22,4,16,Task 22,4,done
23,5,4,Task 23,8,doing
24,5,36,Task 24,24,done
25,5,53,Task 25,24,done
26,5,53,Task 26,4,done
27,5,4,Task 27,24,doing
28,5,4,Task 28,40,done
29,6,5,Task 29,8,done
30,6,5,Task 30,24,done
31,6,5,Task 31,16,todo
32,7,29,Task 32,40,doing
33,7,38,Task 33,4,todo
34,7,37,Task 34,16,todo
35,7,37,Task 35,8,done
36,7,37,Task 36,24,todo
37,7,37,Task 37,8,doing
38,7,29,Task 38,24,doing
39,8,11,Task 39,16,doing
40,8,11,Task 40,4,todo
41,8,15,Task 41,40,todo
42,9,21,Task 42,16,done
43,9,21,Task 43,8,done
44,9,21,Task 44,40,doing
45,10,48,Task 45,16,doing
46,10,46,Task 46,16,doing
47,10,46,Task 47,8,done
48,11,51,Task 48,4,done
49,11,22,Task 49,40,doing
50,11,58,Task 50,4,doing
51,11,58,Task 51,8,doing
52,12,20,Task 52,40,done
53,12,26,Task 53,40,doing
54,12,20,Task 54,24,doing
55,12,23,Task 55,24,done
56,12,26,Task 56,4,done
57,13,40,Task 57,16,doing
58,13,11,Task 58,4,done
59,13,42,Task 59,8,done
60,13,40,Task 60,4,todo
61,13,11,Task 61,24,doing
62,13,40,Task 62,4,done
63,14,29,Task 63,8,done
64,14,29,Task 64,4,done
65,14,29,Task 65,16,doing
66,14,3,Task 66,8,todo
67,14,29,Task 67,4,todo
68,14,3,Task 68,8,doing
69,14,30,Task 69,4,done
70,15,15,Task 70,4,doing
71,15,31,Task 71,40,doing
72,15,60,Task 72,40,done
73,16,15,Task 73,8,done
74,16,36,Task 74,4,done
75,16,22,Task 75,24,todo
76,16,36,Task 76,24,doing
77,16,11,Task 77,24,todo
78,16,36,Task 78,24,todo
79,16,44,Task 79,16,doing
80,17,15,Task 80,16,done
81,17,46,Task 81,4,doing
82,17,11,Task 82,24,done
83,17,46,Task 83,40,done
84,17,15,Task 84,8,todo
85,17,46,Task 85,16,todo
86,17,46,Task 86,40,doing
87,18,52,Task 87,8,todo
88,18,52,Task 88,8,done
89,18,59,Task 89,8,todo
90,18,47,Task 90,16,doing
91,18,47,Task 91,8,doing
92,18,52,Task 92,8,doing
93,18,5,Task 93,24,todo
94,19,50,Task 94,40,doing
95,19,50,Task 95,4,done
96,19,29,Task 96,4,done
97,20,53,Task 97,16,doing
98,20,35,Task 98,16,doing
99,20,39,Task 99,16,doing
100,20,53,Task 100,4,todo
101,20,35,Task 101,24,done
102,20,53,Task 102,16,doing
103,20,53,Task 103,4,done
104,21,20,Task 104,40,doing
105,21,20,Task 105,24,done
106,21,21,Task 106,16,todo
107,21,21,Task 107,4,doing
108,21,21,Task 108,16,doing
109,21,20,Task 109,24,doing
110,22,41,Task 110,4,done
111,22,9,Task 111,4,doing
112,22,9,Task 112,24,todo
113,22,9,Task 113,4,done
114,23,12,Task 114,24,todo
115,23,12,Task 115,24,done
116,23,12,Task 116,24,doing
117,23,12,Task 117,40,doing
118,23,12,Task 118,4,done
119,24,22,Task 119,4,doing
120,24,5,Task 120,24,doing
121,24,22,Task 121,8,todo
122,24,3,Task 122,8,doing
123,24,22,Task 123,16,todo
124,24,3,Task 124,16,doing
125,24,17,Task 125,8,todo
126,25,28,Task 126,16,todo
127,25,22,Task 127,40,done
128,25,22,Task 128,4,done
129,25,28,Task 129,24,todo
130,26,16,Task 130,8,todo
131,26,16,Task 131,8,todo
132,26,18,Task 132,4,doing
133,26,18,Task 133,24,todo
134,26,18,Task 134,8,done
135,27,7,Task 135,8,done
136,27,6,Task 136,16,doing
137,27,7,Task 137,24,doing
138,27,27,Task 138,16,done
139,27,6,Task 139,8,done
140,27,7,Task 140,16,done
141,28,23,Task 141,16,doing
142,28,39,Task 142,24,todo
143,28,54,Task 143,4,doing
144,28,39,Task 144,16,todo
145,28,54,Task 145,40,doing
146,29,59,Task 146,4,doing
147,29,30,Task 147,40,todo
148,29,30,Task 148,40,todo
149,29,6,Task 149,4,doing
150,29,59,Task 150,40,doing
151,29,30,Task 151,16,doing
152,29,59,Task 152,40,todo
153,30,18,Task 153,16,todo
154,30,1,Task 154,40,doing
155,30,18,Task 155,24,todo
156,30,1,Task 156,24,doing
157,30,18,Task 157,40,done
158,31,20,Task 158,24,todo
159,31,57,Task 159,4,doing
160,31,57,Task 160,4,done
161,31,7,Task 161,16,todo
162,31,20,Task 162,16,doing
163,31,7,Task 163,16,done
164,32,41,Task 164,24,done
165,32,46,Task 165,16,doing
166,32,39,Task 166,16,done
167,32,46,Task 167,16,doing
168,32,36,Task 168,8,done
169,32,55,Task 169,16,done
170,32,55,Task 170,40,doing
171,33,38,Task 171,16,done
172,33,47,Task 172,16,doing
173,33,27,Task 173,8,todo
174,33,58,Task 174,40,doing
175,33,58,Task 175,8,done
176,33,58,Task 176,40,done
177,33,2,Task 177,4,done
