zuord_id,prj_nr,ma_nr,rolle_txt,ausl_pct
1,1,68,TL,20
2,1,56,MA,40
3,2,54,MA,60
4,2,64,MA,60
5,2,74,MA,60
6,2,55,MA,20
7,3,65,MA,40
8,3,72,TL,80
9,3,55,MA,60
10,3,4,TL,100
11,4,67,TL,100
12,4,70,TL,20
13,4,62,MA,100
14,4,69,TL,80
15,5,65,TL,80
16,5,9,TL,20
17,6,49,TL,80
18,6,24,TL,40
19,6,22,MA,80
20,6,66,TL,100
21,7,50,MA,80
22,7,69,TL,20
23,7,8,MA,20
24,7,7,MA,40
25,8,23,MA,100
26,8,37,MA,100
27,9,59,TL,100
28,9,17,MA,60
29,10,52,MA,80
30,10,12,MA,80
31,10,25,TL,20
32,10,69,MA,20
33,11,40,MA,40
34,11,60,TL,20
35,11,25,MA,20
36,11,26,MA,40
37,12,27,TL,100
38,12,52,TL,100
39,12,59,MA,60
40,12,31,TL,100
41,13,68,TL,20
42,13,37,MA,80
43,14,52,MA,40
44,14,69,TL,80
45,14,7,MA,60
46,15,8,MA,20
47,15,80,TL,20
48,15,21,TL,80
49,15,73,MA,40
50,16,7,MA,20
51,16,52,MA,100
52,16,24,TL,20
53,17,12,TL,60
54,17,21,TL,40
55,17,28,MA,80
56,18,55,TL,40
57,18,43,MA,100
58,19,23,TL,80
59,19,13,TL,80
60,19,60,TL,40
61,19,17,TL,60
62,20,47,TL,40
63,20,19,MA,80
64,20,14,MA,60
65,21,13,TL,100
66,21,71,TL,100
67,21,32,TL,20
68,21,8,MA,40
69,22,50,MA,20
70,22,53,MA,60
71,22,74,TL,20
72,23,8,TL,60
73,23,29,MA,40
74,23,17,TL,60
75,23,31,TL,40
76,24,6,TL,20
77,24,40,MA,60
78,24,48,MA,60
79,24,54,MA,80
80,25,70,TL,40
81,25,66,TL,80
82,25,55,MA,60
83,26,56,TL,100
84,26,16,TL,40
85,26,28,MA,40
86,26,19,MA,40
87,27,4,MA,100
88,27,60,TL,60
89,27,46,MA,100
90,28,15,TL,100
91,28,51,TL,20
92,28,59,TL,100
93,28,30,TL,20
94,29,67,MA,100
95,29,6,TL,80
96,30,15,TL,100
97,30,42,TL,60
98,31,78,TL,20
99,31,68,TL,40
100,31,31,TL,60
101,32,1,TL,20
102,32,2,TL,40
103,32,68,MA,20
104,33,41,TL,100
105,33,78,TL,100
106,33,18,TL,40
107,34,80,TL,40
108,34,29,MA,20
109,34,76,TL,80
110,34,17,MA,40
111,35,73,MA,20
112,35,4,TL,80
113,35,50,TL,40
114,35,14,MA,20
115,36,25,MA,100
116,36,65,MA,40
117,36,50,TL,80
118,36,45,TL,80
119,37,35,MA,80
120,37,64,MA,100
121,37,73,TL,60
122,38,15,TL,20
123,38,62,MA,20
124,38,67,TL,40
125,39,12,MA,100
126,39,38,TL,80
127,39,28,TL,60
128,39,47,TL,80
129,40,51,TL,60
130,40,13,MA,20
131,40,1,MA,60
132,40,72,TL,40
133,41,64,MA,60
134,41,17,TL,100
135,41,73,MA,20
136,42,54,TL,20
137,42,76,TL,80
138,42,44,MA,80
139,43,12,TL,100
140,43,54,MA,40
141,44,56,TL,40
142,44,41,TL,80
143,44,13,MA,40
144,44,6,TL,40
145,45,17,MA,60
146,45,78,TL,80
147,46,22,TL,100
148,46,68,TL,40
149,47,20,TL,20
150,47,66,TL,40
151,47,76,TL,100
152,48,73,MA,100
153,48,76,TL,100
154,48,8,MA,100
155,48,77,MA,80
156,49,35,TL,20
157,49,53,TL,40
158,49,77,MA,40
159,50,13,MA,80
160,50,50,MA,20
161,51,75,MA,40
162,51,38,TL,100
163,51,61,TL,80
164,51,44,MA,60
165,52,4,MA,80
166,52,26,MA,80
167,53,21,TL,40
168,53,68,MA,20
169,53,4,MA,60
170,53,70,TL,100
171,54,15,MA,100
172,54,58,TL,80
173,55,6,TL,20
174,55,63,TL,20
175,56,11,TL,60
176,56,44,MA,100
177,56,30,TL,60
178,56,79,MA,20
179,57,25,MA,20
180,57,59,MA,20
181,58,71,MA,100
182,58,34,TL,40
183,59,67,TL,40
184,59,50,MA,80
185,59,10,TL,100
186,60,60,MA,60
187,60,4,TL,100
188,60,24,MA,80
189,60,23,MA,40
190,61,65,MA,100
191,61,17,MA,60
192,61,44,TL,60
193,61,46,TL,40
194,62,19,TL,20
195,62,75,MA,80
196,62,38,TL,80
197,62,18,MA,100
198,63,58,MA,80
199,63,55,MA,60
200,64,42,MA,100
201,64,59,TL,100
202,64,5,MA,20
203,64,25,TL,80
204,65,22,TL,80
205,65,24,TL,20
206,65,34,MA,100
207,65,4,TL,80
208,66,24,MA,60
209,66,70,TL,20
210,66,12,TL,100
211,66,57,MA,20
212,67,58,MA,80
213,67,13,TL,40
214,67,50,MA,60
215,67,15,TL,20
216,68,35,TL,100
217,68,68,TL,100
218,68,39,TL,20
219,69,77,MA,40
220,69,47,TL,100
221,69,49,TL,100
222,70,51,MA,40
223,70,21,MA,60
224,70,25,TL,80
225,70,15,TL,100
226,71,41,TL,100
227,71,65,MA,80
228,72,26,MA,100
229,72,17,MA,40
230,73,47,TL,60
231,73,72,TL,20
232,73,25,MA,80
233,74,3,TL,40
234,74,64,TL,100
235,75,19,TL,40
236,75,72,MA,60
237,75,17,TL,80
238,75,70,TL,60
239,76,44,TL,40
240,76,62,TL,60
241,76,21,TL,40
242,76,5,TL,20
243,77,3,TL,100
244,77,10,MA,40
245,77,33,MA,60
246,78,71,MA,60
247,78,43,TL,60
248,78,28,TL,60
249,78,30,TL,20
250,79,17,TL,80
251,79,2,MA,60
252,80,61,MA,20
253,80,28,TL,40
254,80,48,TL,20
255,80,38,MA,40
256,81,11,TL,100
257,81,71,MA,80
258,81,60,MA,60
259,81,2,TL,60
260,82,73,MA,60
261,82,41,MA,20
262,82,67,MA,20
263,82,72,MA,100
264,83,68,MA,20
265,83,3,MA,80
266,83,16,MA,60
267,83,32,TL,60
268,84,13,TL,20
269,84,50,TL,20
270,84,65,TL,80
271,85,43,TL,100
272,85,1,TL,20
273,85,23,MA,40
274,86,19,TL,80
275,86,32,MA,80
276,86,53,MA,100
277,87,74,TL,100
278,87,66,TL,20
279,88,73,MA,20
280,88,6,MA,40
281,88,33,TL,80
282,88,28,MA,60
283,89,76,TL,60
284,89,8,MA,60
285,90,22,TL,20
286,90,72,TL,60
287,91,37,MA,80
288,91,80,TL,20
289,92,11,MA,40
290,92,44,MA,100
291,93,6,TL,100
292,93,19,MA,20
293,94,53,MA,100
294,94,54,TL,100
295,95,75,TL,60
296,95,5,MA,100
297,95,21,TL,100
298,95,71,TL,20
299,96,68,MA,40
300,96,2,TL,20
301,96,34,TL,60
302,96,55,MA,80
303,97,35,TL,100
304,97,56,TL,20
305,97,8,MA,100
306,98,72,TL,60
307,98,29,TL,40
308,98,27,TL,100
309,99,46,MA,100
310,99,56,TL,80
311,99,7,MA,60
312,99,74,MA,80
313,100,22,TL,80
314,100,30,MA,100
315,100,66,TL,80
316,101,78,MA,80
317,101,36,MA,100
318,101,58,TL,80
319,102,36,MA,100
320,102,47,TL,40
321,102,10,TL,60
322,102,40,TL,40
323,103,1,MA,20
324,103,5,MA,20
325,103,71,TL,60
326,103,55,TL,100
327,104,65,TL,20
328,104,14,MA,100
329,104,80,TL,80
330,105,61,MA,80
331,105,75,TL,100
332,105,76,MA,100
333,106,26,TL,60
334,106,2,MA,60
335,106,46,MA,40
336,107,54,MA,100
337,107,35,MA,100
338,108,34,MA,20
339,108,58,TL,60
340,109,4,MA,100
341,109,72,MA,100
342,109,73,TL,20
343,109,22,MA,80
344,110,25,MA,100
345,110,65,MA,100
346,110,20,MA,60
347,110,2,TL,20
348,111,26,MA,20
349,111,80,TL,60
350,111,30,TL,20
351,112,53,MA,40
352,112,77,TL,100
353,112,16,TL,60
354,113,24,TL,60
355,113,16,MA,80
356,113,44,TL,80
357,114,79,MA,100
358,114,58,MA,60
359,114,11,MA,80
360,115,19,TL,60
361,115,56,MA,80
362,115,33,MA,20
363,115,48,MA,40
364,116,7,MA,80
365,116,71,MA,40
366,117,36,TL,60
367,117,11,TL,100
368,117,67,MA,20
369,118,60,TL,100
370,118,62,MA,40
371,118,34,MA,80
372,118,30,TL,80
373,119,33,TL,80
