bdg_id,prj_nr,budget_betrag,verbraucht,rest
1,1,113683.24,11716.52,101966.72
2,2,262287.6,4969.4,257318.2
3,3,249758.2,20211.08,229547.12
4,4,58862.8,22009.47,36853.33
5,5,166259.55,8794.32,157465.23
6,6,240062.05,7538.67,232523.38
7,7,284455.19,4197.8,280257.39
8,8,119941.84,20936.28,99005.56
9,9,236086.97,16776.4,219310.57
10,10,313772.5,13697.88,300074.62
11,11,231689.57,6286.28,225403.29
12,12,53314.08,13012.97,40301.11
13,13,254535.93,10009.68,244526.25
14,14,19854.57,13851.45,6003.12
15,15,311218.45,20625.0,290593.45
16,16,18152.86,11870.51,6282.35
17,17,38107.3,15805.94,22301.36
18,18,102728.23,14355.66,88372.57
19,19,40946.85,7827.39,33119.46
20,20,258661.22,10809.11,247852.11
21,21,172788.48,14971.76,157816.72
22,22,159104.85,4861.89,154242.96
23,23,49199.43,8926.85,40272.58
24,24,227822.89,19100.27,208722.62
25,25,29401.91,9060.89,20341.02
26,26,68790.77,9531.03,59259.74
27,27,294374.09,5239.75,289134.34
28,28,214170.56,9686.4,204484.16
29,29,205802.01,11523.36,194278.65
30,30,88243.94,6515.88,81728.06
31,31,148143.97,17691.56,130452.41
32,32,289099.41,9237.01,279862.4
33,33,216441.14,17206.81,199234.33
34,34,191168.45,9748.42,181420.03
35,35,84035.84,18595.37,65440.47
36,36,311027.36,13533.69,297493.67
37,37,30353.52,12824.97,17528.55
38,38,291173.86,10075.64,281098.22
39,39,238288.41,11324.15,226964.26
40,40,213955.09,6200.48,207754.61
41,41,201694.93,17658.99,184035.94
42,42,160020.15,9828.78,150191.37
43,43,70936.06,14800.42,56135.64
44,44,68032.39,12854.18,55178.21
45,45,151925.19,18501.72,133423.47
46,46,155257.78,8502.67,146755.11
47,47,200168.54,9525.35,190643.19
48,48,309132.82,4963.78,304169.04
49,49,94797.93,7638.57,87159.36
50,50,262390.6,9943.44,252447.16
51,51,166211.5,17391.27,148820.23
52,52,92273.39,12974.31,79299.08
53,53,100603.8,12204.3,88399.5
54,54,103758.47,19234.53,84523.94
55,55,72043.11,19221.94,52821.17
56,56,206826.24,16882.17,189944.07
57,57,247816.86,6907.85,240909.01
58,58,146072.1,17939.15,128132.95
59,59,177902.99,16387.16,161515.83
60,60,185956.01,8307.08,177648.93
61,61,256074.97,19925.21,236149.76
62,62,205496.4,13429.03,192067.37
63,63,286778.77,8393.14,278385.63
64,64,313038.6,15754.73,297283.87
65,65,137644.76,7214.76,130430.0
66,66,89146.13,7058.59,82087.54
67,67,209875.57,12305.04,197570.53
68,68,90256.06,10145.87,80110.19
69,69,25204.36,9577.47,15626.89
70,70,26894.77,15381.92,11512.85
71,71,182259.93,8674.77,173585.16
72,72,127928.14,6884.21,121043.93
73,73,73216.93,14903.33,58313.6
74,74,71473.44,9361.61,62111.83
75,75,69673.19,10845.17,58828.02
76,76,213153.71,8248.28,204905.43
77,77,209794.65,6420.66,203373.99
78,78,133418.11,14803.42,118614.69
79,79,162010.85,15634.35,146376.5
80,80,37547.94,6726.5,30821.44
81,81,76744.02,16462.78,60281.24
82,82,287079.91,10831.93,276247.98
83,83,152235.41,18333.35,133902.06
84,84,172062.28,8778.12,163284.16
85,85,243792.9,13506.87,230286.03
86,86,154408.57,9465.2,144943.37
87,87,94091.56,13221.74,80869.82
88,88,285523.78,3972.75,281551.03
89,89,299924.94,21669.74,278255.2
90,90,239036.76,18587.15,220449.61
91,91,284995.28,9866.72,275128.56
92,92,182124.38,6417.62,175706.76
93,93,199897.84,11214.53,188683.31
94,94,135020.28,11156.31,123863.97
95,95,252819.98,6640.47,246179.51
96,96,116956.94,6820.66,110136.28
97,97,95331.45,16377.69,78953.76
98,98,47772.53,15107.74,32664.79
99,99,267668.9,16722.66,250946.24
100,100,166538.33,7508.51,159029.82
101,101,237221.89,8843.05,228378.84
102,102,102876.63,17497.91,85378.72
103,103,53802.36,10603.81,43198.55
104,104,142328.96,15593.43,126735.53
105,105,283915.15,8790.94,275124.21
106,106,261377.53,15323.45,246054.08
107,107,183802.63,12797.16,171005.47
108,108,263870.34,14033.52,249836.82
109,109,94338.57,15049.61,79288.96
110,110,123537.49,16616.86,106920.63
111,111,249329.25,14487.81,234841.44
112,112,202217.71,12270.66,189947.05
113,113,89808.23,19428.51,70379.72
114,114,36160.59,8514.1,27646.49
115,115,232187.59,10358.94,221828.65
116,116,102618.74,13973.15,88645.59
117,117,128646.7,5346.72,123299.98
118,118,52805.49,15970.52,36834.97
119,119,192709.5,7515.27,185194.23
120,120,56180.51,9118.9,47061.61
