ko_nr,prj_nr,ko_dat,art,betrag
1,1,2025-04-14,Sonst,3099.89
2,1,2025-01-16,Lizenz,781.14
3,1,2025-06-16,NachU,3905.5
4,1,2025-02-06,NachU,2403.87
5,2,2025-01-25,Sonst,2711.0
6,2,2025-01-15,Reise,638.03
7,3,2025-06-25,Reise,2679.83
8,3,2025-07-14,NachU,3258.53
9,3,2025-05-31,NachU,2263.11
10,3,2025-02-09,Reise,4325.4
11,3,2025-02-10,Sonst,4025.33
12,4,2025-04-02,NachU,3437.97
13,4,2025-02-20,Lizenz,4792.21
14,4,2025-05-21,Lizenz,4486.65
15,4,2025-03-19,Sonst,2836.14
16,4,2025-07-03,NachU,3937.88
17,5,2025-06-25,Lizenz,3212.74
18,5,2025-02-03,Lizenz,1443.72
19,5,2025-03-21,Reise,1678.73
20,6,2025-04-11,Reise,3444.77
21,6,2025-04-05,NachU,1016.05
22,6,2025-02-22,Sonst,396.98
23,7,2025-04-25,Sonst,637.56
24,7,2025-01-23,Sonst,101.24
25,8,2025-03-28,NachU,3419.84
26,8,2025-04-11,Reise,2697.65
27,8,2025-03-28,Sonst,4504.4
28,8,2025-03-27,Reise,5003.64
29,8,2025-04-11,Sonst,4291.5
30,9,2025-06-19,Sonst,4687.7
31,9,2025-06-24,Lizenz,1727.98
32,9,2025-01-13,Reise,2490.27
33,9,2025-06-12,NachU,2653.78
34,9,2025-07-14,Lizenz,3286.04
35,10,2025-03-02,Sonst,839.16
36,10,2025-03-26,NachU,2269.81
37,10,2025-05-26,Reise,5167.43
38,10,2025-04-22,Lizenz,3089.73
39,11,2025-02-07,Lizenz,4152.59
40,11,2025-07-03,Reise,357.69
41,12,2025-04-05,Lizenz,81.03
42,12,2025-03-30,Sonst,4118.57
43,12,2025-04-14,Reise,1190.49
44,12,2025-01-29,Lizenz,3243.39
45,12,2025-05-02,NachU,307.61
46,13,2025-06-17,NachU,4834.57
47,13,2025-02-26,Sonst,3318.61
48,14,2025-04-14,Sonst,2579.18
49,14,2025-05-24,Reise,2672.96
50,14,2025-01-29,Lizenz,1130.86
51,14,2025-05-18,Lizenz,3382.08
52,15,2025-02-05,NachU,2407.42
53,15,2025-04-08,NachU,4250.93
54,15,2025-05-27,Sonst,3939.63
55,15,2025-07-15,Lizenz,2618.29
56,15,2025-07-02,Lizenz,4777.6
57,16,2025-04-21,NachU,1348.09
58,16,2025-04-07,Reise,5069.35
59,16,2025-02-15,Lizenz,2024.44
60,17,2025-03-02,Lizenz,2341.86
61,17,2025-06-07,Lizenz,1869.28
62,17,2025-02-10,Sonst,5124.08
63,17,2025-05-20,Sonst,1665.71
64,17,2025-02-13,NachU,1447.64
65,18,2025-05-17,Sonst,2761.23
66,18,2025-03-10,Sonst,1903.75
