kd_nr,kd_name,branche,ort
1,Südhandel Dienst 1,Handel,München
2,Westlog Dienst 2,Bank,Köln
3,Ostbau Dienst 3,ÖD,Berlin
4,Alpin Dienst 4,ÖD,Stuttgart
5,Hanse Dienst 5,Bank,Leipzig
6,Rhein Dienst 6,Energie,Frankfurt
7,Main Dienst 7,Energie,Hamburg
8,Elbe Dienst 8,Handel,München
9,Donau Dienst 9,ÖD,Köln
10,Nordwerk Dienst 10,Energie,Berlin
11,Südhandel Dienst 11,ÖD,Stuttgart
12,Westlog Dienst 12,ÖD,Leipzig
13,Ostbau Dienst 13,Bank,Frankfurt
14,Alpin Dienst 14,Handel,Hamburg
15,Hanse Dienst 15,ÖD,München
16,Rhein Dienst 16,ÖD,Köln
17,Main Dienst 17,Energie,Berlin
18,Elbe Dienst 18,Energie,Stuttgart
19,Donau Dienst 19,Handel,Leipzig
20,Nordwerk Dienst 20,Energie,Frankfurt
21,Südhandel Dienst 21,Bank,Hamburg
22,Westlog Dienst 22,Bank,München
23,Ostbau Dienst 23,Bank,Köln
24,Alpin Dienst 24,Energie,Berlin
25,Hanse Dienst 25,Handel,Stuttgart
26,Rhein Dienst 26,ÖD,Leipzig
27,Main Dienst 27,ÖD,Frankfurt
28,Elbe Dienst 28,ÖD,Hamburg
29,Donau Dienst 29,Energie,München
30,Nordwerk Dienst 30,ÖD,Köln
31,Südhandel Dienst 31,ÖD,Berlin
32,Westlog Dienst 32,ÖD,Stuttgart
33,Ostbau Dienst 33,Bank,Leipzig
34,Alpin Dienst 34,ÖD,Frankfurt
35,Hanse Dienst 35,Energie,Hamburg
36,Rhein Dienst 36,Energie,München
37,Main Dienst 37,Handel,Köln
38,Elbe Dienst 38,Energie,Berlin
39,Donau Dienst 39,Bank,Stuttgart
40,Nordwerk Dienst 40,Handel,Leipzig
41,Südhandel Dienst 41,ÖD,Frankfurt
42,Westlog Dienst 42,Handel,Hamburg
43,Ostbau Dienst 43,Handel,München
44,Alpin Dienst 44,Energie,Köln
45,Hanse Dienst 45,Energie,Berlin
46,Rhein Dienst 46,ÖD,Stuttgart
47,Main Dienst 47,Bank,Leipzig
48,Elbe Dienst 48,Bank,Frankfurt
49,Donau Dienst 49,ÖD,Hamburg
50,Nordwerk Dienst 50,ÖD,München
51,Südhandel Dienst 51,Bank,Köln
52,Westlog Dienst 52,ÖD,Berlin
53,Ostbau Dienst 53,Handel,Stuttgart
54,Alpin Dienst 54,ÖD,Leipzig
55,Hanse Dienst 55,ÖD,Frankfurt
56,Rhein Dienst 56,Handel,Hamburg
57,Main Dienst 57,ÖD,München
58,Elbe Dienst 58,ÖD,Köln
59,Donau Dienst 59,Handel,Berlin
60,Nordwerk Dienst 60,Energie,Stuttgart
