rg_nr,prj_nr,kd_nr,rg_dat,netto_betrag,mwst_betrag,brutto,stat_txt
1,1,12,2025-06-06,4683.91,889.94,5573.85,entwurf
2,2,41,2025-02-23,2192.18,416.51,2608.69,entwurf
3,3,58,2025-06-14,8579.73,1630.15,10209.88,bezahlt
4,4,31,2025-03-23,8247.34,1566.99,9814.33,bezahlt
5,5,29,2025-03-16,4612.67,876.41,5489.08,bezahlt
6,6,45,2025-04-21,4865.41,924.43,5789.84,entwurf
7,7,6,2025-05-05,7460.42,1417.48,8877.9,versandt
8,8,7,2025-03-31,3731.21,708.93,4440.14,entwurf
9,9,32,2025-03-29,6236.11,1184.86,7420.97,entwurf
10,10,20,2025-05-16,6561.44,1246.67,7808.11,entwurf
11,11,36,2025-04-20,6685.59,1270.26,7955.85,bezahlt
12,12,60,2025-04-28,6424.36,1220.63,7644.99,versandt
13,13,52,2025-06-12,5845.37,1110.62,6955.99,entwurf
14,14,44,2025-03-06,13957.85,2651.99,16609.84,bezahlt
15,15,12,2025-03-17,5225.51,992.85,6218.36,bezahlt
16,16,5,2025-04-09,7549.67,1434.44,8984.11,versandt
17,17,11,2025-06-21,6779.22,1288.05,8067.27,entwurf
18,18,2,2025-02-17,5491.29,1043.35,6534.64,bezahlt
19,19,5,2025-06-25,5399.05,1025.82,6424.87,entwurf
20,20,33,2025-06-20,2121.36,403.06,2524.42,entwurf
21,21,52,2025-05-26,7537.61,1432.15,8969.76,versandt
22,22,23,2025-05-14,11667.95,2216.91,13884.86,entwurf
23,23,30,2025-04-08,9871.67,1875.62,11747.29,entwurf
24,24,26,2025-02-06,12740.41,2420.68,15161.09,bezahlt
25,25,47,2025-05-12,6779.15,1288.04,8067.19,entwurf
26,26,20,2025-02-19,4930.67,936.83,5867.5,versandt
27,27,45,2025-05-17,2053.67,390.2,2443.87,entwurf
28,28,6,2025-03-10,13267.16,2520.76,15787.92,bezahlt
29,29,49,2025-04-13,3577.79,679.78,4257.57,entwurf
30,30,12,2025-04-01,6497.44,1234.51,7731.95,entwurf
31,31,14,2025-06-12,13513.88,2567.64,16081.52,versandt
32,32,5,2025-04-04,2899.55,550.91,3450.46,entwurf
33,33,39,2025-05-13,5137.87,976.2,6114.07,entwurf
34,34,23,2025-03-13,5694.62,1081.98,6776.6,versandt
35,35,35,2025-02-22,7985.09,1517.17,9502.26,entwurf
36,36,2,2025-07-03,4910.43,932.98,5843.41,entwurf
37,37,27,2025-04-11,5972.73,1134.82,7107.55,bezahlt
38,38,55,2025-06-03,7870.48,1495.39,9365.87,versandt
39,39,5,2025-04-28,4309.54,818.81,5128.35,versandt
40,40,51,2025-02-13,5825.37,1106.82,6932.19,versandt
41,41,50,2025-05-27,3196.38,607.31,3803.69,versandt
42,42,52,2025-03-28,6293.91,1195.84,7489.75,entwurf
43,43,16,2025-02-18,6809.69,1293.84,8103.53,entwurf
44,44,51,2025-06-22,9033.34,1716.33,10749.67,entwurf
45,45,15,2025-04-05,5322.25,1011.23,6333.48,bezahlt
46,46,34,2025-05-11,4903.07,931.58,5834.65,versandt
47,47,32,2025-02-21,6878.91,1306.99,8185.9,entwurf
48,48,40,2025-07-02,4578.26,869.87,5448.13,entwurf
49,49,21,2025-06-30,8168.28,1551.97,9720.25,entwurf
50,50,57,2025-02-17,4801.68,912.32,5714.0,entwurf
51,51,31,2025-05-10,7754.89,1473.43,9228.32,entwurf
52,52,53,2025-06-04,10022.34,1904.24,11926.58,bezahlt
53,53,24,2025-06-07,9739.0,1850.41,11589.41,bezahlt
54,54,33,2025-02-24,8984.11,1706.98,10691.09,entwurf
55,55,20,2025-04-24,6444.34,1224.42,7668.76,entwurf
56,56,51,2025-06-26,9703.69,1843.7,11547.39,bezahlt
57,57,3,2025-07-10,5208.86,989.68,6198.54,entwurf
58,58,4,2025-04-08,10414.51,1978.76,12393.27,entwurf
59,59,6,2025-04-26,4304.5,817.86,5122.36,entwurf
60,60,36,2025-02-20,3089.08,586.93,3676.01,versandt
61,61,57,2025-03-10,10957.0,2081.83,13038.83,entwurf
62,62,21,2025-03-27,10033.64,1906.39,11940.03,entwurf
63,63,11,2025-06-23,3844.39,730.43,4574.82,entwurf
64,64,53,2025-06-02,10881.15,2067.42,12948.57,entwurf
65,65,43,2025-06-23,3513.44,667.55,4180.99,entwurf
66,66,18,2025-06-17,5665.58,1076.46,6742.04,entwurf
67,67,3,2025-05-31,5287.46,1004.62,6292.08,entwurf
68,68,20,2025-05-11,4326.06,821.95,5148.01,bezahlt
69,69,10,2025-04-29,4479.11,851.03,5330.14,versandt
70,70,14,2025-06-19,12502.33,2375.44,14877.77,bezahlt
71,71,11,2025-03-01,10610.39,2015.97,12626.36,entwurf
72,72,57,2025-03-14,4568.46,868.01,5436.47,bezahlt
73,73,33,2025-06-13,4823.27,916.42,5739.69,entwurf
74,74,40,2025-06-05,9803.63,1862.69,11666.32,versandt
75,75,57,2025-05-23,4880.22,927.24,5807.46,versandt
76,76,36,2025-07-09,6690.24,1271.15,7961.39,entwurf
77,77,1,2025-07-03,4418.47,839.51,5257.98,entwurf
78,78,44,2025-04-21,10680.32,2029.26,12709.58,bezahlt
79,79,4,2025-05-20,4907.3,932.39,5839.69,versandt
80,80,50,2025-03-26,8227.56,1563.24,9790.8,entwurf
81,81,55,2025-05-28,7333.21,1393.31,8726.52,entwurf
82,82,20,2025-07-02,8240.01,1565.6,9805.61,entwurf
83,83,42,2025-04-12,2042.91,388.15,2431.06,entwurf
84,84,16,2025-06-23,9074.74,1724.2,10798.94,bezahlt
85,85,57,2025-06-01,8597.83,1633.59,10231.42,versandt
86,86,4,2025-06-20,3200.87,608.17,3809.04,entwurf
87,87,27,2025-05-10,3355.66,637.58,3993.24,versandt
88,88,1,2025-04-21,5914.55,1123.76,7038.31,entwurf
89,89,16,2025-06-05,12278.28,2332.87,14611.15,versandt
90,90,56,2025-04-30,4487.57,852.64,5340.21,bezahlt
91,91,8,2025-05-09,4123.01,783.37,4906.38,bezahlt
92,92,19,2025-04-08,3198.01,607.62,3805.63,versandt
93,93,4,2025-06-15,6821.5,1296.09,8117.59,entwurf
94,94,41,2025-03-31,5046.47,958.83,6005.3,versandt
95,95,58,2025-03-07,6983.92,1326.94,8310.86,versandt
96,96,59,2025-04-03,3613.39,686.54,4299.93,versandt
97,97,42,2025-05-22,2746.61,521.86,3268.47,entwurf
98,98,5,2025-05-20,6029.4,1145.59,7174.99,entwurf
99,99,23,2025-06-18,4067.46,772.82,4840.28,entwurf
100,100,28,2025-03-13,2612.58,496.39,3108.97,versandt
101,101,41,2025-06-14,3403.53,646.67,4050.2,entwurf
102,102,18,2025-06-09,3026.97,575.12,3602.09,versandt
103,103,35,2025-04-03,2790.16,530.13,3320.29,entwurf
104,104,21,2025-04-18,8525.38,1619.82,10145.2,entwurf
105,105,22,2025-06-27,8202.28,1558.43,9760.71,entwurf
106,106,37,2025-07-09,8675.22,1648.29,10323.51,versandt
107,107,45,2025-06-20,6073.66,1154.0,7227.66,bezahlt
108,108,60,2025-05-24,4291.49,815.38,5106.87,bezahlt
109,109,57,2025-06-21,4727.86,898.29,5626.15,entwurf
110,110,29,2025-04-02,4879.62,927.13,5806.75,versandt
111,111,12,2025-07-01,2395.72,455.19,2850.91,entwurf
