prj_nr,kd_nr,prj_bez,typ_txt,start_dat,stat_txt,std_ist
1,12,Vorhaben 1,T&M,2025-05-17,stopp,72.5
2,41,Vorhaben 2,T&M,2024-11-25,stopp,37.5
3,58,Vorhaben 3,FP,2024-10-23,fertig,106.3
4,31,Vorhaben 4,T&M,2024-09-30,fertig,86.5
5,29,Vorhaben 5,T&M,2025-02-09,stopp,54.5
6,45,Vorhaben 6,Retainer,2025-05-12,läuft,127.5
7,,Vorhaben 7,T&M,2025-07-02,fertig,102.0
8,7,Vorhaben 8,FP,2025-01-09,läuft,41.4
9,32,Vorhaben 9,FP,2024-06-15,fertig,62.5
10,20,Vorhaben 10,FP,2025-03-12,stopp,74.5
11,,Vorhaben 11,Retainer,2024-11-18,fertig,54.0
12,60,Vorhaben 12,Retainer,2024-10-17,läuft,119.5
13,52,Vorhaben 13,Retainer,2025-05-16,fertig,74.0
14,44,Vorhaben 14,Retainer,2025-04-03,läuft,121.5
15,12,Vorhaben 15,T&M,2024-06-14,stopp,74.5
16,5,Vorhaben 16,T&M,2025-04-14,fertig,112.5
17,11,Vorhaben 17,T&M,2024-09-04,fertig,115.5
18,2,Vorhaben 18,T&M,2025-05-08,fertig,90.0
19,5,Vorhaben 19,Retainer,2025-02-06,fertig,72.0
20,33,Vorhaben 20,Retainer,2025-02-03,fertig,36.3
21,52,Vorhaben 21,FP,2024-12-09,läuft,53.8
22,23,Vorhaben 22,T&M,2025-06-19,stopp,78.0
23,30,Vorhaben 23,FP,2025-01-31,stopp,68.1
24,26,Vorhaben 24,FP,2024-06-02,läuft,107.0
25,47,Vorhaben 25,T&M,2024-08-03,stopp,98.0
26,20,Vorhaben 26,Retainer,2025-05-10,fertig,66.7
27,45,Vorhaben 27,T&M,2024-09-25,läuft,43.0
28,6,Vorhaben 28,FP,2024-08-01,stopp,114.5
29,49,Vorhaben 29,FP,2024-09-20,stopp,55.0
30,12,Vorhaben 30,Retainer,2024-12-03,fertig,70.0
31,,Vorhaben 31,T&M,2024-08-03,läuft,126.5
32,5,Vorhaben 32,Retainer,2024-08-05,läuft,94.5
33,39,Vorhaben 33,FP,2024-06-12,stopp,40.0
34,23,Vorhaben 34,FP,2025-03-05,stopp,70.5
35,35,Vorhaben 35,Retainer,2024-10-26,stopp,115.0
36,2,Vorhaben 36,FP,2024-10-30,stopp,42.0
37,27,Vorhaben 37,FP,2025-04-26,stopp,94.3
38,55,Vorhaben 38,Retainer,2024-08-30,läuft,73.0
39,5,Vorhaben 39,FP,2024-10-05,fertig,63.0
40,51,Vorhaben 40,Retainer,2024-08-21,stopp,51.0
41,50,Vorhaben 41,T&M,2024-09-22,fertig,43.5
42,52,Vorhaben 42,Retainer,2024-11-24,stopp,82.0
43,16,Vorhaben 43,Retainer,2025-04-03,stopp,61.5
44,,Vorhaben 44,Retainer,2024-06-02,stopp,100.0
45,15,Vorhaben 45,Retainer,2025-06-28,stopp,85.1
46,34,Vorhaben 46,FP,2025-01-16,fertig,53.8
47,32,Vorhaben 47,Retainer,2025-04-15,läuft,100.0
48,40,Vorhaben 48,Retainer,2024-09-28,stopp,104.0
49,21,Vorhaben 49,T&M,2024-08-11,fertig,131.0
50,57,Vorhaben 50,Retainer,2024-07-07,stopp,97.5
51,31,Vorhaben 51,T&M,2025-05-05,fertig,63.0
52,53,Vorhaben 52,FP,2024-06-18,fertig,115.5
53,24,Vorhaben 53,FP,2024-07-10,stopp,94.8
54,33,Vorhaben 54,T&M,2024-09-25,fertig,104.5
55,20,Vorhaben 55,T&M,2024-12-26,läuft,91.5
56,51,Vorhaben 56,T&M,2025-03-31,stopp,128.0
57,3,Vorhaben 57,T&M,2024-10-14,stopp,92.5
58,4,Vorhaben 58,T&M,2024-10-13,stopp,113.5
59,6,Vorhaben 59,FP,2025-06-26,fertig,89.0
60,36,Vorhaben 60,FP,2024-07-29,stopp,79.0
61,57,Vorhaben 61,T&M,2025-01-21,läuft,120.0
62,21,Vorhaben 62,T&M,2024-11-11,stopp,72.0
63,11,Vorhaben 63,Retainer,2025-07-01,fertig,71.5
64,53,Vorhaben 64,Retainer,2025-01-03,stopp,105.5
65,43,Vorhaben 65,FP,2025-06-04,läuft,81.0
66,18,Vorhaben 66,Retainer,2024-12-08,stopp,97.0
67,3,Vorhaben 67,FP,2025-05-29,läuft,89.2
68,20,Vorhaben 68,FP,2025-06-16,läuft,88.3
69,10,Vorhaben 69,FP,2025-06-02,stopp,63.5
70,14,Vorhaben 70,Retainer,2024-09-09,fertig,108.5
71,11,Vorhaben 71,FP,2025-01-04,fertig,64.5
72,57,Vorhaben 72,FP,2025-06-11,stopp,97.0
73,33,Vorhaben 73,FP,2024-09-20,läuft,46.0
74,40,Vorhaben 74,FP,2025-01-10,stopp,91.5
75,57,Vorhaben 75,Retainer,2025-03-25,stopp,66.5
76,36,Vorhaben 76,T&M,2024-10-27,fertig,73.5
77,1,Vorhaben 77,Retainer,2025-06-24,läuft,43.7
78,44,Vorhaben 78,T&M,2024-09-21,stopp,80.5
79,4,Vorhaben 79,Retainer,2025-03-19,fertig,92.0
80,50,Vorhaben 80,FP,2025-02-10,läuft,94.5
81,55,Vorhaben 81,Retainer,2024-12-31,läuft,109.5
82,20,Vorhaben 82,FP,2024-08-17,fertig,71.3
83,42,Vorhaben 83,T&M,2024-09-27,läuft,51.5
84,16,Vorhaben 84,FP,2024-10-21,läuft,98.4
85,57,Vorhaben 85,T&M,2025-06-15,fertig,81.0
86,4,Vorhaben 86,Retainer,2024-08-10,fertig,57.0
87,27,Vorhaben 87,T&M,2025-05-16,läuft,45.5
88,1,Vorhaben 88,FP,2025-04-10,fertig,99.0
89,16,Vorhaben 89,T&M,2024-12-29,fertig,92.0
90,56,Vorhaben 90,FP,2024-09-29,stopp,102.5
91,8,Vorhaben 91,T&M,2024-06-12,fertig,50.0
92,19,Vorhaben 92,Retainer,2024-07-03,fertig,98.5
93,4,Vorhaben 93,T&M,2024-07-27,fertig,67.5
94,41,Vorhaben 94,T&M,2024-11-10,fertig,80.0
95,58,Vorhaben 95,T&M,2025-04-27,läuft,66.5
96,59,Vorhaben 96,FP,2024-07-29,läuft,50.5
97,42,Vorhaben 97,FP,2025-02-11,stopp,58.0
98,5,Vorhaben 98,FP,2024-12-07,läuft,122.5
99,23,Vorhaben 99,T&M,2025-04-06,fertig,87.0
100,28,Vorhaben 100,T&M,2024-09-01,stopp,59.5
101,41,Vorhaben 101,Retainer,2025-02-20,fertig,60.5
102,18,Vorhaben 102,T&M,2025-07-06,stopp,72.7
103,35,Vorhaben 103,FP,2025-06-26,stopp,83.0
104,21,Vorhaben 104,T&M,2024-11-23,stopp,67.5
105,22,Vorhaben 105,T&M,2025-04-18,stopp,63.5
106,37,Vorhaben 106,Retainer,2024-12-05,fertig,104.0
107,45,Vorhaben 107,Retainer,2024-10-11,stopp,40.9
108,60,Vorhaben 108,Retainer,2025-05-06,läuft,63.5
109,57,Vorhaben 109,Retainer,2024-09-06,stopp,75.4
110,29,Vorhaben 110,FP,2025-03-07,stopp,47.0
111,,Vorhaben 111,T&M,2024-11-29,fertig,40.0
112,54,Vorhaben 112,T&M,2025-01-09,stopp,72.5
113,43,Vorhaben 113,Retainer,2025-02-17,fertig,74.5
114,16,Vorhaben 114,FP,2024-07-02,läuft,71.5
115,2,Vorhaben 115,T&M,2025-03-16,fertig,120.5
116,35,Vorhaben 116,T&M,2025-02-02,fertig,87.5
117,38,Vorhaben 117,Retainer,2025-04-20,läuft,42.0
118,48,Vorhaben 118,Retainer,2024-09-28,läuft,76.0
119,27,Vorhaben 119,FP,2024-07-18,stopp,100.7
120,12,Vorhaben 120,FP,2024-10-01,stopp,50.5
