aufg_nr,prj_nr,ma_nr,titel,plan_h,stat_txt
1,1,68,Aufg 1,8,fertig
2,1,68,Aufg 2,8,offen
3,1,56,Aufg 3,32,fertig
4,1,68,Aufg 4,16,offen
5,1,68,Aufg 5,16,fertig
6,2,54,Aufg 6,16,offen
7,2,55,Aufg 7,16,fertig
8,2,54,Aufg 8,4,fertig
9,2,64,Aufg 9,8,arbeit
10,3,65,Aufg 10,32,fertig
11,3,72,Aufg 11,16,offen
12,3,72,Aufg 12,8,offen
13,3,4,Aufg 13,16,fertig
14,3,72,Aufg 14,32,arbeit
15,3,65,Aufg 15,16,arbeit
16,4,62,Aufg 16,32,fertig
17,4,70,Aufg 17,8,arbeit
18,4,62,Aufg 18,4,offen
19,4,69,Aufg 19,16,fertig
20,4,62,Aufg 20,16,fertig
21,4,67,Aufg 21,16,fertig
22,4,69,Aufg 22,16,fertig
23,4,70,Aufg 23,4,arbeit
24,5,9,Aufg 24,4,arbeit
25,5,65,Aufg 25,4,fertig
26,5,65,Aufg 26,16,offen
27,5,9,Aufg 27,8,fertig
28,5,65,Aufg 28,16,offen
29,5,9,Aufg 29,4,offen
30,5,65,Aufg 30,8,arbeit
31,6,24,Aufg 31,32,offen
32,6,22,Aufg 32,16,fertig
33,6,66,Aufg 33,4,fertig
34,6,66,Aufg 34,4,offen
35,7,50,Aufg 35,4,offen
36,7,50,Aufg 36,8,arbeit
37,7,8,Aufg 37,16,arbeit
38,7,7,Aufg 38,8,arbeit
39,8,23,Aufg 39,32,offen
40,8,37,Aufg 40,16,fertig
41,8,37,Aufg 41,16,offen
42,8,23,Aufg 42,16,arbeit
43,9,59,Aufg 43,16,offen
44,9,17,Aufg 44,32,arbeit
45,9,59,Aufg 45,4,arbeit
46,9,17,Aufg 46,32,arbeit
47,9,17,Aufg 47,32,offen
48,9,17,Aufg 48,4,offen
49,9,59,Aufg 49,16,fertig
50,9,17,Aufg 50,8,fertig
51,10,25,Aufg 51,32,fertig
52,10,52,Aufg 52,4,offen
53,10,25,Aufg 53,4,fertig
54,10,25,Aufg 54,32,offen
55,10,25,Aufg 55,8,offen
56,11,40,Aufg 56,32,offen
57,11,60,Aufg 57,16,fertig
58,11,25,Aufg 58,32,arbeit
59,11,60,Aufg 59,4,fertig
60,12,59,Aufg 60,4,offen
61,12,59,Aufg 61,32,fertig
62,12,59,Aufg 62,8,fertig
63,12,52,Aufg 63,32,offen
64,13,68,Aufg 64,4,offen
65,13,37,Aufg 65,4,fertig
66,13,37,Aufg 66,4,arbeit
67,13,68,Aufg 67,8,arbeit
68,13,37,Aufg 68,32,offen
69,13,37,Aufg 69,16,offen
70,14,69,Aufg 70,4,offen
71,14,69,Aufg 71,16,arbeit
72,14,52,Aufg 72,32,arbeit
73,14,52,Aufg 73,16,offen
74,15,8,Aufg 74,8,offen
75,15,21,Aufg 75,8,offen
76,15,8,Aufg 76,8,offen
77,15,8,Aufg 77,32,arbeit
78,15,21,Aufg 78,4,offen
79,16,52,Aufg 79,32,arbeit
80,16,24,Aufg 80,16,arbeit
81,16,52,Aufg 81,32,fertig
82,16,7,Aufg 82,4,fertig
83,16,24,Aufg 83,4,fertig
84,17,21,Aufg 84,16,fertig
85,17,21,Aufg 85,8,arbeit
86,17,21,Aufg 86,16,fertig
87,17,21,Aufg 87,4,offen
88,17,12,Aufg 88,16,offen
89,17,21,Aufg 89,16,offen
90,17,12,Aufg 90,32,arbeit
91,18,55,Aufg 91,16,arbeit
92,18,55,Aufg 92,16,fertig
93,18,43,Aufg 93,4,fertig
94,18,43,Aufg 94,32,arbeit
95,18,43,Aufg 95,8,fertig
96,19,13,Aufg 96,8,offen
97,19,60,Aufg 97,8,fertig
98,19,60,Aufg 98,16,arbeit
99,19,17,Aufg 99,32,offen
100,19,23,Aufg 100,4,arbeit
101,19,23,Aufg 101,32,arbeit
102,20,14,Aufg 102,4,fertig
103,20,19,Aufg 103,16,arbeit
104,20,47,Aufg 104,8,fertig
105,20,19,Aufg 105,8,arbeit
106,20,19,Aufg 106,16,fertig
107,21,8,Aufg 107,8,offen
108,21,71,Aufg 108,8,fertig
109,21,71,Aufg 109,16,offen
110,21,32,Aufg 110,32,fertig
111,21,32,Aufg 111,32,arbeit
112,21,13,Aufg 112,16,offen
113,21,71,Aufg 113,32,offen
114,22,74,Aufg 114,32,arbeit
115,22,53,Aufg 115,4,fertig
116,22,74,Aufg 116,32,offen
117,22,53,Aufg 117,4,arbeit
118,22,50,Aufg 118,4,fertig
119,22,53,Aufg 119,4,offen
120,22,74,Aufg 120,8,arbeit
121,22,50,Aufg 121,4,arbeit
122,23,29,Aufg 122,4,offen
123,23,17,Aufg 123,32,offen
124,23,31,Aufg 124,4,arbeit
125,23,17,Aufg 125,4,offen
126,23,31,Aufg 126,32,offen
127,23,31,Aufg 127,32,fertig
128,23,31,Aufg 128,16,offen
129,23,31,Aufg 129,4,offen
130,24,6,Aufg 130,32,arbeit
131,24,48,Aufg 131,8,arbeit
132,24,48,Aufg 132,16,arbeit
133,24,54,Aufg 133,4,fertig
134,25,70,Aufg 134,32,offen
135,25,66,Aufg 135,8,fertig
