zeit_id,prj_nr,ma_nr,tag,std,stdsatz,betrag,fakt_kz
1,1,56,2025-06-15,8.0,77.0,616.0,true
2,1,56,2025-05-17,4.0,77.0,308.0,true
3,1,56,2025-06-19,1.0,77.0,77.0,true
4,1,68,2025-07-13,2.5,89.0,222.5,true
5,1,68,2025-01-20,2.5,89.0,222.5,true
6,1,68,2025-05-29,1.0,89.0,89.0,true
7,1,56,2025-07-10,2.5,77.0,192.5,false
8,1,68,2025-06-05,2.5,89.0,222.5,true
9,1,68,2025-06-14,8.0,89.0,712.0,false
10,1,56,2025-06-07,4.0,77.0,308.0,false
11,1,68,2025-06-03,1.0,89.0,89.0,true
12,1,56,2025-02-19,1.0,77.0,77.0,true
13,1,68,2025-02-09,8.0,89.0,712.0,true
14,1,56,2025-01-19,2.5,77.0,192.5,true
15,1,68,2025-02-27,1.0,89.0,89.0,true
16,1,68,2025-05-08,8.0,89.0,712.0,false
17,1,56,2025-04-27,4.0,77.0,308.0,true
18,1,68,2025-03-20,4.0,89.0,356.0,true
19,1,56,2025-06-04,1.0,77.0,77.0,false
20,1,56,2025-04-07,1.0,77.0,77.0,false
21,1,68,2025-06-16,1.0,89.0,89.0,true
22,1,68,2025-03-31,4.0,89.0,356.0,true
23,2,64,2025-06-24,4.0,173.0,692.0,true
24,2,54,2025-06-22,2.5,185.0,462.5,true
25,2,64,2025-02-26,4.0,173.0,692.0,true
26,2,64,2025-02-27,4.0,173.0,692.0,true
27,2,54,2025-02-28,4.0,185.0,740.0,true
28,2,55,2025-06-14,1.0,65.0,65.0,true
29,2,54,2025-05-08,2.5,185.0,462.5,true
30,2,74,2025-07-04,4.0,161.0,644.0,true
31,2,64,2025-05-24,4.0,173.0,692.0,true
32,2,54,2025-06-04,2.5,185.0,462.5,false
33,2,64,2025-02-11,4.0,173.0,692.0,true
34,2,54,2025-01-30,1.0,185.0,185.0,false
35,3,4,2025-07-05,8.0,113.0,904.0,false
36,3,4,2025-06-18,4.0,113.0,452.0,true
37,3,65,2025-07-04,4.0,185.0,740.0,true
38,3,65,2025-02-06,1.0,185.0,185.0,false
39,3,4,2025-04-09,8.0,113.0,904.0,true
40,3,4,2025-06-17,4.0,113.0,452.0,true
41,3,55,2025-02-23,2.5,65.0,162.5,true
42,3,72,2025-03-23,8.0,137.0,1096.0,true
43,3,65,2025-07-04,8.0,185.0,1480.0,true
44,3,4,2025-02-09,2.5,113.0,282.5,true
45,3,72,2025-06-27,2.5,137.0,342.5,true
46,3,72,2025-01-30,2.5,137.0,342.5,true
47,3,72,2025-06-21,8.0,137.0,1096.0,true
48,3,72,2025-07-21,1.0,137.0,137.0,true
49,3,72,2025-07-16,4.0,137.0,548.0,false
50,3,4,2025-01-21,8.0,113.0,904.0,true
