usage_id,company_id,user_id,feature,used_on,events
1,37,117,sso,2025-03-06,135
2,37,117,export,2025-01-26,304
3,37,37,audit_log,2025-01-11,98
4,37,277,sso,2025-03-27,106
5,37,357,dashboard,2025-01-10,196
6,32,192,export,2024-05-20,232
7,32,272,export,2024-06-09,330
8,32,112,audit_log,2024-04-20,122
9,32,272,api,2024-04-21,140
10,32,112,dashboard,2024-05-08,72
11,32,272,audit_log,2024-05-13,107
12,29,269,dashboard,2024-11-17,303
13,29,349,export,2024-10-24,289
14,29,189,sso,2024-11-22,364
15,29,189,dashboard,2024-11-18,364
16,70,150,sso,2024-03-15,247
17,70,150,export,2024-02-20,185
18,46,206,export,2024-08-31,322
19,46,366,export,2024-07-14,14
20,67,67,audit_log,2025-03-22,3
21,67,147,sso,2025-03-02,294
22,67,307,dashboard,2025-02-26,378
23,72,72,sso,2024-06-10,304
24,72,312,dashboard,2024-06-24,202
25,72,392,sso,2024-06-26,58
26,72,392,export,2024-04-27,382
27,72,312,api,2024-04-13,268
28,17,17,api,2024-03-16,64
29,17,97,export,2024-05-17,365
30,17,177,export,2024-04-12,53
31,32,352,export,2025-02-05,123
32,32,192,sso,2025-03-16,326
33,32,272,api,2025-03-08,153
34,32,192,audit_log,2025-03-19,131
35,32,352,api,2025-02-23,198
36,43,43,audit_log,2025-01-23,210
37,43,283,dashboard,2025-03-01,190
38,26,266,audit_log,2024-04-04,203
39,26,186,api,2024-05-01,32
40,52,52,api,2024-02-27,244
41,52,292,export,2024-03-12,4
42,52,212,export,2024-03-09,266
43,52,372,api,2024-02-10,256
44,52,212,export,2024-02-26,248
45,47,127,export,2025-02-21,151
46,47,207,sso,2025-01-22,294
47,47,207,sso,2025-02-09,246
48,47,207,audit_log,2025-03-22,131
49,47,47,sso,2025-01-28,187
50,62,62,api,2024-04-18,363
51,62,142,export,2024-03-29,251
52,32,112,api,2024-09-17,78
53,32,192,export,2024-09-29,46
54,32,112,export,2024-10-23,56
55,17,97,api,2024-03-08,267
56,17,177,export,2024-03-16,130
57,17,337,sso,2024-02-27,341
58,17,17,api,2024-02-17,209
59,17,337,api,2024-02-03,314
60,17,97,export,2024-03-28,228
61,40,120,sso,2024-12-01,126
62,40,280,api,2024-12-25,148
63,40,120,export,2025-01-08,58
64,40,200,audit_log,2024-12-02,126
65,40,280,dashboard,2024-11-25,238
66,64,144,export,2024-08-15,60
67,64,64,audit_log,2024-09-26,213
68,64,64,sso,2024-09-22,254
69,64,64,api,2024-10-12,351
70,64,64,audit_log,2024-09-29,173
71,8,8,sso,2024-09-06,374
72,8,168,dashboard,2024-09-22,137
73,8,168,audit_log,2024-11-06,283
74,8,8,api,2024-10-12,151
75,45,285,api,2024-04-29,83
76,45,205,api,2024-05-14,227
77,45,365,sso,2024-04-21,47
78,45,45,sso,2024-05-12,296
79,45,45,export,2024-05-01,388
80,41,361,dashboard,2024-10-21,163
81,41,201,api,2024-12-10,315
82,41,41,dashboard,2024-12-31,17
83,41,201,export,2024-12-16,253
84,54,214,audit_log,2024-06-20,266
85,54,374,audit_log,2024-07-01,23
86,54,374,api,2024-05-10,323
87,24,344,api,2024-03-16,355
88,24,24,api,2024-02-20,21
89,4,244,api,2024-08-29,258
90,4,244,sso,2024-08-16,225
91,4,4,sso,2024-08-28,163
92,4,164,export,2024-09-28,95
93,66,306,dashboard,2025-03-15,283
94,66,306,api,2025-02-06,248
95,66,226,audit_log,2025-02-15,62
96,66,386,sso,2025-04-05,43
97,40,200,export,2025-02-27,111
98,40,40,dashboard,2025-02-02,383
99,40,120,api,2025-02-20,31
100,73,233,audit_log,2024-03-16,187
101,73,233,dashboard,2024-02-15,236
102,73,73,dashboard,2024-02-26,261
103,73,313,export,2024-03-05,265
104,73,153,export,2024-03-13,18
105,73,233,dashboard,2024-04-07,353
106,1,241,audit_log,2024-03-26,328
107,1,241,dashboard,2024-03-26,61
108,30,270,api,2024-06-11,278
109,30,190,sso,2024-06-13,372
110,30,30,dashboard,2024-06-11,170
111,30,270,sso,2024-05-13,81
112,30,190,export,2024-06-03,228
113,30,190,sso,2024-06-14,10
114,74,154,audit_log,2024-10-05,141
115,74,314,audit_log,2024-08-15,159
116,74,314,dashboard,2024-09-07,26
117,74,74,export,2024-08-14,108
118,74,394,sso,2024-09-29,29
119,15,15,audit_log,2024-09-20,293
120,15,175,api,2024-11-03,345
121,15,175,audit_log,2024-10-21,285
122,58,58,sso,2025-01-24,335
123,58,218,sso,2024-11-24,379
124,52,212,export,2024-08-25,26
125,52,132,dashboard,2024-08-24,261
126,52,52,sso,2024-08-19,59
127,52,292,sso,2024-07-01,25
128,52,132,export,2024-07-19,216
129,46,126,api,2024-07-13,308
130,46,366,api,2024-07-29,60
131,46,46,export,2024-07-10,375
132,46,366,export,2024-07-21,238
133,46,126,dashboard,2024-08-22,218
134,46,286,dashboard,2024-07-15,195
135,64,384,export,2024-12-19,295
136,64,304,api,2025-01-11,70
137,64,304,api,2024-12-05,261
138,64,64,dashboard,2024-12-27,96
139,64,144,audit_log,2024-11-13,215
140,75,395,dashboard,2024-01-26,126
141,75,315,sso,2024-03-07,205
142,70,70,audit_log,2024-10-10,11
143,70,70,sso,2024-09-24,53
144,70,150,export,2024-09-18,159
145,62,302,dashboard,2024-02-14,178
146,62,382,api,2024-01-10,348
147,62,142,dashboard,2024-03-03,386
148,58,58,dashboard,2025-02-05,393
149,58,138,api,2025-02-18,393
150,75,75,export,2024-01-26,264
151,75,315,sso,2024-03-13,163
152,75,315,api,2024-04-10,78
153,20,20,sso,2025-03-13,175
154,20,100,dashboard,2025-04-18,173
155,57,217,audit_log,2024-02-16,316
156,57,377,api,2024-02-22,210
157,54,134,audit_log,2024-01-23,204
158,54,294,dashboard,2024-02-27,316
159,54,134,audit_log,2024-02-23,147
160,54,54,api,2024-01-22,206
161,54,294,dashboard,2024-03-10,289
162,56,296,sso,2024-12-25,281
163,56,296,dashboard,2025-02-09,292
164,56,376,audit_log,2025-01-13,148
165,56,56,dashboard,2025-01-07,79
166,39,279,api,2024-03-26,64
167,39,119,sso,2024-05-09,374
168,39,359,dashboard,2024-05-27,145
169,39,199,dashboard,2024-06-08,142
170,39,279,dashboard,2024-04-12,78
171,39,119,dashboard,2024-03-21,224
172,59,379,sso,2024-12-28,288
173,59,379,sso,2025-02-16,55
174,46,366,export,2024-11-24,368
175,46,126,audit_log,2025-01-10,62
176,46,46,export,2025-01-24,279
177,13,333,export,2024-06-08,209
178,13,173,api,2024-07-05,328
179,13,253,export,2024-08-18,56
180,59,379,export,2024-09-05,28
181,59,379,sso,2024-07-21,181
182,59,59,audit_log,2024-07-04,246
183,75,75,export,2025-02-24,214
184,75,75,audit_log,2025-04-04,288
185,75,395,export,2025-03-21,39
186,75,235,audit_log,2025-02-03,369
187,50,130,sso,2024-07-12,63
188,50,50,export,2024-06-28,190
189,69,69,export,2024-11-23,146
190,69,229,dashboard,2024-12-20,261
191,11,171,audit_log,2024-01-27,180
192,11,11,sso,2024-02-05,318
193,11,91,sso,2024-03-14,192
194,11,171,api,2024-03-25,302
195,11,91,api,2024-02-09,263
196,11,251,api,2024-02-12,383
197,27,347,export,2024-09-26,186
198,27,27,sso,2024-10-13,269
199,27,347,export,2024-10-13,188
