invoice_id,subscription_id,company_id,invoice_date,subtotal,tax_amount,total_amount,paid_amount,remaining_amount,status
1,1,37,2025-01-08,1194.0,226.86,1420.86,1420.86,0.0,paid
2,2,32,2024-03-26,87.0,16.53,103.53,103.53,0.0,paid
3,2,32,2024-04-25,87.0,16.53,103.53,103.53,0.0,paid
4,2,32,2024-05-25,87.0,16.53,103.53,103.53,0.0,paid
5,3,29,2024-09-09,58.0,11.02,69.02,69.02,0.0,paid
6,4,70,2024-01-14,38423.0,7300.37,45723.37,45723.37,0.0,paid
7,4,70,2024-02-13,38423.0,7300.37,45723.37,45723.37,0.0,paid
8,4,70,2024-03-14,38423.0,7300.37,45723.37,45723.37,0.0,paid
9,5,46,2024-06-20,87.0,16.53,103.53,103.53,0.0,paid
10,5,46,2024-07-20,87.0,16.53,103.53,103.53,0.0,paid
11,6,67,2025-01-05,10978.0,2085.82,13063.82,13063.82,0.0,paid
12,6,67,2025-02-04,10978.0,2085.82,13063.82,13063.82,0.0,paid
13,6,67,2025-03-06,10978.0,2085.82,13063.82,0.0,13063.82,open
14,7,72,2024-04-09,1592.0,302.48,1894.48,1894.48,0.0,paid
15,7,72,2024-05-09,1592.0,302.48,1894.48,1894.48,0.0,paid
16,8,17,2024-03-11,711.0,135.09,846.09,846.09,0.0,paid
17,8,17,2024-04-10,711.0,135.09,846.09,846.09,0.0,paid
18,8,17,2024-05-10,711.0,135.09,846.09,846.09,0.0,paid
19,9,32,2025-01-04,10978.0,2085.82,13063.82,13063.82,0.0,paid
20,10,43,2025-01-03,395.0,75.05,470.05,470.05,0.0,paid
21,10,43,2025-02-02,395.0,75.05,470.05,470.05,0.0,paid
22,10,43,2025-03-04,395.0,75.05,470.05,0.0,470.05,open
23,11,26,2024-02-21,790.0,150.1,940.1,940.1,0.0,paid
24,12,52,2024-01-04,58.0,11.02,69.02,69.02,0.0,paid
25,12,52,2024-02-03,58.0,11.02,69.02,69.02,0.0,paid
26,13,47,2025-01-18,11477.0,2180.63,13657.63,13657.63,0.0,paid
27,13,47,2025-02-17,11477.0,2180.63,13657.63,0.0,13657.63,open
28,14,62,2024-02-26,395.0,75.05,470.05,470.05,0.0,paid
29,15,32,2024-08-06,17964.0,3413.16,21377.16,21377.16,0.0,paid
30,15,32,2024-09-05,17964.0,3413.16,21377.16,21377.16,0.0,paid
31,15,32,2024-10-05,17964.0,3413.16,21377.16,21377.16,0.0,paid
32,16,17,2024-02-03,58.0,11.02,69.02,69.02,0.0,paid
33,16,17,2024-03-04,58.0,11.02,69.02,69.02,0.0,paid
34,17,40,2024-10-29,2587.0,491.53,3078.53,3078.53,0.0,paid
35,17,40,2024-11-28,2587.0,491.53,3078.53,3078.53,0.0,paid
36,17,40,2024-12-28,2587.0,491.53,3078.53,3078.53,0.0,paid
37,18,64,2024-08-05,158.0,30.02,188.02,0.0,188.02,open
38,18,64,2024-09-04,158.0,30.02,188.02,188.02,0.0,paid
39,19,8,2024-08-29,35429.0,6731.51,42160.51,42160.51,0.0,paid
40,19,8,2024-09-28,35429.0,6731.51,42160.51,0.0,42160.51,open
41,19,8,2024-10-28,35429.0,6731.51,42160.51,42160.51,0.0,paid
42,20,45,2024-03-26,1791.0,340.29,2131.29,2131.29,0.0,paid
43,21,41,2024-10-18,158.0,30.02,188.02,188.02,0.0,paid
44,21,41,2024-11-17,158.0,30.02,188.02,0.0,188.02,open
45,21,41,2024-12-17,158.0,30.02,188.02,188.02,0.0,paid
46,22,54,2024-05-07,58.0,11.02,69.02,69.02,0.0,paid
47,22,54,2024-06-06,58.0,11.02,69.02,69.02,0.0,paid
48,22,54,2024-07-06,58.0,11.02,69.02,0.0,69.02,open
49,23,24,2024-02-02,632.0,120.08,752.08,752.08,0.0,paid
50,23,24,2024-03-03,632.0,120.08,752.08,0.0,752.08,open
51,23,24,2024-04-02,632.0,120.08,752.08,752.08,0.0,paid
52,24,4,2024-07-12,237.0,45.03,282.03,282.03,0.0,paid
53,25,66,2025-01-18,87.0,16.53,103.53,0.0,103.53,open
54,26,40,2025-02-01,395.0,75.05,470.05,470.05,0.0,paid
55,26,40,2025-03-03,395.0,75.05,470.05,470.05,0.0,paid
56,26,40,2025-04-02,395.0,75.05,470.05,470.05,0.0,paid
57,27,73,2024-02-08,237.0,45.03,282.03,282.03,0.0,paid
58,27,73,2024-03-09,237.0,45.03,282.03,282.03,0.0,paid
59,28,1,2024-03-24,20459.0,3887.21,24346.21,24346.21,0.0,paid
60,28,1,2024-04-23,20459.0,3887.21,24346.21,0.0,24346.21,open
61,29,30,2024-04-18,29.0,5.51,34.51,34.51,0.0,paid
62,30,74,2024-07-26,29.0,5.51,34.51,34.51,0.0,paid
63,31,15,2024-09-16,79.0,15.01,94.01,94.01,0.0,paid
64,32,58,2024-11-09,395.0,75.05,470.05,470.05,0.0,paid
65,33,52,2024-06-06,4975.0,945.25,5920.25,5920.25,0.0,paid
66,34,46,2024-06-14,29.0,5.51,34.51,0.0,34.51,open
67,34,46,2024-07-14,29.0,5.51,34.51,34.51,0.0,paid
68,34,46,2024-08-13,29.0,5.51,34.51,34.51,0.0,paid
69,35,64,2024-11-11,48403.0,9196.57,57599.57,57599.57,0.0,paid
70,36,75,2024-01-26,25449.0,4835.31,30284.31,30284.31,0.0,paid
71,37,70,2024-08-28,58.0,11.02,69.02,0.0,69.02,open
72,37,70,2024-09-27,58.0,11.02,69.02,69.02,0.0,paid
73,37,70,2024-10-27,58.0,11.02,69.02,69.02,0.0,paid
74,38,62,2024-01-09,1393.0,264.67,1657.67,1657.67,0.0,paid
75,39,58,2025-01-09,316.0,60.04,376.04,0.0,376.04,open
76,39,58,2025-02-08,316.0,60.04,376.04,376.04,0.0,paid
77,39,58,2025-03-10,316.0,60.04,376.04,376.04,0.0,paid
78,40,75,2024-01-23,58.0,11.02,69.02,0.0,69.02,open
79,41,20,2025-02-03,87.0,16.53,103.53,0.0,103.53,open
80,42,57,2024-01-31,29.0,5.51,34.51,34.51,0.0,paid
81,43,54,2024-01-13,58.0,11.02,69.02,69.02,0.0,paid
82,44,56,2024-11-29,995.0,189.05,1184.05,1184.05,0.0,paid
83,44,56,2024-12-29,995.0,189.05,1184.05,1184.05,0.0,paid
84,45,39,2024-03-20,29.0,5.51,34.51,34.51,0.0,paid
85,45,39,2024-04-19,29.0,5.51,34.51,0.0,34.51,open
86,45,39,2024-05-19,29.0,5.51,34.51,34.51,0.0,paid
87,46,59,2024-12-19,38922.0,7395.18,46317.18,0.0,46317.18,open
88,46,59,2025-01-18,38922.0,7395.18,46317.18,46317.18,0.0,paid
89,46,59,2025-02-17,38922.0,7395.18,46317.18,46317.18,0.0,paid
90,47,46,2024-11-12,36926.0,7015.94,43941.94,43941.94,0.0,paid
91,47,46,2024-12-12,36926.0,7015.94,43941.94,0.0,43941.94,open
92,48,13,2024-06-03,2388.0,453.72,2841.72,2841.72,0.0,paid
93,48,13,2024-07-03,2388.0,453.72,2841.72,0.0,2841.72,open
94,49,59,2024-06-22,29.0,5.51,34.51,34.51,0.0,paid
95,49,59,2024-07-22,29.0,5.51,34.51,34.51,0.0,paid
96,50,75,2025-01-14,395.0,75.05,470.05,470.05,0.0,paid
97,51,50,2024-06-15,87.0,16.53,103.53,0.0,103.53,open
98,51,50,2024-07-15,87.0,16.53,103.53,103.53,0.0,paid
99,51,50,2024-08-14,87.0,16.53,103.53,103.53,0.0,paid
100,52,69,2024-10-29,553.0,105.07,658.07,658.07,0.0,paid
101,52,69,2024-11-28,553.0,105.07,658.07,658.07,0.0,paid
102,52,69,2024-12-28,553.0,105.07,658.07,0.0,658.07,open
103,53,11,2024-01-19,45908.0,8722.52,54630.52,54630.52,0.0,paid
104,53,11,2024-02-18,45908.0,8722.52,54630.52,54630.52,0.0,paid
105,54,27,2024-09-01,29.0,5.51,34.51,34.51,0.0,paid
106,55,48,2024-04-17,8483.0,1611.77,10094.77,10094.77,0.0,paid
107,55,48,2024-05-17,8483.0,1611.77,10094.77,10094.77,0.0,paid
108,55,48,2024-06-16,8483.0,1611.77,10094.77,10094.77,0.0,paid
109,56,62,2025-01-26,790.0,150.1,940.1,940.1,0.0,paid
110,56,62,2025-02-25,790.0,150.1,940.1,0.0,940.1,open
111,56,62,2025-03-27,790.0,150.1,940.1,0.0,940.1,open
