payment_id,invoice_id,paid_on,amount,method
1,1,2025-01-11,1420.86,wire
2,2,2024-03-29,103.53,wire
3,3,2024-04-28,103.53,sepa
4,4,2024-05-28,103.53,sepa
5,5,2024-09-12,69.02,sepa
6,6,2024-01-17,45723.37,card
7,7,2024-02-16,45723.37,wire
8,8,2024-03-17,45723.37,sepa
9,9,2024-06-23,103.53,sepa
10,10,2024-07-23,103.53,card
11,11,2025-01-08,13063.82,card
12,12,2025-02-07,13063.82,wire
13,14,2024-04-12,1894.48,sepa
14,15,2024-05-12,1894.48,sepa
15,16,2024-03-14,846.09,sepa
16,17,2024-04-13,846.09,sepa
17,18,2024-05-13,846.09,sepa
18,19,2025-01-07,13063.82,sepa
19,20,2025-01-06,470.05,card
20,21,2025-02-05,470.05,sepa
21,23,2024-02-24,940.1,wire
22,24,2024-01-07,69.02,card
23,25,2024-02-06,69.02,card
24,26,2025-01-21,13657.63,wire
25,28,2024-02-29,470.05,sepa
26,29,2024-08-09,21377.16,sepa
27,30,2024-09-08,21377.16,wire
28,31,2024-10-08,21377.16,wire
29,32,2024-02-06,69.02,card
30,33,2024-03-07,69.02,card
31,34,2024-11-01,3078.53,wire
32,35,2024-12-01,3078.53,sepa
33,36,2024-12-31,3078.53,sepa
34,38,2024-09-07,188.02,sepa
35,39,2024-09-01,42160.51,sepa
36,41,2024-10-31,42160.51,wire
37,42,2024-03-29,2131.29,card
38,43,2024-10-21,188.02,wire
39,45,2024-12-20,188.02,sepa
40,46,2024-05-10,69.02,sepa
41,47,2024-06-09,69.02,card
42,49,2024-02-05,752.08,sepa
43,51,2024-04-05,752.08,wire
44,52,2024-07-15,282.03,card
45,54,2025-02-04,470.05,wire
46,55,2025-03-06,470.05,wire
47,56,2025-04-05,470.05,sepa
48,57,2024-02-11,282.03,sepa
49,58,2024-03-12,282.03,card
50,59,2024-03-27,24346.21,sepa
51,61,2024-04-21,34.51,card
52,62,2024-07-29,34.51,wire
53,63,2024-09-19,94.01,card
54,64,2024-11-12,470.05,wire
55,65,2024-06-09,5920.25,sepa
56,67,2024-07-17,34.51,card
57,68,2024-08-16,34.51,card
58,69,2024-11-14,57599.57,card
59,70,2024-01-29,30284.31,wire
60,72,2024-09-30,69.02,card
61,73,2024-10-30,69.02,card
62,74,2024-01-12,1657.67,wire
63,76,2025-02-11,376.04,wire
64,77,2025-03-13,376.04,card
65,80,2024-02-03,34.51,wire
66,81,2024-01-16,69.02,sepa
67,82,2024-12-02,1184.05,card
68,83,2025-01-01,1184.05,sepa
69,84,2024-03-23,34.51,sepa
70,86,2024-05-22,34.51,card
71,88,2025-01-21,46317.18,card
72,89,2025-02-20,46317.18,sepa
73,90,2024-11-15,43941.94,card
74,92,2024-06-06,2841.72,sepa
75,94,2024-06-25,34.51,sepa
76,95,2024-07-25,34.51,card
77,96,2025-01-17,470.05,card
78,98,2024-07-18,103.53,sepa
79,99,2024-08-17,103.53,wire
80,100,2024-11-01,658.07,card
81,101,2024-12-01,658.07,card
82,103,2024-01-22,54630.52,card
83,104,2024-02-21,54630.52,sepa
84,105,2024-09-04,34.51,wire
85,106,2024-04-20,10094.77,wire
86,107,2024-05-20,10094.77,card
87,108,2024-06-19,10094.77,sepa
88,109,2025-01-29,940.1,wire
89,112,2024-11-15,34.51,wire
90,113,2024-11-23,39785.27,wire
91,114,2024-12-23,39785.27,wire
92,115,2024-08-11,7125.72,card
93,116,2024-09-10,7125.72,sepa
94,117,2024-03-11,5920.25,sepa
95,118,2024-04-10,5920.25,sepa
96,119,2024-05-10,5920.25,card
97,121,2025-01-13,470.05,wire
98,122,2025-02-12,470.05,card
99,123,2024-09-13,1781.43,wire
100,125,2024-11-12,1781.43,wire
101,126,2024-05-22,2375.24,sepa
102,127,2025-02-01,58787.19,sepa
103,128,2025-03-03,58787.19,sepa
104,129,2024-07-24,658.07,wire
105,130,2024-08-23,658.07,sepa
106,131,2024-09-22,658.07,wire
107,132,2024-04-14,52849.09,sepa
108,133,2024-05-14,52849.09,wire
109,134,2024-02-23,658.07,wire
110,135,2024-03-04,34.51,card
111,136,2024-04-03,34.51,card
112,137,2024-04-26,236.81,sepa
113,138,2024-03-29,38597.65,sepa
114,139,2025-01-19,69.02,sepa
115,140,2024-12-25,752.08,sepa
116,141,2025-01-24,752.08,wire
117,142,2024-08-24,10688.58,card
118,143,2025-01-14,3078.53,card
119,144,2025-02-02,1894.48,sepa
120,145,2025-03-04,1894.48,sepa
121,146,2025-04-03,1894.48,sepa
122,147,2025-01-09,5209.82,card
123,148,2025-02-08,5209.82,wire
124,149,2025-03-10,5209.82,card
125,150,2024-08-23,470.05,sepa
126,151,2024-09-22,470.05,wire
127,152,2024-06-18,69.02,wire
128,153,2024-07-22,69.02,card
129,155,2024-09-20,69.02,wire
130,157,2024-11-29,2604.91,wire
131,158,2024-07-04,5920.25,card
132,159,2024-06-14,3788.96,sepa
133,160,2024-12-18,282.03,card
134,161,2025-01-17,282.03,sepa
135,162,2025-02-16,282.03,card
136,163,2024-02-11,846.09,wire
137,164,2024-03-12,846.09,wire
138,165,2024-02-22,44535.75,sepa
139,166,2024-03-23,44535.75,card
140,169,2024-06-30,376.04,sepa
141,170,2024-09-18,51661.47,card
142,171,2024-10-18,51661.47,card
143,172,2024-11-17,51661.47,wire
144,174,2024-12-12,39191.46,card
145,175,2025-01-11,39191.46,sepa
146,176,2025-02-10,39191.46,sepa
147,177,2024-03-19,69.02,wire
148,178,2024-04-18,69.02,sepa
149,179,2024-01-05,188.02,sepa
150,180,2024-02-04,188.02,wire
151,181,2024-01-07,4025.77,sepa
152,182,2024-02-06,4025.77,card
153,183,2024-06-07,752.08,wire
154,185,2024-08-06,752.08,sepa
155,186,2024-11-12,52849.09,sepa
156,187,2024-12-12,52849.09,wire
157,188,2025-01-11,52849.09,wire
158,190,2024-12-31,69.02,card
159,191,2025-01-30,69.02,card
160,193,2025-01-24,3552.15,card
161,194,2024-08-25,36816.22,wire
162,195,2024-10-02,58787.19,sepa
163,196,2025-01-08,376.04,card
164,197,2025-02-07,376.04,wire
165,199,2024-02-26,7719.53,wire
166,200,2024-03-27,7719.53,wire
167,201,2024-08-14,69.02,sepa
168,203,2024-07-07,34.51,sepa
169,204,2024-08-06,34.51,card
170,205,2024-09-05,34.51,wire
171,206,2024-06-25,1781.43,wire
172,207,2024-07-25,1781.43,wire
173,208,2024-06-05,69.02,wire
174,209,2024-07-05,69.02,sepa
175,210,2024-08-04,69.02,sepa
176,211,2024-12-28,564.06,sepa
177,212,2024-09-26,69.02,card
178,213,2024-10-26,69.02,wire
179,214,2024-11-25,69.02,wire
180,215,2024-01-18,1894.48,sepa
181,216,2024-12-19,282.03,card
182,218,2025-02-17,282.03,wire
183,219,2024-02-14,103.53,sepa
184,220,2024-03-15,103.53,wire
185,221,2024-04-14,103.53,card
186,222,2024-09-16,658.07,sepa
187,223,2024-10-16,658.07,card
188,224,2024-11-15,658.07,sepa
189,225,2024-11-24,69.02,card
190,226,2024-12-24,69.02,wire
191,227,2024-08-04,5446.63,card
192,228,2024-09-03,5446.63,wire
193,229,2024-10-03,5446.63,card
194,230,2024-12-07,103.53,sepa
195,231,2025-01-06,103.53,card
196,232,2025-02-05,103.53,sepa
197,233,2024-04-05,5209.82,card
198,234,2024-05-05,5209.82,wire
199,235,2024-06-04,5209.82,sepa
200,236,2024-12-05,3078.53,card
201,237,2024-01-11,940.1,sepa
202,238,2024-02-10,940.1,wire
203,239,2024-03-11,940.1,wire
204,240,2024-12-16,376.04,card
205,241,2025-01-15,376.04,wire
206,242,2025-02-14,376.04,sepa
207,243,2024-07-29,846.09,sepa
208,244,2024-06-30,34.51,wire
209,246,2024-07-26,564.06,card
210,250,2024-08-04,53442.9,sepa
211,251,2024-09-03,53442.9,wire
212,252,2024-09-04,69.02,card
213,253,2024-10-04,69.02,sepa
214,254,2024-10-27,947.24,wire
215,255,2024-05-17,69.02,card
216,256,2024-06-16,69.02,sepa
217,257,2024-08-04,38597.65,wire
218,258,2024-09-03,38597.65,wire
219,259,2025-01-31,3552.15,card
220,260,2024-01-21,7719.53,wire
221,261,2024-02-20,7719.53,card
222,262,2024-03-21,7719.53,sepa
223,263,2024-02-25,33253.36,card
224,264,2024-08-26,48098.61,sepa
225,265,2024-09-25,48098.61,sepa
226,266,2024-02-05,2604.91,card
227,267,2024-07-07,1894.48,sepa
228,268,2024-08-06,1894.48,wire
229,269,2024-09-05,1894.48,wire
230,270,2024-04-14,34.51,card
231,271,2024-05-14,34.51,sepa
232,274,2024-03-09,34.51,wire
233,275,2024-02-07,103.53,wire
234,278,2024-03-21,35034.79,card
235,279,2024-12-28,470.05,card
236,281,2025-02-26,470.05,wire
237,282,2024-04-13,282.03,wire
238,283,2024-05-14,710.43,wire
239,284,2024-06-13,710.43,sepa
240,285,2024-07-13,710.43,card
241,286,2024-12-23,1894.48,card
242,287,2025-01-22,1894.48,wire
243,288,2024-04-12,11876.2,card
244,289,2024-10-17,1894.48,sepa
245,290,2024-07-04,51661.47,sepa
246,291,2024-08-03,51661.47,wire
247,292,2024-03-17,470.05,wire
248,293,2024-04-16,470.05,card
249,295,2024-10-06,35034.79,sepa
250,296,2024-11-05,35034.79,wire
251,297,2024-08-08,103.53,wire
252,299,2024-07-18,23158.59,card
253,300,2024-08-17,23158.59,wire
254,301,2024-09-16,23158.59,card
255,302,2024-10-23,69.02,sepa
256,303,2024-05-13,69.02,card
257,304,2024-06-12,69.02,wire
258,305,2024-01-10,947.24,sepa
259,307,2024-03-10,947.24,wire
260,309,2024-06-20,376.04,card
261,312,2024-11-07,282.03,card
262,313,2024-12-07,282.03,sepa
263,314,2024-07-24,34.51,sepa
264,315,2024-11-01,10094.77,wire
265,317,2024-12-31,10094.77,sepa
266,318,2024-06-25,69.02,wire
267,319,2024-07-25,69.02,wire
268,321,2024-11-09,19595.73,wire
269,322,2024-06-28,103.53,wire
270,324,2024-12-11,69.02,card
271,325,2024-08-05,34.51,sepa
272,326,2024-12-01,1894.48,card
273,327,2024-12-07,69.02,sepa
274,330,2024-06-14,1184.05,card
275,331,2024-07-14,1184.05,card
276,333,2025-01-02,94.01,sepa
277,335,2025-01-06,188.02,card
278,337,2024-05-21,34.51,wire
279,339,2025-01-30,710.43,wire
280,340,2024-09-19,41566.7,sepa
281,342,2024-09-01,19595.73,sepa
282,343,2024-10-01,19595.73,sepa
283,344,2024-10-31,19595.73,wire
284,345,2024-01-18,34.51,sepa
285,346,2024-02-17,34.51,wire
286,348,2024-09-17,5683.44,wire
287,349,2024-04-03,28502.88,wire
288,351,2024-08-21,56411.95,card
289,352,2024-09-20,56411.95,wire
290,353,2024-10-20,56411.95,card
291,354,2024-05-08,940.1,wire
292,355,2024-01-27,3315.34,wire
293,356,2024-02-26,3315.34,wire
294,357,2025-02-04,56411.95,sepa
295,359,2024-11-20,32659.55,sepa
296,360,2024-11-25,103.53,wire
297,361,2024-08-14,658.07,wire
298,362,2024-09-13,658.07,sepa
299,363,2024-05-04,188.02,sepa
300,364,2024-06-03,188.02,wire
301,365,2024-06-20,470.05,sepa
302,366,2024-07-20,470.05,sepa
303,367,2024-08-19,470.05,card
304,368,2024-02-07,282.03,wire
305,369,2024-03-08,282.03,card
306,370,2024-09-28,34.51,card
307,371,2024-10-28,34.51,card
308,373,2024-05-06,5920.25,sepa
309,374,2024-06-05,5920.25,sepa
310,375,2024-07-05,5920.25,card
311,376,2024-12-29,236.81,sepa
312,377,2025-01-28,236.81,sepa
313,378,2024-12-19,53442.9,sepa
314,379,2024-02-28,752.08,wire
315,381,2024-06-22,940.1,card
316,382,2024-07-19,376.04,card
317,383,2024-08-18,376.04,wire
318,384,2024-09-17,376.04,sepa
319,386,2024-07-15,236.81,sepa
320,387,2024-08-14,236.81,sepa
321,388,2024-10-30,14845.25,card
322,390,2024-10-17,8313.34,card
323,392,2024-02-22,2131.29,wire
324,393,2024-03-23,2131.29,sepa
