subscription_id,company_id,plan_id,seats,mrr,arr,started_on,ended_on,status
1,37,3,6,1194.0,14328.0,2025-01-08,,trial
2,32,1,3,87.0,1044.0,2024-03-26,,past_due
3,29,1,2,58.0,696.0,2024-09-09,,trial
4,70,4,77,38423.0,461076.0,2024-01-14,,past_due
5,46,1,3,87.0,1044.0,2024-06-20,2024-12-02,churned
6,67,4,22,10978.0,131736.0,2025-01-05,,past_due
7,72,3,8,1592.0,19104.0,2024-04-09,,active
8,17,2,9,711.0,8532.0,2024-03-11,,active
9,32,4,22,10978.0,131736.0,2025-01-04,,trial
10,43,2,5,395.0,4740.0,2025-01-03,,trial
11,26,2,10,790.0,9480.0,2024-02-21,,past_due
12,52,1,2,58.0,696.0,2024-01-04,,trial
13,47,4,23,11477.0,137724.0,2025-01-18,,past_due
14,62,2,5,395.0,4740.0,2024-02-26,,active
15,32,4,36,17964.0,215568.0,2024-08-06,,active
16,17,1,2,58.0,696.0,2024-02-03,,trial
17,40,3,13,2587.0,31044.0,2024-10-29,,active
18,64,2,2,158.0,1896.0,2024-08-05,,active
19,8,4,71,35429.0,425148.0,2024-08-29,,trial
20,45,3,9,1791.0,21492.0,2024-03-26,,trial
21,41,2,2,158.0,1896.0,2024-10-18,,active
22,54,1,2,58.0,696.0,2024-05-07,,past_due
23,24,2,8,632.0,7584.0,2024-02-02,,past_due
24,4,2,3,237.0,2844.0,2024-07-12,,active
25,66,1,3,87.0,1044.0,2025-01-18,,past_due
26,40,2,5,395.0,4740.0,2025-02-01,2025-04-11,churned
27,73,2,3,237.0,2844.0,2024-02-08,,active
28,1,4,41,20459.0,245508.0,2024-03-24,,past_due
29,30,1,1,29.0,348.0,2024-04-18,,trial
30,74,1,1,29.0,348.0,2024-07-26,,past_due
31,15,2,1,79.0,948.0,2024-09-16,,past_due
32,58,2,5,395.0,4740.0,2024-11-09,,past_due
33,52,3,25,4975.0,59700.0,2024-06-06,,active
34,46,1,1,29.0,348.0,2024-06-14,,trial
35,64,4,97,48403.0,580836.0,2024-11-11,,past_due
36,75,4,51,25449.0,305388.0,2024-01-26,,active
37,70,1,2,58.0,696.0,2024-08-28,,active
38,62,3,7,1393.0,16716.0,2024-01-09,,past_due
39,58,2,4,316.0,3792.0,2025-01-09,,active
40,75,1,2,58.0,696.0,2024-01-23,2024-11-05,churned
41,20,1,3,87.0,1044.0,2025-02-03,,past_due
42,57,1,1,29.0,348.0,2024-01-31,,active
43,54,1,2,58.0,696.0,2024-01-13,,active
44,56,3,5,995.0,11940.0,2024-11-29,,trial
45,39,1,1,29.0,348.0,2024-03-20,2024-08-11,churned
46,59,4,78,38922.0,467064.0,2024-12-19,,active
47,46,4,74,36926.0,443112.0,2024-11-12,,trial
48,13,3,12,2388.0,28656.0,2024-06-03,,active
49,59,1,1,29.0,348.0,2024-06-22,,past_due
50,75,2,5,395.0,4740.0,2025-01-14,,trial
51,50,1,3,87.0,1044.0,2024-06-15,2024-07-26,churned
52,69,2,7,553.0,6636.0,2024-10-29,2024-12-13,churned
53,11,4,92,45908.0,550896.0,2024-01-19,,past_due
54,27,1,1,29.0,348.0,2024-09-01,,trial
55,48,4,17,8483.0,101796.0,2024-04-17,,past_due
56,62,2,10,790.0,9480.0,2025-01-26,,trial
57,50,1,1,29.0,348.0,2024-11-12,,trial
58,23,4,67,33433.0,401196.0,2024-11-20,,past_due
59,53,4,12,5988.0,71856.0,2024-08-08,,past_due
60,25,3,25,4975.0,59700.0,2024-03-08,,trial
61,1,2,5,395.0,4740.0,2024-12-11,,trial
62,33,4,3,1497.0,17964.0,2024-09-10,,trial
63,45,4,4,1996.0,23952.0,2024-05-19,,active
64,5,4,99,49401.0,592812.0,2025-01-29,,trial
65,27,2,7,553.0,6636.0,2024-07-21,,past_due
66,15,4,89,44411.0,532932.0,2024-04-11,,past_due
67,2,2,7,553.0,6636.0,2024-02-20,2024-07-10,churned
68,38,1,1,29.0,348.0,2024-03-01,2024-08-27,churned
69,47,3,1,199.0,2388.0,2024-04-23,,past_due
70,32,4,65,32435.0,389220.0,2024-03-26,2024-05-09,churned
71,17,1,2,58.0,696.0,2025-01-16,,active
72,64,2,8,632.0,7584.0,2024-12-22,2025-10-05,churned
73,28,4,18,8982.0,107784.0,2024-08-21,,past_due
74,15,3,13,2587.0,31044.0,2025-01-11,,active
75,39,3,8,1592.0,19104.0,2025-01-30,,active
76,35,3,22,4378.0,52536.0,2025-01-06,,trial
77,20,2,5,395.0,4740.0,2024-08-20,,past_due
78,39,1,2,58.0,696.0,2024-06-15,,trial
79,48,1,2,58.0,696.0,2024-07-19,2025-02-26,churned
80,15,3,11,2189.0,26268.0,2024-10-27,,trial
81,56,3,25,4975.0,59700.0,2024-07-01,2024-10-22,churned
82,72,3,16,3184.0,38208.0,2024-06-11,,trial
83,47,2,3,237.0,2844.0,2024-12-15,2025-01-28,churned
84,71,2,9,711.0,8532.0,2024-02-08,2024-03-29,churned
85,53,4,75,37425.0,449100.0,2024-02-19,,active
86,9,4,72,35928.0,431136.0,2024-12-29,,trial
87,39,2,4,316.0,3792.0,2024-05-28,2024-10-11,churned
88,32,4,87,43413.0,520956.0,2024-09-15,,past_due
89,64,1,3,87.0,1044.0,2024-08-02,,active
90,57,4,66,32934.0,395208.0,2024-12-09,,past_due
91,6,1,2,58.0,696.0,2024-03-16,,active
92,34,2,2,158.0,1896.0,2024-01-02,,active
93,70,3,17,3383.0,40596.0,2024-01-04,,active
94,80,2,8,632.0,7584.0,2024-06-04,,active
95,52,4,89,44411.0,532932.0,2024-11-09,,past_due
96,4,1,2,58.0,696.0,2024-11-28,,active
97,71,1,1,29.0,348.0,2024-01-19,,past_due
98,43,3,15,2985.0,35820.0,2025-01-21,,past_due
99,20,4,62,30938.0,371256.0,2024-08-22,,past_due
100,6,4,99,49401.0,592812.0,2024-09-29,,active
101,35,2,4,316.0,3792.0,2025-01-05,,active
102,11,4,13,6487.0,77844.0,2024-01-24,2024-08-31,churned
103,2,1,2,58.0,696.0,2024-08-11,,past_due
104,8,1,1,29.0,348.0,2024-11-02,,past_due
105,21,1,1,29.0,348.0,2024-07-04,,trial
106,47,4,3,1497.0,17964.0,2024-06-22,,active
107,65,1,2,58.0,696.0,2024-06-02,,past_due
108,41,2,6,474.0,5688.0,2024-12-25,,past_due
109,29,1,2,58.0,696.0,2024-09-23,,trial
110,52,3,8,1592.0,19104.0,2024-01-15,,active
111,21,2,3,237.0,2844.0,2024-12-16,,past_due
112,72,1,3,87.0,1044.0,2024-02-11,,past_due
113,3,2,7,553.0,6636.0,2024-09-13,,active
114,16,1,2,58.0,696.0,2024-11-21,,trial
115,34,3,23,4577.0,54924.0,2024-08-01,,trial
116,26,1,3,87.0,1044.0,2024-12-04,,active
117,16,3,22,4378.0,52536.0,2024-04-02,,active
118,26,3,13,2587.0,31044.0,2024-12-02,,past_due
119,22,2,10,790.0,9480.0,2024-01-08,,trial
120,56,2,4,316.0,3792.0,2024-12-13,2025-01-29,churned
121,54,2,9,711.0,8532.0,2024-07-26,,past_due
122,50,1,1,29.0,348.0,2024-06-27,,trial
123,1,2,6,474.0,5688.0,2024-07-23,,active
124,31,4,90,44910.0,538920.0,2024-07-02,,active
125,45,1,2,58.0,696.0,2024-09-01,,trial
126,36,3,4,796.0,9552.0,2024-10-24,2025-02-19,churned
127,8,1,2,58.0,696.0,2024-05-14,,past_due
128,74,4,65,32435.0,389220.0,2024-08-01,,active
129,5,3,15,2985.0,35820.0,2025-01-28,,active
130,42,4,13,6487.0,77844.0,2024-01-18,,past_due
131,33,4,56,27944.0,335328.0,2024-02-22,,trial
132,32,4,81,40419.0,485028.0,2024-08-23,,past_due
133,79,3,11,2189.0,26268.0,2024-02-02,2024-10-20,churned
134,7,3,8,1592.0,19104.0,2024-07-04,,trial
135,36,1,1,29.0,348.0,2024-04-11,,trial
136,74,1,1,29.0,348.0,2024-02-05,,active
137,18,1,3,87.0,1044.0,2024-02-04,,past_due
138,37,4,59,29441.0,353292.0,2024-01-18,,active
139,51,2,5,395.0,4740.0,2024-12-25,2025-08-06,churned
140,73,2,3,237.0,2844.0,2024-04-10,,trial
141,60,3,3,597.0,7164.0,2024-05-11,,active
142,51,3,8,1592.0,19104.0,2024-12-20,,past_due
