ticket_id,company_id,user_id,opened_on,type,priority,handle_hours,status
1,29,349,2024-10-25,billing,normal,19.6,open
2,70,390,2024-03-01,bug,high,41.6,solved
3,46,286,2024-06-25,how-to,normal,42.3,waiting
4,72,72,2024-06-27,outage,low,32.2,waiting
5,32,272,2025-01-26,bug,normal,10.5,waiting
6,43,123,2025-01-30,how-to,high,36.0,solved
7,26,,2024-02-21,billing,normal,6.8,open
8,52,132,2024-01-21,how-to,high,9.0,solved
9,47,287,2025-01-19,outage,high,17.9,waiting
10,40,200,2025-01-18,how-to,high,32.9,waiting
11,41,281,2024-12-06,outage,high,28.1,waiting
12,54,134,2024-05-17,how-to,low,3.2,solved
13,24,,2024-05-01,how-to,low,22.2,waiting
14,4,4,2024-09-07,bug,normal,21.4,open
15,66,306,2025-03-01,billing,high,13.1,solved
16,40,120,2025-02-15,outage,high,22.2,solved
17,73,233,2024-03-22,bug,normal,20.9,waiting
18,1,81,2024-03-24,how-to,normal,20.6,solved
19,52,,2024-07-13,billing,low,25.1,waiting
20,46,206,2024-08-29,bug,normal,22.6,solved
21,70,70,2024-11-19,how-to,normal,35.7,waiting
22,58,218,2025-03-08,billing,normal,43.5,waiting
23,75,155,2024-02-14,outage,high,38.3,open
24,57,,2024-03-17,bug,high,0.8,open
25,54,214,2024-03-11,billing,normal,42.6,solved
26,39,279,2024-04-25,outage,normal,32.3,solved
27,59,219,2025-02-11,billing,low,14.4,solved
28,46,206,2025-01-14,how-to,low,40.5,waiting
29,75,395,2025-03-21,bug,high,14.1,solved
30,69,,2024-11-09,billing,low,27.9,open
31,53,133,2024-09-17,outage,low,39.0,open
32,1,1,2025-02-21,billing,normal,6.0,open
33,27,107,2024-10-13,bug,high,33.9,waiting
34,2,2,2024-03-22,how-to,high,12.3,solved
35,47,47,2024-06-22,bug,normal,12.9,solved
36,17,337,2025-04-08,billing,high,4.3,solved
37,28,108,2024-08-24,outage,low,34.9,waiting
38,15,175,2025-02-02,how-to,low,46.4,solved
39,39,119,2024-08-02,billing,high,17.1,open
40,48,48,2024-09-08,billing,low,6.8,solved
41,15,95,2025-01-21,outage,high,43.0,solved
42,56,,2024-08-16,billing,low,22.6,waiting
43,71,71,2024-03-21,bug,normal,15.4,solved
44,64,224,2024-10-18,outage,high,45.4,solved
45,70,390,2024-03-22,how-to,high,6.7,solved
46,80,160,2024-07-28,bug,high,7.4,waiting
47,52,212,2025-02-07,bug,low,46.5,solved
48,4,164,2024-12-08,billing,normal,12.9,waiting
49,71,,2024-03-18,how-to,normal,25.2,waiting
50,20,340,2024-10-25,outage,low,19.7,waiting
51,2,242,2024-10-18,billing,normal,7.3,open
52,41,41,2025-03-19,outage,high,15.5,open
53,29,29,2024-11-21,bug,high,16.5,solved
54,21,21,2024-12-31,billing,normal,39.4,open
55,26,26,2025-01-26,how-to,normal,35.0,solved
56,16,,2024-06-17,billing,low,33.5,solved
57,26,266,2025-02-11,how-to,low,12.5,solved
58,56,216,2025-01-22,outage,high,27.6,open
59,54,,2024-08-05,bug,normal,33.8,open
60,1,81,2024-08-01,billing,high,41.9,waiting
61,45,365,2024-09-16,outage,low,17.3,solved
62,36,36,2025-01-10,billing,high,22.8,solved
63,8,328,2024-07-13,bug,low,26.1,waiting
64,5,325,2025-04-11,outage,low,1.1,open
65,42,202,2024-03-23,how-to,low,24.2,open
66,33,193,2024-03-14,bug,normal,24.1,open
67,32,32,2024-10-01,how-to,normal,14.7,open
68,79,79,2024-04-09,billing,normal,37.7,waiting
69,18,98,2024-03-30,billing,low,16.8,solved
70,37,357,2024-01-19,outage,low,0.8,open
71,51,211,2025-01-26,billing,normal,33.2,open
72,51,211,2025-02-24,bug,high,42.6,waiting
73,19,259,2024-07-06,bug,low,17.2,open
74,44,124,2024-05-27,outage,high,26.6,waiting
75,14,174,2024-09-17,how-to,low,46.3,open
76,22,342,2024-04-16,how-to,low,8.4,solved
77,12,252,2024-08-05,how-to,high,23.8,solved
78,52,372,2024-05-11,billing,high,3.0,solved
79,47,207,2024-03-23,billing,high,7.6,solved
80,38,358,2024-10-21,outage,low,9.4,open
81,7,327,2024-09-10,bug,high,26.2,waiting
82,58,218,2024-12-02,how-to,low,33.9,waiting
83,10,330,2025-01-31,bug,high,36.7,open
84,64,384,2025-02-23,outage,normal,4.0,solved
85,16,96,2024-07-07,how-to,normal,8.4,open
86,10,250,2024-07-13,outage,high,4.8,open
87,1,81,2025-04-23,bug,low,26.6,waiting
88,41,41,2024-10-06,bug,normal,4.4,waiting
89,21,21,2024-12-16,how-to,normal,12.2,solved
90,34,,2024-12-31,outage,normal,46.4,waiting
91,60,,2024-08-21,billing,high,40.1,open
92,10,90,2024-07-02,how-to,normal,30.9,solved
93,72,312,2024-06-26,how-to,low,12.8,waiting
94,54,134,2024-04-16,how-to,low,15.2,waiting
95,79,399,2024-03-26,how-to,low,20.5,waiting
96,74,314,2024-08-08,how-to,high,35.7,open
97,27,267,2024-11-03,how-to,low,9.1,solved
98,31,191,2024-04-03,billing,high,13.6,open
