firma_nr,firmenname,branche,land,ort,anlagedat
1,Südhandel SaaS 1,Fin,AT,München,2022-06-04
2,Westlog SaaS 2,IT,DE,Köln,2022-06-07
3,Ostbau SaaS 3,Fin,DE,Berlin,2022-06-10
4,Alpin SaaS 4,IT,CH,Stuttgart,2022-06-13
5,Hanse SaaS 5,Handel,DE,Leipzig,2022-06-16
6,Rhein SaaS 6,Handel,AT,Frankfurt,2022-06-19
7,Main SaaS 7,IT,DE,Hamburg,2022-06-22
8,Elbe SaaS 8,Fin,DE,München,2022-06-25
9,Donau SaaS 9,Medizin,AT,Köln,2022-06-28
10,Nordwerk SaaS 10,Handel,AT,Berlin,2022-07-01
11,Südhandel SaaS 11,Handel,AT,Stuttgart,2022-07-04
12,Westlog SaaS 12,Handel,DE,Leipzig,2022-07-07
13,Ostbau SaaS 13,IT,DE,Frankfurt,2022-07-10
14,Alpin SaaS 14,Fin,AT,Hamburg,2022-07-13
15,Hanse SaaS 15,Fin,CH,München,2022-07-16
16,Rhein SaaS 16,Handel,CH,Köln,2022-07-19
17,Main SaaS 17,Medizin,AT,Berlin,2022-07-22
18,Elbe SaaS 18,Fin,CH,Stuttgart,2022-07-25
19,Donau SaaS 19,Medizin,AT,Leipzig,2022-07-28
20,Nordwerk SaaS 20,Handel,DE,Frankfurt,2022-07-31
21,Südhandel SaaS 21,Fin,CH,Hamburg,2022-08-03
22,Westlog SaaS 22,Handel,CH,München,2022-08-06
23,Ostbau SaaS 23,Handel,DE,Köln,2022-08-09
24,Alpin SaaS 24,Medizin,AT,Berlin,2022-08-12
25,Hanse SaaS 25,Handel,CH,Stuttgart,2022-08-15
26,Rhein SaaS 26,Fin,CH,Leipzig,2022-08-18
27,Main SaaS 27,IT,CH,Frankfurt,2022-08-21
28,Elbe SaaS 28,IT,AT,Hamburg,2022-08-24
29,Donau SaaS 29,Fin,DE,München,2022-08-27
30,Nordwerk SaaS 30,Handel,AT,Köln,2022-08-30
31,Südhandel SaaS 31,Medizin,DE,Berlin,2022-09-02
32,Westlog SaaS 32,Medizin,DE,Stuttgart,2022-09-05
33,Ostbau SaaS 33,Handel,DE,Leipzig,2022-09-08
34,Alpin SaaS 34,Fin,CH,Frankfurt,2022-09-11
35,Hanse SaaS 35,IT,DE,Hamburg,2022-09-14
36,Rhein SaaS 36,Medizin,AT,München,2022-09-17
37,Main SaaS 37,Medizin,AT,Köln,2022-09-20
38,Elbe SaaS 38,Fin,AT,Berlin,2022-09-23
39,Donau SaaS 39,Handel,CH,Stuttgart,2022-09-26
40,Nordwerk SaaS 40,Medizin,CH,Leipzig,2022-09-29
41,Südhandel SaaS 41,Handel,CH,Frankfurt,2022-10-02
42,Westlog SaaS 42,Medizin,CH,Hamburg,2022-10-05
43,Ostbau SaaS 43,IT,CH,München,2022-10-08
44,Alpin SaaS 44,Fin,AT,Köln,2022-10-11
45,Hanse SaaS 45,Fin,CH,Berlin,2022-10-14
46,Rhein SaaS 46,IT,DE,Stuttgart,2022-10-17
47,Main SaaS 47,Fin,DE,Leipzig,2022-10-20
48,Elbe SaaS 48,Fin,DE,Frankfurt,2022-10-23
49,Donau SaaS 49,IT,AT,Hamburg,2022-10-26
50,Nordwerk SaaS 50,Medizin,AT,München,2022-10-29
