nutz_id,firma_nr,usr_id,feat,am,anz_events
1,52,172,export,2023-12-18,218
2,52,412,dash,2023-11-02,216
3,52,292,sso,2024-01-06,550
4,52,292,export,2023-12-23,625
5,110,590,audit,2023-08-25,719
6,110,230,export,2023-10-29,767
7,110,350,export,2023-08-19,606
8,110,470,export,2023-08-29,15
9,110,110,dash,2023-09-21,359
10,110,470,export,2023-10-17,461
11,78,558,audit,2024-02-07,53
12,78,678,audit,2024-03-15,326
13,78,318,export,2024-01-05,548
14,78,198,api,2023-12-14,446
15,78,78,sso,2023-12-12,268
16,60,540,dash,2024-03-09,453
17,60,60,sso,2024-02-29,294
18,60,540,export,2024-03-12,748
19,60,660,sso,2023-12-11,767
20,60,660,dash,2024-01-17,487
21,60,300,dash,2024-03-11,236
22,16,16,export,2023-06-17,773
23,16,616,export,2023-07-20,596
24,16,136,sso,2023-07-26,23
25,16,496,export,2023-07-06,96
26,106,586,audit,2023-10-28,230
27,106,346,export,2023-11-13,144
28,106,586,sso,2023-10-17,579
29,97,97,dash,2024-04-07,785
30,97,337,api,2024-04-22,466
31,97,217,export,2024-04-17,158
32,97,337,audit,2024-03-31,800
33,97,577,api,2024-03-22,144
34,34,514,export,2024-01-28,435
35,34,514,export,2024-02-15,275
36,34,154,dash,2024-02-20,106
37,34,514,export,2023-12-11,782
38,34,514,api,2024-01-12,606
39,85,445,export,2023-06-24,423
40,85,445,audit,2023-07-12,611
41,85,445,sso,2023-07-05,109
42,85,685,api,2023-08-06,532
43,85,445,export,2023-08-05,510
44,85,205,sso,2023-07-07,772
45,85,85,sso,2023-07-04,316
46,85,565,export,2023-08-03,376
47,99,339,api,2024-09-16,517
48,99,339,api,2024-09-22,84
49,99,339,export,2024-07-14,186
50,99,219,audit,2024-07-23,781
51,99,699,sso,2024-10-06,434
52,99,579,export,2024-07-08,675
53,9,489,audit,2024-11-01,130
54,9,489,dash,2024-10-25,376
55,9,129,api,2024-07-26,690
56,63,543,audit,2024-03-28,748
57,63,663,dash,2024-04-16,564
58,63,303,api,2024-03-01,305
59,19,379,dash,2024-05-02,161
60,19,379,dash,2024-05-06,315
61,19,19,dash,2024-05-29,91
62,19,379,export,2024-06-02,508
63,19,379,sso,2024-04-20,270
64,19,379,audit,2024-04-12,416
65,94,334,sso,2024-01-01,535
66,94,694,audit,2024-01-15,323
67,94,334,api,2023-12-06,244
68,11,131,audit,2023-11-03,418
69,11,131,dash,2023-11-19,28
70,11,491,audit,2023-10-31,604
71,11,611,export,2023-11-10,559
72,11,11,sso,2023-10-22,104
73,11,611,sso,2023-11-25,230
74,22,262,audit,2024-01-13,776
75,22,142,api,2024-04-05,482
76,22,622,sso,2024-02-18,24
77,22,502,dash,2024-04-08,637
78,22,622,sso,2024-04-07,161
79,78,678,audit,2024-08-28,54
80,78,198,dash,2024-09-29,585
81,78,78,audit,2024-08-16,652
82,78,678,export,2024-08-25,461
83,78,318,export,2024-08-22,353
84,78,78,sso,2024-08-17,313
85,69,309,sso,2024-01-14,705
86,69,189,api,2023-12-26,12
87,69,189,sso,2024-02-03,420
88,69,429,api,2024-02-03,781
89,69,309,api,2023-12-22,335
90,27,267,export,2024-11-04,100
91,27,627,dash,2024-12-29,691
92,27,27,audit,2025-01-05,687
93,27,387,export,2024-10-08,268
94,27,627,dash,2024-10-27,411
95,27,267,sso,2024-11-12,556
96,27,507,sso,2024-11-29,115
97,27,627,export,2024-10-29,240
98,81,81,export,2024-10-23,407
99,81,561,audit,2024-11-18,324
100,81,561,export,2024-11-03,191
101,81,681,api,2024-10-17,613
102,90,210,sso,2024-01-14,83
103,90,690,audit,2024-02-22,388
104,90,330,export,2024-01-10,5
105,90,690,sso,2024-02-16,295
106,90,450,sso,2024-01-03,289
107,5,365,sso,2024-03-16,678
108,5,245,audit,2024-05-27,715
109,5,365,api,2024-04-05,122
110,5,605,api,2024-03-16,173
111,5,245,sso,2024-03-10,161
112,5,605,sso,2024-04-11,490
113,5,245,export,2024-04-30,528
114,5,125,sso,2024-04-20,475
115,120,240,export,2024-09-06,587
116,120,360,dash,2024-08-01,536
117,120,480,audit,2024-06-23,274
118,120,600,dash,2024-07-09,118
119,120,360,api,2024-07-03,34
120,120,360,dash,2024-08-17,102
121,120,360,export,2024-08-31,106
122,115,115,api,2024-03-01,582
123,115,115,export,2024-03-04,173
124,115,355,api,2024-05-08,519
125,115,475,sso,2024-03-08,692
126,115,475,sso,2024-05-17,496
127,115,235,audit,2024-04-16,79
128,115,475,api,2024-05-12,162
129,115,115,audit,2024-03-31,684
130,81,321,export,2024-03-27,39
131,81,681,export,2024-06-01,461
132,81,81,sso,2024-04-25,401
133,81,681,audit,2024-03-21,361
134,81,201,export,2024-05-04,198
135,81,321,audit,2024-03-14,551
136,56,56,export,2024-05-06,171
137,56,416,dash,2024-04-02,386
138,56,176,dash,2024-04-20,72
139,56,656,api,2024-04-21,626
140,37,157,api,2024-06-19,106
141,37,517,audit,2024-07-30,525
