rg_nr,abo_nr,firma_nr,rg_dat,netto_betrag,mwst_betrag,brutto,gezahlt,rest,stat_txt
1,1,52,2023-10-28,1245.0,236.55,1481.55,1481.55,0.0,bezahlt
2,1,52,2023-11-27,1245.0,236.55,1481.55,1481.55,0.0,bezahlt
3,1,52,2023-12-27,1245.0,236.55,1481.55,1481.55,0.0,bezahlt
4,1,52,2024-01-26,1245.0,236.55,1481.55,1481.55,0.0,bezahlt
5,2,110,2023-08-01,78.0,14.82,92.82,92.82,0.0,bezahlt
6,2,110,2023-08-31,78.0,14.82,92.82,92.82,0.0,bezahlt
7,2,110,2023-09-30,78.0,14.82,92.82,92.82,0.0,bezahlt
8,3,78,2023-12-10,78.0,14.82,92.82,46.41,46.41,offen
9,4,60,2023-12-11,83096.0,15788.24,98884.24,98884.24,0.0,bezahlt
10,4,60,2024-01-10,83096.0,15788.24,98884.24,98884.24,0.0,bezahlt
11,5,16,2023-06-07,3486.0,662.34,4148.34,4148.34,0.0,bezahlt
12,5,16,2023-07-07,3486.0,662.34,4148.34,4148.34,0.0,bezahlt
13,6,106,2023-08-21,78.0,14.82,92.82,92.82,0.0,bezahlt
14,7,97,2024-03-17,105468.0,20038.92,125506.92,125506.92,0.0,bezahlt
15,7,97,2024-04-16,105468.0,20038.92,125506.92,125506.92,0.0,bezahlt
16,7,97,2024-05-16,105468.0,20038.92,125506.92,125506.92,0.0,bezahlt
17,7,97,2024-06-15,105468.0,20038.92,125506.92,125506.92,0.0,bezahlt
18,8,34,2023-11-12,78.0,14.82,92.82,92.82,0.0,bezahlt
19,9,85,2023-06-06,90287.0,17154.53,107441.53,107441.53,0.0,bezahlt
20,9,85,2023-07-06,90287.0,17154.53,107441.53,0.0,107441.53,offen
21,10,99,2024-06-30,79900.0,15181.0,95081.0,95081.0,0.0,bezahlt
22,10,99,2024-07-30,79900.0,15181.0,95081.0,95081.0,0.0,bezahlt
23,10,99,2024-08-29,79900.0,15181.0,95081.0,95081.0,0.0,bezahlt
24,11,9,2024-07-25,97478.0,18520.82,115998.82,115998.82,0.0,bezahlt
25,12,63,2024-01-23,8789.0,1669.91,10458.91,10458.91,0.0,bezahlt
26,12,63,2024-02-22,8789.0,1669.91,10458.91,5229.45,5229.46,offen
27,13,19,2024-03-29,39.0,7.41,46.41,46.41,0.0,bezahlt
28,13,19,2024-04-28,39.0,7.41,46.41,0.0,46.41,offen
29,13,19,2024-05-28,39.0,7.41,46.41,46.41,0.0,bezahlt
30,14,94,2023-10-21,78.0,14.82,92.82,0.0,92.82,offen
31,15,11,2023-09-25,198.0,37.62,235.62,0.0,235.62,offen
32,16,22,2024-01-06,594.0,112.86,706.86,706.86,0.0,bezahlt
33,16,22,2024-02-05,594.0,112.86,706.86,706.86,0.0,bezahlt
34,17,78,2024-06-23,78.0,14.82,92.82,92.82,0.0,bezahlt
35,17,78,2024-07-23,78.0,14.82,92.82,92.82,0.0,bezahlt
36,18,69,2023-11-02,78.0,14.82,92.82,92.82,0.0,bezahlt
37,18,69,2023-12-02,78.0,14.82,92.82,0.0,92.82,offen
38,18,69,2024-01-01,78.0,14.82,92.82,92.82,0.0,bezahlt
39,18,69,2024-01-31,78.0,14.82,92.82,92.82,0.0,bezahlt
40,19,27,2024-09-27,51136.0,9715.84,60851.84,60851.84,0.0,bezahlt
41,19,27,2024-10-27,51136.0,9715.84,60851.84,30425.92,30425.92,offen
42,20,81,2024-10-10,297.0,56.43,353.43,353.43,0.0,bezahlt
43,20,81,2024-11-09,297.0,56.43,353.43,353.43,0.0,bezahlt
44,20,81,2024-12-09,297.0,56.43,353.43,353.43,0.0,bezahlt
45,21,90,2023-11-23,1494.0,283.86,1777.86,1777.86,0.0,bezahlt
46,21,90,2023-12-23,1494.0,283.86,1777.86,0.0,1777.86,offen
47,22,5,2024-02-22,99.0,18.81,117.81,117.81,0.0,bezahlt
48,22,5,2024-03-23,99.0,18.81,117.81,117.81,0.0,bezahlt
49,22,5,2024-04-22,99.0,18.81,117.81,117.81,0.0,bezahlt
50,22,5,2024-05-22,99.0,18.81,117.81,117.81,0.0,bezahlt
