zahl_id,rg_nr,zahl_dat,betrag,weg
1,1,2023-11-01,1481.55,SEPA
2,2,2023-12-01,1481.55,ÜWZ
3,3,2023-12-31,1481.55,ÜWZ
4,4,2024-01-30,1481.55,SEPA
5,5,2023-08-05,92.82,KK
6,6,2023-09-04,92.82,SEPA
7,7,2023-10-04,92.82,KK
8,8,2023-12-14,46.41,SEPA
9,9,2023-12-15,98884.24,ÜWZ
10,10,2024-01-14,98884.24,KK
11,11,2023-06-11,4148.34,ÜWZ
12,12,2023-07-11,4148.34,ÜWZ
13,13,2023-08-25,92.82,SEPA
14,14,2024-03-21,125506.92,ÜWZ
15,15,2024-04-20,125506.92,KK
16,16,2024-05-20,125506.92,KK
17,17,2024-06-19,125506.92,KK
18,18,2023-11-16,92.82,SEPA
19,19,2023-06-10,107441.53,SEPA
20,21,2024-07-04,95081.0,SEPA
21,22,2024-08-03,95081.0,KK
22,23,2024-09-02,95081.0,SEPA
23,24,2024-07-29,115998.82,ÜWZ
24,25,2024-01-27,10458.91,ÜWZ
25,26,2024-02-26,5229.45,SEPA
26,27,2024-04-02,46.41,ÜWZ
27,29,2024-06-01,46.41,SEPA
28,32,2024-01-10,706.86,ÜWZ
29,33,2024-02-09,706.86,KK
30,34,2024-06-27,92.82,ÜWZ
31,35,2024-07-27,92.82,SEPA
32,36,2023-11-06,92.82,ÜWZ
33,38,2024-01-05,92.82,KK
34,39,2024-02-04,92.82,SEPA
35,40,2024-10-01,60851.84,KK
36,41,2024-10-31,30425.92,ÜWZ
37,42,2024-10-14,353.43,SEPA
38,43,2024-11-13,353.43,SEPA
39,44,2024-12-13,353.43,KK
40,45,2023-11-27,1777.86,SEPA
41,47,2024-02-26,117.81,ÜWZ
42,48,2024-03-27,117.81,SEPA
43,49,2024-04-26,117.81,KK
44,50,2024-05-26,117.81,ÜWZ
45,52,2024-07-20,46.41,SEPA
46,55,2024-02-28,46.41,ÜWZ
47,56,2024-03-12,8592.99,KK
48,57,2024-04-11,8592.99,KK
49,58,2024-02-16,46.41,SEPA
50,59,2024-03-17,46.41,ÜWZ
51,60,2024-04-16,46.41,SEPA
52,61,2024-05-16,23.2,KK
53,62,2024-05-01,592.62,ÜWZ
54,63,2024-04-16,2963.1,KK
55,64,2024-05-16,2963.1,KK
56,65,2024-06-15,2963.1,ÜWZ
57,66,2024-10-08,23.2,KK
58,67,2024-11-07,46.41,ÜWZ
59,68,2024-12-07,46.41,KK
60,69,2025-01-06,46.41,SEPA
61,70,2024-07-04,4444.65,ÜWZ
62,71,2024-04-26,1901.62,SEPA
63,72,2024-05-26,1901.62,KK
64,73,2024-06-25,1901.62,SEPA
65,74,2023-08-04,1777.86,KK
66,75,2023-09-03,1777.86,SEPA
67,76,2023-10-24,92.82,KK
68,77,2023-09-16,46.41,SEPA
69,78,2024-03-02,235.62,SEPA
70,79,2024-04-01,235.62,KK
71,80,2024-05-01,235.62,KK
72,81,2023-09-01,235.62,ÜWZ
73,82,2024-01-23,5037.27,ÜWZ
74,83,2024-02-22,5037.27,SEPA
75,84,2024-03-23,2518.64,KK
76,85,2024-07-26,23.2,ÜWZ
77,86,2024-08-25,46.41,ÜWZ
78,88,2024-10-24,46.41,ÜWZ
79,90,2024-08-30,63704.27,ÜWZ
80,91,2023-08-17,471.24,SEPA
81,92,2023-09-16,235.62,KK
82,93,2023-10-16,471.24,SEPA
83,94,2023-11-15,471.24,KK
84,95,2024-06-01,92.82,ÜWZ
85,96,2024-07-01,92.82,ÜWZ
86,97,2023-07-30,7704.06,ÜWZ
87,98,2023-08-29,7704.06,SEPA
88,99,2023-09-28,7704.06,SEPA
89,100,2024-07-13,2963.1,KK
90,101,2024-05-17,57048.6,ÜWZ
91,102,2024-07-01,117.81,KK
92,103,2024-07-31,117.81,ÜWZ
93,104,2024-08-30,117.81,ÜWZ
94,105,2023-10-25,115048.01,SEPA
95,106,2023-11-24,115048.01,ÜWZ
96,107,2023-12-24,115048.01,KK
97,108,2024-01-23,57524.0,SEPA
98,109,2023-12-08,888.93,SEPA
99,110,2024-01-07,888.93,KK
100,111,2024-02-06,888.93,ÜWZ
101,112,2024-03-07,888.93,ÜWZ
102,113,2023-09-19,125506.92,SEPA
103,114,2023-10-19,62753.46,SEPA
104,115,2023-11-18,62753.46,SEPA
105,116,2024-06-21,46.41,ÜWZ
106,118,2024-08-20,46.41,ÜWZ
107,119,2024-09-19,46.41,KK
108,120,2024-01-11,92.82,SEPA
109,121,2024-02-10,92.82,SEPA
110,122,2024-03-11,46.41,ÜWZ
111,123,2024-04-10,92.82,ÜWZ
112,124,2024-03-18,117.81,KK
113,125,2024-04-17,117.81,KK
114,126,2024-05-17,235.62,KK
115,127,2024-08-12,42786.45,KK
116,128,2023-11-23,58.91,KK
117,131,2023-11-30,18065.39,ÜWZ
118,132,2023-12-30,18065.39,SEPA
119,133,2024-01-29,18065.39,ÜWZ
120,134,2024-02-28,18065.39,KK
121,135,2024-03-07,92.82,SEPA
122,136,2024-04-06,92.82,ÜWZ
123,138,2023-07-11,2222.32,KK
124,139,2023-08-10,4444.65,KK
125,140,2024-04-08,950.81,KK
126,141,2024-05-08,475.4,ÜWZ
127,142,2024-06-07,950.81,SEPA
128,143,2023-09-04,471.24,ÜWZ
129,144,2023-10-04,235.62,ÜWZ
130,146,2023-09-10,824.67,ÜWZ
131,147,2024-06-01,53245.36,ÜWZ
132,148,2024-07-01,53245.36,ÜWZ
133,149,2024-03-07,7704.06,KK
134,151,2024-05-06,3852.03,ÜWZ
135,152,2024-06-05,7704.06,SEPA
136,153,2024-07-29,592.62,ÜWZ
137,154,2024-06-20,92.82,KK
138,155,2024-07-20,92.82,SEPA
139,156,2024-08-19,92.82,SEPA
140,158,2023-12-05,56097.79,SEPA
141,159,2024-01-04,56097.79,ÜWZ
142,160,2024-02-03,28048.9,KK
143,161,2023-06-13,116949.63,SEPA
144,163,2023-08-12,116949.63,ÜWZ
145,164,2023-09-11,116949.63,SEPA
146,165,2024-09-15,888.93,SEPA
147,166,2024-10-15,1777.86,SEPA
148,167,2023-09-21,117.81,SEPA
149,168,2023-10-21,117.81,SEPA
150,169,2024-10-06,6655.67,ÜWZ
151,170,2024-11-05,6655.67,ÜWZ
152,171,2024-05-26,7111.44,KK
153,172,2024-06-25,7111.44,SEPA
154,173,2024-08-01,117.81,SEPA
155,174,2024-08-13,140719.88,ÜWZ
156,175,2024-09-12,140719.88,SEPA
157,176,2023-12-01,471.24,ÜWZ
158,178,2024-01-30,471.24,SEPA
159,179,2024-02-29,471.24,ÜWZ
160,180,2024-10-13,235.62,KK
161,181,2024-11-12,235.62,ÜWZ
162,182,2024-12-12,235.62,KK
163,183,2025-01-11,235.62,SEPA
164,184,2023-09-29,353.43,ÜWZ
165,185,2023-10-29,353.43,SEPA
166,186,2024-01-14,942.48,SEPA
167,187,2024-02-13,942.48,SEPA
168,189,2024-08-30,92.82,KK
169,190,2024-09-29,46.41,KK
170,191,2024-02-27,353.43,KK
171,192,2024-03-28,353.43,KK
172,193,2024-05-25,92.82,SEPA
173,194,2024-06-24,46.41,ÜWZ
174,195,2024-07-24,92.82,ÜWZ
175,197,2024-08-30,824.67,SEPA
176,198,2024-09-29,824.67,SEPA
177,199,2024-10-29,824.67,ÜWZ
178,200,2024-01-31,942.48,SEPA
179,201,2024-07-09,46.41,ÜWZ
180,202,2024-08-08,46.41,SEPA
181,203,2024-09-07,46.41,ÜWZ
182,204,2024-07-02,2666.79,SEPA
183,205,2024-08-01,2666.79,SEPA
184,206,2024-08-31,2666.79,KK
185,207,2024-09-30,2666.79,KK
186,209,2024-05-12,6222.51,ÜWZ
187,210,2024-06-11,6222.51,ÜWZ
188,211,2024-07-20,2963.1,ÜWZ
189,213,2024-09-18,2963.1,KK
190,214,2024-10-18,2963.1,ÜWZ
191,215,2024-05-04,92.82,ÜWZ
192,216,2024-06-03,92.82,SEPA
193,218,2024-08-02,92.82,SEPA
